property,direction,layer,alpha,strict,unscorable,incoherent,n
em_dash,nat,4,4.0,0.04,0.96,0.167,60
em_dash,nat,6,16.0,0.019,0.981,0.1,60
em_dash,nat,8,8.0,0.118,0.863,0.15,60
em_dash,nat,10,16.0,0.039,0.941,0.15,60
em_dash,nat,12,8.0,0.037,0.944,0.1,60
em_dash,nat,16,32.0,0.083,0.917,0.0,60
em_dash,nat,20,32.0,1.0,0.0,0.0,60
em_dash,nat,24,16.0,1.0,0.0,0.0,60
num_words,alt,2,32.0,0.228,0.754,0.05,60
num_words,alt,4,16.0,0.169,0.712,0.017,60
num_words,alt,6,32.0,0.596,0.404,0.05,60
num_words,alt,8,32.0,0.655,0.345,0.033,60
num_words,alt,10,32.0,0.633,0.367,0.0,60
num_words,alt,12,32.0,0.411,0.589,0.067,60
num_words,alt,16,32.0,0.678,0.322,0.017,60
num_words,alt,20,32.0,0.966,0.034,0.017,60
num_words,alt,24,16.0,0.9,0.1,0.0,60
num_words,nat,2,16.0,0.133,0.867,0.0,60
num_words,nat,4,32.0,0.107,0.893,0.067,60
num_words,nat,6,1.0,0.117,0.783,0.0,60
num_words,nat,8,1.0,0.167,0.717,0.0,60
num_words,nat,10,32.0,0.382,0.618,0.083,60
num_words,nat,12,32.0,0.333,0.667,0.0,60
num_words,nat,16,32.0,0.475,0.525,0.017,60
num_words,nat,20,32.0,0.6,0.4,0.0,60
num_words,nat,24,32.0,0.717,0.283,0.0,60
ordinal_words,alt,2,1.0,0.15,0.85,0.0,60
ordinal_words,alt,4,1.0,0.133,0.867,0.0,60
ordinal_words,alt,6,4.0,0.117,0.883,0.0,60
ordinal_words,alt,8,4.0,0.15,0.85,0.0,60
ordinal_words,alt,10,8.0,0.217,0.783,0.0,60
ordinal_words,alt,12,32.0,0.864,0.136,0.017,60
ordinal_words,alt,16,32.0,0.931,0.069,0.033,60
ordinal_words,alt,20,16.0,0.862,0.138,0.033,60
ordinal_words,alt,24,8.0,0.833,0.167,0.0,60
ordinal_words,nat,2,0.5,0.0,0.817,0.0,60
ordinal_words,nat,4,0.5,0.0,0.9,0.0,60
ordinal_words,nat,6,0.5,0.0,0.883,0.0,60
ordinal_words,nat,8,1.0,0.017,0.847,0.017,60
ordinal_words,nat,10,0.5,0.0,0.817,0.0,60
ordinal_words,nat,12,32.0,0.034,0.949,0.017,60
ordinal_words,nat,16,32.0,0.069,0.879,0.033,60
ordinal_words,nat,20,0.5,0.0,0.9,0.0,60
ordinal_words,nat,24,2.0,0.0,0.917,0.0,60
oxford_comma,alt,2,0.5,0.267,0.4,0.0,60
oxford_comma,alt,4,1.0,0.167,0.4,0.0,60
oxford_comma,alt,6,0.5,0.133,0.4,0.0,60
oxford_comma,alt,8,2.0,0.167,0.35,0.0,60
oxford_comma,alt,10,16.0,0.542,0.407,0.017,60
oxford_comma,alt,12,8.0,0.55,0.317,0.0,60
oxford_comma,alt,16,16.0,1.0,0.0,0.033,60
oxford_comma,alt,20,8.0,0.983,0.017,0.017,60
oxford_comma,alt,24,8.0,0.983,0.017,0.0,60
oxford_comma,nat,2,1.0,0.417,0.383,0.0,60
oxford_comma,nat,4,4.0,0.367,0.433,0.0,60
oxford_comma,nat,6,32.0,0.417,0.45,0.0,60
oxford_comma,nat,8,0.5,0.467,0.333,0.0,60
oxford_comma,nat,10,0.5,0.483,0.367,0.0,60
oxford_comma,nat,12,2.0,0.467,0.4,0.0,60
oxford_comma,nat,16,0.5,0.483,0.5,0.0,60
oxford_comma,nat,20,1.0,0.55,0.45,0.0,60
oxford_comma,nat,24,4.0,0.407,0.593,0.017,60
percent_sign,alt,2,32.0,0.271,0.492,0.017,60
percent_sign,alt,4,16.0,0.305,0.322,0.017,60
percent_sign,alt,6,8.0,0.517,0.467,0.0,60
percent_sign,alt,8,32.0,0.898,0.102,0.017,60
percent_sign,alt,10,32.0,0.967,0.033,0.0,60
percent_sign,alt,12,32.0,0.95,0.05,0.0,60
percent_sign,alt,16,32.0,1.0,0.0,0.0,60
percent_sign,alt,20,8.0,1.0,0.0,0.0,60
percent_sign,alt,24,8.0,1.0,0.0,0.0,60
percent_sign,nat,2,0.5,0.542,0.305,0.017,60
percent_sign,nat,4,0.5,0.552,0.328,0.033,60
percent_sign,nat,6,8.0,0.7,0.3,0.0,60
percent_sign,nat,8,32.0,1.0,0.0,0.033,60
percent_sign,nat,10,32.0,0.917,0.083,0.0,60
percent_sign,nat,12,32.0,0.917,0.083,0.0,60
percent_sign,nat,16,32.0,1.0,0.0,0.017,60
percent_sign,nat,20,16.0,0.983,0.017,0.033,60
percent_sign,nat,24,16.0,1.0,0.0,0.0,60
quote_punct,alt,2,0.5,0.017,0.155,0.033,60
quote_punct,alt,4,0.5,0.018,0.07,0.05,60
quote_punct,alt,6,2.0,0.017,0.102,0.017,60
quote_punct,alt,8,32.0,0.0,0.103,0.033,60
quote_punct,alt,10,32.0,0.483,0.1,0.0,60
quote_punct,alt,12,32.0,0.517,0.133,0.0,60
quote_punct,alt,16,32.0,1.0,0.0,0.017,60
quote_punct,alt,20,16.0,1.0,0.0,0.083,60
quote_punct,alt,24,8.0,0.931,0.034,0.033,60
quote_punct,nat,2,8.0,0.875,0.089,0.067,60
quote_punct,nat,4,16.0,0.825,0.105,0.05,60
quote_punct,nat,6,16.0,0.879,0.103,0.033,60
quote_punct,nat,8,0.5,0.86,0.123,0.05,60
quote_punct,nat,10,8.0,0.893,0.107,0.067,60
quote_punct,nat,12,0.5,0.879,0.069,0.033,60
quote_punct,nat,16,1.0,0.895,0.105,0.05,60
quote_punct,nat,20,2.0,0.948,0.052,0.033,60
quote_punct,nat,24,8.0,0.95,0.05,0.0,60
sentence_caps,alt,2,0.5,0.0,0.0,0.0,60
sentence_caps,alt,4,32.0,0.207,0.086,0.033,60
sentence_caps,alt,6,16.0,0.906,0.075,0.117,60
sentence_caps,alt,8,32.0,0.92,0.08,0.167,60
sentence_caps,alt,10,32.0,0.982,0.018,0.05,60
sentence_caps,alt,12,16.0,1.0,0.0,0.217,60
sentence_caps,alt,16,8.0,0.94,0.06,0.167,60
sentence_caps,alt,20,8.0,0.963,0.019,0.1,60
sentence_caps,alt,24,8.0,0.983,0.0,0.033,60
sentence_caps,nat,2,16.0,0.933,0.067,0.0,60
sentence_caps,nat,4,4.0,0.9,0.1,0.0,60
sentence_caps,nat,6,8.0,1.0,0.0,0.0,60
sentence_caps,nat,8,2.0,0.949,0.051,0.017,60
sentence_caps,nat,10,2.0,0.966,0.034,0.017,60
sentence_caps,nat,12,32.0,0.983,0.0,0.033,60
sentence_caps,nat,16,32.0,0.983,0.017,0.0,60
sentence_caps,nat,20,4.0,1.0,0.0,0.033,60
sentence_caps,nat,24,2.0,0.95,0.05,0.0,60
us_uk,alt,2,4.0,0.033,0.767,0.0,60
us_uk,alt,4,16.0,0.034,0.845,0.033,60
us_uk,alt,6,4.0,0.017,0.797,0.017,60
us_uk,alt,8,0.5,0.017,0.867,0.0,60
us_uk,alt,10,0.5,0.017,0.8,0.0,60
us_uk,alt,12,2.0,0.017,0.867,0.0,60
us_uk,alt,16,8.0,0.085,0.814,0.017,60
us_uk,alt,20,32.0,0.433,0.55,0.0,60
us_uk,alt,24,16.0,0.75,0.25,0.0,60
us_uk,nat,2,4.0,0.203,0.763,0.017,60
us_uk,nat,4,2.0,0.183,0.8,0.0,60
us_uk,nat,6,1.0,0.203,0.797,0.017,60
us_uk,nat,8,0.5,0.119,0.864,0.017,60
us_uk,nat,10,1.0,0.203,0.797,0.017,60
us_uk,nat,12,8.0,0.172,0.81,0.033,60
us_uk,nat,16,1.0,0.217,0.783,0.0,60
us_uk,nat,20,32.0,0.288,0.712,0.017,60
us_uk,nat,24,32.0,0.911,0.089,0.067,60
