english-spanish | dummy6_twoknob_c2_u2: acc=0.427
english-spanish | dummy6_twoknob_c2_u4: acc=0.560
english-spanish | dummy6_twoknob_c2_u8: acc=0.427
english-spanish | dummy6_twoknob_c4_u0: acc=0.000
english-spanish | dummy6_twoknob_c4_u1: acc=0.007
english-spanish | dummy6_twoknob_c4_u2: acc=0.360
english-spanish | dummy6_twoknob_c4_u4: acc=0.547
english-spanish | dummy6_twoknob_c4_u8: acc=0.620
english-spanish | dummy6_twoknob_c8_u0: acc=0.000
english-spanish | dummy6_twoknob_c8_u1: acc=0.000
english-spanish | dummy6_twoknob_c8_u2: acc=0.013
english-spanish | dummy6_twoknob_c8_u4: acc=0.200
english-spanish | dummy6_twoknob_c8_u8: acc=0.593
first_three_letters | dummy6_baseline: acc=0.000
first_three_letters | dummy6_twoknob_c0_u0: acc=0.000
first_three_letters | dummy6_twoknob_c0_u1: acc=0.000
first_three_letters | dummy6_twoknob_c0_u2: acc=0.007
first_three_letters | dummy6_twoknob_c0_u4: acc=0.027
first_three_letters | dummy6_twoknob_c0_u8: acc=0.060
first_three_letters | dummy6_twoknob_c1_u0: acc=0.000
first_three_letters | dummy6_twoknob_c1_u1: acc=0.000
first_three_letters | dummy6_twoknob_c1_u2: acc=0.147
first_three_letters | dummy6_twoknob_c1_u4: acc=0.300
first_three_letters | dummy6_twoknob_c1_u8: acc=0.260
first_three_letters | dummy6_twoknob_c2_u0: acc=0.000
first_three_letters | dummy6_twoknob_c2_u1: acc=0.033
first_three_letters | dummy6_twoknob_c2_u2: acc=0.153
first_three_letters | dummy6_twoknob_c2_u4: acc=0.373
first_three_letters | dummy6_twoknob_c2_u8: acc=0.340
first_three_letters | dummy6_twoknob_c4_u0: acc=0.013
first_three_letters | dummy6_twoknob_c4_u1: acc=0.093
first_three_letters | dummy6_twoknob_c4_u2: acc=0.287
first_three_letters | dummy6_twoknob_c4_u4: acc=0.380
first_three_letters | dummy6_twoknob_c4_u8: acc=0.413
first_three_letters | dummy6_twoknob_c8_u0: acc=0.020
first_three_letters | dummy6_twoknob_c8_u1: acc=0.027
first_three_letters | dummy6_twoknob_c8_u2: acc=0.073
first_three_letters | dummy6_twoknob_c8_u4: acc=0.260
first_three_letters | dummy6_twoknob_c8_u8: acc=0.367
french_noun_gender | dummy6_baseline: acc=0.000
french_noun_gender | dummy6_twoknob_c0_u0: acc=0.000
french_noun_gender | dummy6_twoknob_c0_u1: acc=0.000
french_noun_gender | dummy6_twoknob_c0_u2: acc=0.067
french_noun_gender | dummy6_twoknob_c0_u4: acc=0.100
french_noun_gender | dummy6_twoknob_c0_u8: acc=0.027
french_noun_gender | dummy6_twoknob_c1_u0: acc=0.000
french_noun_gender | dummy6_twoknob_c1_u1: acc=0.013
french_noun_gender | dummy6_twoknob_c1_u2: acc=0.247
french_noun_gender | dummy6_twoknob_c1_u4: acc=0.333
french_noun_gender | dummy6_twoknob_c1_u8: acc=0.027
french_noun_gender | dummy6_twoknob_c2_u0: acc=0.000
french_noun_gender | dummy6_twoknob_c2_u1: acc=0.000
french_noun_gender | dummy6_twoknob_c2_u2: acc=0.280
french_noun_gender | dummy6_twoknob_c2_u4: acc=0.373
french_noun_gender | dummy6_twoknob_c2_u8: acc=0.120
french_noun_gender | dummy6_twoknob_c4_u0: acc=0.000
french_noun_gender | dummy6_twoknob_c4_u1: acc=0.000
french_noun_gender | dummy6_twoknob_c4_u2: acc=0.287
french_noun_gender | dummy6_twoknob_c4_u4: acc=0.453
french_noun_gender | dummy6_twoknob_c4_u8: acc=0.313
french_noun_gender | dummy6_twoknob_c8_u0: acc=0.000
french_noun_gender | dummy6_twoknob_c8_u1: acc=0.000
french_noun_gender | dummy6_twoknob_c8_u2: acc=0.000
french_noun_gender | dummy6_twoknob_c8_u4: acc=0.200
french_noun_gender | dummy6_twoknob_c8_u8: acc=0.360
german_noun_gender | dummy6_baseline: acc=0.000
german_noun_gender | dummy6_twoknob_c0_u0: acc=0.000
german_noun_gender | dummy6_twoknob_c0_u1: acc=0.000
german_noun_gender | dummy6_twoknob_c0_u2: acc=0.007
german_noun_gender | dummy6_twoknob_c0_u4: acc=0.093
german_noun_gender | dummy6_twoknob_c0_u8: acc=0.047
german_noun_gender | dummy6_twoknob_c1_u0: acc=0.000
german_noun_gender | dummy6_twoknob_c1_u1: acc=0.000
german_noun_gender | dummy6_twoknob_c1_u2: acc=0.020
german_noun_gender | dummy6_twoknob_c1_u4: acc=0.193
german_noun_gender | dummy6_twoknob_c1_u8: acc=0.120
german_noun_gender | dummy6_twoknob_c2_u0: acc=0.000
german_noun_gender | dummy6_twoknob_c2_u1: acc=0.000
german_noun_gender | dummy6_twoknob_c2_u2: acc=0.033
german_noun_gender | dummy6_twoknob_c2_u4: acc=0.253
german_noun_gender | dummy6_twoknob_c2_u8: acc=0.160
german_noun_gender | dummy6_twoknob_c4_u0: acc=0.000
german_noun_gender | dummy6_twoknob_c4_u1: acc=0.000
german_noun_gender | dummy6_twoknob_c4_u2: acc=0.013
german_noun_gender | dummy6_twoknob_c4_u4: acc=0.233
german_noun_gender | dummy6_twoknob_c4_u8: acc=0.207
german_noun_gender | dummy6_twoknob_c8_u0: acc=0.000
german_noun_gender | dummy6_twoknob_c8_u1: acc=0.000
german_noun_gender | dummy6_twoknob_c8_u2: acc=0.000
german_noun_gender | dummy6_twoknob_c8_u4: acc=0.053
german_noun_gender | dummy6_twoknob_c8_u8: acc=0.247
gerund_to_past | dummy6_baseline: acc=0.000
gerund_to_past | dummy6_twoknob_c0_u0: acc=0.000
gerund_to_past | dummy6_twoknob_c0_u1: acc=0.000
gerund_to_past | dummy6_twoknob_c0_u2: acc=0.007
gerund_to_past | dummy6_twoknob_c0_u4: acc=0.087
gerund_to_past | dummy6_twoknob_c0_u8: acc=0.287
gerund_to_past | dummy6_twoknob_c1_u0: acc=0.000
gerund_to_past | dummy6_twoknob_c1_u1: acc=0.000
gerund_to_past | dummy6_twoknob_c1_u2: acc=0.147
gerund_to_past | dummy6_twoknob_c1_u4: acc=0.467
gerund_to_past | dummy6_twoknob_c1_u8: acc=0.433
gerund_to_past | dummy6_twoknob_c2_u0: acc=0.000
gerund_to_past | dummy6_twoknob_c2_u1: acc=0.047
gerund_to_past | dummy6_twoknob_c2_u2: acc=0.487
gerund_to_past | dummy6_twoknob_c2_u4: acc=0.727
gerund_to_past | dummy6_twoknob_c2_u8: acc=0.627
gerund_to_past | dummy6_twoknob_c4_u0: acc=0.000
gerund_to_past | dummy6_twoknob_c4_u1: acc=0.133
gerund_to_past | dummy6_twoknob_c4_u2: acc=0.520
gerund_to_past | dummy6_twoknob_c4_u4: acc=0.727
gerund_to_past | dummy6_twoknob_c4_u8: acc=0.713
gerund_to_past | dummy6_twoknob_c8_u0: acc=0.007
gerund_to_past | dummy6_twoknob_c8_u1: acc=0.020
gerund_to_past | dummy6_twoknob_c8_u2: acc=0.047
gerund_to_past | dummy6_twoknob_c8_u4: acc=0.340
gerund_to_past | dummy6_twoknob_c8_u8: acc=0.647
initials_two_words | dummy6_baseline: acc=0.000
initials_two_words | dummy6_twoknob_c0_u0: acc=0.000
initials_two_words | dummy6_twoknob_c0_u1: acc=0.000
initials_two_words | dummy6_twoknob_c0_u2: acc=0.000
initials_two_words | dummy6_twoknob_c0_u4: acc=0.000
initials_two_words | dummy6_twoknob_c0_u8: acc=0.007
initials_two_words | dummy6_twoknob_c1_u0: acc=0.000
initials_two_words | dummy6_twoknob_c1_u1: acc=0.000
initials_two_words | dummy6_twoknob_c1_u2: acc=0.460
initials_two_words | dummy6_twoknob_c1_u4: acc=0.580
initials_two_words | dummy6_twoknob_c1_u8: acc=0.227
initials_two_words | dummy6_twoknob_c2_u0: acc=0.000
initials_two_words | dummy6_twoknob_c2_u1: acc=0.007
initials_two_words | dummy6_twoknob_c2_u2: acc=0.607
initials_two_words | dummy6_twoknob_c2_u4: acc=0.753
initials_two_words | dummy6_twoknob_c2_u8: acc=0.680
initials_two_words | dummy6_twoknob_c4_u0: acc=0.000
initials_two_words | dummy6_twoknob_c4_u1: acc=0.040
initials_two_words | dummy6_twoknob_c4_u2: acc=0.347
