task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
english-french,train,0.0,0.02656,0.05269,0.06725,0.05055,0.0,-0.00713,-0.03587,-0.02425,-0.04448,0.0,6.98972,21.18633,31.78399,24.21602,0.0,-0.94365,-0.05229,9.60774,1.14349
english-german,train,0.0,0.01933,0.02979,0.03747,0.02401,0.0,-0.00332,-0.06612,-0.06518,-0.0822,0.0,4.82564,12.70572,20.49729,15.96342,0.0,-0.53207,-10.35294,-4.50728,-9.95827
english-italian,train,0.0,0.01432,0.03194,0.03836,0.03112,0.0,-0.03602,-0.09433,-0.09685,-0.10058,0.0,3.41191,13.94582,19.62901,15.15604,0.0,-8.93649,-17.11612,-13.93539,-17.42082
english-portuguese,train,0.0,0.01868,0.05168,0.06131,0.04657,0.0,-0.02951,-0.04592,-0.04018,-0.05734,0.0,5.10002,21.90688,29.06899,21.78889,0.0,-6.6873,-2.32875,3.61831,-4.21368
english-spanish,train,0.0,0.02539,0.04887,0.06327,0.04948,0.0,-0.00937,-0.04155,-0.03248,-0.04823,0.0,6.38317,19.5518,29.54776,23.28346,0.0,-1.91943,-2.4391,5.95737,-0.7144
first_digit,train,0.0,0.01327,0.03632,0.0619,0.07182,0.0,0.01187,0.03166,0.04089,0.04442,0.0,4.82586,10.67689,16.75542,20.97294,0.0,4.82265,9.96359,12.14461,15.0322
first_letter_second_word,heldout,0.0,0.02091,0.04935,0.06805,0.0697,0.0,0.00302,-0.00517,-0.00647,0.00719,0.0,5.06855,10.04726,11.01184,11.55956,0.0,0.78438,-3.2422,-7.20553,-3.84554
first_three_letters,train,0.0,0.02437,0.05959,0.08278,0.08569,0.0,-0.00026,-0.01285,-0.00364,-0.00452,0.0,5.63049,11.93365,18.03585,18.78135,0.0,-0.16624,-5.24862,-2.30658,-2.48587
first_two_letters,train,0.0,0.01748,0.03791,0.05821,0.06754,0.0,-0.01362,-0.04673,-0.04683,-0.03696,0.0,3.87704,8.16497,12.63407,14.02477,0.0,-3.45425,-11.74207,-12.03663,-10.5499
first_vowel,train,0.0,0.01227,0.01987,0.03015,0.04816,0.0,-0.00913,-0.03323,-0.04234,-0.01188,0.0,1.77488,2.01299,4.47044,8.4826,0.0,-3.61851,-11.10447,-13.14371,-6.22333
french-english,heldout,0.0,0.05616,0.11865,0.12649,0.12348,0.0,0.04888,0.0982,0.10095,0.09593,0.0,18.32552,45.02415,52.87167,52.47581,0.0,16.74653,40.31944,46.84661,45.8952
french_noun_gender,heldout,0.0,0.06897,0.121,0.16307,0.16518,0.0,0.03043,0.03127,0.05213,0.07513,0.0,14.69756,33.18851,48.17423,45.48001,0.0,4.79311,11.52078,21.37203,23.92251
german-english,train,0.0,0.06401,0.12654,0.13551,0.13168,0.0,0.05856,0.10739,0.11077,0.10502,0.0,20.26067,46.02435,53.23575,52.64415,0.0,19.1444,41.59877,47.3177,46.21184
german_noun_gender,train,0.0,0.04234,0.09878,0.11201,0.11381,0.0,0.02078,0.03902,0.03135,0.05607,0.0,8.89737,21.44414,25.54649,21.71073,0.0,3.50839,6.94243,6.08972,7.56418
gerund_to_base,train,0.0,0.02929,0.10765,0.14656,0.13564,0.0,0.01899,0.07291,0.09552,0.08382,0.0,7.34512,28.22668,48.19813,46.2317,0.0,4.9251,20.08517,36.4118,34.25729
gerund_to_past,train,0.0,0.04169,0.12372,0.14217,0.12619,0.0,0.02029,0.07611,0.08355,0.07651,0.0,9.29018,30.81293,43.52727,37.08414,0.0,4.12065,19.55499,29.81081,25.54952
halve_even_number,train,0.0,0.00063,0.02158,0.0453,0.04022,0.0,0.00151,0.01412,0.01915,0.00493,0.0,0.23985,-0.09702,1.19391,3.96136,0.0,0.47004,-3.01257,-6.56871,-5.23174
hypernym_category,train,0.0,0.05273,0.11212,0.12234,0.1017,0.0,0.02749,0.06967,0.07422,0.05527,0.0,15.57159,36.6933,46.36775,40.17773,0.0,9.27052,25.74469,33.49133,27.77641
initials_two_words,train,0.0,0.02929,0.08814,0.11484,0.09817,0.0,0.00581,0.01898,0.02005,0.00312,0.0,7.22547,19.041,25.59042,20.83338,0.0,1.60545,2.05927,2.54236,-2.28131
iso_date_to_month,train,0.0,0.05073,0.12726,0.15018,0.14008,0.0,0.01623,0.08807,0.10862,0.10567,0.0,8.73279,22.89095,31.57195,32.05166,0.0,0.26284,13.20017,21.4669,23.72873
iso_date_year_plus_one,train,0.0,0.01768,0.06637,0.14177,0.13674,0.0,0.01732,0.04952,0.11111,0.1241,0.0,4.18855,12.00957,30.50962,29.03136,0.0,4.11785,7.14101,22.5452,25.24892
landmark-country,train,0.0,0.00533,0.0342,0.0518,0.04377,0.0,-0.0206,-0.00798,0.00742,0.00447,0.0,2.74147,12.0575,17.13934,13.51645,0.0,-3.70102,1.43378,5.94336,3.70742
language_identification,train,0.0,0.0573,0.11797,0.15415,0.14873,0.0,0.04098,0.07387,0.07666,0.07211,0.0,14.8512,33.39743,46.95625,44.0873,0.0,11.12289,23.12527,28.26231,25.68433
larger_of_pair,train,0.0,-0.00355,0.02384,0.08623,0.09931,0.0,0.00094,0.03437,0.07413,0.07694,0.0,0.28637,3.75048,14.90098,19.4034,0.0,1.58121,5.95297,11.26958,13.52637
larger_than_1000,train,0.0,0.03431,0.07905,0.12521,0.12308,0.0,0.02087,0.03999,0.05354,0.0374,0.0,7.37462,19.34054,33.95995,35.56657,0.0,4.0507,10.31863,17.56926,15.90205
largest_digit,heldout,0.0,0.02325,0.05593,0.08437,0.09093,0.0,0.01294,0.03245,0.03868,0.04619,0.0,6.01107,13.45287,19.51144,23.87723,0.0,3.65932,7.94151,8.70058,13.44601
last_digit,heldout,0.0,0.01877,0.05038,0.07725,0.08645,0.0,0.01162,0.03184,0.03646,0.04283,0.0,5.07855,11.52699,16.54636,20.83643,0.0,3.53108,7.16124,6.88567,10.69057
last_two_letters,heldout,0.0,-0.00196,-0.01998,-0.04614,-0.04063,0.0,-0.03104,-0.09802,-0.15825,-0.14763,0.0,-1.68988,-7.39825,-13.19044,-11.3271,0.0,-8.86455,-26.19678,-39.79563,-36.69366
last_vowel,train,0.0,0.00402,0.00456,0.01242,0.02974,0.0,-0.02298,-0.05793,-0.07516,-0.04851,0.0,0.43393,-0.61608,0.60397,3.94431,0.0,-6.04127,-15.55836,-20.15382,-14.70738
lowercase_first_letter,train,0.0,0.02463,0.0533,0.0906,0.0975,0.0,0.00166,0.00156,0.02692,0.03659,0.0,6.02657,12.71561,20.79943,21.37365,0.0,0.59363,0.38013,5.49727,6.58235
lowercase_last_letter,train,0.0,0.0102,0.01461,0.02779,0.04311,0.0,-0.01448,-0.04387,-0.05342,-0.0294,0.0,1.90662,2.18198,4.04134,7.64455,0.0,-4.16036,-12.08363,-15.72895,-10.05876
lowercase_word,train,0.0,0.02174,0.07192,0.11633,0.11922,0.0,0.01833,0.06511,0.10726,0.11007,0.0,6.1238,20.21545,36.5325,38.03596,0.0,5.54813,19.20805,35.69141,37.27043
national_parks,train,0.0,-0.00093,0.01697,0.03856,0.0366,0.0,-0.01951,-0.02445,-0.01518,-0.01827,0.0,1.75827,6.02356,14.27723,12.2217,0.0,-2.97636,-4.4996,0.33258,-1.84466
nato_first_letter,train,0.0,0.03058,0.06228,-0.03109,-0.03094,0.0,0.01125,-0.09628,-0.27688,-0.26828,0.0,7.3774,26.79634,30.91047,30.57676,0.0,2.91971,-10.5046,-36.38603,-33.49664
natural_manmade,heldout,0.0,0.03556,0.09666,0.14006,0.14163,0.0,0.01456,0.05253,0.08243,0.08539,0.0,9.74054,26.57327,40.85091,40.60126,0.0,4.67905,15.84865,26.78039,26.88744
next_in_group,heldout,0.0,-0.0161,-0.01426,-0.00586,0.00975,0.0,-0.04325,-0.11088,-0.12064,-0.088,0.0,-1.81319,0.34775,3.93913,6.36855,0.0,-8.23202,-24.04063,-25.29402,-18.31712
next_in_period,train,0.0,-0.02671,-0.02778,-0.00488,0.00964,0.0,-0.05024,-0.10076,-0.08796,-0.06458,0.0,-4.47805,-4.85159,1.08371,4.39164,0.0,-10.03667,-23.23645,-19.84644,-14.24708
next_item,train,0.0,-0.00408,-0.00563,-0.00309,0.00654,0.0,-0.01499,-0.02717,-0.02854,-0.01434,0.0,-0.20426,0.74209,3.59357,6.68477,0.0,-2.56446,-3.7816,-1.38988,2.95216
next_month_of_date,train,0.0,0.04434,0.11868,0.13877,0.13448,0.0,0.02787,0.09026,0.11287,0.12021,0.0,9.60334,24.80482,31.54215,28.55164,0.0,5.58344,17.76383,25.30247,24.73997
next_number_digits,train,0.0,0.01321,0.04881,0.09958,0.10666,0.0,0.00718,0.02173,0.04878,0.05239,0.0,2.15235,8.94079,19.93018,23.69848,0.0,0.46033,2.02403,7.52919,10.82807
number_word_to_digits,heldout,0.0,0.00181,0.02435,0.06415,0.07694,0.0,-0.00344,0.00023,0.02695,0.03972,0.0,-0.096,1.46902,5.92113,8.27232,0.0,-1.52647,-5.35099,-4.69987,-2.43192
park-country,heldout,0.0,-0.00753,0.00118,0.01158,-0.001,0.0,-0.0269,-0.02502,-0.01447,-0.02574,0.0,2.19157,6.06931,9.14996,2.67593,0.0,-2.72708,-0.67684,2.42863,-3.52853
past_to_base,heldout,0.0,0.03167,0.10858,0.15493,0.14072,0.0,0.02287,0.07869,0.10128,0.08766,0.0,8.85148,29.07214,50.31299,48.45586,0.0,7.04755,22.49061,38.425,36.78638
person-instrument,train,0.0,0.04706,0.0934,0.08814,0.08487,0.0,0.02204,0.04312,0.03373,0.03259,0.0,11.56057,24.94176,26.43962,24.43316,0.0,5.55871,12.82798,13.28075,11.81912
person-sport,heldout,0.0,0.05122,0.11046,0.11441,0.10784,0.0,0.01214,0.04515,0.03878,0.03629,0.0,13.65242,32.36143,37.147,33.8045,0.0,4.20876,16.3633,18.33516,16.13459
person_place_thing,train,0.0,0.06716,0.11655,0.14313,0.14012,0.0,0.04134,0.06535,0.07433,0.07122,0.0,17.08292,35.08893,48.7594,46.55647,0.0,10.81996,22.69955,31.73592,29.52441
plural_to_singular,train,0.0,0.03695,0.11621,0.1354,0.1229,0.0,0.02824,0.09486,0.10437,0.09501,0.0,9.5827,31.75262,45.6219,43.04556,0.0,7.57827,26.97041,39.15417,37.47358
pos_label,train,0.0,0.04896,0.06677,0.10749,0.12921,0.0,0.0176,-0.00012,0.02544,0.05487,0.0,12.64161,24.90328,39.76987,41.72716,0.0,5.28846,9.47729,20.59753,24.45151
present-past,train,0.0,0.03889,0.11035,0.1339,0.11699,0.0,0.02282,0.07886,0.09239,0.08492,0.0,9.33456,29.52641,44.16774,37.78716,0.0,5.43651,22.00624,34.27142,30.31195
prev_item,train,0.0,-0.00169,0.00133,0.02104,0.0324,0.0,-0.01132,-0.01588,0.00449,0.01932,0.0,0.7289,2.08434,7.63185,11.48776,0.0,-1.2398,-1.50132,4.40935,9.31827
prev_number_digits,train,0.0,0.01367,0.05739,0.09693,0.10054,0.0,0.01104,0.03785,0.04903,0.05058,0.0,2.13062,8.76495,17.84102,21.72272,0.0,1.28025,3.40932,6.19581,9.88569
product-company,heldout,0.0,0.00992,0.02803,0.02905,0.03114,0.0,-0.00766,-0.02973,-0.03376,-0.02337,0.0,3.62109,12.17817,14.75291,13.77789,0.0,-0.68945,-2.39439,-1.22594,0.01557
remove_first_letter,train,0.0,0.0127,0.00265,-0.03065,-0.0204,0.0,-0.0127,-0.06697,-0.13193,-0.11802,0.0,1.83326,-2.49769,-8.44851,-5.19341,0.0,-4.40221,-19.1802,-32.4109,-28.27544
remove_last_letter,train,0.0,0.01482,0.04091,0.08228,0.09787,0.0,-0.013,-0.03486,-0.02608,-0.00748,0.0,2.37311,3.42036,10.54263,15.77858,0.0,-4.35961,-14.69773,-14.75582,-8.83249
round_up_to_ten,train,0.0,0.01636,0.05312,0.09434,0.1087,0.0,0.00933,0.03842,0.06036,0.0814,0.0,4.41087,10.39507,18.90035,22.8516,0.0,2.88412,6.25967,10.03906,15.67152
second_digit,train,0.0,0.01514,0.04515,0.07505,0.08718,0.0,0.00833,0.02662,0.03555,0.04353,0.0,4.4958,10.75928,16.24577,21.15522,0.0,3.02493,6.4619,6.99844,11.01581
sentiment,train,0.0,0.04423,0.09658,0.14054,0.1385,0.0,0.02018,0.04136,0.06615,0.06443,0.0,8.87099,23.25345,38.05455,35.00298,0.0,3.41505,11.0993,21.65549,18.64365
singular-plural,heldout,0.0,0.03183,0.10995,0.14315,0.13992,0.0,0.01375,0.07649,0.102,0.10491,0.0,8.9565,27.51758,39.80243,38.07344,0.0,4.58955,19.26314,29.81072,29.58427
singular_or_plural,train,0.0,0.04268,0.1086,0.16625,0.16822,0.0,0.01877,0.05362,0.08761,0.09269,0.0,10.78384,32.19419,50.92731,48.01478,0.0,5.15079,19.15578,31.97691,29.94703
smaller_of_pair,train,0.0,-0.00335,0.02225,0.0823,0.09191,0.0,0.00126,0.03265,0.072,0.0715,0.0,0.48048,3.8591,13.87093,18.1095,0.0,1.82365,6.11529,10.67198,12.75414
spanish-english,train,0.0,0.05891,0.13276,0.14323,0.1371,0.0,0.05137,0.11066,0.11549,0.10767,0.0,18.56583,48.39144,58.29946,56.88396,0.0,16.85738,43.07199,51.41667,49.5246
spanish_noun_gender,train,0.0,0.07257,0.12361,0.17236,0.17991,0.0,0.03238,0.03217,0.06512,0.08799,0.0,16.15205,35.01941,50.02505,47.73584,0.0,6.06172,12.95409,24.01951,25.51833
starts_with_vowel,heldout,0.0,0.02368,0.06432,0.10889,0.12073,0.0,0.00531,0.02262,0.05083,0.06422,0.0,4.905,14.42287,28.25425,31.46415,0.0,0.33942,4.38845,15.08276,18.74269
strip_prefix,train,0.0,0.02442,0.05262,0.04364,0.06367,0.0,0.01575,0.02622,0.0054,0.02781,0.0,6.91699,16.41927,20.34877,29.86858,0.0,4.86851,10.08515,10.99732,21.11791
synonym,train,0.0,0.0228,0.07304,0.08714,0.08228,0.0,0.01426,0.04588,0.05496,0.04889,0.0,8.56017,30.31906,40.56963,39.4288,0.0,6.5351,23.48492,32.2511,30.76079
third_person_to_base,train,0.0,0.02697,0.09858,0.14774,0.13842,0.0,0.01905,0.07303,0.10802,0.09871,0.0,6.76292,24.58096,44.43335,43.01695,0.0,4.9131,18.57497,35.2968,33.92345
times_five,train,0.0,0.00492,0.03003,0.03211,0.0366,0.0,0.01115,0.03521,0.00814,0.0017,0.0,0.10337,0.45786,-0.74776,4.29079,0.0,1.27271,-0.16913,-8.19588,-4.83138
titlecase_phrase,train,0.0,0.01354,0.04407,0.1034,0.11768,0.0,0.00822,0.03023,0.06335,0.07163,0.0,3.98151,13.04762,33.77231,38.41882,0.0,2.75119,9.82426,24.03061,27.11987
uppercase_word,train,0.0,0.02416,0.08203,0.13644,0.13372,0.0,0.00667,0.02483,0.03878,0.02657,0.0,6.27317,19.6281,37.60103,38.54332,0.0,2.31029,6.21648,14.8031,13.39431
us-city-state,train,0.0,0.01977,0.06351,0.08337,0.07262,0.0,0.00248,0.02836,0.04215,0.03246,0.0,6.84081,22.00684,29.43385,24.10737,0.0,2.56258,13.04686,18.76038,13.80885
verb_to_third_person,heldout,0.0,0.02705,0.09616,0.12817,0.1214,0.0,0.0072,0.05626,0.06844,0.06637,0.0,6.54815,23.19755,33.20171,31.18466,0.0,1.78078,13.64427,18.91561,18.01841
word_polarity,train,0.0,0.04728,0.10341,0.14741,0.14931,0.0,0.02585,0.05582,0.0826,0.08924,0.0,12.67399,24.06317,35.91839,35.2512,0.0,7.61017,12.49516,20.20213,20.65701
