task,group,dummy1_unsteered,real_1shot,dummy1_fullmean_a0.5,dummy1_fullmean_a1.0,dummy1_fullmean_a2.0,dummy1_fullmean_a4.0,dummy1_swap1_a0.0,dummy1_swap1_a0.5,dummy1_swap1_a1.0,dummy1_swap1_a2.0,dummy1_swap1_a4.0,dummy1_swap1_a8.0,dummy1_swap1_a16.0,dummy1_swap1_a32.0,dummy1_swap1_a48.0,dummy1_swap1_a64.0
next_item,train,0.046276,0.066469,0.052333,0.05431,0.043252,0.036148,0.042896,0.043879,0.044913,0.047055,0.051286,0.05612,0.056938,0.063925,0.074125,0.08196
next_month_of_date,train,0.025825,0.071205,0.0421,0.046999,0.030874,0.018949,0.025256,0.025893,0.026618,0.028455,0.034629,0.054809,0.061407,0.035389,0.025144,0.01901
next_number_digits,train,0.040584,0.057389,0.043806,0.037667,0.024214,0.020575,0.040157,0.040416,0.040632,0.040952,0.040968,0.035085,0.025369,0.021752,0.021199,0.021416
number_word_to_digits,train,0.038206,0.076489,0.101398,0.101421,0.070826,0.02852,0.038595,0.040512,0.042881,0.049485,0.074395,0.08018,0.05089,0.046166,0.042198,0.039823
park-country,train,0.03981,0.072829,0.035894,0.037809,0.02677,0.016483,0.041572,0.040842,0.040045,0.038303,0.034678,0.035906,0.061075,0.03147,0.018159,0.015179
past_to_base,heldout,0.03924,0.064461,0.054157,0.057983,0.048464,0.042951,0.039284,0.039273,0.039242,0.039141,0.038954,0.036808,0.028979,0.024524,0.024632,0.026174
person-instrument,train,0.046892,0.058299,0.046471,0.040598,0.027574,0.020506,0.047055,0.047015,0.046876,0.046311,0.044125,0.040793,0.034898,0.02802,0.027485,0.028309
person-sport,train,0.055302,0.067455,0.050552,0.04844,0.034962,0.01949,0.056452,0.055856,0.055313,0.054275,0.051731,0.039702,0.038489,0.038424,0.032465,0.025844
person_place_thing,heldout,0.039305,0.040164,0.041299,0.039162,0.030121,0.023417,0.040576,0.039356,0.038085,0.035499,0.03083,0.027242,0.037323,0.030173,0.024636,0.021585
plural_to_singular,train,0.033881,0.059823,0.049931,0.057784,0.051265,0.045042,0.034909,0.035487,0.036123,0.037455,0.040017,0.041806,0.034022,0.031322,0.035196,0.038807
pos_label,heldout,0.032752,0.070776,0.032973,0.034326,0.027356,0.019338,0.032308,0.03181,0.03128,0.030262,0.029023,0.03185,0.043397,0.040442,0.038507,0.038976
present-past,train,0.036215,0.080659,0.051889,0.054081,0.043069,0.039657,0.03748,0.037956,0.038453,0.039569,0.042741,0.052614,0.048487,0.040863,0.041501,0.044325
prev_number_digits,train,0.04156,0.054202,0.052318,0.04848,0.032776,0.024765,0.04143,0.041633,0.041747,0.04167,0.039988,0.0321,0.022218,0.024897,0.027335,0.028364
product-company,train,0.0339,0.045694,0.029514,0.026915,0.026507,0.025089,0.032857,0.033165,0.033491,0.034143,0.035004,0.033337,0.036759,0.035048,0.034066,0.035407
sentiment,train,0.032077,0.08799,0.044568,0.062555,0.057136,0.037863,0.032118,0.032063,0.032035,0.032105,0.032674,0.036904,0.047143,0.047549,0.043291,0.039476
singular-plural,train,0.048685,0.065873,0.07973,0.07517,0.053113,0.040597,0.054727,0.056934,0.059173,0.063773,0.071136,0.068438,0.049014,0.029794,0.027025,0.024992
singular_or_plural,train,0.031036,0.11103,0.036704,0.035798,0.029767,0.02647,0.031413,0.031799,0.032199,0.033119,0.035846,0.047464,0.082216,0.099281,0.102274,0.102591
smaller_of_pair,heldout,0.043126,0.057617,0.053916,0.04716,0.035064,0.028995,0.043218,0.043108,0.042913,0.042179,0.039746,0.03479,0.019421,0.010872,0.008776,0.008195
spanish-english,heldout,0.042614,0.037275,0.040539,0.045011,0.043826,0.040894,0.042328,0.041911,0.041333,0.03941,0.032557,0.024914,0.02587,0.027984,0.029664,0.032309
spanish_noun_gender,train,0.040813,0.06206,0.04371,0.040639,0.029422,0.021486,0.040902,0.040944,0.040951,0.040968,0.04169,0.045177,0.049417,0.04389,0.039543,0.037948
starts_with_vowel,train,0.034847,0.077684,0.036568,0.031957,0.025513,0.020952,0.03494,0.035269,0.035568,0.03606,0.03676,0.039193,0.046126,0.045982,0.041277,0.039543
third_person_to_base,train,0.03416,0.059517,0.048322,0.054357,0.047324,0.042969,0.034164,0.034226,0.034331,0.034609,0.035416,0.034823,0.026179,0.024761,0.027269,0.030199
titlecase_phrase,train,0.032048,0.034714,0.047342,0.042146,0.021984,0.014978,0.032867,0.03323,0.033596,0.034415,0.036675,0.042418,0.033104,0.013372,0.011054,0.01061
uppercase_word,heldout,0.032372,0.049568,0.05436,0.058882,0.043852,0.035878,0.034091,0.034716,0.035361,0.036788,0.040951,0.049389,0.032926,0.015312,0.011157,0.010495
us-city-state,train,0.052021,0.069955,0.050837,0.038764,0.020841,0.013748,0.05138,0.051879,0.052471,0.053738,0.054658,0.050025,0.046485,0.020294,0.012186,0.010801
verb_tense_label,train,0.031019,0.075904,0.029838,0.031947,0.029506,0.02617,0.031029,0.030988,0.030982,0.0311,0.032149,0.040445,0.059379,0.058758,0.060185,0.065724
verb_to_third_person,train,0.032713,0.067164,0.050372,0.056596,0.046662,0.040816,0.035642,0.03666,0.037845,0.040564,0.044816,0.047486,0.046352,0.042921,0.041559,0.041839
word_polarity,heldout,0.043728,0.075329,0.052426,0.055062,0.043372,0.035284,0.043651,0.043253,0.042911,0.04246,0.042717,0.048491,0.052635,0.045062,0.039732,0.037712
