layer,position,r2_heldout_mean,r2_train_mean,best_alpha,alpha_pinned
4,d1_pre,-0.0389,0.2434,31622.776601683792,False
4,d1_first,0.3565,0.7589,31622.776601683792,False
4,d1_last,0.4559,0.8914,10000.0,False
4,d2_pre,0.3021,0.7941,1000.0,False
4,d2_first,0.4365,0.8538,10000.0,False
4,d2_last,0.4857,0.9004,10000.0,False
4,d3_pre,0.3938,0.8403,1000.0,False
4,d3_first,0.4584,0.8596,10000.0,False
4,d3_last,0.4987,0.902,10000.0,False
4,d4_pre,0.4397,0.863,1000.0,False
4,d4_first,0.4667,0.8673,10000.0,False
4,d4_last,0.5021,0.9051,10000.0,False
4,d5_pre,0.4658,0.8776,1000.0,False
4,d5_first,0.4776,0.8713,10000.0,False
4,d5_last,0.5104,0.9074,10000.0,False
4,d6_pre,0.4813,0.8889,1000.0,False
4,d6_first,0.4889,0.8745,10000.0,False
4,d6_last,0.519,0.9087,10000.0,False
4,d7_pre,0.4936,0.8964,1000.0,False
4,d7_first,0.4874,0.8775,10000.0,False
4,d7_last,0.5169,0.9089,10000.0,False
4,d8_pre,0.5126,0.9228,316.2277660168379,False
4,d8_first,0.4878,0.8816,10000.0,False
4,d8_last,0.5181,0.9122,10000.0,False
4,d9_pre,0.5192,0.9268,316.2277660168379,False
4,d9_first,0.4958,0.8825,10000.0,False
4,d9_last,0.5255,0.9123,10000.0,False
4,d10_pre,0.5249,0.9291,316.2277660168379,False
4,d10_first,0.4943,0.882,10000.0,False
4,d10_last,0.5235,0.9114,10000.0,False
4,query_cue,0.4898,0.897,316.2277660168379,False
5,d1_pre,-0.0436,0.2754,31622.776601683792,False
5,d1_first,0.3755,0.7832,31622.776601683792,False
5,d1_last,0.4712,0.9034,10000.0,False
5,d2_pre,0.3366,0.8296,1000.0,False
5,d2_first,0.4602,0.873,10000.0,False
5,d2_last,0.5026,0.9123,10000.0,False
5,d3_pre,0.4219,0.8677,1000.0,False
5,d3_first,0.4842,0.8806,10000.0,False
5,d3_last,0.5182,0.9152,10000.0,False
5,d4_pre,0.4649,0.8865,1000.0,False
5,d4_first,0.4922,0.8884,10000.0,False
5,d4_last,0.5215,0.9183,10000.0,False
5,d5_pre,0.4904,0.8988,1000.0,False
5,d5_first,0.5052,0.8923,10000.0,False
5,d5_last,0.5316,0.9206,10000.0,False
5,d6_pre,0.5022,0.9085,1000.0,False
5,d6_first,0.5138,0.8954,10000.0,False
5,d6_last,0.5404,0.9219,10000.0,False
5,d7_pre,0.5241,0.929,316.2277660168379,False
5,d7_first,0.5132,0.8985,10000.0,False
5,d7_last,0.538,0.9223,10000.0,False
5,d8_pre,0.5296,0.9331,316.2277660168379,False
5,d8_first,0.5155,0.9018,10000.0,False
5,d8_last,0.5387,0.9247,10000.0,False
5,d9_pre,0.5341,0.9363,316.2277660168379,False
5,d9_first,0.5225,0.9032,10000.0,False
