task,group,zero_shot,real_6shot,own_zero_L9to27,own_mean_L9to27,cf_zero_L9to27,cf_mean_L9to27,own_zero_L0to27,own_mean_L0to27,cf_zero_L0to27,cf_mean_L0to27,cf_task,family,cf_family,cos_own_cf
gerund_to_base,train,0.0133,0.9667,0.0467,0.9533,0.84,0.9733,0.04,0.9467,0.8,0.9733,sentiment,morphology_linguistic,text_classification,0.5658
gerund_to_past,train,0.0,0.92,0.0533,0.8867,0.54,0.8667,0.0333,0.8667,0.3667,0.8867,contains_letter_e,morphology_linguistic,string_manipulation,0.5576
halve_even_number,train,0.0,0.98,0.0867,0.96,0.8867,0.9667,0.0867,0.9667,0.8867,0.98,capitalize_first_letter,numerical,string_manipulation,0.5836
hypernym_category,train,0.0067,0.6133,0.0,0.48,0.18,0.54,0.0,0.5,0.1733,0.5667,ends_with_ing,world_knowledge,string_manipulation,0.6131
initials_two_words,train,0.0,0.9467,0.0,0.78,0.3067,0.9733,0.0,0.72,0.2933,0.9467,past_to_base,string_manipulation,morphology_linguistic,0.6353
iso_date_to_month,train,0.0,1.0,0.0467,1.0,0.8,0.9933,0.1,1.0,0.8333,1.0,present-past,numerical,morphology_linguistic,0.6086
iso_date_year_plus_one,train,0.0,0.9533,0.4933,0.9533,0.9333,0.9667,0.4733,0.96,0.8733,0.9533,landmark-country,numerical,world_knowledge,0.6109
landmark-country,train,0.0,0.76,0.0133,0.68,0.4333,0.7467,0.0067,0.6933,0.38,0.7067,adjective_to_noun,world_knowledge,morphology_linguistic,0.6559
language_identification,train,0.0,0.98,0.0067,0.96,0.6733,0.98,0.0067,0.9467,0.6,0.9733,german-english,world_knowledge,translation,0.7269
larger_of_pair,train,0.0,0.8133,0.0933,0.8333,0.7933,0.8333,0.1067,0.8067,0.8,0.8133,sentiment,numerical,text_classification,0.5525
larger_than_1000,train,0.0,0.8933,0.0,0.9133,0.7867,0.8867,0.0,0.9,0.8133,0.9,next_in_period,numerical,world_knowledge,0.3906
largest_digit,heldout,0.0,0.5933,0.2867,0.5933,0.5067,0.5733,0.2467,0.5733,0.5533,0.6467,spanish-english,numerical,translation,0.6099
last_digit,heldout,0.0,0.8333,0.1733,0.8133,0.8,0.8533,0.1333,0.8333,0.8333,0.8267,spanish_noun_gender,numerical,morphology_linguistic,0.4883
last_two_letters,heldout,0.0,0.3067,0.0,0.2667,0.1867,0.3133,0.0067,0.26,0.1,0.3667,double_no_carry,string_manipulation,numerical,0.5583
last_vowel,train,0.0,0.4067,0.0,0.3933,0.2333,0.44,0.0,0.3733,0.1867,0.4333,language_identification,string_manipulation,world_knowledge,0.598
lowercase_first_letter,train,0.0,0.98,0.0,0.8667,0.9533,0.9733,0.0,0.8933,0.96,0.9667,count_digits,string_manipulation,numerical,0.607
lowercase_last_letter,train,0.0,0.6467,0.0,0.6,0.4533,0.6667,0.0,0.6,0.5133,0.6533,city-country,string_manipulation,world_knowledge,0.5595
lowercase_word,train,0.0067,0.9933,0.0067,0.9867,0.9867,1.0,0.0067,0.9867,0.9867,0.9933,round_up_to_ten,string_manipulation,numerical,0.6285
national_parks,train,0.0067,0.7933,0.0133,0.7667,0.6333,0.7867,0.0133,0.76,0.6133,0.7667,next_number_digits,world_knowledge,numerical,0.5303
nato_first_letter,train,0.0,0.3667,0.0,0.3667,0.2867,0.34,0.0067,0.3733,0.32,0.3133,sentiment,string_manipulation,text_classification,0.4216
natural_manmade,heldout,0.0,0.9667,0.0,0.7,0.1467,0.9667,0.0133,0.6667,0.2,0.9667,plural_to_singular,world_knowledge,morphology_linguistic,0.6181
next_in_group,heldout,0.0,0.2692,0.0,0.2308,0.1154,0.2692,0.0,0.2692,0.0769,0.1731,first_two_letters,world_knowledge,string_manipulation,0.4925
next_in_period,train,0.0,0.4038,0.0,0.3654,0.3269,0.4423,0.0192,0.3077,0.4231,0.4808,word_polarity,world_knowledge,text_classification,0.4625
next_item,train,0.0,0.8933,0.2,0.8467,0.6267,0.8933,0.2,0.8533,0.6067,0.88,person-sport,numerical,world_knowledge,0.5597
next_month_of_date,train,0.0,0.9667,0.0867,0.9667,0.8067,0.98,0.16,0.9667,0.9133,0.9733,uppercase_word,numerical,string_manipulation,0.5084
next_number_digits,train,0.0067,1.0,0.2133,1.0,0.9867,1.0,0.2067,1.0,0.9733,1.0,person_place_thing,numerical,world_knowledge,0.5528
number_word_to_digits,heldout,0.6267,0.9933,0.28,0.9933,0.9733,0.9933,0.1933,0.9933,0.9667,0.9933,past_to_base,numerical,morphology_linguistic,0.6319
park-country,heldout,0.0,0.76,0.0133,0.7267,0.6467,0.7733,0.04,0.76,0.6267,0.7533,french_noun_gender,world_knowledge,morphology_linguistic,0.5442
past_to_base,heldout,0.0,0.98,0.0467,0.9333,0.76,0.9867,0.0733,0.98,0.78,0.9933,capitalize_first_letter,morphology_linguistic,string_manipulation,0.6987
person-instrument,train,0.0,0.3667,0.0,0.18,0.12,0.32,0.0,0.18,0.0867,0.2933,article_choice,world_knowledge,morphology_linguistic,0.614
person-sport,heldout,0.0,0.78,0.0067,0.6133,0.32,0.8067,0.0133,0.6467,0.3133,0.82,first_vowel,world_knowledge,string_manipulation,0.542
person_place_thing,train,0.0,0.88,0.0,0.72,0.1867,0.8533,0.0067,0.7067,0.16,0.88,gerund_to_base,world_knowledge,morphology_linguistic,0.6814
plural_to_singular,train,0.0,0.9733,0.1133,0.96,0.5467,0.96,0.0667,0.9533,0.4933,0.98,english-spanish,morphology_linguistic,translation,0.7925
pos_label,train,0.0,0.8533,0.0133,0.8133,0.7,0.8733,0.0067,0.8467,0.64,0.86,last_digit,morphology_linguistic,numerical,0.5497
present-past,train,0.0,0.9733,0.0333,0.9533,0.9667,0.9667,0.0467,0.9267,0.9267,0.9733,round_up_to_ten,morphology_linguistic,numerical,0.5844
prev_item,train,0.0,0.8267,0.1533,0.8,0.7267,0.8133,0.1067,0.7733,0.7067,0.8133,park-country,numerical,world_knowledge,0.6156
prev_number_digits,train,0.0,0.9867,0.12,1.0,0.98,1.0,0.08,1.0,0.98,0.9933,person-instrument,numerical,world_knowledge,0.4978
product-company,heldout,0.0,0.6533,0.0,0.6,0.3867,0.6267,0.0,0.6133,0.4733,0.6333,gerund_to_past,world_knowledge,morphology_linguistic,0.5935
remove_first_letter,train,0.0,0.6133,0.0,0.4533,0.2733,0.4933,0.0,0.4467,0.2533,0.4667,third_person_to_base,string_manipulation,morphology_linguistic,0.742
remove_last_letter,train,0.0,0.56,0.0467,0.5,0.4267,0.4933,0.0133,0.4667,0.4267,0.5467,count_words,string_manipulation,numerical,0.5864
round_up_to_ten,train,0.0,0.8067,0.3867,0.8133,0.8267,0.7533,0.4,0.8133,0.7667,0.7733,french_noun_gender,numerical,morphology_linguistic,0.4311
second_digit,train,0.0,0.5067,0.1733,0.5533,0.48,0.5333,0.1533,0.5733,0.54,0.5933,ag_news,numerical,text_classification,0.5309
sentiment,train,0.0,0.9133,0.0067,0.8267,0.66,0.9467,0.0,0.8133,0.6733,0.9533,next_number_digits,text_classification,numerical,0.4967
singular-plural,heldout,0.0,0.98,0.0133,0.96,0.0467,0.9933,0.0467,0.9467,0.0133,0.9733,compound_first,morphology_linguistic,string_manipulation,0.7411
singular_or_plural,train,0.0,0.96,0.0,0.7733,0.26,0.94,0.0,0.76,0.2867,0.9267,capitalize,morphology_linguistic,string_manipulation,0.6401
smaller_of_pair,train,0.0,0.4667,0.08,0.4733,0.4333,0.5133,0.0733,0.5533,0.4467,0.6333,ends_with_ing,numerical,string_manipulation,0.5673
spanish-english,train,0.0,0.8733,0.0933,0.82,0.08,0.8533,0.1067,0.8267,0.1067,0.82,plural_to_singular,translation,morphology_linguistic,0.8521
spanish_noun_gender,train,0.0,0.9933,0.0,0.8667,0.28,0.9667,0.0,0.8533,0.2867,0.96,english-german,morphology_linguistic,translation,0.5724
starts_with_vowel,heldout,0.0,0.5933,0.0,0.6333,0.5,0.6667,0.0,0.6067,0.4933,0.6467,park-country,string_manipulation,world_knowledge,0.5161
strip_prefix,train,0.0267,0.82,0.08,0.7733,0.2,0.8067,0.0667,0.7533,0.1467,0.8,person-sport,morphology_linguistic,world_knowledge,0.6439
synonym,train,0.0333,0.4067,0.0133,0.3867,0.0067,0.3933,0.04,0.3667,0.0067,0.38,person-instrument,morphology_linguistic,world_knowledge,0.6754
third_person_to_base,train,0.0,0.9933,0.08,0.9733,0.7267,0.98,0.0867,0.9667,0.6867,0.98,iso_date_to_month,morphology_linguistic,numerical,0.6534
times_five,train,0.0,0.96,0.0533,0.94,0.8133,0.9733,0.06,0.9667,0.7733,0.96,lowercase_last_letter,numerical,string_manipulation,0.5031
titlecase_phrase,train,0.0,0.9067,0.0067,0.84,0.7467,0.94,0.0,0.7867,0.6867,0.94,us-city-state,string_manipulation,world_knowledge,0.631
uppercase_word,train,0.0,0.98,0.0067,0.9867,0.9,0.9933,0.0067,0.9667,0.9133,0.98,english-german,string_manipulation,translation,0.6643
us-city-state,train,0.02,0.8733,0.02,0.7667,0.4533,0.8533,0.0267,0.7533,0.4,0.86,spanish-english,world_knowledge,translation,0.7212
verb_to_third_person,heldout,0.0,0.9333,0.0733,0.8333,0.78,0.94,0.0133,0.8267,0.8067,0.9133,next_item,morphology_linguistic,numerical,0.6618
word_polarity,train,0.0,0.98,0.0067,0.6733,0.2267,0.9733,0.0,0.6933,0.1667,0.9933,compound_first,text_classification,string_manipulation,0.579
