layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
10,0.10372,0.12905,0.14628,0.12173,0.19614,0.18287,0.13053,0.22964,0.19938,0.13106,0.24387,0.20664,0.13090,0.25256,0.21123,0.13085,0.25874,0.21413,0.13111,0.26332,0.21591,0.13116,0.26693,0.21652,0.13141,0.26976,0.21747,0.13135,0.27174,0.21773,0.13151,0.27311
11,0.10706,0.14495,0.15567,0.13535,0.22648,0.20042,0.14995,0.25946,0.21494,0.14958,0.27078,0.21956,0.14962,0.27700,0.22231,0.14977,0.28153,0.22425,0.15006,0.28457,0.22573,0.15007,0.28746,0.22619,0.15019,0.28934,0.22686,0.14991,0.29066,0.22699,0.14978,0.29165
12,0.10089,0.15090,0.15008,0.12663,0.24252,0.19516,0.13538,0.27586,0.20513,0.13647,0.28482,0.20914,0.13763,0.29070,0.21209,0.13821,0.29578,0.21403,0.13889,0.29929,0.21508,0.13924,0.30237,0.21517,0.13962,0.30468,0.21527,0.13954,0.30676,0.21494,0.13958,0.30829
13,0.10453,0.16220,0.16727,0.13961,0.26217,0.21312,0.14442,0.29575,0.22007,0.14499,0.30929,0.22325,0.14707,0.31874,0.22672,0.14821,0.32648,0.22888,0.14962,0.33232,0.23043,0.15037,0.33701,0.23094,0.15118,0.34030,0.23133,0.15122,0.34339,0.23112,0.15157,0.34634
14,0.10422,0.16003,0.15851,0.13642,0.24457,0.20304,0.13909,0.27664,0.21001,0.13962,0.28999,0.21281,0.14214,0.29842,0.21644,0.14357,0.30498,0.21879,0.14481,0.30998,0.22028,0.14551,0.31390,0.22102,0.14614,0.31665,0.22144,0.14604,0.31924,0.22144,0.14619,0.32154
15,0.10734,0.15858,0.15726,0.14549,0.24756,0.20259,0.14584,0.28683,0.21652,0.14766,0.30331,0.22280,0.15058,0.31318,0.22751,0.15226,0.32032,0.23097,0.15356,0.32568,0.23328,0.15433,0.32977,0.23422,0.15498,0.33288,0.23524,0.15493,0.33550,0.23554,0.15504,0.33808
16,0.11075,0.15874,0.16709,0.14727,0.24866,0.20514,0.14721,0.28328,0.21522,0.14765,0.29800,0.21930,0.14963,0.30678,0.22257,0.15061,0.31307,0.22507,0.15150,0.31786,0.22689,0.15186,0.32160,0.22761,0.15229,0.32432,0.22834,0.15216,0.32666,0.22832,0.15212,0.32901
17,0.11184,0.15704,0.16795,0.14648,0.24481,0.20129,0.14475,0.27489,0.21025,0.14524,0.28829,0.21396,0.14691,0.29580,0.21641,0.14766,0.30121,0.21811,0.14824,0.30522,0.21923,0.14834,0.30841,0.21938,0.14854,0.31072,0.21960,0.14831,0.31275,0.21908,0.14805,0.31478
18,0.11537,0.15589,0.16987,0.15041,0.24517,0.20557,0.14901,0.27206,0.21521,0.14977,0.28504,0.21942,0.15119,0.29232,0.22246,0.15179,0.29755,0.22455,0.15224,0.30139,0.22616,0.15236,0.30449,0.22676,0.15243,0.30681,0.22723,0.15230,0.30893,0.22721,0.15193,0.31088
19,0.11663,0.15658,0.17089,0.15013,0.23899,0.20284,0.14640,0.26479,0.21153,0.14676,0.27760,0.21556,0.14791,0.28461,0.21850,0.14832,0.28950,0.22037,0.14857,0.29301,0.22194,0.14857,0.29582,0.22245,0.14854,0.29783,0.22281,0.14840,0.29985,0.22275,0.14800,0.30161
20,0.12415,0.15747,0.17632,0.15893,0.23631,0.21553,0.15697,0.26115,0.22663,0.15696,0.27303,0.23104,0.15764,0.27965,0.23426,0.15797,0.28439,0.23647,0.15798,0.28777,0.23805,0.15785,0.29056,0.23869,0.15765,0.29249,0.23910,0.15748,0.29442,0.23928,0.15695,0.29606
21,0.12383,0.15485,0.17193,0.15573,0.22657,0.20671,0.15337,0.24982,0.21647,0.15306,0.26092,0.22042,0.15355,0.26700,0.22341,0.15375,0.27142,0.22550,0.15363,0.27451,0.22693,0.15343,0.27704,0.22759,0.15322,0.27877,0.22800,0.15300,0.28055,0.22826,0.15252,0.28207
22,0.12440,0.15252,0.17019,0.15521,0.22294,0.20200,0.15219,0.24550,0.21100,0.15164,0.25641,0.21469,0.15191,0.26245,0.21746,0.15193,0.26675,0.21942,0.15167,0.26978,0.22072,0.15138,0.27229,0.22131,0.15109,0.27393,0.22168,0.15079,0.27565,0.22185,0.15024,0.27713
23,0.12626,0.15321,0.17081,0.15700,0.22030,0.20158,0.15376,0.24280,0.21037,0.15302,0.25384,0.21410,0.15314,0.25981,0.21681,0.15317,0.26409,0.21874,0.15282,0.26703,0.22005,0.15253,0.26947,0.22060,0.15222,0.27104,0.22095,0.15188,0.27273,0.22114,0.15133,0.27419
24,0.12243,0.14847,0.16416,0.15318,0.21469,0.19715,0.15053,0.23730,0.20630,0.14999,0.24794,0.20999,0.15020,0.25356,0.21267,0.15044,0.25764,0.21460,0.15019,0.26045,0.21600,0.15008,0.26276,0.21655,0.14988,0.26432,0.21686,0.14951,0.26598,0.21707,0.14899,0.26743
25,0.11824,0.14440,0.15795,0.14924,0.20914,0.19127,0.14668,0.23174,0.19985,0.14640,0.24157,0.20331,0.14677,0.24689,0.20572,0.14713,0.25086,0.20744,0.14692,0.25370,0.20876,0.14689,0.25596,0.20924,0.14674,0.25756,0.20951,0.14644,0.25913,0.20982,0.14598,0.26050
26,0.11754,0.13774,0.15264,0.14623,0.19338,0.18412,0.14385,0.21343,0.19196,0.14362,0.22228,0.19492,0.14378,0.22716,0.19698,0.14410,0.23064,0.19837,0.14379,0.23316,0.19953,0.14371,0.23515,0.19999,0.14350,0.23664,0.20025,0.14320,0.23801,0.20056,0.14277,0.23922
27,0.12717,0.14433,0.16056,0.15384,0.18709,0.18959,0.15198,0.20202,0.19685,0.15207,0.20945,0.19990,0.15245,0.21371,0.20211,0.15277,0.21696,0.20364,0.15256,0.21933,0.20486,0.15241,0.22116,0.20555,0.15226,0.22267,0.20583,0.15191,0.22407,0.20627,0.15144,0.22535
