layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
10,9.01346,9.24998,12.87509,10.82887,15.27651,16.67838,11.90380,18.61983,18.45252,11.99404,19.65325,19.17350,11.95127,20.18207,19.58455,11.89668,20.55025,19.82698,11.88287,20.82379,19.95855,11.85336,21.02946,19.98925,11.85141,21.19999,20.03461,11.83140,21.29888,20.03897,11.82869,21.35597
11,9.88005,10.93456,14.46965,12.56653,18.84024,19.32500,14.30837,21.89894,20.84936,14.24968,22.61823,21.29237,14.22172,22.89327,21.52658,14.19291,23.09101,21.68866,14.18804,23.20235,21.80136,14.15645,23.34355,21.82324,14.13969,23.42670,21.84807,14.09972,23.45240,21.84866,14.06483,23.44964
12,9.86117,12.51256,14.70258,12.46823,21.70275,19.87262,13.64996,24.65419,20.80112,13.74401,25.09004,21.18698,13.82799,25.36460,21.47715,13.84303,25.65278,21.67496,13.87571,25.83167,21.76415,13.88066,26.02577,21.76664,13.89616,26.18071,21.74937,13.87711,26.30758,21.70840,13.86125,26.38267
13,10.83606,14.76963,17.65604,14.60771,25.83038,23.17947,15.33136,28.84976,23.63145,15.33817,29.77933,23.85340,15.53951,30.48596,24.17479,15.62823,31.12308,24.38417,15.75230,31.58998,24.53046,15.81070,31.99190,24.58286,15.87667,32.27497,24.59076,15.87844,32.54107,24.55276,15.89814,32.79519
14,11.33548,15.49794,17.44431,15.00875,24.73798,22.87210,15.44614,27.59392,23.41124,15.47143,28.52391,23.60863,15.75473,29.13022,23.97201,15.90091,29.62979,24.19903,16.02064,30.00156,24.32707,16.08021,30.31846,24.39842,16.13700,30.53997,24.38983,16.11799,30.75825,24.36256,16.12379,30.94616
15,12.51296,16.59332,18.49617,17.17811,26.64283,24.07941,17.30270,30.71101,25.59184,17.52940,32.29982,26.28140,17.91284,33.27491,26.82033,18.11942,33.97126,27.19929,18.26591,34.48561,27.43800,18.36296,34.89476,27.53689,18.43702,35.21825,27.60117,18.42465,35.49690,27.60690,18.42799,35.75433
16,14.08991,18.74642,21.61454,18.93362,29.61101,26.38947,18.88806,33.66194,27.39846,18.91612,35.19265,27.77850,19.18793,36.10355,28.11256,19.30908,36.74731,28.34973,19.39470,37.26745,28.51118,19.43473,37.68699,28.55307,19.47872,38.00801,28.56756,19.44963,38.27987,28.51145,19.42193,38.54335
17,15.41460,20.99096,23.32196,20.08455,31.42130,27.08144,19.65500,34.69661,27.92600,19.65660,36.00200,28.25810,19.86304,36.64782,28.46063,19.93771,37.08829,28.58109,19.95853,37.42522,28.63120,19.95099,37.71208,28.56558,19.94279,37.93584,28.50150,19.89479,38.12272,28.35913,19.81944,38.31842
18,17.09660,23.85946,25.50854,22.18624,34.81430,29.72367,21.67182,37.68184,30.71777,21.70771,39.04654,31.12017,21.88957,39.73298,31.41227,21.93369,40.21300,31.58368,21.93444,40.57550,31.69316,21.93164,40.91355,31.68257,21.89991,41.17132,31.64205,21.85868,41.41565,31.56037,21.75637,41.64789
19,18.74292,28.04274,28.00287,24.01901,38.37364,31.65849,22.91028,41.10837,32.44888,22.80076,42.51695,32.77162,22.89254,43.19621,33.00888,22.86736,43.64483,33.09793,22.81507,43.96350,33.16324,22.76547,44.28976,33.10574,22.70408,44.50630,33.02375,22.64602,44.73545,32.89870,22.52231,44.96751
20,22.12790,32.12390,32.32488,28.38051,41.84377,37.14282,27.46679,44.69620,38.24832,27.19862,46.14994,38.58302,27.14222,46.82585,38.80900,27.05433,47.27106,38.92376,26.91208,47.56931,38.95970,26.80307,47.88881,38.88177,26.68595,48.07701,38.75320,26.58169,48.28129,38.56852,26.40965,48.49277
21,23.60474,34.67188,33.69234,29.54934,42.98090,37.94207,28.43067,45.76618,38.88685,28.07723,47.24660,39.14378,27.96095,47.88484,39.33540,27.82906,48.28704,39.42686,27.65687,48.54019,39.43787,27.51344,48.81553,39.34841,27.38062,48.95839,39.21223,27.25762,49.13442,39.04914,27.08139,49.32968
22,24.68138,35.93287,34.61266,30.54817,44.21838,38.52579,29.21447,46.96915,39.44497,28.79390,48.45231,39.70516,28.61486,49.09901,39.87415,28.44408,49.49287,39.95893,28.24082,49.74470,39.95153,28.07206,50.01041,39.84021,27.92412,50.13526,39.69294,27.77374,50.29357,39.50990,27.58040,50.47900
23,26.01679,37.83407,36.08065,32.09546,46.21486,40.14581,30.53730,49.18262,41.16673,30.02245,50.73646,41.44805,29.79082,51.41034,41.59968,29.60958,51.84159,41.68450,29.39245,52.10436,41.67433,29.21427,52.38417,41.55829,29.05661,52.52200,41.40824,28.89585,52.69324,41.25141,28.70046,52.88935
24,26.59394,39.35271,36.80441,33.10398,48.26631,41.77430,31.60073,51.69676,43.03751,31.11696,53.32982,43.40534,30.89871,54.01940,43.60165,30.77002,54.50702,43.75052,30.58771,54.82244,43.82349,30.44739,55.13432,43.73881,30.31379,55.31544,43.60794,30.14391,55.51286,43.48933,29.95943,55.75044
25,27.43474,40.66641,38.46522,35.01904,50.43653,45.17541,33.72664,54.12114,46.74987,33.33716,55.68446,47.31791,33.17622,56.35744,47.60539,33.10135,56.84476,47.77716,32.92936,57.16641,47.87776,32.80487,57.45857,47.80331,32.67338,57.64320,47.65743,32.51784,57.80959,47.58110,32.32318,58.02670
26,31.16739,44.41746,43.26764,39.83170,54.52180,51.79122,38.68016,58.15214,53.65179,38.32183,59.68035,54.41611,38.13216,60.27797,54.74759,38.05548,60.65370,54.89949,37.82539,60.87393,55.00793,37.66965,61.07631,54.93238,37.50217,61.20577,54.76202,37.31874,61.29561,54.70705,37.09177,61.47119
27,34.35488,61.12635,49.62844,44.11615,69.65598,58.65650,44.12238,70.51744,60.27637,44.27522,71.00201,60.96091,44.47750,70.84972,61.01232,44.54501,70.52636,60.84787,44.45614,70.11118,60.76474,44.19832,69.80257,60.50214,44.18443,69.48550,60.17389,43.98061,69.18903,60.12062,43.74471,69.04685
