task,group,zs_base,zs_best,zs_bestL,zs_full_best,mix_base,mix_best,mix_bestL,mix_full_best,shuf_base,shuf_best,shuf_bestL,shuf_full_best
national_parks,train,0.0,0.64,0,0.64,0.1,0.56,0,0.56,0.58,0.62,5,0.62
natural_manmade,train,0.0,0.64,0,0.64,0.0,0.4,26,0.44,0.82,0.9,6,0.9
next_item,train,0.0851,0.7021,11,0.7021,0.0,0.5532,11,0.5745,0.1064,0.7021,11,0.6809
next_month_of_date,train,0.0,1.0,0,1.0,0.0,0.88,12,0.96,0.3,0.92,9,0.9
next_number_digits,train,0.0,1.0,11,1.0,0.0952,0.9762,11,1.0,0.4286,1.0,2,1.0
number_word_to_digits,train,0.0,0.7,13,0.68,0.48,0.68,13,0.68,0.38,0.54,0,0.54
park-country,train,0.0,0.62,6,0.62,0.1,0.62,0,0.62,0.58,0.64,0,0.64
person-instrument,train,0.0,0.48,8,0.48,0.0,0.48,4,0.5,0.54,0.58,4,0.6
person-sport,train,0.0,0.86,7,0.88,0.12,0.88,14,0.86,0.9,0.92,27,0.9
plural_to_singular,train,0.1,0.94,10,0.94,0.22,0.98,0,0.96,0.12,0.96,0,0.96
present-past,train,0.0,0.96,0,0.96,0.0,0.98,0,0.98,0.18,0.96,0,0.96
prev_number_digits,train,0.0,1.0,0,1.0,0.0238,1.0,12,1.0,0.2143,1.0,0,1.0
product-company,train,0.0,0.72,11,0.72,0.0,0.68,11,0.7,0.62,0.74,11,0.74
sentiment,train,0.0,0.9,1,0.9,0.0,0.84,2,0.84,0.7,0.84,26,0.84
singular-plural,train,0.0,0.907,1,0.907,0.0233,0.8605,0,0.8605,0.093,0.9302,0,0.907
singular_or_plural,train,0.0,0.78,9,0.82,0.0,0.58,12,0.56,0.84,0.82,5,0.8
spanish_noun_gender,train,0.0,0.94,4,0.94,0.0,0.94,2,0.94,0.86,0.96,1,0.96
starts_with_vowel,train,0.0,0.48,0,0.5,0.0,0.56,1,0.58,0.48,0.54,18,0.52
third_person_to_base,train,0.04,0.96,1,0.96,0.26,0.98,2,0.98,0.18,0.98,0,0.98
titlecase_phrase,train,0.0,0.66,7,0.72,0.0,0.64,13,0.68,0.2,0.98,0,0.98
us-city-state,train,0.02,0.74,11,0.8,0.06,0.8,0,0.8,0.74,0.86,0,0.86
verb_tense_label,train,0.0,0.44,8,0.48,0.0,0.3,0,0.3,0.44,0.54,1,0.56
verb_to_third_person,train,0.0,0.86,13,0.92,0.02,0.84,12,0.86,0.24,1.0,9,1.0
ag_news,heldout,0.0,0.16,0,0.62,0.0,0.16,8,0.68,0.78,0.84,22,0.8
ends_with_ing,heldout,0.0,0.44,0,0.42,0.0,0.56,0,0.6,0.48,0.64,0,0.62
english-french,heldout,0.0,0.08,2,0.6,0.0,0.1,0,0.42,0.5,0.68,9,0.66
first_digit,heldout,0.36,0.58,10,0.96,0.46,0.62,8,0.9,0.16,0.42,10,0.64
french-english,heldout,0.02,0.66,6,0.66,0.56,0.74,0,0.74,0.72,0.82,0,0.84
gerund_to_base,heldout,0.2,0.98,5,0.98,0.36,0.94,7,0.94,0.14,0.92,11,0.92
initials_two_words,heldout,0.0,0.04,8,0.74,0.0,0.12,8,0.84,0.2,0.8,11,0.9
past_to_base,heldout,0.28,0.88,1,0.9,0.26,0.84,6,0.9,0.24,0.98,11,0.98
person_place_thing,heldout,0.0,0.14,8,0.84,0.0,0.1,8,0.78,0.8,0.98,9,0.88
pos_label,heldout,0.0,0.38,1,0.48,0.0,0.44,3,0.72,0.72,0.68,9,0.7
smaller_of_pair,heldout,0.32,0.62,12,0.68,0.38,0.68,12,0.72,0.1,0.62,15,0.62
spanish-english,heldout,0.08,0.8,10,0.8,0.56,0.86,6,0.86,0.76,0.86,0,0.86
uppercase_word,heldout,0.0,0.12,0,0.98,0.0,0.04,1,0.98,0.28,0.98,5,0.98
word_polarity,heldout,0.0,0.58,0,0.62,0.0,0.62,0,0.82,0.8,0.82,2,0.9
