task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
english-italian,train,0.0,0.01596,0.04438,0.0886,0.07754,0.0,-0.0212,-0.06662,-0.03143,-0.04908,0.0,6.62294,15.97057,31.6826,30.32783,0.0,-1.33981,-9.78468,3.7627,0.73209
english-portuguese,train,0.0,0.02231,0.06589,0.10515,0.09802,0.0,-0.01014,-0.02184,0.00773,-0.00209,0.0,8.73177,25.54612,43.76733,42.40189,0.0,1.77534,5.34933,21.03815,18.94426
english-spanish,train,0.0,0.01661,0.04725,0.09508,0.09897,0.0,-0.0139,-0.0311,0.00623,0.01,0.0,7.01404,20.71146,39.99314,42.07822,0.0,0.25477,2.41712,18.83661,20.8708
first_digit,train,0.0,0.03242,0.07203,0.10197,0.08415,0.0,0.02698,0.05837,0.06808,0.04161,0.0,7.92508,17.43767,22.13582,18.23958,0.0,6.73479,14.36821,14.17196,8.32449
first_letter_second_word,heldout,0.0,0.02096,0.08808,0.14304,0.14164,0.0,0.0047,0.02468,0.05247,0.04933,0.0,5.48156,19.78298,27.84067,25.14313,0.0,1.81628,4.92773,6.57701,3.44776
first_three_letters,train,0.0,0.03473,0.11225,0.15191,0.14546,0.0,0.00419,0.02025,0.04018,0.01929,0.0,9.15649,26.80807,39.11133,39.19402,0.0,2.36427,5.67401,13.41628,10.02211
first_two_letters,train,0.0,0.02663,0.09467,0.14706,0.12888,0.0,-0.01181,-0.00253,0.0387,0.0098,0.0,6.67509,23.37291,35.27775,30.83961,0.0,-1.97575,1.32687,10.61227,3.6706
first_vowel,train,0.0,0.01409,0.02287,0.03471,0.04036,0.0,-0.01866,-0.06211,-0.07986,-0.0719,0.0,3.26626,6.40726,10.30223,10.76822,0.0,-4.42904,-13.46602,-16.59314,-15.61079
french-english,heldout,0.0,0.05599,0.1529,0.17502,0.17142,0.0,0.05109,0.13101,0.13689,0.12907,0.0,15.26316,49.44412,69.10442,70.27264,0.0,14.25175,44.73863,60.29303,60.26787
french_noun_gender,heldout,0.0,0.08474,0.134,0.16678,0.18979,0.0,0.0156,0.01015,0.01904,0.07812,0.0,21.21318,38.62846,51.3597,53.1758,0.0,4.52396,8.55279,14.96862,26.22347
german-english,train,0.0,0.06456,0.1721,0.19269,0.1864,0.0,0.0589,0.15045,0.15548,0.14525,0.0,17.22585,56.04775,75.11875,75.19222,0.0,15.99475,51.30009,66.28297,65.21986
german_noun_gender,train,0.0,0.03539,0.09676,0.11442,0.12589,0.0,-0.01135,-0.005,-0.00809,0.0083,0.0,10.10542,26.66457,31.40594,32.0023,0.0,-1.14429,1.6932,1.20679,3.22678
gerund_to_base,train,0.0,0.03052,0.12525,0.16985,0.14617,0.0,0.02086,0.08936,0.11249,0.08162,0.0,8.23039,33.33379,54.40412,48.79345,0.0,6.10782,25.16515,41.11649,33.63921
gerund_to_past,train,0.0,0.04346,0.12368,0.14382,0.12988,0.0,0.00683,0.06434,0.07612,0.06771,0.0,11.6897,33.11781,44.6435,39.25927,0.0,3.21758,19.27116,28.623,24.66884
halve_even_number,train,0.0,0.0129,0.03713,0.07771,0.07245,0.0,0.00556,0.02214,0.06526,0.04347,0.0,2.45815,2.43224,6.28857,8.05467,0.0,0.65751,-2.0862,1.51504,0.242
hypernym_category,train,0.0,0.04902,0.116,0.13233,0.11885,0.0,0.01828,0.0644,0.07197,0.05904,0.0,15.96297,41.07573,54.9698,51.44725,0.0,8.61453,28.19261,39.20143,35.79614
initials_two_words,train,0.0,0.03379,0.13736,0.17975,0.1576,0.0,0.00288,0.04585,0.0551,0.02627,0.0,8.4838,32.62674,44.85725,40.60671,0.0,1.40636,11.26835,15.76537,9.91734
iso_date_to_month,train,0.0,0.06586,0.12234,0.15186,0.14314,0.0,0.00811,0.04123,0.06724,0.06735,0.0,16.65294,28.11055,41.25777,37.10365,0.0,3.01366,8.91801,21.07207,19.11918
iso_date_year_plus_one,train,0.0,0.02836,0.05764,0.10246,0.12547,0.0,0.01863,0.02178,0.03818,0.06829,0.0,7.33256,8.90141,15.56054,21.20769,0.0,5.146,-0.38243,-0.43031,6.82892
landmark-country,train,0.0,0.02246,0.05815,0.07078,0.05443,0.0,-0.0093,0.0075,0.02352,0.01107,0.0,8.46346,20.47771,27.12598,21.80508,0.0,0.75734,7.87841,15.14919,10.8916
language_identification,train,0.0,0.05512,0.14696,0.1758,0.17493,0.0,0.01604,0.06299,0.06915,0.06902,0.0,14.96562,41.46609,53.03199,53.43023,0.0,5.80013,21.2571,26.77975,27.30785
larger_of_pair,train,0.0,0.0144,0.04477,0.09704,0.09874,0.0,0.01689,0.04768,0.08197,0.07957,0.0,3.70321,7.81231,13.68288,16.21315,0.0,4.33429,8.1265,9.34535,11.15717
larger_than_1000,train,0.0,0.03665,0.07826,0.12513,0.13209,0.0,0.00895,0.01368,0.02722,0.02599,0.0,7.96613,18.58197,31.62448,35.52294,0.0,1.38393,3.59379,8.9412,10.94681
largest_digit,heldout,0.0,0.03787,0.0735,0.10903,0.11254,0.0,0.02026,0.03389,0.04349,0.04675,0.0,8.64362,17.16949,24.69788,25.63474,0.0,4.54132,7.98894,9.48433,10.35571
last_digit,heldout,0.0,0.03213,0.07326,0.1104,0.09589,0.0,0.02283,0.05069,0.07359,0.04971,0.0,7.90736,16.29735,19.08273,13.64159,0.0,5.82874,10.99853,10.08721,2.47482
last_two_letters,heldout,0.0,-0.00036,0.00634,0.0166,-0.02336,0.0,-0.03901,-0.09165,-0.11716,-0.17657,0.0,0.7653,5.34716,5.99406,-5.05759,0.0,-7.98758,-17.0875,-24.98745,-40.48542
last_vowel,train,0.0,0.008,0.00985,0.01156,0.0208,0.0,-0.03121,-0.08908,-0.12717,-0.11726,0.0,2.41245,3.84831,4.98196,7.04659,0.0,-6.45333,-18.79332,-26.98112,-24.76299
lowercase_first_letter,train,0.0,0.03421,0.09779,0.15241,0.1466,0.0,0.00458,0.03645,0.08749,0.08441,0.0,8.75361,24.87028,39.07414,36.07727,0.0,1.86693,10.52882,23.98663,21.45924
lowercase_last_letter,train,0.0,0.01684,0.04006,0.07104,0.05964,0.0,-0.01421,-0.03892,-0.0438,-0.05694,0.0,4.72601,11.43934,14.84605,7.59035,0.0,-2.50085,-7.17365,-12.51855,-20.19165
lowercase_word,train,0.0,0.02495,0.09081,0.13197,0.12387,0.0,0.01892,0.0796,0.11711,0.10833,0.0,6.61832,24.86601,40.7888,39.43546,0.0,5.32123,22.66177,38.31378,36.86391
national_parks,train,0.0,-0.0105,0.06611,0.07788,0.07062,0.0,-0.04141,0.02093,0.02344,0.01441,0.0,0.76188,21.53707,27.33326,25.07879,0.0,-6.89097,10.22554,13.42233,10.74838
nato_first_letter,train,0.0,0.03561,0.05476,-0.0442,-0.04971,0.0,0.00568,-0.16489,-0.32562,-0.32771,0.0,8.21027,37.1664,43.70251,43.04603,0.0,1.35287,-15.92142,-41.51407,-41.31805
natural_manmade,heldout,0.0,0.03577,0.09539,0.13922,0.14344,0.0,0.00282,0.02929,0.05999,0.0657,0.0,10.33324,25.99062,39.88595,39.48054,0.0,2.71427,10.3895,21.06285,21.04398
next_in_group,heldout,0.0,-0.004,-0.01276,-0.03301,-0.01075,0.0,-0.04588,-0.12516,-0.18807,-0.1409,0.0,2.41549,5.45007,3.71261,7.61473,0.0,-7.05605,-21.74239,-35.31018,-24.38135
next_in_period,train,0.0,-0.00901,-0.01966,-0.03288,-0.03254,0.0,-0.04459,-0.10606,-0.14925,-0.14391,0.0,1.15698,2.15443,-0.70203,-0.10052,0.0,-6.79466,-18.32986,-29.02798,-27.14323
next_item,train,0.0,0.00235,0.02453,0.03593,0.02855,0.0,-0.01526,-0.00907,-0.00826,-0.01276,0.0,2.98724,9.88083,13.48965,13.66418,0.0,-0.48067,2.93399,4.08067,5.20052
next_month_of_date,train,0.0,0.03079,0.091,0.12322,0.11926,0.0,-0.00712,0.00178,0.00843,0.0145,0.0,8.2916,21.27251,31.05728,30.05338,0.0,-0.29937,0.56815,4.37987,5.74073
next_number_digits,train,0.0,0.0126,0.04674,0.07676,0.1043,0.0,0.00199,0.00656,0.01257,0.03676,0.0,1.9581,5.86452,9.68466,15.15791,0.0,-0.80546,-4.50132,-6.33723,-1.63261
number_word_to_digits,heldout,0.0,0.01577,0.04569,0.07393,0.09066,0.0,0.01705,0.04564,0.04809,0.05179,0.0,3.06483,6.97775,9.31914,12.14295,0.0,3.21218,6.12642,2.08869,2.03648
park-country,heldout,0.0,-0.01199,0.0168,0.02287,0.00269,0.0,-0.03774,-0.00682,0.00157,-0.02044,0.0,0.81123,12.25578,16.20499,10.60886,0.0,-5.50886,6.19938,10.61267,4.55235
past_to_base,heldout,0.0,0.03543,0.12272,0.17494,0.14375,0.0,0.02164,0.08312,0.11106,0.07375,0.0,9.08809,32.10651,53.80782,46.6848,0.0,6.05117,23.25288,39.30333,30.62378
person-instrument,train,0.0,0.04111,0.10251,0.12486,0.11848,0.0,-0.00219,0.01987,0.03022,0.03947,0.0,10.00952,27.0991,38.87412,33.95451,0.0,-0.04581,7.70518,16.10278,15.26447
person-sport,heldout,0.0,0.04056,0.11434,0.12135,0.12106,0.0,-0.01017,0.02081,0.01808,0.02879,0.0,11.96745,37.20181,45.87489,43.07446,0.0,0.10063,14.5239,20.08577,20.39127
person_place_thing,train,0.0,0.06197,0.11736,0.1486,0.15143,0.0,0.02362,0.0492,0.06507,0.06812,0.0,17.51253,36.05086,49.69339,49.89032,0.0,8.59125,19.8274,29.35133,29.6293
plural_to_singular,train,0.0,0.04931,0.12827,0.14462,0.11746,0.0,0.03547,0.09913,0.1044,0.07581,0.0,13.66244,36.31489,49.64834,44.10699,0.0,10.69769,30.00318,41.1246,35.28748
pos_label,train,0.0,0.05535,0.09207,0.12564,0.143,0.0,0.01912,0.01327,0.02805,0.04845,0.0,15.72833,32.00362,44.03796,46.58342,0.0,7.64818,13.94488,21.17999,24.51424
present-past,train,0.0,0.04353,0.1221,0.15359,0.14075,0.0,0.0107,0.06517,0.09515,0.08916,0.0,11.08954,33.141,48.44018,43.47565,0.0,3.29395,19.47724,34.21439,31.05587
prev_item,train,0.0,0.00751,0.03394,0.06254,0.06133,0.0,-0.00963,0.00536,0.02625,0.0253,0.0,4.32726,11.80121,17.00504,18.03171,0.0,0.95567,5.9006,9.01028,10.29285
prev_number_digits,train,0.0,0.01222,0.05248,0.07996,0.09758,0.0,0.00421,0.02611,0.03016,0.03992,0.0,1.88142,6.3061,10.04028,13.19546,0.0,-0.18399,-0.67739,-2.29082,-0.85422
product-company,heldout,0.0,0.0166,0.0433,0.0237,0.01531,0.0,-0.01503,-0.04039,-0.07293,-0.0753,0.0,7.78706,21.77094,23.14474,20.4945,0.0,0.43987,1.03768,-1.68732,-2.65469
remove_first_letter,train,0.0,0.01444,0.05032,0.05622,-0.0057,0.0,-0.01944,-0.0362,-0.04661,-0.13398,0.0,4.71688,18.2397,21.15832,5.99197,0.0,-2.85328,-1.46027,-2.54597,-24.13923
remove_last_letter,train,0.0,0.02782,0.11458,0.17171,0.16214,0.0,-0.0028,0.02488,0.01852,-0.00716,0.0,7.72782,28.72214,41.62874,39.49049,0.0,0.9087,8.15057,6.20611,0.27408
round_up_to_ten,train,0.0,0.01394,0.03472,0.07179,0.0981,0.0,0.0,0.00302,0.0267,0.04695,0.0,3.35715,6.87309,10.97121,16.05968,0.0,0.15769,-0.70698,-0.30822,3.38066
second_digit,train,0.0,0.03343,0.07643,0.11897,0.10552,0.0,0.02217,0.05169,0.07857,0.05764,0.0,8.14161,16.85302,20.68302,15.59779,0.0,5.58788,11.08906,11.14228,4.39465
sentiment,train,0.0,0.0657,0.15074,0.20097,0.19627,0.0,0.0225,0.07841,0.12473,0.12129,0.0,16.53268,36.2339,52.43764,51.06941,0.0,6.91099,19.9129,35.24118,34.16119
singular-plural,heldout,0.0,0.03305,0.12319,0.15674,0.1485,0.0,-0.00281,0.06153,0.08515,0.07107,0.0,10.99876,37.12977,52.17946,47.50285,0.0,2.90746,22.92784,35.56813,29.3373
singular_or_plural,train,0.0,0.0431,0.1198,0.175,0.18517,0.0,-0.00024,0.02985,0.06582,0.08156,0.0,12.23004,34.62035,52.79948,51.44589,0.0,2.3443,13.5405,26.80001,27.05006
smaller_of_pair,train,0.0,0.01578,0.04288,0.09316,0.09448,0.0,0.01691,0.04384,0.07683,0.07219,0.0,4.06596,7.51426,12.41653,14.46537,0.0,4.38504,7.39569,7.76839,8.6609
spanish-english,train,0.0,0.05711,0.16364,0.19077,0.18656,0.0,0.05078,0.13963,0.14966,0.14148,0.0,15.77431,53.89566,75.94368,76.99599,0.0,14.42112,48.59752,66.12744,66.02138
spanish_noun_gender,train,0.0,0.08681,0.13947,0.17447,0.19374,0.0,0.01628,0.02252,0.03634,0.08872,0.0,21.78922,38.93904,51.53971,53.03619,0.0,4.83156,10.62486,17.69849,27.76243
starts_with_vowel,heldout,0.0,0.03054,0.08074,0.12984,0.13676,0.0,-0.00379,0.00346,0.02061,0.03146,0.0,8.46084,21.30463,35.83166,36.42716,0.0,1.00533,3.97415,11.17741,12.65752
strip_prefix,train,0.0,0.02892,0.09053,0.11552,0.10003,0.0,0.02156,0.06674,0.07865,0.05648,0.0,6.42117,23.00659,35.45747,33.11304,0.0,4.63021,17.34261,26.58477,22.51188
synonym,train,0.0,0.01634,0.09736,0.13525,0.12767,0.0,0.00953,0.07682,0.08708,0.07446,0.0,5.66876,30.97083,54.34383,54.85446,0.0,4.16288,26.29062,42.33481,41.35017
third_person_to_base,train,0.0,0.03333,0.11014,0.15814,0.13453,0.0,0.02095,0.07819,0.10831,0.08199,0.0,8.80184,28.94823,46.8593,41.73344,0.0,6.05886,21.74728,35.51447,29.72298
times_five,train,0.0,0.00619,0.01785,0.05057,0.05734,0.0,0.00469,0.01087,0.03945,0.02714,0.0,1.78252,1.45495,3.59489,5.56221,0.0,1.53275,-0.83102,-0.78817,-2.75729
titlecase_phrase,train,0.0,0.02361,0.08457,0.13941,0.13745,0.0,0.01172,0.05786,0.09414,0.09068,0.0,6.52555,21.66317,39.18552,41.48034,0.0,3.78712,15.45209,28.40794,30.20056
uppercase_word,train,0.0,0.02258,0.09533,0.1586,0.14099,0.0,0.00659,0.03319,0.04701,0.01804,0.0,6.95979,26.51601,46.51288,43.12471,0.0,3.69257,12.65933,20.73132,14.46404
us-city-state,train,0.0,0.02164,0.09098,0.10056,0.06991,0.0,-0.01597,0.04634,0.0594,0.02778,0.0,8.90557,30.27975,35.91484,27.15886,0.0,-0.19275,19.24464,25.6276,16.65296
verb_to_third_person,heldout,0.0,0.04289,0.13296,0.17383,0.15106,0.0,0.00454,0.06448,0.08992,0.06657,0.0,10.60409,33.77066,46.83292,38.61813,0.0,1.65481,17.71101,27.01402,18.70878
word_polarity,train,0.0,0.05127,0.10989,0.16114,0.16608,0.0,0.01912,0.04637,0.07632,0.08371,0.0,15.38578,28.36328,39.14643,40.50985,0.0,7.95528,13.23248,18.88869,20.83157
