family,style,n_k8,n_k4_all,acc_k4_all,acc_k4_same_docs,acc_k8,ci_lo_k4,ci_hi_k4,ci_lo_k8,ci_hi_k8,delta,delta_se,sig,capped_k8,unscorable_k8,unscorable_k4_same_docs,judge_ok_k8
js_hungarian,nat,200,200,0.66,0.66,0.695,0.592,0.722,0.628,0.755,0.035,0.048,False,0.275,0.25,0.31,0.93
js_hungarian,alt,200,200,0.855,0.855,0.88,0.8,0.897,0.828,0.918,0.025,0.033,False,0.34,0.01,0.045,0.9
py_abbrev,nat,188,200,0.725,0.718,0.787,0.65,0.778,0.723,0.84,0.069,0.043,False,0.25,0.133,0.16,0.941
py_abbrev,alt,188,200,0.755,0.745,0.819,0.678,0.802,0.758,0.868,0.074,0.044,False,0.218,0.112,0.17,0.92
py_quotes,nat,173,192,0.812,0.821,0.815,0.757,0.871,0.751,0.866,-0.006,0.038,False,0.405,0.04,0.069,0.919
py_quotes,alt,173,192,0.719,0.723,0.861,0.652,0.784,0.802,0.905,0.139,0.04,True,0.451,0.035,0.058,0.96
js_quotes,nat,164,189,0.778,0.78,0.848,0.711,0.837,0.785,0.895,0.067,0.046,False,0.287,0.098,0.122,0.963
js_quotes,alt,164,189,0.799,0.799,0.841,0.731,0.853,0.778,0.889,0.043,0.043,False,0.201,0.098,0.116,0.927
py_fstring,nat,200,200,0.705,0.705,0.785,0.638,0.764,0.723,0.836,0.08,0.043,False,0.19,0.19,0.25,0.97
py_fstring,alt,200,200,0.84,0.84,0.82,0.783,0.884,0.761,0.867,-0.02,0.038,False,0.205,0.095,0.115,0.94
js_template,nat,190,198,0.894,0.905,0.889,0.855,0.939,0.837,0.927,-0.016,0.03,False,0.168,0.068,0.079,0.963
js_template,alt,190,198,0.813,0.816,0.795,0.755,0.864,0.732,0.846,-0.021,0.039,False,0.179,0.195,0.153,0.963
num_separators,nat,51,131,0.832,0.824,0.843,0.697,0.904,0.72,0.918,0.02,0.082,False,0.294,0.078,0.157,0.902
num_separators,alt,51,131,0.496,0.51,0.608,0.377,0.641,0.471,0.73,0.098,0.098,False,0.353,0.098,0.275,0.902
hex_constants,nat,111,177,0.514,0.486,0.559,0.396,0.578,0.466,0.647,0.072,0.065,False,0.171,0.423,0.486,0.928
hex_constants,alt,111,177,0.684,0.685,0.739,0.593,0.764,0.65,0.811,0.054,0.058,False,0.225,0.135,0.153,0.91
float_literals,nat,87,162,0.531,0.506,0.54,0.403,0.608,0.436,0.641,0.034,0.081,False,0.345,0.103,0.184,0.92
float_literals,alt,87,162,0.519,0.529,0.644,0.425,0.63,0.539,0.736,0.115,0.07,False,0.31,0.195,0.264,0.862
sql_bool_case,nat,98,133,0.902,0.939,0.969,0.873,0.972,0.914,0.99,0.031,0.031,False,0.306,0.02,0.031,0.99
sql_bool_case,alt,98,133,0.917,0.949,0.949,0.886,0.978,0.886,0.978,0.0,0.032,False,0.327,0.01,0.031,0.969
py2_print,nat,200,200,0.73,0.73,0.745,0.665,0.787,0.68,0.8,0.015,0.04,False,0.41,0.22,0.255,0.965
py2_print,alt,200,200,0.67,0.67,0.745,0.602,0.731,0.68,0.8,0.075,0.043,False,0.41,0.225,0.295,0.965
py2_iter,nat,58,144,0.764,0.724,0.879,0.598,0.822,0.771,0.94,0.155,0.069,True,0.121,0.034,0.207,0.897
py2_iter,alt,58,144,0.549,0.534,0.741,0.408,0.657,0.616,0.837,0.207,0.073,True,0.207,0.052,0.19,0.931
py2_except,nat,21,177,0.938,0.905,0.952,0.711,0.973,0.773,0.992,0.048,0.084,False,0.238,0.048,0.0,0.952
py2_except,alt,21,177,0.96,0.905,0.905,0.711,0.973,0.711,0.973,0.0,0.098,False,0.048,0.095,0.095,0.952
js_var,nat,107,200,0.535,0.626,0.458,0.532,0.712,0.367,0.552,-0.168,0.071,True,0.28,0.523,0.355,0.944
js_var,alt,107,200,0.495,0.579,0.458,0.485,0.669,0.367,0.552,-0.121,0.069,False,0.187,0.495,0.364,0.86
js_arrow,nat,175,196,0.607,0.611,0.68,0.538,0.681,0.608,0.745,0.069,0.048,False,0.206,0.2,0.269,0.829
js_arrow,alt,175,196,0.566,0.566,0.646,0.492,0.637,0.572,0.713,0.08,0.054,False,0.171,0.234,0.286,0.88
js_semicolons,nat,97,146,0.856,0.866,0.68,0.784,0.92,0.582,0.765,-0.186,0.055,True,0.206,0.278,0.093,0.959
js_semicolons,alt,97,146,0.589,0.546,0.546,0.447,0.642,0.447,0.642,0.0,0.072,False,0.237,0.361,0.34,0.918
js_strict_eq,nat,26,107,0.766,0.808,0.808,0.621,0.915,0.621,0.915,0.0,0.096,False,0.154,0.038,0.0,0.923
js_strict_eq,alt,26,107,0.72,0.692,0.846,0.5,0.835,0.665,0.939,0.154,0.12,False,0.231,0.038,0.077,0.923
trailing_commas,nat,68,130,0.846,0.838,0.706,0.733,0.907,0.589,0.801,-0.132,0.072,False,0.279,0.132,0.103,0.941
trailing_commas,alt,68,130,0.662,0.632,0.529,0.514,0.737,0.412,0.643,-0.103,0.079,False,0.221,0.162,0.103,0.912
py_paren_if,nat,174,199,0.633,0.632,0.603,0.558,0.7,0.529,0.673,-0.029,0.052,False,0.299,0.305,0.287,0.81
py_paren_if,alt,174,199,0.563,0.557,0.534,0.483,0.629,0.46,0.607,-0.023,0.053,False,0.276,0.31,0.282,0.776
py_type_hints,nat,102,192,0.719,0.725,0.922,0.632,0.803,0.853,0.96,0.196,0.05,True,0.265,0.01,0.059,1.0
py_type_hints,alt,102,192,0.828,0.794,0.833,0.706,0.861,0.749,0.893,0.039,0.054,False,0.235,0.167,0.167,1.0
py_optional,nat,79,191,0.597,0.582,0.759,0.472,0.685,0.655,0.84,0.177,0.072,True,0.266,0.228,0.392,0.962
py_optional,alt,79,191,0.602,0.595,0.772,0.485,0.696,0.668,0.851,0.177,0.074,True,0.367,0.177,0.316,0.975
py_builtin_generics,nat,47,113,0.858,0.851,0.936,0.723,0.926,0.828,0.978,0.085,0.06,False,0.468,0.043,0.064,0.979
py_builtin_generics,alt,47,113,0.947,0.957,0.894,0.858,0.988,0.774,0.954,-0.064,0.056,False,0.404,0.043,0.021,0.957
py_comprehension,nat,158,194,0.598,0.601,0.627,0.523,0.674,0.549,0.698,0.025,0.055,False,0.12,0.31,0.323,0.911
py_comprehension,alt,158,194,0.649,0.633,0.677,0.555,0.704,0.601,0.745,0.044,0.053,False,0.241,0.12,0.171,0.867
py_not_in,nat,104,164,0.518,0.5,0.606,0.406,0.594,0.51,0.694,0.106,0.065,False,0.288,0.26,0.375,0.856
py_not_in,alt,104,164,0.378,0.356,0.404,0.27,0.451,0.315,0.5,0.048,0.06,False,0.298,0.356,0.49,0.788
