task,group,d_cos_task_cue2_a0.0,d_cos_task_cue2_a0.5,d_cos_task_cue2_a1.0,d_cos_task_cue2_a2.0,d_cos_task_cue2_a4.0,d_cos_task_cue3_a0.0,d_cos_task_cue3_a0.5,d_cos_task_cue3_a1.0,d_cos_task_cue3_a2.0,d_cos_task_cue3_a4.0,d_cos_task_cue4_a0.0,d_cos_task_cue4_a0.5,d_cos_task_cue4_a1.0,d_cos_task_cue4_a2.0,d_cos_task_cue4_a4.0,d_cos_task_cue5_a0.0,d_cos_task_cue5_a0.5,d_cos_task_cue5_a1.0,d_cos_task_cue5_a2.0,d_cos_task_cue5_a4.0,d_cos_task_cue6_a0.0,d_cos_task_cue6_a0.5,d_cos_task_cue6_a1.0,d_cos_task_cue6_a2.0,d_cos_task_cue6_a4.0,d_cos_task_query_cue_a0.0,d_cos_task_query_cue_a0.5,d_cos_task_query_cue_a1.0,d_cos_task_query_cue_a2.0,d_cos_task_query_cue_a4.0,d_cos_gen_cue2_a0.0,d_cos_gen_cue2_a0.5,d_cos_gen_cue2_a1.0,d_cos_gen_cue2_a2.0,d_cos_gen_cue2_a4.0,d_cos_gen_cue3_a0.0,d_cos_gen_cue3_a0.5,d_cos_gen_cue3_a1.0,d_cos_gen_cue3_a2.0,d_cos_gen_cue3_a4.0,d_cos_gen_cue4_a0.0,d_cos_gen_cue4_a0.5,d_cos_gen_cue4_a1.0,d_cos_gen_cue4_a2.0,d_cos_gen_cue4_a4.0,d_cos_gen_cue5_a0.0,d_cos_gen_cue5_a0.5,d_cos_gen_cue5_a1.0,d_cos_gen_cue5_a2.0,d_cos_gen_cue5_a4.0,d_cos_gen_cue6_a0.0,d_cos_gen_cue6_a0.5,d_cos_gen_cue6_a1.0,d_cos_gen_cue6_a2.0,d_cos_gen_cue6_a4.0,d_cos_gen_query_cue_a0.0,d_cos_gen_query_cue_a0.5,d_cos_gen_query_cue_a1.0,d_cos_gen_query_cue_a2.0,d_cos_gen_query_cue_a4.0
concrete_abstract,train,0.0,0.04007,0.06253,0.05852,0.04066,0.0,0.01853,0.03189,0.03078,0.02559,0.0,0.01377,0.02122,0.01852,0.01461,0.0,0.01118,0.01691,0.0145,0.01137,0.0,0.00997,0.01481,0.01252,0.00966,0.0,0.00811,0.01153,0.00982,0.00782,0.0,0.02573,0.03739,0.0338,0.02547,0.0,0.01219,0.01868,0.01695,0.01474,0.0,0.00971,0.0131,0.01057,0.00845,0.0,0.00798,0.01051,0.00823,0.00648,0.0,0.00725,0.00922,0.00693,0.00523,0.0,0.00592,0.0073,0.00556,0.00435
contains_letter_e,train,0.0,0.02584,0.0395,0.03346,0.02309,0.0,0.0155,0.02444,0.02314,0.02036,0.0,0.01074,0.01497,0.01383,0.01246,0.0,0.00844,0.01168,0.01073,0.00974,0.0,0.00767,0.01034,0.00966,0.00887,0.0,0.00661,0.009,0.00859,0.00796,0.0,0.01724,0.02271,0.01708,0.01146,0.0,0.00821,0.01106,0.00869,0.00699,0.0,0.00616,0.00693,0.00499,0.00393,0.0,0.00495,0.00546,0.00386,0.00304,0.0,0.00454,0.0048,0.00339,0.00266,0.0,0.00386,0.0041,0.00296,0.00237
country-capital,train,0.0,0.05062,0.0946,0.09565,0.0758,0.0,0.02422,0.05542,0.05808,0.04159,0.0,0.01779,0.04259,0.04507,0.03246,0.0,0.01462,0.03591,0.03725,0.02625,0.0,0.01387,0.03493,0.03428,0.02287,0.0,0.01154,0.02908,0.02821,0.01916,0.0,0.01592,0.02736,0.02405,0.01766,0.0,0.00863,0.01672,0.01651,0.01148,0.0,0.00834,0.01547,0.01443,0.00982,0.0,0.00736,0.01391,0.01261,0.00844,0.0,0.00699,0.01349,0.01135,0.00701,0.0,0.00584,0.01137,0.00945,0.00596
day_after_textual_date,train,0.0,0.04145,0.08622,0.06318,0.04275,0.0,0.01286,0.03401,0.02974,0.01773,0.0,0.01038,0.02473,0.02202,0.01362,0.0,0.01065,0.0254,0.0225,0.01358,0.0,0.00889,0.02053,0.01855,0.01177,0.0,0.01016,0.0237,0.02073,0.0127,0.0,0.03315,0.04809,0.02777,0.01441,0.0,0.01247,0.02035,0.0142,0.00664,0.0,0.00978,0.01455,0.00958,0.00406,0.0,0.00955,0.01464,0.0095,0.00384,0.0,0.00791,0.01158,0.00743,0.00302,0.0,0.00865,0.01307,0.0081,0.00302
ends_with_ing,heldout,0.0,0.02853,0.0431,0.03457,0.02324,0.0,0.0165,0.02587,0.02392,0.02096,0.0,0.01122,0.01557,0.01392,0.0124,0.0,0.00878,0.01205,0.01094,0.00993,0.0,0.00793,0.01063,0.00967,0.00879,0.0,0.00662,0.00901,0.00848,0.0078,0.0,0.01752,0.02239,0.01457,0.00807,0.0,0.00825,0.01095,0.008,0.00618,0.0,0.00617,0.00674,0.00434,0.00314,0.0,0.00501,0.00532,0.0035,0.00263,0.0,0.00455,0.00463,0.00296,0.0022,0.0,0.00372,0.00381,0.0025,0.00186
english-french,heldout,0.0,0.04828,0.08714,0.10885,0.11077,0.0,0.02643,0.05018,0.05963,0.05906,0.0,0.01803,0.03448,0.04076,0.03992,0.0,0.01403,0.02783,0.03483,0.0346,0.0,0.0126,0.02495,0.03154,0.0309,0.0,0.0117,0.02364,0.03011,0.0297,0.0,0.0273,0.04501,0.043,0.03467,0.0,0.01662,0.03238,0.03636,0.03261,0.0,0.01312,0.02478,0.0274,0.02418,0.0,0.01075,0.02108,0.02467,0.02224,0.0,0.00995,0.01943,0.02299,0.02059,0.0,0.00911,0.01825,0.02183,0.01974
english-italian,train,0.0,0.04128,0.08033,0.10863,0.11069,0.0,0.02236,0.04385,0.0594,0.06053,0.0,0.01611,0.03246,0.04479,0.04422,0.0,0.01301,0.02718,0.03921,0.03894,0.0,0.01138,0.02388,0.03501,0.0342,0.0,0.01109,0.02355,0.03409,0.03271,0.0,0.02271,0.04062,0.04332,0.03583,0.0,0.01342,0.02754,0.03606,0.03365,0.0,0.01129,0.02274,0.03011,0.02714,0.0,0.00938,0.01978,0.02734,0.02479,0.0,0.00867,0.01806,0.02512,0.02249,0.0,0.00826,0.01762,0.02424,0.02123
english-portuguese,train,0.0,0.04327,0.08191,0.10681,0.10882,0.0,0.0247,0.04797,0.06115,0.06174,0.0,0.01713,0.03332,0.04234,0.04196,0.0,0.0137,0.02794,0.03711,0.03672,0.0,0.01233,0.02487,0.0333,0.03276,0.0,0.01223,0.02507,0.03314,0.03217,0.0,0.02445,0.04271,0.0445,0.03654,0.0,0.01529,0.0307,0.03747,0.03432,0.0,0.01228,0.02372,0.0285,0.02552,0.0,0.01021,0.02082,0.02608,0.02342,0.0,0.00944,0.01886,0.02369,0.02114,0.0,0.00927,0.01896,0.02354,0.02074
english-spanish,train,0.0,0.04676,0.08777,0.10998,0.11246,0.0,0.0253,0.04916,0.05962,0.0594,0.0,0.01748,0.03428,0.04214,0.0419,0.0,0.01421,0.02869,0.03701,0.03726,0.0,0.0123,0.02505,0.03299,0.03324,0.0,0.0114,0.02344,0.03108,0.03171,0.0,0.02613,0.04445,0.04285,0.03435,0.0,0.01591,0.03134,0.03566,0.03171,0.0,0.01276,0.02444,0.02792,0.02488,0.0,0.01071,0.02115,0.02537,0.02301,0.0,0.00971,0.01922,0.02343,0.02138,0.0,0.00887,0.01783,0.02197,0.02041
first_digit,heldout,0.0,0.03854,0.05994,0.06182,0.04171,0.0,0.01876,0.02973,0.03015,0.0208,0.0,0.01379,0.02029,0.01995,0.01466,0.0,0.01281,0.01792,0.01694,0.0127,0.0,0.01119,0.01533,0.01449,0.01107,0.0,0.00973,0.01315,0.01277,0.00993,0.0,0.02069,0.03089,0.03032,0.01944,0.0,0.00916,0.01398,0.0147,0.01179,0.0,0.00747,0.01021,0.01006,0.00807,0.0,0.00696,0.00905,0.00851,0.00682,0.0,0.00609,0.0077,0.00714,0.00574,0.0,0.00542,0.00664,0.00619,0.00499
first_three_letters,train,0.0,0.06508,0.10857,0.11829,0.10888,0.0,0.03909,0.07557,0.09429,0.09033,0.0,0.02665,0.05297,0.06829,0.06844,0.0,0.02212,0.04512,0.06028,0.06174,0.0,0.01897,0.03853,0.05239,0.05419,0.0,0.01822,0.03717,0.05044,0.05344,0.0,0.03556,0.05446,0.05485,0.0454,0.0,0.02164,0.04038,0.04958,0.04722,0.0,0.01613,0.03044,0.03766,0.03629,0.0,0.01342,0.02611,0.03312,0.03201,0.0,0.01169,0.02254,0.02891,0.02801,0.0,0.01118,0.02159,0.02747,0.02698
french-english,heldout,0.0,0.04576,0.07464,0.0837,0.07984,0.0,0.02685,0.05144,0.06568,0.06322,0.0,0.01696,0.03229,0.0417,0.04027,0.0,0.01422,0.02708,0.03476,0.03299,0.0,0.01304,0.02488,0.03216,0.0301,0.0,0.01132,0.02135,0.0276,0.02625,0.0,0.02373,0.03711,0.03672,0.02926,0.0,0.01627,0.03121,0.03846,0.03444,0.0,0.01131,0.02098,0.02586,0.0231,0.0,0.00969,0.01793,0.02199,0.01935,0.0,0.00923,0.01707,0.02112,0.01821,0.0,0.00803,0.01466,0.01803,0.01579
french_noun_gender,train,0.0,0.04304,0.06754,0.05332,0.0292,0.0,0.0237,0.0402,0.0334,0.02382,0.0,0.016,0.02583,0.02072,0.01507,0.0,0.01341,0.0208,0.01627,0.01184,0.0,0.01169,0.01741,0.01303,0.00925,0.0,0.0095,0.01402,0.0111,0.0082,0.0,0.03021,0.04244,0.03327,0.02115,0.0,0.0163,0.02365,0.01866,0.01412,0.0,0.01203,0.0162,0.01204,0.00909,0.0,0.01006,0.01297,0.00926,0.00688,0.0,0.00891,0.01079,0.00714,0.00504,0.0,0.00736,0.00872,0.00596,0.00425
german-english,train,0.0,0.04558,0.07898,0.0961,0.0965,0.0,0.02662,0.05353,0.07285,0.07468,0.0,0.01633,0.03331,0.04652,0.04755,0.0,0.01365,0.02752,0.03769,0.03757,0.0,0.01169,0.02372,0.03278,0.03225,0.0,0.01061,0.02116,0.02883,0.02844,0.0,0.02191,0.03653,0.04128,0.03701,0.0,0.01479,0.02938,0.03849,0.03724,0.0,0.01013,0.02005,0.02688,0.02577,0.0,0.00872,0.01696,0.02225,0.02078,0.0,0.00775,0.01519,0.02024,0.01865,0.0,0.00694,0.01332,0.01742,0.01604
german_noun_gender,train,0.0,0.0195,0.033,0.0296,0.01162,0.0,0.01075,0.01975,0.02021,0.01515,0.0,0.00671,0.0119,0.012,0.00924,0.0,0.00596,0.01026,0.00993,0.00749,0.0,0.00481,0.0082,0.00791,0.00602,0.0,0.0042,0.00689,0.00665,0.00515,0.0,0.01385,0.02083,0.01989,0.01373,0.0,0.00657,0.01079,0.01142,0.01007,0.0,0.0046,0.0072,0.0075,0.00665,0.0,0.00415,0.00628,0.00641,0.00565,0.0,0.00337,0.00502,0.00507,0.00448,0.0,0.00302,0.00436,0.00438,0.00389
gerund_to_base,heldout,0.0,0.09211,0.12285,0.10998,0.08096,0.0,0.0605,0.09424,0.09655,0.08168,0.0,0.04107,0.0633,0.06115,0.05149,0.0,0.03251,0.05006,0.04885,0.04163,0.0,0.02924,0.04598,0.04543,0.03902,0.0,0.02411,0.03718,0.0378,0.03402,0.0,0.04981,0.06369,0.05436,0.03624,0.0,0.03405,0.05231,0.05464,0.04751,0.0,0.02496,0.03751,0.03648,0.03102,0.0,0.02024,0.03054,0.0299,0.02559,0.0,0.0185,0.02835,0.02785,0.02388,0.0,0.01529,0.02298,0.02304,0.02057
gerund_to_past,train,0.0,0.10192,0.13247,0.10859,0.08192,0.0,0.06918,0.10154,0.08612,0.0682,0.0,0.04609,0.06646,0.05264,0.04164,0.0,0.03753,0.0546,0.04369,0.035,0.0,0.03357,0.04999,0.03962,0.03135,0.0,0.02709,0.03972,0.03267,0.02722,0.0,0.05224,0.06443,0.04931,0.03227,0.0,0.03743,0.05243,0.04604,0.03852,0.0,0.02713,0.03638,0.02909,0.02379,0.0,0.02292,0.03098,0.02472,0.0203,0.0,0.02065,0.02823,0.02207,0.01778,0.0,0.01707,0.02304,0.01855,0.0156
hypernym_category,train,0.0,0.03244,0.06006,0.07626,0.07306,0.0,0.0171,0.033,0.04424,0.04161,0.0,0.01196,0.02241,0.02919,0.02737,0.0,0.01004,0.01874,0.02409,0.0224,0.0,0.00938,0.0177,0.02244,0.02023,0.0,0.00803,0.0148,0.01875,0.01736,0.0,0.01497,0.02677,0.03152,0.02718,0.0,0.0095,0.01733,0.02198,0.02036,0.0,0.00784,0.01302,0.01555,0.01401,0.0,0.00682,0.0113,0.01333,0.01193,0.0,0.00659,0.01098,0.01267,0.01099,0.0,0.00574,0.00941,0.01072,0.00944
initials_two_words,heldout,0.0,0.03967,0.07649,0.08173,0.04386,0.0,0.02388,0.05702,0.08164,0.05977,0.0,0.01585,0.03685,0.05072,0.03872,0.0,0.01368,0.03092,0.0415,0.03326,0.0,0.01115,0.02462,0.03259,0.02691,0.0,0.00935,0.02021,0.02691,0.02382,0.0,0.02335,0.03957,0.03913,0.02666,0.0,0.01222,0.02616,0.03218,0.02441,0.0,0.00871,0.01825,0.02157,0.01625,0.0,0.00746,0.01552,0.01789,0.01368,0.0,0.00608,0.01242,0.01394,0.01064,0.0,0.00523,0.0103,0.01131,0.00887
iso_date_to_month,train,0.0,0.04152,0.07737,0.08423,0.06077,0.0,0.01956,0.04043,0.04402,0.02954,0.0,0.01777,0.03458,0.03487,0.02406,0.0,0.01707,0.03164,0.03133,0.0225,0.0,0.01535,0.02825,0.02783,0.02043,0.0,0.01344,0.02431,0.02484,0.01849,0.0,0.02056,0.03584,0.03513,0.02283,0.0,0.00851,0.01661,0.01796,0.01268,0.0,0.00848,0.01533,0.01516,0.01069,0.0,0.00869,0.01485,0.01424,0.01031,0.0,0.00826,0.01363,0.01269,0.00918,0.0,0.00757,0.01206,0.0113,0.00812
iso_date_year_plus_one,train,0.0,0.03684,0.08182,0.08862,0.05296,0.0,0.01617,0.04688,0.05473,0.03193,0.0,0.01439,0.04033,0.0422,0.02393,0.0,0.01351,0.03517,0.03576,0.02099,0.0,0.013,0.03283,0.03334,0.02011,0.0,0.01143,0.02727,0.02814,0.01739,0.0,0.02196,0.03803,0.03641,0.01983,0.0,0.00773,0.01848,0.02113,0.01273,0.0,0.00752,0.01714,0.01789,0.0102,0.0,0.0077,0.01621,0.01623,0.00945,0.0,0.00781,0.01556,0.01516,0.00876,0.0,0.00747,0.01376,0.01304,0.00731
landmark-country,train,0.0,0.03207,0.06723,0.07423,0.0585,0.0,0.01645,0.03841,0.0434,0.03283,0.0,0.01127,0.02559,0.02779,0.02135,0.0,0.00961,0.02197,0.02277,0.01721,0.0,0.00796,0.01811,0.01836,0.01395,0.0,0.00751,0.0173,0.01683,0.01244,0.0,0.01066,0.02064,0.018,0.01028,0.0,0.00605,0.01258,0.01232,0.00899,0.0,0.00501,0.0097,0.00883,0.00638,0.0,0.00451,0.00864,0.00727,0.00499,0.0,0.00382,0.00721,0.00577,0.00385,0.0,0.00373,0.007,0.00522,0.00319
language_identification,train,0.0,0.02864,0.05652,0.05373,0.02991,0.0,0.01558,0.0357,0.03492,0.0233,0.0,0.01046,0.02347,0.02244,0.01526,0.0,0.00894,0.01903,0.01765,0.01202,0.0,0.00784,0.0157,0.01347,0.00893,0.0,0.0067,0.01304,0.0117,0.00806,0.0,0.01513,0.02691,0.02523,0.01723,0.0,0.00694,0.01421,0.01278,0.00909,0.0,0.00569,0.01019,0.00813,0.00531,0.0,0.00516,0.00851,0.00642,0.00395,0.0,0.00483,0.00714,0.00463,0.00248,0.0,0.00426,0.00598,0.00393,0.00212
larger_of_pair,train,0.0,0.10173,0.13587,0.11473,0.07139,0.0,0.04587,0.06818,0.05609,0.03654,0.0,0.03516,0.05054,0.03958,0.02636,0.0,0.0322,0.04498,0.03392,0.02257,0.0,0.03075,0.04188,0.02998,0.01967,0.0,0.0289,0.03931,0.02729,0.01773,0.0,0.05763,0.06886,0.05461,0.03415,0.0,0.02596,0.03354,0.02916,0.02337,0.0,0.02073,0.02647,0.02188,0.01716,0.0,0.01909,0.02395,0.01909,0.01476,0.0,0.01829,0.02247,0.017,0.01289,0.0,0.01711,0.02096,0.01532,0.0114
larger_than_1000,train,0.0,0.03153,0.04922,0.04304,0.02602,0.0,0.01558,0.0233,0.02081,0.01659,0.0,0.01161,0.01563,0.014,0.01184,0.0,0.01025,0.0132,0.01192,0.01021,0.0,0.0093,0.01145,0.01034,0.00893,0.0,0.00807,0.00986,0.00904,0.00778,0.0,0.02221,0.02853,0.02189,0.01267,0.0,0.00854,0.01079,0.00933,0.00774,0.0,0.00616,0.00633,0.00467,0.00357,0.0,0.00559,0.00531,0.00372,0.00271,0.0,0.00503,0.00442,0.00288,0.00197,0.0,0.00438,0.00374,0.00236,0.00149
lowercase_first_letter,train,0.0,0.04881,0.08206,0.07988,0.04457,0.0,0.02936,0.05302,0.05487,0.03889,0.0,0.01991,0.03456,0.03306,0.02365,0.0,0.01732,0.02959,0.02761,0.01987,0.0,0.01537,0.02579,0.0239,0.01782,0.0,0.01399,0.02306,0.02106,0.01575,0.0,0.03203,0.05125,0.05193,0.03786,0.0,0.01694,0.03104,0.03332,0.02633,0.0,0.01191,0.02107,0.02096,0.01613,0.0,0.01028,0.01785,0.01704,0.01268,0.0,0.00909,0.01548,0.01443,0.0107,0.0,0.00836,0.01392,0.01272,0.00937
lowercase_word,train,0.0,0.09139,0.13402,0.13881,0.11956,0.0,0.0521,0.07979,0.08344,0.07846,0.0,0.0361,0.05466,0.05397,0.04966,0.0,0.03054,0.04563,0.04423,0.04035,0.0,0.02751,0.04007,0.03753,0.03399,0.0,0.02324,0.03372,0.03219,0.03045,0.0,0.05849,0.07942,0.0778,0.06713,0.0,0.03608,0.05268,0.05432,0.05279,0.0,0.02563,0.03676,0.03569,0.03373,0.0,0.02217,0.03135,0.02975,0.02777,0.0,0.02031,0.02801,0.02539,0.02321,0.0,0.01729,0.02363,0.02134,0.01998
national_parks,train,0.0,0.03405,0.07749,0.08138,0.06347,0.0,0.0173,0.03769,0.03772,0.02653,0.0,0.01336,0.02917,0.02874,0.01997,0.0,0.01188,0.02626,0.02508,0.01741,0.0,0.01106,0.02541,0.02332,0.01564,0.0,0.00979,0.02249,0.02087,0.01361,0.0,0.01516,0.02832,0.02504,0.01628,0.0,0.00983,0.01642,0.01422,0.00906,0.0,0.00789,0.01295,0.01056,0.00615,0.0,0.00693,0.01155,0.00895,0.00504,0.0,0.00654,0.01124,0.00818,0.00427,0.0,0.00599,0.01015,0.00741,0.00376
