layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
11,31.01595,25.98197,46.85478,34.26345,30.08774,53.44414,37.26386,33.57656,55.20807,37.42480,33.95716,55.52510,37.36371,33.76379,55.46346,37.16779,33.64302,55.36139,37.09301,33.56424,55.23909,36.94806,33.47630,55.10430,36.80494,33.38151,54.86615,36.80238,33.23524,54.82130,36.59425,33.06511
12,29.19272,25.62708,45.34830,32.67031,28.15825,52.11211,35.18971,30.90387,52.82851,35.20154,31.01842,52.97331,35.11184,30.83938,52.93970,34.90738,30.74329,52.89922,34.79778,30.68695,52.79461,34.66448,30.62015,52.68219,34.55531,30.57133,52.45797,34.56328,30.48471,52.41720,34.34932,30.37370
13,28.74740,26.20549,46.56103,32.43999,29.12947,52.95495,34.54728,30.96788,52.87368,34.41266,31.01224,52.72815,34.39222,30.88924,52.64563,34.24325,30.87963,52.52517,34.21284,30.88855,52.42961,34.13635,30.87003,52.34905,34.05769,30.83407,52.09747,34.11756,30.78493,52.04102,33.93553,30.74489
14,28.21651,26.20013,45.52020,31.73243,26.97666,52.43180,33.59850,28.48735,52.65604,33.59096,28.57044,52.67031,33.70469,28.44904,52.73840,33.65593,28.41872,52.69586,33.68472,28.44364,52.63416,33.64059,28.42963,52.59312,33.60041,28.41350,52.33814,33.66542,28.39048,52.29133,33.50813,28.36801
15,30.57524,26.53384,47.35749,32.96494,26.55254,53.09542,34.62693,28.13478,53.57665,34.72960,28.43494,53.79559,34.94130,28.52285,53.95095,34.97477,28.62134,53.95668,35.05613,28.75223,53.94663,35.08723,28.81117,53.93595,35.06388,28.86063,53.70694,35.15391,28.89317,53.68432,35.02214,28.89415
16,33.60915,29.11665,50.75155,35.69535,28.28375,55.63355,36.83728,29.30394,55.55799,36.82881,29.35410,55.55130,36.97506,29.29731,55.54232,36.97322,29.28194,55.42346,36.96591,29.36865,55.31009,36.95268,29.39968,55.21142,36.87545,29.41002,54.90899,36.96459,29.41388,54.81258,36.77077,29.39928
17,34.93950,30.23137,51.76400,36.03872,27.12411,54.93050,36.59040,27.03909,54.55874,36.43554,26.85970,54.45646,36.43599,26.56959,54.30739,36.35924,26.38909,54.10154,36.19984,26.33814,53.88071,36.11296,26.29996,53.70303,35.93734,26.24918,53.34935,35.99946,26.20860,53.17639,35.72795,26.16654
18,38.08209,34.01302,54.40949,38.47288,29.25985,57.30135,38.77471,28.32664,56.83553,38.51022,28.07586,56.73854,38.44582,27.80352,56.65064,38.32336,27.64019,56.48846,38.13688,27.56936,56.29315,38.05257,27.55552,56.15324,37.84241,27.50106,55.81553,37.92227,27.47858,55.69544,37.61563,27.43833
19,39.88858,38.46730,56.22943,39.43117,31.24957,57.75691,38.89468,29.75754,56.83329,38.40669,29.26081,56.49683,38.19316,28.85130,56.28901,37.98485,28.62435,56.03558,37.72655,28.48872,55.76671,37.57803,28.46261,55.56723,37.33314,28.38449,55.19183,37.37687,28.32894,55.01528,37.03679,28.28262
20,43.63879,41.12673,58.83770,42.14396,31.49973,58.59710,41.62390,29.69665,57.09236,40.91045,29.24601,56.57586,40.52082,28.85723,56.24327,40.25766,28.62603,56.07249,39.88097,28.46537,55.80279,39.72814,28.43737,55.59714,39.44133,28.33060,55.13759,39.45697,28.24525,54.71136,39.10348,28.18405
21,44.21162,42.67538,58.76591,41.88774,30.87763,57.92380,41.26555,28.78439,56.30837,40.55481,28.37935,55.74257,40.13811,28.00326,55.40909,39.85714,27.76039,55.25720,39.47305,27.57522,55.00631,39.31521,27.52960,54.81214,39.01887,27.40952,54.35170,39.03053,27.30909,53.94885,38.68681,27.23501
22,44.84552,43.17533,58.42114,41.92908,30.36862,57.20171,41.19525,28.34323,55.66492,40.48777,27.90361,55.16718,40.02540,27.49601,54.86024,39.75568,27.25685,54.75584,39.37749,27.07082,54.53653,39.20851,27.01841,54.36516,38.92885,26.89724,53.92362,38.92569,26.80169,53.53727,38.58349,26.72197
23,46.21276,45.44752,59.10255,42.62439,32.43850,58.13092,41.85873,30.70868,57.01800,41.18364,30.35247,56.70656,40.72742,29.99581,56.46819,40.50556,29.83798,56.44429,40.16018,29.70543,56.26986,40.00253,29.69969,56.14504,39.73938,29.62607,55.72454,39.74251,29.56964,55.41825,39.41277,29.52705
24,41.05769,42.31825,54.18171,38.06467,30.54581,54.50359,37.57629,28.91180,53.68127,37.03488,28.46705,53.53741,36.70761,28.15663,53.45215,36.59213,28.06305,53.62422,36.35865,27.97950,53.63974,36.28532,28.00389,53.65066,36.10923,27.97985,53.35653,36.17482,27.93836,53.11946,35.95167,27.94977
25,35.20225,38.42186,49.56483,34.36309,29.28528,53.52199,34.80774,28.65545,53.36042,34.55356,28.21382,53.40993,34.49058,27.99421,53.48894,34.56077,28.00897,53.68354,34.47674,28.04159,53.83145,34.49872,28.14200,53.92272,34.42251,28.17244,53.69050,34.58043,28.12618,53.57121,34.38764,28.12994
26,29.68655,30.13441,44.34016,30.60009,21.87606,51.47590,31.39420,22.68437,52.11512,31.38549,22.77559,52.53324,31.36360,22.74540,52.84849,31.52332,22.79169,53.20967,31.42664,22.84838,53.55365,31.49308,22.95294,53.81802,31.43737,23.01098,53.71773,31.62258,22.92063,53.77026,31.48183,22.93010
27,34.53515,43.52694,53.09747,36.73863,36.84110,60.65854,37.56701,35.28525,61.10882,37.92228,34.64061,61.40268,38.10723,33.94632,61.59563,38.26604,33.44738,61.71802,38.25615,32.99736,61.93134,38.24015,32.67378,62.13660,38.23513,32.34461,61.96693,38.40714,31.92163,62.00874,38.26027,31.73081
