property,framing,ctx,style_k0,n_style_k0,judge_k0,n_judge_k0,exact_k0,n_exact_k0,joint_k0,n_joint_k0,unscorable_k0,n_unscorable_k0,style_k1,n_style_k1,judge_k1,n_judge_k1,exact_k1,n_exact_k1,joint_k1,n_joint_k1,unscorable_k1,n_unscorable_k1,style_k2,n_style_k2,judge_k2,n_judge_k2,exact_k2,n_exact_k2,joint_k2,n_joint_k2,unscorable_k2,n_unscorable_k2,style_k3,n_style_k3,judge_k3,n_judge_k3,exact_k3,n_exact_k3,joint_k3,n_joint_k3,unscorable_k3,n_unscorable_k3,style_k4,n_style_k4,judge_k4,n_judge_k4,exact_k4,n_exact_k4,joint_k4,n_joint_k4,unscorable_k4,n_unscorable_k4,style_k5,n_style_k5,judge_k5,n_judge_k5,exact_k5,n_exact_k5,joint_k5,n_joint_k5,unscorable_k5,n_unscorable_k5,style_k4plus,joint_k4plus,judge_all,exact_all,scorable_all,judge_fail,n
num_words,trans,nat,0.979,47,0.556,81,0.0,81,0.511,47,0.42,81,0.984,61,0.458,83,0.036,83,0.508,61,0.265,83,0.957,69,0.588,85,0.012,85,0.594,69,0.188,85,0.97,66,0.447,85,0.0,85,0.485,66,0.224,85,0.945,55,0.459,85,0.012,85,0.564,55,0.353,85,0.969,64,0.529,85,0.012,85,0.594,64,0.247,85,0.964,0.575,0.521,0.01,0.728,0,599
num_words,plain,alt,0.308,13,,0,0.0,81,,0,0.84,81,0.822,45,,0,0.012,83,,0,0.458,83,0.781,32,,0,0.0,85,,0,0.624,85,0.789,38,,0,0.0,85,,0,0.553,85,0.778,27,,0,0.0,85,,0,0.682,85,0.912,34,,0,0.0,85,,0,0.6,85,0.856,,,0.002,0.387,,599
num_words,trans,alt,0.104,48,0.63,81,0.0,81,0.062,48,0.407,81,0.652,66,0.53,83,0.036,83,0.318,66,0.205,83,0.662,65,0.553,85,0.035,85,0.338,65,0.235,85,0.652,69,0.471,85,0.0,85,0.232,69,0.188,85,0.729,59,0.541,85,0.0,85,0.475,59,0.306,85,0.701,67,0.494,85,0.024,85,0.343,67,0.212,85,0.71,0.39,0.534,0.015,0.748,0,599
ordinal_words,plain,nat,0.0,30,,0,0.003,288,,0,0.896,288,0.423,52,,0,0.0,319,,0,0.837,319,0.652,92,,0,0.003,323,,0,0.715,323,0.836,67,,0,0.0,239,,0,0.72,239,0.745,47,,0,0.0,187,,0,0.749,187,0.906,53,,0,0.0,153,,0,0.654,153,0.882,,,0.001,0.256,,1801
ordinal_words,trans,nat,0.152,264,0.653,288,0.017,288,0.087,264,0.083,288,0.661,277,0.448,319,0.013,319,0.235,277,0.132,319,0.778,279,0.356,323,0.022,323,0.24,279,0.136,323,0.866,209,0.285,239,0.004,239,0.206,209,0.126,239,0.905,158,0.257,187,0.021,187,0.215,158,0.155,187,0.93,129,0.203,153,0.0,153,0.163,129,0.157,153,0.928,0.171,0.356,0.013,0.87,0,1801
ordinal_words,plain,alt,1.0,28,,0,0.0,288,,0,0.903,288,0.978,46,,0,0.0,319,,0,0.856,319,0.988,81,,0,0.0,323,,0,0.749,323,0.985,65,,0,0.004,239,,0,0.728,239,1.0,38,,0,0.0,187,,0,0.797,187,1.0,35,,0,0.0,153,,0,0.771,153,0.994,,,0.001,0.212,,1801
ordinal_words,trans,alt,0.866,261,0.656,288,0.031,288,0.609,261,0.094,288,0.764,275,0.436,319,0.028,319,0.353,275,0.138,319,0.823,271,0.328,323,0.012,323,0.266,271,0.161,323,0.867,203,0.326,239,0.004,239,0.3,203,0.151,239,0.913,150,0.246,187,0.016,187,0.24,150,0.198,187,0.892,120,0.209,153,0.0,153,0.217,120,0.216,153,0.917,0.202,0.354,0.015,0.83,0,1801
oxford_comma,plain,nat,0.776,49,,0,0.015,67,,0,0.269,67,0.884,43,,0,0.0,67,,0,0.358,67,0.919,37,,0,0.0,67,,0,0.448,67,0.952,42,,0,0.045,67,,0,0.373,67,1.0,12,,0,0.0,22,,0,0.455,22,1.0,4,,0,0.143,7,,0,0.429,7,1.0,,,0.017,0.63,,297
oxford_comma,trans,nat,0.569,65,0.91,67,0.269,67,0.538,65,0.03,67,0.937,63,0.896,67,0.328,67,0.873,63,0.06,67,0.922,64,0.866,67,0.284,67,0.812,64,0.045,67,1.0,62,0.866,67,0.328,67,0.871,62,0.075,67,0.95,20,0.773,22,0.136,22,0.75,20,0.091,22,1.0,7,0.857,7,0.286,7,0.857,7,0.0,7,0.963,0.778,0.875,0.29,0.946,0,297
oxford_comma,plain,alt,0.162,37,,0,0.0,67,,0,0.448,67,0.622,45,,0,0.0,67,,0,0.328,67,0.721,43,,0,0.015,67,,0,0.358,67,0.643,42,,0,0.0,67,,0,0.373,67,0.8,15,,0,0.0,22,,0,0.318,22,1.0,5,,0,0.0,7,,0,0.286,7,0.85,,,0.003,0.63,,297
