doc_id,words_en,words_es,ratio,em_dash,double_space,curly,allcaps_sent,paras_en,paras_es
dlg009_1,379,460,1.214,0,0,0,0,2,2
dlg009_2,372,433,1.164,0,0,0,0,1,1
dlg009_3,367,431,1.174,0,0,0,0,2,2
dlg010_0,414,464,1.121,0,0,0,0,2,2
dlg010_1,327,369,1.128,0,0,0,0,2,2
dlg010_2,397,445,1.121,0,0,0,0,2,2
dlg010_3,366,414,1.131,0,0,0,0,2,2
dlg011_0,308,345,1.12,0,0,0,0,1,1
dlg011_1,368,433,1.177,0,0,0,0,1,1
dlg011_2,306,356,1.163,0,0,0,0,1,1
dlg011_3,354,407,1.15,0,0,0,0,2,2
dlg012_0,410,480,1.171,0,0,0,0,2,2
dlg012_1,350,393,1.123,0,0,0,0,1,1
dlg012_2,383,444,1.159,0,0,0,0,2,2
dlg012_3,350,391,1.117,0,0,0,0,1,1
dlg013_0,296,330,1.115,0,0,0,0,1,1
dlg013_1,365,396,1.085,0,0,0,0,1,1
dlg013_2,313,342,1.093,0,0,0,0,1,1
dlg013_3,380,409,1.076,0,0,0,0,1,1
dlg014_0,343,406,1.184,0,0,0,0,1,1
dlg014_1,371,456,1.229,0,0,0,0,2,2
dlg014_2,308,375,1.218,0,0,0,0,1,1
dlg014_3,358,449,1.254,0,0,0,0,1,1
dlg015_0,394,431,1.094,0,0,0,0,1,1
dlg015_1,392,448,1.143,0,0,0,0,2,2
dlg015_2,289,342,1.183,0,0,0,0,1,1
dlg015_3,367,404,1.101,0,0,0,0,1,1
dlg016_0,391,434,1.11,0,0,0,0,2,2
dlg016_1,298,334,1.121,0,0,0,0,2,2
dlg016_2,359,400,1.114,0,0,0,0,1,1
dlg016_3,413,455,1.102,0,0,0,0,1,1
dlg017_0,255,307,1.204,0,0,0,0,1,1
dlg017_1,348,385,1.106,0,0,0,0,1,1
dlg017_2,272,310,1.14,0,0,0,0,1,1
dlg017_3,317,354,1.117,0,0,0,0,1,1
dlg018_0,357,403,1.129,0,0,0,0,1,1
dlg018_1,318,368,1.157,0,0,0,0,1,1
dlg018_2,306,359,1.173,0,0,0,0,1,1
dlg018_3,359,459,1.279,0,0,0,0,1,1
dlg019_0,326,379,1.163,0,0,0,0,1,1
dlg019_1,314,371,1.182,0,0,0,0,1,1
dlg019_2,347,404,1.164,0,0,0,0,1,1
dlg019_3,404,465,1.151,0,0,0,0,1,1
dlg020_0,341,386,1.132,0,0,0,0,1,1
dlg020_1,404,468,1.158,0,0,0,0,1,1
dlg020_2,335,382,1.14,0,0,0,0,1,1
dlg020_3,330,385,1.167,0,0,0,0,1,1
dlg021_0,386,424,1.098,0,0,0,0,2,2
dlg021_1,355,416,1.172,0,0,0,0,1,1
dlg021_2,355,404,1.138,0,0,0,0,2,2
dlg021_3,361,413,1.144,0,0,0,0,2,2
dlg022_0,421,446,1.059,0,0,0,0,2,2
dlg022_1,337,381,1.131,0,0,0,0,1,1
dlg022_2,370,412,1.114,0,0,0,0,1,1
dlg022_3,402,419,1.042,0,0,0,0,2,2
dlg023_0,324,394,1.216,0,0,0,0,1,1
dlg023_1,358,425,1.187,0,0,0,0,1,1
dlg023_2,397,459,1.156,0,0,0,0,2,2
dlg023_3,336,411,1.223,0,0,0,0,1,1
dlg024_0,427,456,1.068,0,0,0,0,1,1
dlg024_1,377,409,1.085,0,0,0,0,1,1
dlg024_2,372,411,1.105,0,0,0,0,2,2
dlg024_3,384,399,1.039,0,0,0,0,1,1
dlg025_0,332,386,1.163,0,0,0,0,1,1
dlg025_1,342,374,1.094,0,0,0,0,1,1
dlg025_2,487,534,1.097,0,0,0,0,1,1
dlg025_3,319,374,1.172,0,0,0,0,1,1
dlg026_0,360,423,1.175,0,0,0,0,1,1
dlg026_1,355,411,1.158,0,0,0,0,1,1
dlg026_2,433,477,1.102,0,0,0,0,1,1
dlg026_3,287,334,1.164,0,0,0,0,1,1
dlg027_0,359,401,1.117,0,0,0,0,2,2
dlg027_1,374,424,1.134,0,0,0,0,2,2
dlg027_2,319,351,1.1,0,0,0,0,1,1
dlg027_3,335,367,1.096,0,0,0,0,1,1
dlg028_0,361,398,1.102,0,0,0,0,1,1
dlg028_1,309,345,1.117,0,0,0,0,1,1
dlg028_2,358,399,1.115,0,0,0,0,1,1
dlg028_3,323,362,1.121,0,0,0,0,2,2
dlg029_0,397,457,1.151,0,0,0,0,2,2
dlg029_1,376,443,1.178,0,0,0,0,1,1
dlg029_2,369,420,1.138,0,0,0,0,1,1
dlg029_3,357,407,1.14,0,0,0,0,2,2
dsh000_0,262,312,1.191,0,0,0,0,1,1
dsh000_1,412,485,1.177,0,0,0,0,2,2
dsh000_2,279,337,1.208,0,0,0,0,2,2
dsh000_3,385,444,1.153,0,0,0,0,1,1
dsh001_0,377,420,1.114,0,0,0,0,2,2
dsh001_1,362,431,1.191,0,0,0,0,2,2
dsh001_2,361,427,1.183,0,0,0,0,2,2
dsh001_3,351,412,1.174,0,0,0,0,2,2
dsh002_0,328,389,1.186,0,0,0,0,2,2
dsh002_1,290,325,1.121,0,0,0,0,1,1
dsh002_2,299,337,1.127,0,0,0,0,1,1
dsh002_3,327,387,1.183,0,0,0,0,1,1
dsh003_0,320,385,1.203,0,0,0,0,2,2
dsh003_1,323,392,1.214,0,0,0,0,2,2
dsh003_2,349,402,1.152,0,0,0,0,2,2
dsh003_3,384,469,1.221,0,0,0,0,2,2
dsh004_0,271,311,1.148,0,0,0,0,1,1
dsh004_1,290,332,1.145,0,0,0,0,1,1
dsh004_2,347,369,1.063,0,0,0,0,1,1
dsh004_3,303,337,1.112,0,0,0,0,2,2
dsh005_0,295,348,1.18,0,0,0,0,1,1
dsh005_1,364,417,1.146,0,0,0,0,2,2
dsh005_2,374,441,1.179,0,0,0,0,1,1
dsh005_3,379,445,1.174,0,0,0,0,1,1
dsh006_0,303,365,1.205,0,0,0,0,1,1
dsh006_1,277,350,1.264,0,0,0,0,2,2
dsh006_2,332,402,1.211,0,0,0,0,1,1
dsh006_3,297,353,1.189,0,0,0,0,2,2
dsh007_0,331,395,1.193,0,0,0,0,2,2
dsh007_1,325,372,1.145,0,0,0,0,2,2
dsh007_2,318,367,1.154,0,0,0,0,1,1
dsh007_3,360,429,1.192,0,0,0,0,1,1
dsh008_0,336,391,1.164,0,0,0,0,1,1
dsh008_1,240,280,1.167,0,0,0,0,2,2
dsh008_2,313,355,1.134,0,0,0,0,1,1
dsh008_3,315,370,1.175,0,0,0,0,1,1
dsh009_0,330,391,1.185,0,0,0,0,1,1
dsh009_1,337,403,1.196,0,0,0,0,2,2
dsh009_2,328,407,1.241,0,0,0,0,2,2
dsh009_3,336,391,1.164,0,0,0,0,2,2
dsh010_0,390,434,1.113,0,0,0,0,2,2
dsh010_1,311,369,1.186,0,0,0,0,2,2
dsh010_2,343,385,1.122,0,0,0,0,2,2
dsh010_3,364,424,1.165,0,0,0,0,2,2
dsh011_0,299,367,1.227,0,0,0,0,1,1
dsh011_1,367,434,1.183,0,0,0,0,2,2
dsh011_2,340,399,1.174,0,0,0,0,1,1
dsh011_3,372,442,1.188,0,0,0,0,2,2
dsh012_0,368,445,1.209,0,0,0,0,1,1
dsh012_1,306,376,1.229,0,0,0,0,1,1
dsh012_2,302,364,1.205,0,0,0,0,1,1
dsh012_3,311,386,1.241,0,0,0,0,2,2
dsh013_0,313,377,1.204,0,0,0,0,1,1
dsh013_1,300,368,1.227,0,0,0,0,2,2
dsh013_2,382,431,1.128,0,0,0,0,2,2
dsh013_3,308,375,1.218,0,0,0,0,1,1
dsh014_0,347,424,1.222,0,0,0,0,1,1
dsh014_1,290,366,1.262,0,0,0,0,2,2
dsh014_2,329,410,1.246,0,0,0,0,2,2
dsh014_3,407,486,1.194,0,0,0,0,2,2
dsh015_0,292,345,1.182,0,0,0,0,1,1
dsh015_1,327,363,1.11,0,0,0,0,2,2
dsh015_2,302,340,1.126,0,0,0,0,1,1
dsh015_3,377,427,1.133,0,0,0,0,1,1
dsh016_0,336,372,1.107,0,0,0,0,2,2
dsh016_1,339,390,1.15,0,0,0,0,2,2
dsh016_2,431,480,1.114,0,0,0,0,2,2
