property,layer,alpha,strict,baseline,coherent_best_alpha
num_words,8,2.0,0.059,0.059,0.975
num_words,8,4.0,0.106,0.059,0.975
num_words,8,8.0,0.118,0.059,0.975
num_words,8,16.0,0.106,0.059,0.975
num_words,8,32.0,0.282,0.059,0.975
num_words,10,2.0,0.082,0.059,1.0
num_words,10,4.0,0.059,0.059,1.0
num_words,10,8.0,0.047,0.059,1.0
num_words,10,16.0,0.129,0.059,1.0
num_words,10,32.0,0.4,0.059,1.0
num_words,12,2.0,0.047,0.059,1.0
num_words,12,4.0,0.106,0.059,1.0
num_words,12,8.0,0.071,0.059,1.0
num_words,12,16.0,0.129,0.059,1.0
num_words,12,32.0,0.247,0.059,1.0
num_words,16,2.0,0.047,0.059,1.0
num_words,16,4.0,0.118,0.059,1.0
num_words,16,8.0,0.176,0.059,1.0
num_words,16,16.0,0.353,0.059,1.0
num_words,16,32.0,0.424,0.059,1.0
num_words,20,2.0,0.129,0.059,0.975
num_words,20,4.0,0.235,0.059,0.975
num_words,20,8.0,0.306,0.059,0.975
num_words,20,16.0,0.365,0.059,0.975
num_words,20,32.0,0.871,0.059,0.975
num_words,24,2.0,0.141,0.059,1.0
num_words,24,4.0,0.247,0.059,1.0
num_words,24,8.0,0.306,0.059,1.0
num_words,24,16.0,0.576,0.059,1.0
num_words,24,32.0,0.894,0.059,1.0
ordinal_words,2,2.0,0.15,0.117,1.0
ordinal_words,2,4.0,0.183,0.117,1.0
ordinal_words,2,8.0,0.142,0.117,1.0
ordinal_words,2,16.0,0.133,0.117,1.0
ordinal_words,2,32.0,0.125,0.117,1.0
ordinal_words,4,2.0,0.175,0.117,1.0
ordinal_words,4,4.0,0.158,0.117,1.0
ordinal_words,4,8.0,0.175,0.117,1.0
ordinal_words,4,16.0,0.183,0.117,1.0
ordinal_words,4,32.0,0.133,0.117,1.0
ordinal_words,6,2.0,0.175,0.117,0.975
ordinal_words,6,4.0,0.133,0.117,0.975
ordinal_words,6,8.0,0.1,0.117,0.975
ordinal_words,6,16.0,0.142,0.117,0.975
ordinal_words,6,32.0,0.133,0.117,0.975
ordinal_words,8,2.0,0.125,0.117,1.0
ordinal_words,8,4.0,0.158,0.117,1.0
ordinal_words,8,8.0,0.125,0.117,1.0
ordinal_words,8,16.0,0.133,0.117,1.0
ordinal_words,8,32.0,0.15,0.117,1.0
ordinal_words,10,2.0,0.125,0.117,1.0
ordinal_words,10,4.0,0.117,0.117,1.0
ordinal_words,10,8.0,0.133,0.117,1.0
ordinal_words,10,16.0,0.117,0.117,1.0
ordinal_words,10,32.0,0.217,0.117,1.0
ordinal_words,12,2.0,0.15,0.117,0.975
ordinal_words,12,4.0,0.108,0.117,0.975
ordinal_words,12,8.0,0.1,0.117,0.975
ordinal_words,12,16.0,0.108,0.117,0.975
ordinal_words,12,32.0,0.158,0.117,0.975
ordinal_words,16,2.0,0.125,0.117,0.975
ordinal_words,16,4.0,0.117,0.117,0.975
ordinal_words,16,8.0,0.192,0.117,0.975
ordinal_words,16,16.0,0.183,0.117,0.975
ordinal_words,16,32.0,0.225,0.117,0.975
ordinal_words,20,2.0,0.167,0.117,1.0
ordinal_words,20,4.0,0.125,0.117,1.0
ordinal_words,20,8.0,0.15,0.117,1.0
ordinal_words,20,16.0,0.175,0.117,1.0
ordinal_words,20,32.0,0.483,0.117,1.0
ordinal_words,24,2.0,0.167,0.117,0.975
ordinal_words,24,4.0,0.117,0.117,0.975
ordinal_words,24,8.0,0.208,0.117,0.975
ordinal_words,24,16.0,0.25,0.117,0.975
ordinal_words,24,32.0,0.65,0.117,0.975
oxford_comma,2,2.0,0.209,0.254,1.0
oxford_comma,2,4.0,0.224,0.254,1.0
oxford_comma,2,8.0,0.164,0.254,1.0
oxford_comma,2,16.0,0.179,0.254,1.0
oxford_comma,2,32.0,0.179,0.254,1.0
oxford_comma,4,2.0,0.09,0.254,1.0
oxford_comma,4,4.0,0.149,0.254,1.0
oxford_comma,4,8.0,0.179,0.254,1.0
oxford_comma,4,16.0,0.164,0.254,1.0
oxford_comma,4,32.0,0.179,0.254,1.0
oxford_comma,6,2.0,0.104,0.254,1.0
oxford_comma,6,4.0,0.149,0.254,1.0
oxford_comma,6,8.0,0.194,0.254,1.0
oxford_comma,6,16.0,0.224,0.254,1.0
oxford_comma,6,32.0,0.194,0.254,1.0
oxford_comma,8,2.0,0.224,0.254,1.0
oxford_comma,8,4.0,0.224,0.254,1.0
oxford_comma,8,8.0,0.299,0.254,1.0
oxford_comma,8,16.0,0.373,0.254,1.0
oxford_comma,8,32.0,0.388,0.254,1.0
oxford_comma,10,2.0,0.179,0.254,1.0
oxford_comma,10,4.0,0.284,0.254,1.0
oxford_comma,10,8.0,0.328,0.254,1.0
oxford_comma,10,16.0,0.478,0.254,1.0
oxford_comma,10,32.0,0.567,0.254,1.0
oxford_comma,12,2.0,0.209,0.254,1.0
oxford_comma,12,4.0,0.224,0.254,1.0
oxford_comma,12,8.0,0.388,0.254,1.0
oxford_comma,12,16.0,0.493,0.254,1.0
oxford_comma,12,32.0,0.672,0.254,1.0
oxford_comma,16,2.0,0.597,0.254,0.975
oxford_comma,16,4.0,0.612,0.254,0.975
oxford_comma,16,8.0,0.776,0.254,0.975
oxford_comma,16,16.0,0.955,0.254,0.975
oxford_comma,16,32.0,1.0,0.254,0.975
oxford_comma,20,2.0,0.657,0.254,1.0
oxford_comma,20,4.0,0.791,0.254,1.0
oxford_comma,20,8.0,0.896,0.254,1.0
oxford_comma,20,16.0,1.0,0.254,1.0
oxford_comma,20,32.0,1.0,0.254,1.0
oxford_comma,24,2.0,0.791,0.254,1.0
oxford_comma,24,4.0,0.821,0.254,1.0
oxford_comma,24,8.0,0.94,0.254,1.0
oxford_comma,24,16.0,1.0,0.254,1.0
oxford_comma,24,32.0,1.0,0.254,1.0
percent_sign,2,2.0,0.192,0.212,1.0
percent_sign,2,4.0,0.163,0.212,1.0
percent_sign,2,8.0,0.125,0.212,1.0
percent_sign,2,16.0,0.163,0.212,1.0
percent_sign,2,32.0,0.212,0.212,1.0
percent_sign,4,2.0,0.163,0.212,1.0
percent_sign,4,4.0,0.144,0.212,1.0
percent_sign,4,8.0,0.212,0.212,1.0
percent_sign,4,16.0,0.221,0.212,1.0
percent_sign,4,32.0,0.25,0.212,1.0
percent_sign,6,2.0,0.25,0.212,1.0
percent_sign,6,4.0,0.337,0.212,1.0
percent_sign,6,8.0,0.481,0.212,1.0
percent_sign,6,16.0,0.442,0.212,1.0
percent_sign,6,32.0,0.192,0.212,1.0
percent_sign,8,2.0,0.5,0.212,1.0
percent_sign,8,4.0,0.596,0.212,1.0
percent_sign,8,8.0,0.51,0.212,1.0
percent_sign,8,16.0,0.279,0.212,1.0
percent_sign,8,32.0,0.577,0.212,1.0
percent_sign,10,2.0,0.51,0.212,1.0
percent_sign,10,4.0,0.625,0.212,1.0
percent_sign,10,8.0,0.433,0.212,1.0
percent_sign,10,16.0,0.173,0.212,1.0
percent_sign,10,32.0,0.625,0.212,1.0
percent_sign,12,2.0,0.462,0.212,1.0
percent_sign,12,4.0,0.577,0.212,1.0
percent_sign,12,8.0,0.471,0.212,1.0
percent_sign,12,16.0,0.144,0.212,1.0
percent_sign,12,32.0,0.673,0.212,1.0
percent_sign,16,2.0,0.625,0.212,0.975
percent_sign,16,4.0,0.5,0.212,0.975
percent_sign,16,8.0,0.452,0.212,0.975
percent_sign,16,16.0,0.24,0.212,0.975
percent_sign,16,32.0,0.837,0.212,0.975
percent_sign,20,2.0,0.721,0.212,1.0
percent_sign,20,4.0,0.75,0.212,1.0
percent_sign,20,8.0,0.923,0.212,1.0
percent_sign,20,16.0,1.0,0.212,1.0
percent_sign,20,32.0,1.0,0.212,1.0
percent_sign,24,2.0,0.721,0.212,1.0
percent_sign,24,4.0,0.808,0.212,1.0
percent_sign,24,8.0,0.952,0.212,1.0
percent_sign,24,16.0,1.0,0.212,1.0
percent_sign,24,32.0,1.0,0.212,1.0
quote_punct,2,2.0,0.008,0.025,1.0
quote_punct,2,4.0,0.017,0.025,1.0
quote_punct,2,8.0,0.008,0.025,1.0
quote_punct,2,16.0,0.025,0.025,1.0
quote_punct,2,32.0,0.025,0.025,1.0
quote_punct,4,2.0,0.025,0.025,1.0
quote_punct,4,4.0,0.033,0.025,1.0
quote_punct,4,8.0,0.025,0.025,1.0
quote_punct,4,16.0,0.025,0.025,1.0
quote_punct,4,32.0,0.033,0.025,1.0
quote_punct,6,2.0,0.042,0.025,1.0
quote_punct,6,4.0,0.033,0.025,1.0
quote_punct,6,8.0,0.05,0.025,1.0
quote_punct,6,16.0,0.008,0.025,1.0
quote_punct,6,32.0,0.058,0.025,1.0
quote_punct,8,2.0,0.033,0.025,1.0
quote_punct,8,4.0,0.025,0.025,1.0
quote_punct,8,8.0,0.05,0.025,1.0
quote_punct,8,16.0,0.042,0.025,1.0
quote_punct,8,32.0,0.042,0.025,1.0
quote_punct,10,2.0,0.033,0.025,1.0
quote_punct,10,4.0,0.058,0.025,1.0
quote_punct,10,8.0,0.083,0.025,1.0
quote_punct,10,16.0,0.1,0.025,1.0
quote_punct,10,32.0,0.35,0.025,1.0
quote_punct,12,2.0,0.058,0.025,1.0
quote_punct,12,4.0,0.042,0.025,1.0
quote_punct,12,8.0,0.117,0.025,1.0
quote_punct,12,16.0,0.175,0.025,1.0
quote_punct,12,32.0,0.458,0.025,1.0
quote_punct,16,2.0,0.208,0.025,1.0
quote_punct,16,4.0,0.533,0.025,1.0
quote_punct,16,8.0,0.542,0.025,1.0
quote_punct,16,16.0,0.358,0.025,1.0
quote_punct,16,32.0,0.933,0.025,1.0
quote_punct,20,2.0,0.575,0.025,1.0
quote_punct,20,4.0,0.567,0.025,1.0
quote_punct,20,8.0,0.575,0.025,1.0
quote_punct,20,16.0,0.992,0.025,1.0
quote_punct,20,32.0,1.0,0.025,1.0
quote_punct,24,2.0,0.583,0.025,1.0
quote_punct,24,4.0,0.708,0.025,1.0
quote_punct,24,8.0,0.9,0.025,1.0
quote_punct,24,16.0,1.0,0.025,1.0
quote_punct,24,32.0,1.0,0.025,1.0
sentence_caps,2,2.0,0.008,0.008,1.0
sentence_caps,2,4.0,0.0,0.008,1.0
sentence_caps,2,8.0,0.008,0.008,1.0
sentence_caps,2,16.0,0.0,0.008,1.0
sentence_caps,2,32.0,0.0,0.008,1.0
sentence_caps,4,2.0,0.008,0.008,1.0
sentence_caps,4,4.0,0.017,0.008,1.0
sentence_caps,4,8.0,0.0,0.008,1.0
sentence_caps,4,16.0,0.0,0.008,1.0
sentence_caps,4,32.0,0.183,0.008,1.0
sentence_caps,6,2.0,0.0,0.008,0.95
sentence_caps,6,4.0,0.1,0.008,0.95
sentence_caps,6,8.0,0.642,0.008,0.95
sentence_caps,6,16.0,0.833,0.008,0.95
sentence_caps,6,32.0,0.767,0.008,0.95
sentence_caps,8,2.0,0.3,0.008,0.95
sentence_caps,8,4.0,0.692,0.008,0.95
sentence_caps,8,8.0,0.858,0.008,0.95
sentence_caps,8,16.0,0.575,0.008,0.95
sentence_caps,8,32.0,0.742,0.008,0.95
sentence_caps,10,2.0,0.8,0.008,0.925
sentence_caps,10,4.0,0.9,0.008,0.925
sentence_caps,10,8.0,0.858,0.008,0.925
sentence_caps,10,16.0,0.892,0.008,0.925
sentence_caps,10,32.0,0.992,0.008,0.925
sentence_caps,12,2.0,0.758,0.008,0.975
sentence_caps,12,4.0,0.825,0.008,0.975
sentence_caps,12,8.0,0.833,0.008,0.975
sentence_caps,12,16.0,0.85,0.008,0.975
sentence_caps,12,32.0,1.0,0.008,0.975
sentence_caps,16,2.0,0.808,0.008,0.725
sentence_caps,16,4.0,0.842,0.008,0.725
sentence_caps,16,8.0,0.892,0.008,0.725
sentence_caps,16,16.0,0.967,0.008,0.725
sentence_caps,16,32.0,1.0,0.008,0.725
sentence_caps,20,2.0,0.725,0.008,0.85
sentence_caps,20,4.0,0.875,0.008,0.85
sentence_caps,20,8.0,0.908,0.008,0.85
sentence_caps,20,16.0,1.0,0.008,0.85
sentence_caps,20,32.0,1.0,0.008,0.85
sentence_caps,24,2.0,0.692,0.008,0.95
sentence_caps,24,4.0,0.825,0.008,0.95
sentence_caps,24,8.0,0.917,0.008,0.95
sentence_caps,24,16.0,1.0,0.008,0.95
sentence_caps,24,32.0,1.0,0.008,0.95
us_uk,2,2.0,0.0,0.017,1.0
us_uk,2,4.0,0.0,0.017,1.0
us_uk,2,8.0,0.008,0.017,1.0
us_uk,2,16.0,0.017,0.017,1.0
us_uk,2,32.0,0.008,0.017,1.0
us_uk,4,2.0,0.008,0.017,1.0
us_uk,4,4.0,0.033,0.017,1.0
us_uk,4,8.0,0.033,0.017,1.0
us_uk,4,16.0,0.008,0.017,1.0
us_uk,4,32.0,0.008,0.017,1.0
us_uk,6,2.0,0.017,0.017,0.975
us_uk,6,4.0,0.025,0.017,0.975
us_uk,6,8.0,0.017,0.017,0.975
us_uk,6,16.0,0.025,0.017,0.975
us_uk,6,32.0,0.05,0.017,0.975
us_uk,8,2.0,0.008,0.017,1.0
us_uk,8,4.0,0.017,0.017,1.0
us_uk,8,8.0,0.017,0.017,1.0
us_uk,8,16.0,0.0,0.017,1.0
us_uk,8,32.0,0.017,0.017,1.0
us_uk,10,2.0,0.008,0.017,1.0
us_uk,10,4.0,0.025,0.017,1.0
us_uk,10,8.0,0.025,0.017,1.0
us_uk,10,16.0,0.033,0.017,1.0
us_uk,10,32.0,0.017,0.017,1.0
us_uk,12,2.0,0.008,0.017,1.0
us_uk,12,4.0,0.0,0.017,1.0
us_uk,12,8.0,0.033,0.017,1.0
us_uk,12,16.0,0.033,0.017,1.0
us_uk,12,32.0,0.017,0.017,1.0
us_uk,16,2.0,0.017,0.017,1.0
us_uk,16,4.0,0.067,0.017,1.0
us_uk,16,8.0,0.108,0.017,1.0
us_uk,16,16.0,0.067,0.017,1.0
us_uk,16,32.0,0.05,0.017,1.0
us_uk,20,2.0,0.092,0.017,1.0
us_uk,20,4.0,0.1,0.017,1.0
us_uk,20,8.0,0.092,0.017,1.0
us_uk,20,16.0,0.142,0.017,1.0
us_uk,20,32.0,0.067,0.017,1.0
us_uk,24,2.0,0.117,0.017,1.0
us_uk,24,4.0,0.15,0.017,1.0
us_uk,24,8.0,0.133,0.017,1.0
us_uk,24,16.0,0.275,0.017,1.0
us_uk,24,32.0,0.592,0.017,1.0
