family,n_nat,n_alt,tok_nat,tok_alt,ratio_L4,ratio_L8,ratio_L12,ratio_L16,ratio_L20,ratio_L24,cos_L4,cos_L8,cos_L12,cos_L16,cos_L20,cos_L24,read_write_cos_L4,read_write_cos_L8,read_write_cos_L12,read_write_cos_L16,read_write_cos_L20,read_write_cos_L24
py_loop_vars,207,212,9.6,11.2,0.546,0.576,0.506,0.439,0.387,0.397,0.991,0.991,0.986,0.982,0.979,0.982,0.112,0.097,0.116,0.125,0.244,0.138
py2_iter,233,177,3.7,4.7,0.59,0.732,0.607,0.573,0.478,0.436,0.969,0.981,0.978,0.975,0.972,0.968,-0.041,0.12,0.23,0.2,0.279,0.297
js_semicolons,231,186,3.9,3.9,0.515,0.499,0.393,0.322,0.261,0.329,0.994,0.99,0.985,0.983,0.979,0.988,-0.019,-0.004,0.036,0.03,0.188,0.119
js_strict_eq,234,200,3.6,3.6,0.607,0.849,0.649,0.573,0.459,0.37,0.999,0.999,0.998,0.997,0.995,0.994,-0.04,0.084,0.082,0.045,0.131,0.021
py_optional,191,184,12.0,14.6,0.674,0.591,0.435,0.387,0.375,0.338,0.996,0.994,0.988,0.985,0.982,0.985,-0.032,0.032,0.05,0.015,-0.065,-0.097
comma_space,272,184,13.8,11.8,0.427,0.484,0.442,0.399,0.355,0.293,0.973,0.975,0.971,0.97,0.966,0.947,0.072,0.239,0.249,0.229,0.417,0.32
py_const_naming,203,185,12.0,10.0,0.432,0.409,0.388,0.33,0.332,0.355,0.978,0.978,0.973,0.974,0.98,0.984,0.329,0.64,0.661,0.619,0.626,0.534
py_join_concat,224,202,21.0,60.2,0.551,0.592,0.484,0.422,0.377,0.351,0.988,0.983,0.975,0.972,0.969,0.973,-0.054,-0.074,0.004,0.027,0.068,0.25
py_paren_if,198,182,7.1,7.8,0.472,0.652,0.547,0.454,0.405,0.331,0.985,0.989,0.981,0.976,0.972,0.962,-0.054,0.083,0.026,-0.019,0.021,-0.091
py_with_open,224,199,28.4,37.6,0.504,0.477,0.391,0.383,0.356,0.303,0.998,0.997,0.995,0.995,0.993,0.993,0.168,0.091,0.041,-0.019,0.097,-0.014
rust_question,248,172,4.4,73.9,0.793,0.824,0.717,0.662,0.641,0.613,0.998,0.997,0.996,0.996,0.996,0.994,0.074,0.051,0.051,0.052,0.062,0.012
py_literal_ctor,191,190,3.7,7.5,0.61,0.637,0.552,0.491,0.488,0.501,0.997,0.996,0.994,0.992,0.992,0.99,0.07,0.029,0.1,0.09,-0.003,-0.081
line_wrap,195,171,30.7,11.2,0.438,0.607,0.535,0.481,0.501,0.378,0.982,0.985,0.978,0.975,0.977,0.968,0.034,0.085,0.179,0.246,0.396,0.354
float_literals,192,164,7.5,3.5,0.602,0.851,0.699,0.601,0.542,0.512,0.972,0.974,0.968,0.959,0.949,0.944,-0.22,0.002,-0.013,-0.028,-0.121,-0.186
js_var,170,166,3.5,3.5,0.702,0.707,0.559,0.481,0.362,0.278,0.998,0.997,0.994,0.99,0.982,0.963,0.041,0.2,0.233,0.207,0.236,-0.017
bash_subst,185,143,7.9,8.6,0.671,0.651,0.506,0.433,0.332,0.316,0.994,0.991,0.986,0.983,0.973,0.975,0.053,0.107,0.184,0.177,0.215,0.062
comment_case,152,165,45.2,43.5,0.093,0.127,0.109,0.093,0.111,0.092,0.881,0.919,0.859,0.845,0.899,0.863,0.21,0.465,0.482,0.483,0.596,0.405
blank_lines,175,166,3.7,3.4,0.503,0.463,0.37,0.314,0.281,0.216,0.997,0.996,0.992,0.99,0.986,0.975,0.109,0.128,0.161,0.171,0.216,0.149
py_comprehension,183,134,20.3,47.2,0.362,0.418,0.385,0.362,0.374,0.311,0.981,0.981,0.976,0.971,0.972,0.968,-0.049,0.007,0.063,0.098,0.15,0.125
py_private,113,123,7.6,4.1,0.549,0.559,0.506,0.417,0.357,0.26,0.964,0.963,0.954,0.949,0.947,0.911,-0.218,-0.31,-0.415,-0.317,-0.22,-0.205
comment_language,149,121,41.5,61.7,0.455,0.428,0.351,0.296,0.366,0.422,0.985,0.98,0.969,0.964,0.98,0.987,0.353,0.48,0.561,0.558,0.785,0.774
php_array,112,200,6.1,9.7,0.532,0.523,0.438,0.388,0.373,0.455,0.989,0.986,0.976,0.969,0.967,0.979,0.063,0.069,0.094,0.084,0.092,-0.005
py_not_in,209,109,4.5,3.8,0.665,0.84,0.689,0.668,0.637,0.65,0.982,0.991,0.983,0.979,0.979,0.975,-0.077,-0.007,0.051,0.053,0.026,-0.04
py_abbrev,83,115,10.4,10.7,0.445,0.492,0.433,0.341,0.284,0.264,0.951,0.955,0.937,0.92,0.893,0.896,0.127,0.286,0.275,0.223,0.352,0.333
