family,style,unscorable_pooled,unscorable_k0,unscorable_k1,unscorable_k2,unscorable_k3,unscorable_k4
operator_spaces,alt,0.161,0.165,0.16,0.18,0.175,0.125
comma_space,nat,0.088,0.115,0.1,0.085,0.065,0.075
comma_space,alt,0.095,0.12,0.12,0.07,0.095,0.07
line_wrap,nat,0.219,0.175,0.37,0.185,0.21,0.155
line_wrap,alt,0.359,0.2,0.435,0.35,0.415,0.395
blank_lines,nat,0.197,0.205,0.11,0.115,0.195,0.36
blank_lines,alt,0.212,0.2,0.1,0.125,0.185,0.45
docstring_style,nat,0.105,0.345,0.045,0.075,0.02,0.04
docstring_style,alt,0.166,0.325,0.17,0.11,0.1,0.125
docstring_quotes,nat,0.26,0.82,0.21,0.095,0.08,0.095
docstring_quotes,alt,0.289,0.865,0.25,0.14,0.085,0.105
comment_case,nat,0.463,0.67,0.46,0.364,0.409,0.414
comment_case,alt,0.452,0.635,0.47,0.374,0.369,0.414
comment_language,nat,0.498,0.655,0.513,0.457,0.422,0.442
comment_language,alt,0.515,0.65,0.467,0.503,0.432,0.523
c_comment_style,nat,0.229,0.625,0.165,0.105,0.1,0.15
c_comment_style,alt,0.266,0.68,0.175,0.15,0.13,0.195
sql_keyword_case,nat,0.04,0.17,0.005,0.01,0.005,0.01
sql_keyword_case,alt,0.052,0.21,0.01,0.005,0.025,0.01
sql_join_style,nat,0.086,0.165,0.06,0.05,0.075,0.08
sql_join_style,alt,0.155,0.19,0.215,0.13,0.13,0.11
r_assignment,nat,0.011,0.035,0.005,0.015,0.0,0.0
r_assignment,alt,0.107,0.05,0.14,0.12,0.135,0.09
rust_question,nat,0.061,0.08,0.06,0.06,0.05,0.055
rust_question,alt,0.053,0.07,0.085,0.04,0.03,0.04
bash_test,nat,0.069,0.09,0.04,0.05,0.09,0.075
bash_test,alt,0.069,0.065,0.04,0.065,0.095,0.08
bash_subst,nat,0.432,0.645,0.44,0.42,0.345,0.31
bash_subst,alt,0.428,0.655,0.405,0.42,0.345,0.315
css_shorthand,nat,0.335,0.34,0.36,0.365,0.32,0.29
css_shorthand,alt,0.459,0.285,0.475,0.505,0.47,0.56
php_array,nat,0.519,0.52,0.525,0.52,0.515,0.515
php_array,alt,0.293,0.57,0.305,0.23,0.19,0.17
