family,style,k,n,accuracy,ci_lo,ci_hi,style_ok,wrong_style,unscorable,style_ok_but_unfaithful,judge_ok,capped,unjudged
py_class_naming,nat,0,200,0.78,0.718,0.832,0.96,0.015,0.025,0.18,0.79,0.43,0
py_class_naming,nat,1,200,0.815,0.755,0.863,0.925,0.005,0.07,0.11,0.85,0.3,0
py_class_naming,nat,2,200,0.925,0.88,0.954,0.965,0.0,0.035,0.04,0.95,0.205,0
py_class_naming,nat,3,200,0.89,0.839,0.926,0.96,0.0,0.04,0.07,0.925,0.31,0
py_class_naming,nat,4,200,0.935,0.892,0.962,0.98,0.005,0.015,0.045,0.95,0.255,0
py_class_naming,alt,0,200,0.01,0.003,0.036,0.025,0.95,0.025,0.015,0.685,0.455,0
py_class_naming,alt,1,200,0.48,0.412,0.549,0.525,0.255,0.22,0.045,0.84,0.305,0
py_class_naming,alt,2,200,0.695,0.628,0.755,0.745,0.085,0.17,0.05,0.895,0.255,0
py_class_naming,alt,3,200,0.77,0.707,0.823,0.82,0.09,0.09,0.05,0.92,0.285,0
py_class_naming,alt,4,200,0.78,0.718,0.832,0.85,0.075,0.075,0.07,0.885,0.305,0
py_private,nat,0,200,0.12,0.082,0.172,0.125,0.015,0.86,0.005,0.96,0.09,0
py_private,nat,1,200,0.51,0.441,0.578,0.53,0.0,0.47,0.02,0.95,0.115,0
py_private,nat,2,200,0.52,0.451,0.588,0.52,0.005,0.475,0.0,0.97,0.075,0
py_private,nat,3,200,0.425,0.359,0.494,0.46,0.01,0.53,0.035,0.965,0.105,0
py_private,nat,4,200,0.435,0.368,0.504,0.465,0.0,0.535,0.03,0.955,0.1,0
py_private,alt,0,200,0.0,0.0,0.019,0.0,0.135,0.865,0.0,0.91,0.135,0
py_private,alt,1,200,0.425,0.359,0.494,0.46,0.095,0.445,0.035,0.915,0.145,0
py_private,alt,2,200,0.455,0.387,0.524,0.46,0.045,0.495,0.005,0.97,0.105,0
py_private,alt,3,200,0.405,0.339,0.474,0.405,0.04,0.555,0.0,0.97,0.1,0
py_private,alt,4,200,0.4,0.335,0.469,0.41,0.065,0.525,0.01,0.965,0.095,0
py_bool_prefix,nat,0,200,0.005,0.001,0.028,0.01,0.065,0.925,0.005,0.845,0.41,0
py_bool_prefix,nat,1,200,0.31,0.25,0.377,0.325,0.09,0.585,0.015,0.91,0.4,0
py_bool_prefix,nat,2,200,0.26,0.204,0.325,0.27,0.09,0.64,0.01,0.885,0.375,0
py_bool_prefix,nat,3,200,0.235,0.182,0.298,0.265,0.09,0.645,0.03,0.86,0.285,0
py_bool_prefix,nat,4,200,0.31,0.25,0.377,0.32,0.08,0.6,0.01,0.89,0.21,0
py_bool_prefix,alt,0,200,0.07,0.042,0.114,0.09,0.01,0.9,0.02,0.89,0.43,0
py_bool_prefix,alt,1,200,0.325,0.264,0.393,0.35,0.015,0.635,0.025,0.875,0.385,0
py_bool_prefix,alt,2,200,0.205,0.155,0.266,0.23,0.02,0.75,0.025,0.845,0.39,0
py_bool_prefix,alt,3,200,0.255,0.2,0.32,0.265,0.015,0.72,0.01,0.875,0.32,0
py_bool_prefix,alt,4,200,0.2,0.15,0.261,0.23,0.025,0.745,0.03,0.84,0.26,0
py_loop_vars,nat,0,200,0.39,0.325,0.459,0.48,0.455,0.065,0.09,0.845,0.385,0
py_loop_vars,nat,1,200,0.655,0.587,0.717,0.79,0.185,0.025,0.135,0.835,0.245,0
py_loop_vars,nat,2,200,0.72,0.654,0.778,0.83,0.16,0.01,0.11,0.87,0.185,0
py_loop_vars,nat,3,200,0.815,0.755,0.863,0.935,0.05,0.015,0.12,0.865,0.165,0
py_loop_vars,nat,4,200,0.84,0.783,0.884,0.93,0.07,0.0,0.09,0.905,0.165,0
py_loop_vars,alt,0,200,0.325,0.264,0.393,0.395,0.535,0.07,0.07,0.815,0.425,0
py_loop_vars,alt,1,200,0.625,0.556,0.689,0.755,0.215,0.03,0.13,0.835,0.295,0
py_loop_vars,alt,2,200,0.7,0.633,0.759,0.79,0.185,0.025,0.09,0.845,0.225,0
py_loop_vars,alt,3,200,0.4,0.335,0.469,0.465,0.525,0.01,0.065,0.85,0.225,0
py_loop_vars,alt,4,200,0.605,0.536,0.67,0.71,0.285,0.005,0.105,0.84,0.17,0
js_hungarian,nat,0,200,0.685,0.618,0.745,0.745,0.015,0.24,0.06,0.93,0.485,0
js_hungarian,nat,1,200,0.87,0.816,0.91,0.96,0.005,0.035,0.09,0.91,0.385,0
js_hungarian,nat,2,200,0.875,0.822,0.914,0.96,0.01,0.03,0.085,0.905,0.285,0
js_hungarian,nat,3,200,0.88,0.828,0.918,0.94,0.005,0.055,0.06,0.935,0.28,0
js_hungarian,nat,4,200,0.895,0.845,0.93,0.97,0.005,0.025,0.075,0.915,0.25,0
js_hungarian,alt,0,200,0.005,0.001,0.028,0.005,0.79,0.205,0.0,0.915,0.465,0
js_hungarian,alt,1,200,0.315,0.255,0.382,0.335,0.64,0.025,0.02,0.915,0.44,0
js_hungarian,alt,2,200,0.64,0.571,0.703,0.715,0.27,0.015,0.075,0.9,0.445,0
js_hungarian,alt,3,200,0.65,0.582,0.713,0.675,0.295,0.03,0.025,0.965,0.395,0
js_hungarian,alt,4,200,0.74,0.675,0.796,0.81,0.165,0.025,0.07,0.89,0.345,0
py_abbrev,nat,0,200,0.145,0.103,0.2,0.155,0.555,0.29,0.01,0.87,0.48,0
py_abbrev,nat,1,200,0.295,0.236,0.362,0.33,0.405,0.265,0.035,0.875,0.425,0
py_abbrev,nat,2,200,0.365,0.301,0.434,0.405,0.335,0.26,0.04,0.93,0.435,0
py_abbrev,nat,3,200,0.395,0.33,0.464,0.43,0.31,0.26,0.035,0.89,0.36,0
py_abbrev,nat,4,200,0.44,0.373,0.509,0.46,0.23,0.31,0.02,0.915,0.34,0
py_abbrev,alt,0,200,0.46,0.392,0.529,0.555,0.18,0.265,0.095,0.85,0.465,0
py_abbrev,alt,1,200,0.485,0.417,0.554,0.54,0.2,0.26,0.055,0.9,0.385,0
py_abbrev,alt,2,200,0.49,0.422,0.559,0.55,0.195,0.255,0.06,0.925,0.36,0
py_abbrev,alt,3,200,0.505,0.436,0.574,0.57,0.13,0.3,0.065,0.885,0.375,0
py_abbrev,alt,4,200,0.585,0.516,0.651,0.64,0.1,0.26,0.055,0.93,0.38,0
py_quotes,nat,0,200,0.235,0.182,0.298,0.25,0.305,0.445,0.015,0.92,0.465,0
py_quotes,nat,1,200,0.57,0.501,0.637,0.625,0.205,0.17,0.055,0.92,0.52,0
py_quotes,nat,2,200,0.685,0.618,0.745,0.75,0.165,0.085,0.065,0.915,0.42,0
py_quotes,nat,3,200,0.745,0.68,0.8,0.815,0.095,0.09,0.07,0.9,0.44,0
py_quotes,nat,4,200,0.74,0.675,0.796,0.82,0.1,0.08,0.08,0.895,0.42,0
py_quotes,alt,0,200,0.275,0.218,0.341,0.285,0.3,0.415,0.01,0.915,0.4,0
py_quotes,alt,1,200,0.615,0.546,0.68,0.645,0.23,0.125,0.03,0.925,0.515,0
py_quotes,alt,2,200,0.685,0.618,0.745,0.735,0.15,0.115,0.05,0.925,0.405,0
py_quotes,alt,3,200,0.72,0.654,0.778,0.755,0.16,0.085,0.035,0.935,0.435,0
py_quotes,alt,4,200,0.765,0.702,0.818,0.82,0.105,0.075,0.055,0.92,0.43,0
js_quotes,nat,0,200,0.16,0.116,0.217,0.165,0.53,0.305,0.005,0.94,0.38,0
js_quotes,nat,1,200,0.655,0.587,0.717,0.7,0.11,0.19,0.045,0.925,0.3,0
js_quotes,nat,2,200,0.685,0.618,0.745,0.705,0.09,0.205,0.02,0.945,0.315,0
js_quotes,nat,3,200,0.685,0.618,0.745,0.725,0.11,0.165,0.04,0.93,0.28,0
js_quotes,nat,4,200,0.735,0.67,0.791,0.77,0.09,0.14,0.035,0.935,0.26,0
js_quotes,alt,0,200,0.455,0.387,0.524,0.485,0.19,0.325,0.03,0.935,0.39,0
js_quotes,alt,1,200,0.675,0.607,0.736,0.72,0.05,0.23,0.045,0.91,0.315,0
js_quotes,alt,2,200,0.715,0.649,0.773,0.755,0.035,0.21,0.04,0.91,0.295,0
js_quotes,alt,3,200,0.75,0.686,0.805,0.78,0.025,0.195,0.03,0.94,0.275,0
js_quotes,alt,4,200,0.745,0.68,0.8,0.81,0.045,0.145,0.065,0.9,0.3,0
py_fstring,nat,0,200,0.195,0.146,0.255,0.195,0.195,0.61,0.0,0.945,0.335,0
py_fstring,nat,1,200,0.645,0.577,0.708,0.665,0.0,0.335,0.02,0.945,0.325,0
py_fstring,nat,2,200,0.58,0.511,0.646,0.62,0.0,0.38,0.04,0.94,0.33,0
py_fstring,nat,3,200,0.7,0.633,0.759,0.715,0.06,0.225,0.015,0.96,0.215,0
py_fstring,nat,4,200,0.7,0.633,0.759,0.72,0.01,0.27,0.02,0.97,0.225,0
py_fstring,alt,0,200,0.14,0.099,0.195,0.145,0.28,0.575,0.005,0.95,0.335,0
py_fstring,alt,1,200,0.315,0.255,0.382,0.33,0.06,0.61,0.015,0.925,0.31,0
py_fstring,alt,2,200,0.77,0.707,0.823,0.79,0.035,0.175,0.02,0.97,0.34,0
py_fstring,alt,3,200,0.76,0.696,0.814,0.8,0.06,0.14,0.04,0.945,0.28,0
py_fstring,alt,4,200,0.83,0.772,0.876,0.86,0.03,0.11,0.03,0.955,0.275,0
js_template,nat,0,200,0.225,0.173,0.288,0.23,0.16,0.61,0.005,0.92,0.23,0
js_template,nat,1,200,0.905,0.856,0.938,0.965,0.0,0.035,0.06,0.935,0.255,0
js_template,nat,2,200,0.85,0.794,0.893,0.9,0.015,0.085,0.05,0.93,0.22,0
js_template,nat,3,200,0.86,0.805,0.901,0.89,0.015,0.095,0.03,0.965,0.16,0
js_template,nat,4,200,0.865,0.811,0.906,0.92,0.02,0.06,0.055,0.925,0.16,0
js_template,alt,0,200,0.145,0.103,0.2,0.16,0.24,0.6,0.015,0.9,0.285,0
js_template,alt,1,200,0.53,0.461,0.598,0.57,0.035,0.395,0.04,0.94,0.24,0
js_template,alt,2,200,0.74,0.675,0.796,0.75,0.055,0.195,0.01,0.94,0.23,0
js_template,alt,3,200,0.73,0.665,0.787,0.76,0.035,0.205,0.03,0.945,0.215,0
js_template,alt,4,200,0.765,0.702,0.818,0.795,0.045,0.16,0.03,0.95,0.155,0
num_separators,nat,0,200,0.33,0.269,0.398,0.405,0.015,0.58,0.075,0.765,0.375,0
num_separators,nat,1,200,0.64,0.571,0.703,0.755,0.01,0.235,0.115,0.835,0.315,0
num_separators,nat,2,200,0.785,0.723,0.836,0.845,0.0,0.155,0.06,0.91,0.31,0
num_separators,nat,3,200,0.73,0.665,0.787,0.805,0.005,0.19,0.075,0.91,0.315,0
num_separators,nat,4,200,0.805,0.745,0.854,0.84,0.0,0.16,0.035,0.935,0.27,0
num_separators,alt,0,200,0.005,0.001,0.028,0.005,0.43,0.565,0.0,0.77,0.34,0
num_separators,alt,1,200,0.465,0.397,0.534,0.51,0.175,0.315,0.045,0.865,0.305,0
num_separators,alt,2,200,0.49,0.422,0.559,0.515,0.27,0.215,0.025,0.925,0.31,0
num_separators,alt,3,200,0.5,0.431,0.569,0.56,0.22,0.22,0.06,0.91,0.33,0
num_separators,alt,4,200,0.54,0.471,0.608,0.605,0.245,0.15,0.065,0.87,0.315,0
hex_constants,nat,0,200,0.915,0.868,0.946,0.99,0.0,0.01,0.075,0.925,0.345,0
hex_constants,nat,1,200,0.88,0.828,0.918,0.97,0.005,0.025,0.09,0.895,0.27,0
hex_constants,nat,2,200,0.91,0.862,0.942,0.98,0.0,0.02,0.07,0.925,0.295,0
hex_constants,nat,3,200,0.905,0.856,0.938,0.985,0.0,0.015,0.08,0.915,0.235,0
hex_constants,nat,4,200,0.89,0.839,0.926,0.97,0.0,0.03,0.08,0.915,0.26,0
hex_constants,alt,0,200,0.0,0.0,0.019,0.0,0.96,0.04,0.0,0.9,0.29,0
hex_constants,alt,1,200,0.48,0.412,0.549,0.515,0.48,0.005,0.035,0.905,0.29,0
hex_constants,alt,2,200,0.525,0.456,0.593,0.625,0.355,0.02,0.1,0.875,0.35,0
hex_constants,alt,3,200,0.63,0.561,0.694,0.71,0.275,0.015,0.08,0.875,0.36,0
hex_constants,alt,4,200,0.72,0.654,0.778,0.765,0.23,0.005,0.045,0.925,0.34,0
float_literals,nat,0,200,0.47,0.402,0.539,0.495,0.03,0.475,0.025,0.855,0.385,0
float_literals,nat,1,200,0.415,0.349,0.484,0.48,0.2,0.32,0.065,0.855,0.325,0
float_literals,nat,2,200,0.545,0.476,0.613,0.585,0.205,0.21,0.04,0.895,0.335,0
float_literals,nat,3,200,0.54,0.471,0.608,0.585,0.235,0.18,0.045,0.915,0.24,0
float_literals,nat,4,200,0.5,0.431,0.569,0.53,0.27,0.2,0.03,0.935,0.25,0
float_literals,alt,0,200,0.01,0.003,0.036,0.025,0.47,0.505,0.015,0.825,0.37,0
float_literals,alt,1,200,0.31,0.25,0.377,0.37,0.26,0.37,0.06,0.79,0.305,0
float_literals,alt,2,200,0.385,0.32,0.454,0.43,0.18,0.39,0.045,0.83,0.255,0
float_literals,alt,3,200,0.445,0.378,0.514,0.475,0.185,0.34,0.03,0.93,0.23,0
float_literals,alt,4,200,0.45,0.383,0.519,0.505,0.17,0.325,0.055,0.885,0.25,0
sql_bool_case,nat,0,200,0.235,0.182,0.298,0.235,0.56,0.205,0.0,0.965,0.395,0
sql_bool_case,nat,1,200,0.925,0.88,0.954,0.925,0.015,0.06,0.0,0.98,0.33,0
sql_bool_case,nat,2,200,0.94,0.898,0.965,0.95,0.005,0.045,0.01,0.98,0.265,0
sql_bool_case,nat,3,200,0.915,0.868,0.946,0.93,0.03,0.04,0.015,0.98,0.205,0
sql_bool_case,nat,4,200,0.89,0.839,0.926,0.905,0.015,0.08,0.015,0.98,0.195,0
sql_bool_case,alt,0,200,0.545,0.476,0.613,0.55,0.24,0.21,0.005,0.96,0.425,0
sql_bool_case,alt,1,200,0.9,0.851,0.934,0.91,0.025,0.065,0.01,0.965,0.32,0
sql_bool_case,alt,2,200,0.915,0.868,0.946,0.925,0.025,0.05,0.01,0.98,0.25,0
sql_bool_case,alt,3,200,0.93,0.886,0.958,0.935,0.01,0.055,0.005,0.98,0.23,0
sql_bool_case,alt,4,200,0.935,0.892,0.962,0.945,0.01,0.045,0.01,0.985,0.18,0
py2_print,nat,0,200,0.18,0.133,0.239,0.25,0.01,0.74,0.07,0.755,0.42,0
py2_print,nat,1,200,0.54,0.471,0.608,0.56,0.01,0.43,0.02,0.95,0.555,0
py2_print,nat,2,200,0.84,0.783,0.884,0.845,0.0,0.155,0.005,0.985,0.535,0
py2_print,nat,3,200,0.8,0.739,0.85,0.82,0.0,0.18,0.02,0.975,0.47,0
py2_print,nat,4,200,0.78,0.718,0.832,0.8,0.0,0.2,0.02,0.98,0.42,0
py2_print,alt,0,200,0.01,0.003,0.036,0.015,0.25,0.735,0.005,0.52,0.42,0
py2_print,alt,1,200,0.47,0.402,0.539,0.51,0.01,0.48,0.04,0.88,0.525,0
py2_print,alt,2,200,0.665,0.597,0.727,0.69,0.005,0.305,0.025,0.945,0.63,0
py2_print,alt,3,200,0.7,0.633,0.759,0.735,0.0,0.265,0.035,0.94,0.515,0
py2_print,alt,4,200,0.775,0.712,0.827,0.79,0.0,0.21,0.015,0.98,0.53,0
py2_iter,nat,0,200,0.625,0.556,0.689,0.71,0.025,0.265,0.085,0.865,0.405,0
py2_iter,nat,1,200,0.65,0.582,0.713,0.79,0.0,0.21,0.14,0.805,0.225,0
py2_iter,nat,2,200,0.735,0.67,0.791,0.875,0.0,0.125,0.14,0.825,0.22,0
py2_iter,nat,3,200,0.74,0.675,0.796,0.89,0.0,0.11,0.15,0.83,0.21,0
py2_iter,nat,4,200,0.755,0.691,0.809,0.875,0.0,0.125,0.12,0.845,0.18,0
py2_iter,alt,0,200,0.03,0.014,0.064,0.03,0.74,0.23,0.0,0.85,0.37,0
py2_iter,alt,1,200,0.425,0.359,0.494,0.47,0.36,0.17,0.045,0.865,0.27,0
py2_iter,alt,2,200,0.47,0.402,0.539,0.545,0.31,0.145,0.075,0.86,0.25,0
py2_iter,alt,3,200,0.52,0.451,0.588,0.625,0.245,0.13,0.105,0.855,0.24,0
py2_iter,alt,4,200,0.565,0.496,0.632,0.665,0.2,0.135,0.1,0.88,0.23,0
py2_except,nat,0,200,0.11,0.074,0.161,0.11,0.0,0.89,0.0,0.97,0.36,0
py2_except,nat,1,200,0.825,0.766,0.871,0.84,0.0,0.16,0.015,0.98,0.1,0
py2_except,nat,2,200,0.89,0.839,0.926,0.89,0.0,0.11,0.0,1.0,0.11,0
py2_except,nat,3,200,0.93,0.886,0.958,0.94,0.0,0.06,0.01,0.99,0.14,0
py2_except,nat,4,200,0.965,0.93,0.983,0.965,0.0,0.035,0.0,1.0,0.095,0
py2_except,alt,0,200,0.0,0.0,0.019,0.0,0.175,0.825,0.0,0.96,0.295,0
py2_except,alt,1,200,0.805,0.745,0.854,0.81,0.03,0.16,0.005,0.99,0.095,0
py2_except,alt,2,200,0.875,0.822,0.914,0.88,0.025,0.095,0.005,0.995,0.12,0
py2_except,alt,3,200,0.91,0.862,0.942,0.925,0.005,0.07,0.015,0.985,0.12,0
py2_except,alt,4,200,0.935,0.892,0.962,0.945,0.03,0.025,0.01,0.99,0.12,0
js_var,nat,0,200,0.39,0.325,0.459,0.445,0.08,0.475,0.055,0.76,0.515,0
js_var,nat,1,200,0.635,0.566,0.699,0.68,0.01,0.31,0.045,0.87,0.365,0
js_var,nat,2,200,0.66,0.592,0.722,0.715,0.0,0.285,0.055,0.895,0.39,0
js_var,nat,3,200,0.665,0.597,0.727,0.7,0.0,0.3,0.035,0.94,0.375,0
js_var,nat,4,200,0.525,0.456,0.593,0.59,0.0,0.41,0.065,0.895,0.21,0
js_var,alt,0,200,0.115,0.078,0.167,0.12,0.41,0.47,0.005,0.71,0.5,0
js_var,alt,1,200,0.41,0.344,0.479,0.455,0.18,0.365,0.045,0.85,0.435,0
js_var,alt,2,200,0.605,0.536,0.67,0.635,0.055,0.31,0.03,0.93,0.405,0
js_var,alt,3,200,0.64,0.571,0.703,0.685,0.03,0.285,0.045,0.925,0.32,0
js_var,alt,4,200,0.475,0.407,0.544,0.53,0.015,0.455,0.055,0.895,0.275,0
js_arrow,nat,0,200,0.78,0.718,0.832,0.945,0.055,0.0,0.165,0.83,0.405,0
js_arrow,nat,1,200,0.685,0.618,0.745,0.82,0.005,0.175,0.135,0.835,0.37,0
js_arrow,nat,2,200,0.635,0.566,0.699,0.755,0.01,0.235,0.12,0.84,0.28,0
js_arrow,nat,3,200,0.65,0.582,0.713,0.82,0.005,0.175,0.17,0.815,0.27,0
js_arrow,nat,4,200,0.59,0.521,0.656,0.685,0.0,0.315,0.095,0.87,0.24,0
js_arrow,alt,0,200,0.05,0.027,0.09,0.065,0.93,0.005,0.015,0.855,0.405,0
js_arrow,alt,1,200,0.19,0.142,0.25,0.235,0.27,0.495,0.045,0.75,0.35,0
js_arrow,alt,2,200,0.405,0.339,0.474,0.47,0.26,0.27,0.065,0.815,0.3,0
js_arrow,alt,3,200,0.51,0.441,0.578,0.58,0.085,0.335,0.07,0.86,0.27,0
js_arrow,alt,4,200,0.555,0.486,0.622,0.605,0.075,0.32,0.05,0.87,0.245,0
js_semicolons,nat,0,200,0.745,0.68,0.8,0.835,0.065,0.1,0.09,0.9,0.395,0
js_semicolons,nat,1,200,0.695,0.628,0.755,0.74,0.035,0.225,0.045,0.95,0.265,0
js_semicolons,nat,2,200,0.69,0.623,0.75,0.77,0.045,0.185,0.08,0.905,0.22,0
js_semicolons,nat,3,200,0.75,0.686,0.805,0.82,0.025,0.155,0.07,0.93,0.13,0
js_semicolons,nat,4,200,0.785,0.723,0.836,0.855,0.05,0.095,0.07,0.92,0.175,0
js_semicolons,alt,0,200,0.06,0.035,0.102,0.065,0.835,0.1,0.005,0.905,0.355,0
js_semicolons,alt,1,200,0.67,0.602,0.731,0.715,0.095,0.19,0.045,0.88,0.27,0
js_semicolons,alt,2,200,0.585,0.516,0.651,0.66,0.07,0.27,0.075,0.845,0.215,0
js_semicolons,alt,3,200,0.6,0.531,0.665,0.655,0.03,0.315,0.055,0.865,0.16,0
js_semicolons,alt,4,200,0.66,0.592,0.722,0.7,0.03,0.27,0.04,0.92,0.12,0
js_strict_eq,nat,0,200,0.745,0.68,0.8,0.795,0.055,0.15,0.05,0.94,0.455,0
js_strict_eq,nat,1,200,0.815,0.755,0.863,0.875,0.005,0.12,0.06,0.91,0.355,0
js_strict_eq,nat,2,200,0.765,0.702,0.818,0.82,0.005,0.175,0.055,0.915,0.24,0
js_strict_eq,nat,3,200,0.795,0.734,0.845,0.88,0.01,0.11,0.085,0.895,0.26,0
js_strict_eq,nat,4,200,0.795,0.734,0.845,0.865,0.01,0.125,0.07,0.92,0.255,0
js_strict_eq,alt,0,200,0.04,0.02,0.077,0.04,0.82,0.14,0.0,0.92,0.405,0
js_strict_eq,alt,1,200,0.51,0.441,0.578,0.55,0.31,0.14,0.04,0.915,0.415,0
js_strict_eq,alt,2,200,0.545,0.476,0.613,0.59,0.285,0.125,0.045,0.915,0.34,0
js_strict_eq,alt,3,200,0.64,0.571,0.703,0.695,0.145,0.16,0.055,0.91,0.285,0
js_strict_eq,alt,4,200,0.645,0.577,0.708,0.7,0.125,0.175,0.055,0.88,0.26,0
trailing_commas,nat,0,200,0.18,0.133,0.239,0.195,0.505,0.3,0.015,0.865,0.355,0
trailing_commas,nat,1,200,0.535,0.466,0.603,0.545,0.335,0.12,0.01,0.95,0.27,0
trailing_commas,nat,2,200,0.735,0.67,0.791,0.745,0.16,0.095,0.01,0.955,0.3,0
trailing_commas,nat,3,200,0.81,0.75,0.858,0.83,0.075,0.095,0.02,0.945,0.255,0
trailing_commas,nat,4,200,0.79,0.728,0.841,0.815,0.075,0.11,0.025,0.945,0.295,0
trailing_commas,alt,0,200,0.515,0.446,0.583,0.53,0.205,0.265,0.015,0.925,0.33,0
trailing_commas,alt,1,200,0.655,0.587,0.717,0.675,0.19,0.135,0.02,0.95,0.3,0
trailing_commas,alt,2,200,0.615,0.546,0.68,0.645,0.23,0.125,0.03,0.925,0.31,0
trailing_commas,alt,3,200,0.715,0.649,0.773,0.745,0.185,0.07,0.03,0.955,0.31,0
trailing_commas,alt,4,200,0.64,0.571,0.703,0.655,0.215,0.13,0.015,0.935,0.24,0
py_paren_if,nat,0,200,0.67,0.602,0.731,0.715,0.015,0.27,0.045,0.925,0.415,0
py_paren_if,nat,1,200,0.725,0.659,0.782,0.78,0.035,0.185,0.055,0.915,0.385,0
py_paren_if,nat,2,200,0.69,0.623,0.75,0.745,0.0,0.255,0.055,0.875,0.34,0
py_paren_if,nat,3,200,0.685,0.618,0.745,0.775,0.0,0.225,0.09,0.85,0.305,0
py_paren_if,nat,4,200,0.6,0.531,0.665,0.715,0.005,0.28,0.115,0.815,0.335,0
py_paren_if,alt,0,200,0.015,0.005,0.043,0.015,0.735,0.25,0.0,0.905,0.44,0
py_paren_if,alt,1,200,0.5,0.431,0.569,0.53,0.25,0.22,0.03,0.9,0.375,0
py_paren_if,alt,2,200,0.55,0.481,0.617,0.58,0.13,0.29,0.03,0.905,0.33,0
py_paren_if,alt,3,200,0.505,0.436,0.574,0.58,0.095,0.325,0.075,0.85,0.29,0
