bracket,alpha,layer_config,mean_acc,median_acc,mean_uplift
cosine_M,4.0,9,0.0247,0.02,0.024
cosine_M,4.0,10,0.0183,0.01,0.0177
cosine_M,4.0,11,0.0147,0.0067,0.014
cosine_M,4.0,12,0.0063,0.0,0.0057
cosine_M,4.0,13,0.0023,0.0,0.0017
cosine_M,4.0,14,0.002,0.0,0.0013
cosine_M,4.0,15,0.0007,0.0,0.0
cosine_M,4.0,3-15,0.058,0.0133,0.0573
cosine_M,4.0,7-11,0.04,0.0133,0.0393
dot_M,0.5,3,0.0407,0.0334,0.04
dot_M,0.5,4,0.0373,0.0234,0.0367
dot_M,0.5,5,0.0277,0.0166,0.027
dot_M,0.5,6,0.04,0.02,0.0393
dot_M,0.5,7,0.0377,0.0133,0.037
dot_M,0.5,8,0.0273,0.01,0.0267
dot_M,0.5,9,0.0147,0.0067,0.014
dot_M,0.5,10,0.008,0.0034,0.0073
dot_M,0.5,11,0.0137,0.0067,0.013
dot_M,0.5,12,0.01,0.0034,0.0093
dot_M,0.5,13,0.0033,0.0,0.0027
dot_M,0.5,14,0.01,0.0067,0.0094
dot_M,0.5,15,0.002,0.0,0.0013
dot_M,0.5,3-15,0.035,0.02,0.0343
dot_M,0.5,7-11,0.0437,0.0133,0.043
dot_M,1.0,3,0.025,0.0133,0.0243
dot_M,1.0,4,0.018,0.0133,0.0173
dot_M,1.0,5,0.0227,0.01,0.022
dot_M,1.0,6,0.0207,0.0067,0.02
dot_M,1.0,7,0.0287,0.0067,0.028
dot_M,1.0,8,0.019,0.0067,0.0183
dot_M,1.0,9,0.0087,0.0067,0.008
dot_M,1.0,10,0.0083,0.0067,0.0077
dot_M,1.0,11,0.007,0.0,0.0063
dot_M,1.0,12,0.011,0.0,0.0103
dot_M,1.0,13,0.0017,0.0,0.001
dot_M,1.0,14,0.013,0.0,0.0123
dot_M,1.0,15,0.0027,0.0,0.002
dot_M,1.0,3-15,0.0437,0.0133,0.043
dot_M,1.0,7-11,0.0483,0.0133,0.0477
dot_M,2.0,3,0.0207,0.01,0.02
dot_M,2.0,4,0.026,0.0133,0.0253
dot_M,2.0,5,0.0367,0.01,0.036
dot_M,2.0,6,0.0327,0.0067,0.032
dot_M,2.0,7,0.035,0.0067,0.0343
dot_M,2.0,8,0.022,0.0067,0.0213
dot_M,2.0,9,0.0067,0.0034,0.006
dot_M,2.0,10,0.011,0.0067,0.0103
dot_M,2.0,11,0.01,0.0034,0.0093
dot_M,2.0,12,0.0107,0.0,0.01
dot_M,2.0,13,0.005,0.0,0.0043
dot_M,2.0,14,0.0137,0.0,0.013
dot_M,2.0,15,0.004,0.0,0.0033
dot_M,2.0,3-15,0.0393,0.0166,0.0387
dot_M,2.0,7-11,0.0533,0.0133,0.0527
dot_M,4.0,3,0.0307,0.0234,0.03
dot_M,4.0,4,0.0373,0.0234,0.0367
dot_M,4.0,5,0.045,0.0166,0.0443
dot_M,4.0,6,0.0393,0.0067,0.0387
dot_M,4.0,7,0.0423,0.0133,0.0417
dot_M,4.0,8,0.0143,0.0034,0.0137
dot_M,4.0,9,0.0093,0.0,0.0087
dot_M,4.0,10,0.0093,0.0,0.0087
dot_M,4.0,11,0.009,0.0067,0.0083
dot_M,4.0,12,0.0123,0.0,0.0117
dot_M,4.0,13,0.005,0.0,0.0043
dot_M,4.0,14,0.0143,0.0067,0.0137
dot_M,4.0,15,0.0053,0.0,0.0047
dot_M,4.0,3-15,0.0477,0.0234,0.047
dot_M,4.0,7-11,0.051,0.0166,0.0503
cosine_perhead,0.5,3,0.0127,0.0133,0.012
cosine_perhead,0.5,4,0.009,0.0067,0.0083
cosine_perhead,0.5,5,0.0117,0.0067,0.011
cosine_perhead,0.5,6,0.012,0.0133,0.0113
cosine_perhead,0.5,7,0.0073,0.0067,0.0067
cosine_perhead,0.5,8,0.0057,0.0067,0.005
cosine_perhead,0.5,9,0.0063,0.0067,0.0057
cosine_perhead,0.5,10,0.0043,0.0034,0.0037
cosine_perhead,0.5,11,0.0053,0.0,0.0047
cosine_perhead,0.5,12,0.0017,0.0,0.001
cosine_perhead,0.5,13,0.0007,0.0,0.0
cosine_perhead,0.5,14,0.0017,0.0,0.001
cosine_perhead,0.5,15,0.0013,0.0,0.0007
cosine_perhead,0.5,3-15,0.0667,0.03,0.066
cosine_perhead,0.5,7-11,0.0533,0.0234,0.0527
cosine_perhead,1.0,3,0.094,0.09,0.0933
cosine_perhead,1.0,4,0.066,0.0633,0.0653
cosine_perhead,1.0,5,0.051,0.0467,0.0503
cosine_perhead,1.0,6,0.0517,0.05,0.051
cosine_perhead,1.0,7,0.0307,0.0267,0.03
cosine_perhead,1.0,8,0.029,0.03,0.0283
cosine_perhead,1.0,9,0.0237,0.02,0.023
cosine_perhead,1.0,10,0.0103,0.0067,0.0097
cosine_perhead,1.0,11,0.0163,0.0,0.0157
cosine_perhead,1.0,12,0.0027,0.0,0.002
cosine_perhead,1.0,13,0.0017,0.0,0.001
cosine_perhead,1.0,14,0.0007,0.0,0.0
cosine_perhead,1.0,15,0.001,0.0,0.0003
cosine_perhead,1.0,3-15,0.037,0.0133,0.0363
cosine_perhead,1.0,7-11,0.0247,0.0067,0.024
cosine_perhead,2.0,3,0.098,0.0733,0.0973
cosine_perhead,2.0,4,0.0867,0.0733,0.086
cosine_perhead,2.0,5,0.081,0.06,0.0803
cosine_perhead,2.0,6,0.0903,0.0733,0.0897
cosine_perhead,2.0,7,0.0487,0.0333,0.048
cosine_perhead,2.0,8,0.0553,0.0367,0.0547
cosine_perhead,2.0,9,0.0393,0.0267,0.0387
cosine_perhead,2.0,10,0.0083,0.0067,0.0077
cosine_perhead,2.0,11,0.0327,0.0067,0.032
cosine_perhead,2.0,12,0.0017,0.0,0.001
cosine_perhead,2.0,13,0.0017,0.0,0.001
cosine_perhead,2.0,14,0.0063,0.0,0.0057
cosine_perhead,2.0,15,0.003,0.0,0.0023
cosine_perhead,2.0,3-15,0.0257,0.01,0.025
cosine_perhead,2.0,7-11,0.0303,0.01,0.0297
cosine_perhead,4.0,3,0.0617,0.0333,0.061
cosine_perhead,4.0,4,0.056,0.0234,0.0553
cosine_perhead,4.0,5,0.065,0.0333,0.0643
cosine_perhead,4.0,6,0.0793,0.0367,0.0787
cosine_perhead,4.0,7,0.047,0.02,0.0463
cosine_perhead,4.0,8,0.0423,0.0234,0.0417
cosine_perhead,4.0,9,0.0217,0.0,0.021
cosine_perhead,4.0,10,0.0067,0.0034,0.006
cosine_perhead,4.0,11,0.0287,0.0067,0.028
cosine_perhead,4.0,12,0.002,0.0,0.0013
cosine_perhead,4.0,13,0.0027,0.0,0.002
cosine_perhead,4.0,14,0.0173,0.0034,0.0167
cosine_perhead,4.0,15,0.002,0.0,0.0013
cosine_perhead,4.0,3-15,0.0227,0.0067,0.022
cosine_perhead,4.0,7-11,0.0353,0.0034,0.0347
dot_perhead,0.5,3,0.0677,0.0533,0.067
dot_perhead,0.5,4,0.0683,0.0566,0.0677
dot_perhead,0.5,5,0.046,0.0334,0.0453
dot_perhead,0.5,6,0.0497,0.0433,0.049
dot_perhead,0.5,7,0.0363,0.0133,0.0357
dot_perhead,0.5,8,0.0353,0.02,0.0347
dot_perhead,0.5,9,0.0253,0.02,0.0247
dot_perhead,0.5,10,0.0113,0.0067,0.0107
dot_perhead,0.5,11,0.0233,0.0133,0.0227
dot_perhead,0.5,12,0.0043,0.0,0.0037
dot_perhead,0.5,13,0.0017,0.0,0.001
dot_perhead,0.5,14,0.0017,0.0,0.001
dot_perhead,0.5,15,0.0013,0.0,0.0007
dot_perhead,0.5,3-15,0.026,0.0133,0.0253
dot_perhead,0.5,7-11,0.0317,0.0067,0.031
dot_perhead,1.0,3,0.0927,0.0766,0.092
dot_perhead,1.0,4,0.071,0.05,0.0703
dot_perhead,1.0,5,0.063,0.04,0.0623
dot_perhead,1.0,6,0.07,0.06,0.0693
dot_perhead,1.0,7,0.0553,0.0267,0.0547
dot_perhead,1.0,8,0.0537,0.0334,0.053
dot_perhead,1.0,9,0.04,0.0267,0.0393
dot_perhead,1.0,10,0.0103,0.0067,0.0097
dot_perhead,1.0,11,0.0263,0.0133,0.0257
dot_perhead,1.0,12,0.0037,0.0,0.003
dot_perhead,1.0,13,0.0017,0.0,0.001
dot_perhead,1.0,14,0.007,0.0,0.0063
dot_perhead,1.0,15,0.0033,0.0,0.0027
dot_perhead,1.0,3-15,0.028,0.01,0.0273
dot_perhead,1.0,7-11,0.028,0.0067,0.0273
dot_perhead,2.0,3,0.0493,0.0466,0.0486
dot_perhead,2.0,4,0.038,0.0234,0.0373
dot_perhead,2.0,5,0.04,0.0267,0.0393
dot_perhead,2.0,6,0.0407,0.02,0.04
dot_perhead,2.0,7,0.0377,0.0067,0.037
dot_perhead,2.0,8,0.0373,0.0166,0.0367
dot_perhead,2.0,9,0.0187,0.0067,0.018
dot_perhead,2.0,10,0.0063,0.0,0.0057
dot_perhead,2.0,11,0.0113,0.0,0.0107
dot_perhead,2.0,12,0.0033,0.0,0.0027
dot_perhead,2.0,13,0.0023,0.0,0.0017
dot_perhead,2.0,14,0.015,0.0067,0.0143
dot_perhead,2.0,15,0.002,0.0,0.0013
dot_perhead,2.0,3-15,0.0283,0.01,0.0277
dot_perhead,2.0,7-11,0.0363,0.0067,0.0357
dot_perhead,4.0,3,0.031,0.0133,0.0303
dot_perhead,4.0,4,0.0223,0.0067,0.0217
dot_perhead,4.0,5,0.023,0.01,0.0223
dot_perhead,4.0,6,0.034,0.0166,0.0333
dot_perhead,4.0,7,0.0403,0.0133,0.0397
dot_perhead,4.0,8,0.0167,0.0067,0.016
dot_perhead,4.0,9,0.0113,0.0,0.0107
dot_perhead,4.0,10,0.0063,0.0,0.0057
dot_perhead,4.0,11,0.0047,0.0,0.004
dot_perhead,4.0,12,0.0097,0.0034,0.009
dot_perhead,4.0,13,0.0027,0.0,0.002
dot_perhead,4.0,14,0.0143,0.0034,0.0137
dot_perhead,4.0,15,0.0037,0.0,0.003
dot_perhead,4.0,3-15,0.0267,0.0133,0.026
dot_perhead,4.0,7-11,0.0363,0.01,0.0357
