task,group,icl_index,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
english-french,train,4,28.2939,-4.99192,2.61264,-1.79365,-13.2853,-3.7713,-7.63841,8.5519,-6.41202,-1.59113
english-french,train,5,28.5426,-5.36921,2.40456,-1.65961,-13.2392,-3.50548,-7.8318,7.67366,-6.25113,-1.56524
english-french,train,6,28.9127,-5.25234,2.58939,-1.96035,-13.217,-3.55743,-7.86848,7.20073,-6.02158,-1.81273
english-french,train,7,28.0627,-4.47748,2.47802,-2.03081,-12.5521,-3.57028,-7.45156,6.89192,-5.31239,-1.51407
english-french,train,8,29.0607,-4.81032,2.73221,-1.99591,-13.0905,-3.46376,-8.00455,6.49787,-5.54664,-1.97306
english-french,train,9,28.7963,-4.54921,3.17725,-2.06811,-12.7036,-3.32281,-7.65584,6.30052,-5.59879,-1.79245
english-french,train,10,29.5515,-4.60431,3.55441,-2.17069,-13.2391,-3.54039,-7.84271,5.93054,-6.04431,-1.94064
english-german,train,1,14.1345,-0.701701,-4.19326,-3.87948,-14.408,-4.31869,-3.989,13.8954,-2.32503,-1.97247
english-german,train,2,19.0836,-2.02776,-2.29445,-4.26991,-14.3398,-3.72858,-5.57644,12.5483,-4.6134,-1.67384
english-german,train,3,21.6296,-2.55451,-0.770182,-3.06945,-14.551,-4.17706,-6.42067,11.7229,-5.05031,-1.97683
english-german,train,4,22.3912,-3.9591,-1.07488,-2.4619,-14.2052,-4.1942,-7.20439,11.0592,-4.74285,-1.80438
english-german,train,5,23.5287,-2.84471,-0.33397,-2.61611,-14.7363,-4.35658,-7.08926,10.6627,-5.28814,-2.13448
english-german,train,6,23.6199,-2.93317,-0.266111,-2.9035,-14.5887,-4.40244,-7.29241,10.4732,-5.28099,-2.28921
english-german,train,7,24.0906,-2.79304,0.160741,-2.87972,-14.5083,-4.27026,-7.34948,9.85001,-5.31845,-2.28524
english-german,train,8,24.1986,-2.68867,0.154232,-2.82048,-14.3609,-4.12382,-7.2845,9.49239,-5.12753,-2.38764
english-german,train,9,24.5842,-2.81289,0.387271,-3.13177,-14.7888,-4.33986,-7.69535,9.39694,-5.49732,-2.48063
english-german,train,10,24.7929,-2.85666,0.301091,-3.08862,-14.5356,-3.96362,-7.6566,9.51433,-5.24005,-2.29399
english-spanish,train,1,18.2881,-3.29057,-1.80436,-3.44888,-14.0473,-4.07164,-5.35123,12.4531,-4.02751,-2.2993
english-spanish,train,2,23.9696,-4.6099,0.721171,-3.81457,-13.9983,-2.78567,-7.05404,10.4134,-6.06167,-2.09646
english-spanish,train,3,26.67,-5.57645,1.83376,-2.61087,-13.3038,-2.95289,-7.52909,9.35347,-6.27331,-1.98945
english-spanish,train,4,28.2985,-5.33824,3.09554,-2.38482,-13.404,-3.18592,-7.90105,7.53932,-6.45788,-2.2262
