family,arm,alpha,margin_unsteered,margin_cf,margin_steered,alt_top_unsteered,alt_top_cf,alt_top_steered
js_camel_snake,ctrl_family,1.0,-7.833984375,-3.977343797683716,-7.007616996765137,0.025,0.1,0.025
js_camel_snake,ctrl_family,2.0,-7.833984375,-3.977343797683716,-4.745703220367432,0.025,0.1,0.05
js_camel_snake,ctrl_family,4.0,-7.833984375,-3.977343797683716,-0.867968738079071,0.025,0.1,0.275
js_camel_snake,ctrl_family,8.0,-7.833984375,-3.977343797683716,0.5591796636581421,0.025,0.1,0.6
js_camel_snake,ctrl_random,0.5,-7.833984375,-3.977343797683716,-7.816601753234863,0.025,0.1,0.025
js_camel_snake,ctrl_random,1.0,-7.833984375,-3.977343797683716,-7.804491996765137,0.025,0.1,0.025
js_camel_snake,ctrl_random,2.0,-7.833984375,-3.977343797683716,-7.753125190734863,0.025,0.1,0.025
js_camel_snake,ctrl_random,4.0,-7.833984375,-3.977343797683716,-7.562304496765137,0.025,0.1,0.025
js_camel_snake,ctrl_random,8.0,-7.833984375,-3.977343797683716,-6.867773532867432,0.025,0.1,0.025
py_class_naming,read,0.5,-6.230273246765137,-3.4808592796325684,-5.15625,0.0,0.025,0.0
py_class_naming,read,1.0,-6.230273246765137,-3.4808592796325684,2.314453125,0.0,0.025,0.975
py_class_naming,read,2.0,-6.230273246765137,-3.4808592796325684,2.528125047683716,0.0,0.025,0.975
py_class_naming,read,4.0,-6.230273246765137,-3.4808592796325684,-4.259375095367432,0.0,0.025,0.025
py_class_naming,read,8.0,-6.230273246765137,-3.4808592796325684,-0.46406251192092896,0.0,0.025,0.3
py_fstring,read,0.5,-4.217187404632568,-3.887500047683716,-4.034375190734863,0.075,0.05,0.075
py_fstring,read,1.0,-4.217187404632568,-3.887500047683716,-3.6890625953674316,0.075,0.05,0.075
py_fstring,read,2.0,-4.217187404632568,-3.887500047683716,-1.904687523841858,0.075,0.05,0.1
py_fstring,read,4.0,-4.217187404632568,-3.887500047683716,4.112500190734863,0.075,0.05,0.95
py_fstring,read,8.0,-4.217187404632568,-3.887500047683716,6.425000190734863,0.075,0.05,0.975
py_fstring,ctrl_family,0.5,-4.217187404632568,-3.887500047683716,-4.214062690734863,0.075,0.05,0.075
py_fstring,ctrl_family,1.0,-4.217187404632568,-3.887500047683716,-4.15625,0.075,0.05,0.075
py_fstring,ctrl_family,2.0,-4.217187404632568,-3.887500047683716,-4.053124904632568,0.075,0.05,0.075
py_fstring,ctrl_family,4.0,-4.217187404632568,-3.887500047683716,-3.828125,0.075,0.05,0.075
py_fstring,ctrl_family,8.0,-4.217187404632568,-3.887500047683716,-2.778125047683716,0.075,0.05,0.075
py_fstring,ctrl_random,0.5,-4.217187404632568,-3.887500047683716,-4.246874809265137,0.075,0.05,0.075
py_fstring,ctrl_random,1.0,-4.217187404632568,-3.887500047683716,-4.245312690734863,0.075,0.05,0.075
py_fstring,ctrl_random,2.0,-4.217187404632568,-3.887500047683716,-4.287499904632568,0.075,0.05,0.075
py_fstring,ctrl_random,4.0,-4.217187404632568,-3.887500047683716,-4.514062404632568,0.075,0.05,0.075
py_fstring,ctrl_random,8.0,-4.217187404632568,-3.887500047683716,-4.590624809265137,0.075,0.05,0.025
py_type_hints,read,0.5,-2.1390624046325684,-7.7890625,-1.5359375476837158,0.3,0.025,0.325
py_type_hints,read,1.0,-2.1390624046325684,-7.7890625,-0.16249999403953552,0.3,0.025,0.475
