family,target,layer,alpha,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,base_accuracy,cf_accuracy,step3_k0,step3_k4
sql_join_style,alt,24,4.0,0.585,0.512,0.654,0.617,0.29,0.923,0.005,,0.011,0.749
sql_join_style,nat,24,0.5,0.863,0.806,0.906,0.885,0.115,0.973,0.82,,0.842,0.913
r_assignment,alt,24,4.0,0.71,0.644,0.768,0.925,0.05,0.735,0.05,,0.06,0.815
r_assignment,nat,24,1.0,0.775,0.712,0.827,0.985,0.01,0.78,0.74,,0.77,0.905
rust_question,alt,24,4.0,0.758,0.687,0.817,0.879,0.085,0.83,0.036,,0.036,0.594
rust_question,nat,24,1.0,0.752,0.68,0.811,0.818,0.176,0.915,0.703,,0.655,0.8
bash_test,alt,24,4.0,0.94,0.898,0.965,0.98,0.01,0.955,0.67,,0.675,0.765
bash_test,nat,24,4.0,0.815,0.755,0.863,0.87,0.105,0.935,0.2,,0.185,0.87
php_array,alt,24,4.0,0.699,0.631,0.76,0.943,0.047,0.731,0.135,,0.166,0.58
php_array,nat,24,4.0,0.425,0.357,0.495,0.482,0.518,0.813,0.301,,0.212,0.42
