icl_example_index,token_role,layer,k,train_sample_count,test_sample_count,train_mse,test_mse
3,last_label_token,19,5,2600,1170,12.408056259155273,15.916728019714355
3,last_label_token,20,5,2600,1170,12.117636680603027,16.196067810058594
3,last_label_token,21,5,2600,1170,11.329648971557617,17.307697296142578
3,last_label_token,22,5,2600,1170,11.672441482543945,18.028587341308594
3,last_label_token,23,5,2600,1170,11.882240295410156,17.34263801574707
3,last_label_token,24,5,2600,1170,12.053312301635742,16.9420108795166
3,last_label_token,25,5,2600,1170,12.20751953125,18.557727813720703
3,last_label_token,26,5,2600,1170,12.289673805236816,20.793317794799805
3,last_label_token,27,5,2600,1170,12.19084358215332,24.202865600585938
3,last_label_token,28,5,2600,1170,12.638294219970703,26.507598876953125
4,pre_label_token,0,5,2600,1170,137633.03125,137442.640625
4,pre_label_token,1,5,2600,1170,29.872802734375,28.230079650878906
4,pre_label_token,2,5,2600,1170,29.882915496826172,24.403926849365234
4,pre_label_token,3,5,2600,1170,28.548242568969727,25.6488037109375
4,pre_label_token,4,5,2600,1170,21.730613708496094,20.77654457092285
4,pre_label_token,5,5,2600,1170,18.43129539489746,16.71242332458496
4,pre_label_token,6,5,2600,1170,12.545042991638184,16.651565551757812
4,pre_label_token,7,5,2600,1170,10.297744750976562,15.675558090209961
4,pre_label_token,8,5,2600,1170,10.525285720825195,16.4381046295166
4,pre_label_token,9,5,2600,1170,9.439929962158203,11.24300765991211
4,pre_label_token,10,5,2600,1170,9.352128982543945,10.14838695526123
4,pre_label_token,11,5,2600,1170,8.788211822509766,9.048779487609863
4,pre_label_token,12,5,2600,1170,7.5884222984313965,8.847722053527832
4,pre_label_token,13,5,2600,1170,7.160402774810791,8.877054214477539
4,pre_label_token,14,5,2600,1170,7.6760334968566895,10.865850448608398
4,pre_label_token,15,5,2600,1170,7.510097980499268,11.270157814025879
4,pre_label_token,16,5,2600,1170,7.1717705726623535,10.408754348754883
4,pre_label_token,17,5,2600,1170,8.190345764160156,10.854985237121582
4,pre_label_token,18,5,2600,1170,7.569456577301025,10.216227531433105
4,pre_label_token,19,5,2600,1170,7.692193508148193,10.923551559448242
4,pre_label_token,20,5,2600,1170,8.069963455200195,11.209517478942871
4,pre_label_token,21,5,2600,1170,8.233685493469238,10.172749519348145
4,pre_label_token,22,5,2600,1170,8.489754676818848,10.183095932006836
4,pre_label_token,23,5,2600,1170,8.97327709197998,10.573217391967773
4,pre_label_token,24,5,2600,1170,9.25874137878418,10.739293098449707
4,pre_label_token,25,5,2600,1170,9.806720733642578,11.309508323669434
4,pre_label_token,26,5,2600,1170,10.53274917602539,12.188154220581055
4,pre_label_token,27,5,2600,1170,10.702275276184082,14.366774559020996
