icl_example_index,token_role,layer,k,train_sample_count,test_sample_count,train_mse,test_mse
5,last_label_token,11,5,2600,1170,10.766022682189941,9.611079216003418
5,last_label_token,12,5,2600,1170,10.28206729888916,9.951451301574707
5,last_label_token,13,5,2600,1170,10.353852272033691,11.412153244018555
5,last_label_token,14,5,2600,1170,10.126381874084473,11.196870803833008
5,last_label_token,15,5,2600,1170,10.932417869567871,12.778890609741211
5,last_label_token,16,5,2600,1170,10.370844841003418,12.244939804077148
5,last_label_token,17,5,2600,1170,11.265621185302734,12.989455223083496
5,last_label_token,18,5,2600,1170,11.384032249450684,13.702073097229004
5,last_label_token,19,5,2600,1170,11.52291488647461,14.394648551940918
5,last_label_token,20,5,2600,1170,11.152242660522461,14.858168601989746
5,last_label_token,21,5,2600,1170,10.140066146850586,15.824075698852539
5,last_label_token,22,5,2600,1170,10.485033988952637,16.75571060180664
5,last_label_token,23,5,2600,1170,10.851329803466797,15.970547676086426
5,last_label_token,24,5,2600,1170,11.077672958374023,15.490850448608398
5,last_label_token,25,5,2600,1170,11.112542152404785,16.78766632080078
5,last_label_token,26,5,2600,1170,10.951250076293945,18.903409957885742
5,last_label_token,27,5,2600,1170,10.792654037475586,21.867422103881836
5,last_label_token,28,5,2600,1170,11.135000228881836,24.263952255249023
