task,group,n_shots,mean_cos_own_L24,mean_cos_gm_L24,mean_delta_cos_L24,acc
article_choice,train,5,0.5075,0.5014,0.0061,0.8667
article_choice,train,6,0.5120,0.5062,0.0058,0.8800
capitalize,train,0,0.4427,0.4971,-0.0544,0.0000
capitalize,train,1,0.5187,0.5442,-0.0255,0.7600
capitalize,train,2,0.5334,0.5476,-0.0141,0.9467
capitalize,train,3,0.5312,0.5410,-0.0098,0.9733
capitalize,train,4,0.5335,0.5398,-0.0063,0.9800
capitalize,train,5,0.5325,0.5371,-0.0045,0.9667
capitalize,train,6,0.5323,0.5359,-0.0036,0.9800
capitalize_first_letter,train,0,0.3535,0.4912,-0.1377,0.0000
capitalize_first_letter,train,1,0.4091,0.4704,-0.0613,0.4000
capitalize_first_letter,train,2,0.4602,0.5071,-0.0468,0.8400
capitalize_first_letter,train,3,0.4807,0.5139,-0.0332,0.9333
capitalize_first_letter,train,4,0.4921,0.5212,-0.0291,0.9600
capitalize_first_letter,train,5,0.4979,0.5254,-0.0275,0.9733
capitalize_first_letter,train,6,0.5018,0.5282,-0.0264,0.9933
city-country,train,0,0.4517,0.4796,-0.0279,0.0000
city-country,train,1,0.4377,0.4140,0.0236,0.8000
city-country,train,2,0.4434,0.4182,0.0252,0.8733
city-country,train,3,0.4513,0.4275,0.0238,0.8467
city-country,train,4,0.4531,0.4279,0.0252,0.7733
city-country,train,5,0.4563,0.4311,0.0253,0.8333
city-country,train,6,0.4603,0.4359,0.0244,0.8000
commonsense_qa,train,0,0.4571,0.4126,0.0445,0.0133
commonsense_qa,train,1,0.5208,0.4539,0.0670,0.6333
commonsense_qa,train,2,0.5425,0.4689,0.0736,0.7533
commonsense_qa,train,3,0.5513,0.4747,0.0766,0.7000
commonsense_qa,train,4,0.5582,0.4802,0.0780,0.6467
commonsense_qa,train,5,0.5668,0.4880,0.0789,0.6600
commonsense_qa,train,6,0.5701,0.4901,0.0800,0.7200
compound_first,train,0,0.4451,0.5134,-0.0682,0.0000
compound_first,train,1,0.4953,0.5371,-0.0418,0.2667
compound_first,train,2,0.5218,0.5515,-0.0297,0.5400
compound_first,train,3,0.5331,0.5563,-0.0232,0.5800
compound_first,train,4,0.5403,0.5574,-0.0171,0.6333
compound_first,train,5,0.5453,0.5597,-0.0144,0.6933
compound_first,train,6,0.5458,0.5578,-0.0121,0.7867
compound_head,train,0,0.4230,0.5129,-0.0899,0.0000
compound_head,train,1,0.4682,0.5252,-0.0569,0.2933
compound_head,train,2,0.4910,0.5280,-0.0370,0.6733
compound_head,train,3,0.5052,0.5323,-0.0271,0.7467
compound_head,train,4,0.5190,0.5411,-0.0221,0.7667
compound_head,train,5,0.5254,0.5443,-0.0190,0.8533
compound_head,train,6,0.5309,0.5478,-0.0169,0.8400
concrete_abstract,train,0,0.4043,0.5055,-0.1012,0.0000
concrete_abstract,train,1,0.4281,0.5162,-0.0881,0.0267
concrete_abstract,train,2,0.4972,0.5438,-0.0466,0.5133
concrete_abstract,train,3,0.5211,0.5571,-0.0360,0.7267
concrete_abstract,train,4,0.5325,0.5656,-0.0331,0.8867
concrete_abstract,train,5,0.5434,0.5748,-0.0314,0.8800
concrete_abstract,train,6,0.5494,0.5789,-0.0295,0.9267
contains_letter_e,heldout,0,0.4267,0.4986,-0.0719,0.0000
contains_letter_e,heldout,1,0.4863,0.5066,-0.0203,0.1733
contains_letter_e,heldout,2,0.5165,0.5220,-0.0054,0.3600
contains_letter_e,heldout,3,0.5350,0.5279,0.0071,0.4600
contains_letter_e,heldout,4,0.5499,0.5332,0.0167,0.4067
contains_letter_e,heldout,5,0.5621,0.5400,0.0222,0.4467
contains_letter_e,heldout,6,0.5746,0.5493,0.0252,0.4933
count_digits,heldout,0,0.3885,0.5394,-0.1508,0.0067
count_digits,heldout,1,0.4166,0.4936,-0.0770,0.2333
count_digits,heldout,2,0.4206,0.4566,-0.0359,0.5267
count_digits,heldout,3,0.4312,0.4604,-0.0291,0.5800
count_digits,heldout,4,0.4288,0.4533,-0.0245,0.7067
count_digits,heldout,5,0.4356,0.4591,-0.0234,0.7133
count_digits,heldout,6,0.4430,0.4686,-0.0256,0.7667
count_words,train,0,0.4547,0.5158,-0.0610,0.0000
count_words,train,1,0.4829,0.4935,-0.0106,0.1400
count_words,train,2,0.5064,0.4904,0.0160,0.2867
count_words,train,3,0.5269,0.4980,0.0289,0.3933
count_words,train,4,0.5392,0.4999,0.0393,0.4933
count_words,train,5,0.5518,0.5076,0.0442,0.5667
count_words,train,6,0.5575,0.5103,0.0472,0.6333
country-capital,train,0,0.3774,0.4672,-0.0897,0.0400
country-capital,train,1,0.3593,0.3730,-0.0137,0.8333
country-capital,train,2,0.3671,0.3637,0.0033,0.8733
country-capital,train,3,0.3707,0.3643,0.0064,0.8733
country-capital,train,4,0.3729,0.3656,0.0073,0.7867
country-capital,train,5,0.3704,0.3611,0.0094,0.8133
country-capital,train,6,0.3707,0.3637,0.0070,0.8400
day_after_textual_date,train,0,0.4136,0.5095,-0.0959,0.0000
day_after_textual_date,train,1,0.4811,0.4937,-0.0126,0.4467
day_after_textual_date,train,2,0.4613,0.4514,0.0099,0.9200
day_after_textual_date,train,3,0.4620,0.4416,0.0205,0.9867
day_after_textual_date,train,4,0.4592,0.4336,0.0256,0.9733
day_after_textual_date,train,5,0.4616,0.4334,0.0282,0.9867
day_after_textual_date,train,6,0.4629,0.4331,0.0298,0.9800
double_no_carry,heldout,0,0.4272,0.5325,-0.1052,0.0067
double_no_carry,heldout,1,0.4628,0.4968,-0.0340,0.8667
double_no_carry,heldout,2,0.4365,0.4418,-0.0053,0.9333
double_no_carry,heldout,3,0.4230,0.4186,0.0044,0.9200
double_no_carry,heldout,4,0.3999,0.3874,0.0125,0.9200
double_no_carry,heldout,5,0.4058,0.3883,0.0175,0.8933
double_no_carry,heldout,6,0.4164,0.3987,0.0178,0.9000
double_number,train,0,0.4235,0.5368,-0.1133,0.0067
double_number,train,1,0.4591,0.5046,-0.0456,0.7933
double_number,train,2,0.4022,0.3963,0.0059,0.8933
double_number,train,3,0.3989,0.3825,0.0163,0.8533
double_number,train,4,0.3677,0.3441,0.0236,0.8667
double_number,train,5,0.3715,0.3396,0.0319,0.8267
double_number,train,6,0.3967,0.3716,0.0251,0.9200
ends_with_ing,train,0,0.4386,0.5172,-0.0787,0.0000
ends_with_ing,train,1,0.4997,0.5135,-0.0138,0.3733
ends_with_ing,train,2,0.5292,0.5276,0.0015,0.4067
ends_with_ing,train,3,0.5548,0.5389,0.0159,0.5333
ends_with_ing,train,4,0.5699,0.5477,0.0221,0.6133
ends_with_ing,train,5,0.5813,0.5551,0.0261,0.6267
ends_with_ing,train,6,0.5881,0.5596,0.0285,0.6933
english-french,train,0,0.4064,0.5009,-0.0945,0.0000
english-french,train,1,0.4534,0.4521,0.0013,0.6133
english-french,train,2,0.4672,0.4573,0.0100,0.7133
english-french,train,3,0.4710,0.4593,0.0117,0.7133
english-french,train,4,0.4750,0.4631,0.0119,0.7333
english-french,train,5,0.4761,0.4639,0.0122,0.7267
english-french,train,6,0.4763,0.4644,0.0119,0.7200
english-german,train,0,0.4059,0.5036,-0.0978,0.0000
english-german,train,1,0.4270,0.4183,0.0087,0.3333
english-german,train,2,0.4372,0.4222,0.0150,0.3800
english-german,train,3,0.4377,0.4199,0.0178,0.4200
english-german,train,4,0.4396,0.4210,0.0186,0.4400
english-german,train,5,0.4404,0.4214,0.0189,0.4267
english-german,train,6,0.4406,0.4208,0.0198,0.4533
english-italian,train,0,0.3561,0.5001,-0.1440,0.0000
english-italian,train,1,0.3993,0.4113,-0.0120,0.5333
english-italian,train,2,0.4153,0.4154,-0.0001,0.6000
english-italian,train,3,0.4175,0.4120,0.0055,0.7133
english-italian,train,4,0.4216,0.4147,0.0069,0.7400
english-italian,train,5,0.4219,0.4136,0.0083,0.7333
english-italian,train,6,0.4234,0.4149,0.0084,0.7467
english-portuguese,train,0,0.3932,0.4981,-0.1049,0.0000
english-portuguese,train,1,0.4532,0.4513,0.0019,0.5533
english-portuguese,train,2,0.4650,0.4587,0.0063,0.6733
english-portuguese,train,3,0.4651,0.4562,0.0089,0.7467
english-portuguese,train,4,0.4664,0.4565,0.0099,0.7267
english-portuguese,train,5,0.4670,0.4562,0.0108,0.7867
english-portuguese,train,6,0.4677,0.4564,0.0113,0.8000
english-spanish,train,0,0.4140,0.5012,-0.0873,0.0000
english-spanish,train,1,0.4653,0.4516,0.0137,0.6333
english-spanish,train,2,0.4780,0.4615,0.0165,0.7067
english-spanish,train,3,0.4807,0.4621,0.0186,0.7000
english-spanish,train,4,0.4827,0.4634,0.0192,0.7267
english-spanish,train,5,0.4847,0.4651,0.0196,0.7067
english-spanish,train,6,0.4833,0.4629,0.0204,0.7200
first_digit,train,0,0.4317,0.5406,-0.1090,0.0000
first_digit,train,1,0.4368,0.4713,-0.0345,0.3333
first_digit,train,2,0.4332,0.4451,-0.0119,0.8733
first_digit,train,3,0.4454,0.4527,-0.0073,0.9667
first_digit,train,4,0.4487,0.4537,-0.0051,0.9600
first_digit,train,5,0.4531,0.4579,-0.0048,0.9667
first_digit,train,6,0.4645,0.4717,-0.0072,0.9600
first_letter_second_word,heldout,0,0.3883,0.5155,-0.1273,0.0000
first_letter_second_word,heldout,1,0.4230,0.4750,-0.0520,0.0933
first_letter_second_word,heldout,2,0.4603,0.4810,-0.0207,0.3200
first_letter_second_word,heldout,3,0.4912,0.5071,-0.0159,0.4800
first_letter_second_word,heldout,4,0.5075,0.5219,-0.0143,0.5667
first_letter_second_word,heldout,5,0.5179,0.5305,-0.0126,0.6533
first_letter_second_word,heldout,6,0.5251,0.5369,-0.0118,0.6467
first_three_letters,train,0,0.3395,0.4990,-0.1596,0.0000
first_three_letters,train,1,0.4059,0.4555,-0.0496,0.2533
first_three_letters,train,2,0.4350,0.4499,-0.0149,0.3933
first_three_letters,train,3,0.4443,0.4464,-0.0021,0.5000
first_three_letters,train,4,0.4499,0.4494,0.0006,0.5600
first_three_letters,train,5,0.4562,0.4537,0.0025,0.6133
first_three_letters,train,6,0.4596,0.4552,0.0044,0.6200
first_two_letters,train,0,0.3149,0.4975,-0.1826,0.0000
first_two_letters,train,1,0.3730,0.4523,-0.0793,0.1400
first_two_letters,train,2,0.4009,0.4443,-0.0434,0.4733
first_two_letters,train,3,0.4122,0.4443,-0.0321,0.7133
first_two_letters,train,4,0.4210,0.4492,-0.0282,0.7200
first_two_letters,train,5,0.4262,0.4514,-0.0252,0.8267
first_two_letters,train,6,0.4305,0.4532,-0.0227,0.8533
first_vowel,train,0,0.3529,0.4985,-0.1456,0.0000
first_vowel,train,1,0.3857,0.4661,-0.0804,0.1067
first_vowel,train,2,0.4107,0.4666,-0.0560,0.2000
first_vowel,train,3,0.4215,0.4667,-0.0451,0.2933
first_vowel,train,4,0.4343,0.4727,-0.0383,0.2933
first_vowel,train,5,0.4429,0.4760,-0.0331,0.3733
first_vowel,train,6,0.4460,0.4735,-0.0276,0.4800
french-english,heldout,0,0.4537,0.4881,-0.0343,0.0000
french-english,heldout,1,0.5642,0.5728,-0.0085,0.7533
french-english,heldout,2,0.5733,0.5794,-0.0061,0.7600
french-english,heldout,3,0.5762,0.5810,-0.0048,0.7800
french-english,heldout,4,0.5761,0.5806,-0.0044,0.8133
french-english,heldout,5,0.5761,0.5800,-0.0039,0.8667
french-english,heldout,6,0.5744,0.5779,-0.0036,0.8733
french_noun_gender,heldout,0,0.3334,0.4890,-0.1556,0.0000
french_noun_gender,heldout,1,0.4681,0.5432,-0.0751,0.5867
french_noun_gender,heldout,2,0.4921,0.5074,-0.0153,0.8867
french_noun_gender,heldout,3,0.4919,0.4866,0.0052,0.9133
french_noun_gender,heldout,4,0.4890,0.4723,0.0167,0.8867
french_noun_gender,heldout,5,0.4883,0.4673,0.0211,0.9067
french_noun_gender,heldout,6,0.4892,0.4664,0.0229,0.8600
german-english,train,0,0.4428,0.4734,-0.0306,0.0000
german-english,train,1,0.5564,0.5594,-0.0029,0.6667
german-english,train,2,0.5757,0.5756,0.0000,0.7600
german-english,train,3,0.5794,0.5776,0.0018,0.8600
german-english,train,4,0.5812,0.5789,0.0023,0.8600
german-english,train,5,0.5795,0.5767,0.0028,0.8667
german-english,train,6,0.5781,0.5751,0.0030,0.9200
german_noun_gender,train,0,0.3804,0.4662,-0.0858,0.0000
german_noun_gender,train,1,0.4236,0.4700,-0.0464,0.3267
german_noun_gender,train,2,0.4327,0.4195,0.0132,0.8133
german_noun_gender,train,3,0.4270,0.3951,0.0319,0.9000
german_noun_gender,train,4,0.4195,0.3787,0.0408,0.8933
german_noun_gender,train,5,0.4164,0.3711,0.0454,0.8733
german_noun_gender,train,6,0.4151,0.3682,0.0468,0.9467
gerund_to_base,train,0,0.4590,0.5216,-0.0626,0.0000
gerund_to_base,train,1,0.5494,0.5808,-0.0314,0.7800
gerund_to_base,train,2,0.5649,0.5823,-0.0174,0.9200
gerund_to_base,train,3,0.5676,0.5772,-0.0095,0.9267
gerund_to_base,train,4,0.5697,0.5749,-0.0052,0.9600
gerund_to_base,train,5,0.5708,0.5734,-0.0026,0.9467
gerund_to_base,train,6,0.5712,0.5714,-0.0001,0.9533
gerund_to_past,train,0,0.4341,0.5154,-0.0813,0.0000
gerund_to_past,train,1,0.5385,0.5623,-0.0238,0.7000
gerund_to_past,train,2,0.5451,0.5493,-0.0042,0.8333
gerund_to_past,train,3,0.5446,0.5374,0.0072,0.8800
gerund_to_past,train,4,0.5443,0.5317,0.0126,0.9067
gerund_to_past,train,5,0.5439,0.5273,0.0166,0.9000
gerund_to_past,train,6,0.5429,0.5228,0.0201,0.8867
halve_even_number,train,0,0.4223,0.5315,-0.1092,0.0067
halve_even_number,train,1,0.4406,0.4918,-0.0512,0.6667
halve_even_number,train,2,0.3943,0.4022,-0.0079,0.8400
halve_even_number,train,3,0.3882,0.3883,-0.0002,0.9200
halve_even_number,train,4,0.3810,0.3730,0.0080,0.9067
halve_even_number,train,5,0.3795,0.3633,0.0162,0.9000
halve_even_number,train,6,0.3954,0.3871,0.0083,0.9800
hypernym_category,train,0,0.4895,0.5052,-0.0157,0.0000
hypernym_category,train,1,0.5155,0.4955,0.0200,0.3733
hypernym_category,train,2,0.5404,0.5162,0.0243,0.4067
hypernym_category,train,3,0.5543,0.5268,0.0275,0.5000
hypernym_category,train,4,0.5601,0.5296,0.0306,0.5200
hypernym_category,train,5,0.5657,0.5330,0.0327,0.5467
hypernym_category,train,6,0.5696,0.5356,0.0340,0.6200
initials_two_words,train,0,0.3578,0.5187,-0.1609,0.0000
initials_two_words,train,1,0.4224,0.4899,-0.0675,0.6133
initials_two_words,train,2,0.4528,0.5034,-0.0506,0.8467
initials_two_words,train,3,0.4684,0.5109,-0.0425,0.9267
initials_two_words,train,4,0.4768,0.5156,-0.0388,0.9133
initials_two_words,train,5,0.4822,0.5170,-0.0348,0.9267
initials_two_words,train,6,0.4854,0.5175,-0.0321,0.9600
iso_date_to_month,train,0,0.4145,0.4780,-0.0635,0.0000
iso_date_to_month,train,1,0.5215,0.5480,-0.0265,1.0000
iso_date_to_month,train,2,0.5423,0.5571,-0.0148,1.0000
iso_date_to_month,train,3,0.5530,0.5637,-0.0107,1.0000
iso_date_to_month,train,4,0.5558,0.5627,-0.0069,0.9933
iso_date_to_month,train,5,0.5576,0.5604,-0.0029,0.9867
iso_date_to_month,train,6,0.5565,0.5570,-0.0005,0.9933
iso_date_year_plus_one,train,0,0.3867,0.4794,-0.0927,0.0000
iso_date_year_plus_one,train,1,0.4443,0.4722,-0.0279,0.4667
iso_date_year_plus_one,train,2,0.4678,0.4762,-0.0084,0.7600
iso_date_year_plus_one,train,3,0.4787,0.4828,-0.0040,0.8933
iso_date_year_plus_one,train,4,0.4807,0.4791,0.0016,0.9200
iso_date_year_plus_one,train,5,0.4838,0.4787,0.0051,0.9533
iso_date_year_plus_one,train,6,0.4793,0.4716,0.0077,0.9400
landmark-country,train,0,0.4661,0.4809,-0.0148,0.0067
landmark-country,train,1,0.4713,0.4392,0.0321,0.6067
landmark-country,train,2,0.4949,0.4603,0.0346,0.6867
landmark-country,train,3,0.5120,0.4771,0.0348,0.6867
landmark-country,train,4,0.5148,0.4801,0.0346,0.6533
landmark-country,train,5,0.5194,0.4848,0.0346,0.7333
landmark-country,train,6,0.5239,0.4894,0.0345,0.6933
language_identification,train,0,0.4064,0.4501,-0.0437,0.0000
language_identification,train,1,0.5347,0.5345,0.0002,0.6667
language_identification,train,2,0.5666,0.5299,0.0367,0.9400
language_identification,train,3,0.5717,0.5228,0.0489,0.9733
language_identification,train,4,0.5718,0.5170,0.0548,0.9533
language_identification,train,5,0.5710,0.5133,0.0576,0.9733
language_identification,train,6,0.5707,0.5120,0.0588,0.9667
larger_of_pair,train,0,0.4482,0.5241,-0.0760,0.0067
larger_of_pair,train,1,0.5079,0.5359,-0.0280,0.5867
larger_of_pair,train,2,0.5009,0.5164,-0.0155,0.8000
larger_of_pair,train,3,0.5098,0.5264,-0.0166,0.7600
larger_of_pair,train,4,0.5092,0.5236,-0.0144,0.8267
larger_of_pair,train,5,0.5115,0.5236,-0.0121,0.8400
larger_of_pair,train,6,0.5189,0.5319,-0.0129,0.8267
larger_than_1000,train,0,0.4183,0.5393,-0.1210,0.0000
larger_than_1000,train,1,0.4801,0.5065,-0.0264,0.5200
larger_than_1000,train,2,0.5047,0.5251,-0.0204,0.6867
larger_than_1000,train,3,0.5289,0.5503,-0.0214,0.8000
larger_than_1000,train,4,0.5402,0.5645,-0.0243,0.8467
larger_than_1000,train,5,0.5413,0.5667,-0.0255,0.8733
larger_than_1000,train,6,0.5484,0.5762,-0.0278,0.9200
largest_digit,heldout,0,0.4520,0.5401,-0.0882,0.0000
largest_digit,heldout,1,0.4709,0.4949,-0.0240,0.1533
largest_digit,heldout,2,0.4381,0.4416,-0.0035,0.3600
largest_digit,heldout,3,0.4390,0.4365,0.0024,0.4800
largest_digit,heldout,4,0.4500,0.4464,0.0036,0.5067
largest_digit,heldout,5,0.4637,0.4609,0.0028,0.6067
largest_digit,heldout,6,0.4718,0.4689,0.0028,0.6067
last_digit,heldout,0,0.4452,0.5390,-0.0938,0.0000
last_digit,heldout,1,0.4581,0.4950,-0.0369,0.1400
last_digit,heldout,2,0.4412,0.4520,-0.0108,0.4933
last_digit,heldout,3,0.4446,0.4502,-0.0056,0.6267
last_digit,heldout,4,0.4489,0.4516,-0.0027,0.7400
last_digit,heldout,5,0.4549,0.4555,-0.0006,0.7867
last_digit,heldout,6,0.4640,0.4655,-0.0015,0.8533
last_two_letters,heldout,0,0.3420,0.4939,-0.1519,0.0000
last_two_letters,heldout,1,0.3430,0.4178,-0.0748,0.0533
last_two_letters,heldout,2,0.3479,0.3827,-0.0348,0.2067
last_two_letters,heldout,3,0.3461,0.3619,-0.0159,0.2600
last_two_letters,heldout,4,0.3532,0.3633,-0.0101,0.2533
last_two_letters,heldout,5,0.3650,0.3738,-0.0088,0.3133
last_two_letters,heldout,6,0.3734,0.3820,-0.0086,0.2733
last_vowel,train,0,0.3492,0.4872,-0.1380,0.0000
last_vowel,train,1,0.3590,0.4237,-0.0646,0.0800
last_vowel,train,2,0.3732,0.4014,-0.0282,0.2333
last_vowel,train,3,0.3822,0.3994,-0.0172,0.2933
last_vowel,train,4,0.3908,0.3955,-0.0047,0.3867
last_vowel,train,5,0.3973,0.3946,0.0027,0.4733
last_vowel,train,6,0.4038,0.3965,0.0073,0.3933
lowercase_first_letter,train,0,0.3293,0.4978,-0.1685,0.0000
lowercase_first_letter,train,1,0.4203,0.5108,-0.0905,0.4400
lowercase_first_letter,train,2,0.4706,0.5408,-0.0702,0.7467
lowercase_first_letter,train,3,0.4838,0.5448,-0.0610,0.8800
lowercase_first_letter,train,4,0.4882,0.5447,-0.0565,0.9267
lowercase_first_letter,train,5,0.4920,0.5459,-0.0539,0.9400
lowercase_first_letter,train,6,0.4944,0.5481,-0.0537,0.9733
lowercase_last_letter,train,0,0.3184,0.4928,-0.1744,0.0000
lowercase_last_letter,train,1,0.3711,0.4606,-0.0895,0.1933
lowercase_last_letter,train,2,0.3920,0.4333,-0.0413,0.4667
lowercase_last_letter,train,3,0.4072,0.4419,-0.0347,0.5667
lowercase_last_letter,train,4,0.4242,0.4620,-0.0378,0.5800
lowercase_last_letter,train,5,0.4312,0.4671,-0.0360,0.6533
lowercase_last_letter,train,6,0.4351,0.4718,-0.0368,0.6533
lowercase_word,train,0,0.4149,0.4922,-0.0773,0.0067
lowercase_word,train,1,0.5022,0.5625,-0.0603,0.8667
lowercase_word,train,2,0.5215,0.5763,-0.0549,0.9933
lowercase_word,train,3,0.5234,0.5762,-0.0528,0.9933
lowercase_word,train,4,0.5245,0.5758,-0.0513,1.0000
lowercase_word,train,5,0.5235,0.5741,-0.0506,0.9933
lowercase_word,train,6,0.5230,0.5733,-0.0503,0.9933
national_parks,train,0,0.4959,0.4768,0.0191,0.0000
national_parks,train,1,0.5120,0.4634,0.0486,0.7267
national_parks,train,2,0.5234,0.4681,0.0552,0.7800
national_parks,train,3,0.5297,0.4729,0.0567,0.7400
national_parks,train,4,0.5346,0.4775,0.0571,0.6667
national_parks,train,5,0.5362,0.4786,0.0575,0.7467
national_parks,train,6,0.5367,0.4789,0.0578,0.7600
nato_first_letter,train,0,0.2877,0.4948,-0.2071,0.0000
nato_first_letter,train,1,0.3117,0.4708,-0.1591,0.0067
nato_first_letter,train,2,0.3328,0.4184,-0.0855,0.0733
nato_first_letter,train,3,0.3372,0.3681,-0.0309,0.1067
nato_first_letter,train,4,0.3276,0.3246,0.0031,0.1600
nato_first_letter,train,5,0.3177,0.2869,0.0308,0.2667
nato_first_letter,train,6,0.3105,0.2649,0.0456,0.3800
natural_manmade,heldout,0,0.4290,0.4974,-0.0684,0.0000
natural_manmade,heldout,1,0.4582,0.4950,-0.0368,0.1400
natural_manmade,heldout,2,0.5115,0.5139,-0.0024,0.5133
natural_manmade,heldout,3,0.5323,0.5338,-0.0016,0.8267
natural_manmade,heldout,4,0.5390,0.5407,-0.0016,0.8800
natural_manmade,heldout,5,0.5478,0.5502,-0.0024,0.9533
natural_manmade,heldout,6,0.5537,0.5555,-0.0018,0.9600
next_in_group,heldout,0,0.3914,0.5033,-0.1119,0.0000
next_in_group,heldout,1,0.3645,0.3614,0.0031,0.1538
next_in_group,heldout,2,0.3296,0.2859,0.0438,0.2500
next_in_group,heldout,3,0.3344,0.2758,0.0586,0.2308
next_in_group,heldout,4,0.3361,0.2792,0.0569,0.1731
next_in_group,heldout,5,0.3371,0.2797,0.0574,0.2115
next_in_group,heldout,6,0.3362,0.2755,0.0607,0.2692
next_in_period,train,0,0.4065,0.5033,-0.0968,0.0000
next_in_period,train,1,0.3701,0.3749,-0.0049,0.3077
next_in_period,train,2,0.3254,0.2905,0.0349,0.2308
next_in_period,train,3,0.3349,0.2980,0.0369,0.3462
next_in_period,train,4,0.3381,0.3032,0.0349,0.4615
next_in_period,train,5,0.3472,0.3174,0.0298,0.5000
next_in_period,train,6,0.3508,0.3194,0.0314,0.5577
next_item,train,0,0.3532,0.4800,-0.1268,0.0000
next_item,train,1,0.3687,0.4549,-0.0862,0.4467
next_item,train,2,0.3748,0.4505,-0.0757,0.7467
next_item,train,3,0.3831,0.4561,-0.0730,0.8000
next_item,train,4,0.3875,0.4584,-0.0708,0.8867
next_item,train,5,0.3889,0.4581,-0.0692,0.8667
next_item,train,6,0.3916,0.4591,-0.0676,0.8867
next_month_of_date,train,0,0.4105,0.5064,-0.0959,0.0000
next_month_of_date,train,1,0.4740,0.5161,-0.0422,0.8867
next_month_of_date,train,2,0.4666,0.4920,-0.0254,0.9800
next_month_of_date,train,3,0.4827,0.5089,-0.0262,0.9800
