family,n_nat,n_alt,tokens_per_prompt_nat,tokens_per_prompt_alt,layer,rel_norm,split_half_cos,cos_read_write,cos_read_write_L24
py_loop_vars,188,188,4.07,4.29,21,0.5115,0.994,0.142,0.014
py_loop_vars,188,188,4.07,4.29,22,0.473,0.994,0.142,0.0
py_loop_vars,188,188,4.07,4.29,23,0.4665,0.994,0.081,0.038
py_loop_vars,188,188,4.07,4.29,24,0.4654,0.994,0.056,0.056
py_loop_vars,188,188,4.07,4.29,25,0.3962,0.993,0.091,0.087
py_loop_vars,188,188,4.07,4.29,26,0.3447,0.993,0.088,0.063
py_loop_vars,188,188,4.07,4.29,27,0.3026,0.992,0.168,0.027
py_loop_vars,188,188,4.07,4.29,28,0.339,0.997,0.053,0.002
js_hungarian,200,200,4.63,9.32,0,1.0204,,,0.002
js_hungarian,200,200,4.63,9.32,1,0.4014,0.98,0.015,-0.03
js_hungarian,200,200,4.63,9.32,2,0.3805,0.983,0.024,0.0
js_hungarian,200,200,4.63,9.32,3,0.4027,0.984,0.076,-0.002
js_hungarian,200,200,4.63,9.32,4,0.4176,0.983,0.149,-0.005
js_hungarian,200,200,4.63,9.32,5,0.4715,0.984,0.165,-0.001
js_hungarian,200,200,4.63,9.32,6,0.5278,0.988,0.181,0.015
js_hungarian,200,200,4.63,9.32,7,0.4787,0.988,0.207,0.021
js_hungarian,200,200,4.63,9.32,8,0.4993,0.986,0.353,0.043
js_hungarian,200,200,4.63,9.32,9,0.5044,0.985,0.354,0.052
js_hungarian,200,200,4.63,9.32,10,0.4587,0.985,0.407,0.054
js_hungarian,200,200,4.63,9.32,11,0.4321,0.986,0.401,0.053
js_hungarian,200,200,4.63,9.32,12,0.4493,0.986,0.391,0.061
js_hungarian,200,200,4.63,9.32,13,0.4356,0.986,0.393,0.061
js_hungarian,200,200,4.63,9.32,14,0.418,0.987,0.351,0.059
js_hungarian,200,200,4.63,9.32,15,0.3951,0.987,0.386,0.071
js_hungarian,200,200,4.63,9.32,16,0.3892,0.988,0.352,0.074
js_hungarian,200,200,4.63,9.32,17,0.3721,0.988,0.378,0.081
js_hungarian,200,200,4.63,9.32,18,0.3827,0.988,0.284,0.071
js_hungarian,200,200,4.63,9.32,19,0.3614,0.988,0.258,0.071
js_hungarian,200,200,4.63,9.32,20,0.3414,0.99,0.318,0.088
js_hungarian,200,200,4.63,9.32,21,0.3454,0.989,0.191,0.096
js_hungarian,200,200,4.63,9.32,22,0.3096,0.988,0.172,0.075
js_hungarian,200,200,4.63,9.32,23,0.3028,0.986,0.119,0.085
js_hungarian,200,200,4.63,9.32,24,0.2604,0.983,0.077,0.077
js_hungarian,200,200,4.63,9.32,25,0.2163,0.981,0.067,0.071
js_hungarian,200,200,4.63,9.32,26,0.1969,0.98,0.065,0.061
js_hungarian,200,200,4.63,9.32,27,0.1829,0.978,0.103,0.069
js_hungarian,200,200,4.63,9.32,28,0.139,0.973,0.339,0.052
py_abbrev,200,200,5.19,5.24,0,1.1096,,,-0.029
py_abbrev,200,200,5.19,5.24,1,0.5223,0.982,0.099,-0.045
py_abbrev,200,200,5.19,5.24,2,0.4366,0.981,0.139,-0.046
py_abbrev,200,200,5.19,5.24,3,0.439,0.978,0.125,-0.047
py_abbrev,200,200,5.19,5.24,4,0.448,0.979,0.11,-0.041
py_abbrev,200,200,5.19,5.24,5,0.4799,0.98,0.124,-0.045
py_abbrev,200,200,5.19,5.24,6,0.4669,0.981,0.13,-0.044
py_abbrev,200,200,5.19,5.24,7,0.4701,0.984,0.181,-0.018
py_abbrev,200,200,5.19,5.24,8,0.5167,0.982,0.331,-0.01
py_abbrev,200,200,5.19,5.24,9,0.5026,0.981,0.333,0.007
py_abbrev,200,200,5.19,5.24,10,0.4657,0.982,0.346,0.015
py_abbrev,200,200,5.19,5.24,11,0.4404,0.982,0.351,0.017
py_abbrev,200,200,5.19,5.24,12,0.442,0.981,0.349,0.027
py_abbrev,200,200,5.19,5.24,13,0.4346,0.982,0.349,0.027
py_abbrev,200,200,5.19,5.24,14,0.4092,0.982,0.339,0.027
py_abbrev,200,200,5.19,5.24,15,0.3857,0.982,0.328,0.026
py_abbrev,200,200,5.19,5.24,16,0.3547,0.981,0.319,0.025
py_abbrev,200,200,5.19,5.24,17,0.3388,0.98,0.322,0.037
py_abbrev,200,200,5.19,5.24,18,0.3406,0.98,0.338,0.071
py_abbrev,200,200,5.19,5.24,19,0.3139,0.981,0.353,0.086
py_abbrev,200,200,5.19,5.24,20,0.2842,0.981,0.35,0.119
py_abbrev,200,200,5.19,5.24,21,0.3054,0.981,0.341,0.143
py_abbrev,200,200,5.19,5.24,22,0.2803,0.979,0.328,0.144
py_abbrev,200,200,5.19,5.24,23,0.2831,0.979,0.259,0.198
py_abbrev,200,200,5.19,5.24,24,0.2645,0.979,0.187,0.187
py_abbrev,200,200,5.19,5.24,25,0.2267,0.978,0.277,0.245
py_abbrev,200,200,5.19,5.24,26,0.201,0.977,0.333,0.239
py_abbrev,200,200,5.19,5.24,27,0.1878,0.976,0.328,0.187
py_abbrev,200,200,5.19,5.24,28,0.1665,0.989,0.35,0.108
py_quotes,192,192,5.11,5.1,0,0.7481,,,0.007
py_quotes,192,192,5.11,5.1,1,0.4316,0.998,0.146,0.002
py_quotes,192,192,5.11,5.1,2,0.4025,0.998,0.195,0.012
py_quotes,192,192,5.11,5.1,3,0.3514,0.998,0.179,0.014
py_quotes,192,192,5.11,5.1,4,0.458,0.999,0.333,0.01
py_quotes,192,192,5.11,5.1,5,0.4702,0.999,0.344,-0.0
py_quotes,192,192,5.11,5.1,6,0.4122,0.998,0.318,0.003
py_quotes,192,192,5.11,5.1,7,0.4622,0.998,0.621,0.01
py_quotes,192,192,5.11,5.1,8,0.4879,0.998,0.7,0.004
py_quotes,192,192,5.11,5.1,9,0.4502,0.997,0.689,-0.003
py_quotes,192,192,5.11,5.1,10,0.4016,0.998,0.653,-0.004
py_quotes,192,192,5.11,5.1,11,0.4055,0.998,0.635,-0.004
py_quotes,192,192,5.11,5.1,12,0.4007,0.998,0.64,-0.01
py_quotes,192,192,5.11,5.1,13,0.3934,0.998,0.643,-0.011
py_quotes,192,192,5.11,5.1,14,0.365,0.998,0.624,-0.012
py_quotes,192,192,5.11,5.1,15,0.361,0.997,0.625,-0.015
py_quotes,192,192,5.11,5.1,16,0.3275,0.997,0.586,-0.014
py_quotes,192,192,5.11,5.1,17,0.3267,0.997,0.564,-0.011
py_quotes,192,192,5.11,5.1,18,0.3114,0.996,0.53,-0.005
py_quotes,192,192,5.11,5.1,19,0.2722,0.996,0.491,-0.002
py_quotes,192,192,5.11,5.1,20,0.2367,0.996,0.416,0.006
py_quotes,192,192,5.11,5.1,21,0.2395,0.996,0.4,0.007
py_quotes,192,192,5.11,5.1,22,0.2748,0.998,0.37,0.028
py_quotes,192,192,5.11,5.1,23,0.2569,0.997,0.221,0.048
py_quotes,192,192,5.11,5.1,24,0.1898,0.995,0.246,0.246
py_quotes,192,192,5.11,5.1,25,0.1579,0.993,0.31,0.291
py_quotes,192,192,5.11,5.1,26,0.1323,0.991,0.401,0.328
py_quotes,192,192,5.11,5.1,27,0.122,0.987,0.568,0.409
py_quotes,192,192,5.11,5.1,28,0.1009,0.977,0.77,0.356
js_quotes,189,189,5.39,5.44,0,0.7587,,,0.002
js_quotes,189,189,5.39,5.44,1,0.4374,0.996,0.161,-0.009
js_quotes,189,189,5.39,5.44,2,0.4005,0.997,0.235,0.002
js_quotes,189,189,5.39,5.44,3,0.3467,0.996,0.207,0.003
js_quotes,189,189,5.39,5.44,4,0.4344,0.998,0.388,0.007
js_quotes,189,189,5.39,5.44,5,0.4572,0.998,0.402,-0.003
js_quotes,189,189,5.39,5.44,6,0.4107,0.998,0.377,-0.003
js_quotes,189,189,5.39,5.44,7,0.4363,0.998,0.707,0.005
js_quotes,189,189,5.39,5.44,8,0.4644,0.997,0.776,-0.004
js_quotes,189,189,5.39,5.44,9,0.4164,0.997,0.772,-0.01
js_quotes,189,189,5.39,5.44,10,0.3715,0.997,0.758,-0.007
js_quotes,189,189,5.39,5.44,11,0.3738,0.997,0.771,-0.009
js_quotes,189,189,5.39,5.44,12,0.3685,0.997,0.78,-0.011
js_quotes,189,189,5.39,5.44,13,0.3588,0.997,0.786,-0.011
js_quotes,189,189,5.39,5.44,14,0.3321,0.997,0.787,-0.012
js_quotes,189,189,5.39,5.44,15,0.3261,0.997,0.779,-0.015
js_quotes,189,189,5.39,5.44,16,0.2882,0.997,0.777,-0.014
js_quotes,189,189,5.39,5.44,17,0.2855,0.997,0.776,-0.013
js_quotes,189,189,5.39,5.44,18,0.2754,0.997,0.721,-0.007
js_quotes,189,189,5.39,5.44,19,0.246,0.996,0.715,-0.006
js_quotes,189,189,5.39,5.44,20,0.221,0.995,0.6,-0.004
js_quotes,189,189,5.39,5.44,21,0.2202,0.995,0.584,-0.001
js_quotes,189,189,5.39,5.44,22,0.2576,0.997,0.575,0.02
js_quotes,189,189,5.39,5.44,23,0.2498,0.996,0.212,0.037
js_quotes,189,189,5.39,5.44,24,0.183,0.992,0.204,0.204
js_quotes,189,189,5.39,5.44,25,0.1507,0.99,0.286,0.254
js_quotes,189,189,5.39,5.44,26,0.1278,0.984,0.383,0.304
js_quotes,189,189,5.39,5.44,27,0.1167,0.975,0.611,0.446
js_quotes,189,189,5.39,5.44,28,0.1051,0.93,0.793,0.392
py_fstring,200,200,7.12,8.39,0,0.9863,,,-0.002
py_fstring,200,200,7.12,8.39,1,0.4708,0.994,0.297,-0.016
py_fstring,200,200,7.12,8.39,2,0.4054,0.994,0.294,-0.02
py_fstring,200,200,7.12,8.39,3,0.4078,0.994,0.271,-0.02
py_fstring,200,200,7.12,8.39,4,0.4445,0.995,0.352,-0.013
py_fstring,200,200,7.12,8.39,5,0.5104,0.994,0.354,-0.017
py_fstring,200,200,7.12,8.39,6,0.4734,0.993,0.31,-0.004
py_fstring,200,200,7.12,8.39,7,0.4634,0.993,0.28,-0.005
py_fstring,200,200,7.12,8.39,8,0.5059,0.994,0.301,0.011
py_fstring,200,200,7.12,8.39,9,0.4892,0.993,0.281,0.018
py_fstring,200,200,7.12,8.39,10,0.4447,0.994,0.189,0.024
py_fstring,200,200,7.12,8.39,11,0.4434,0.994,0.311,0.016
py_fstring,200,200,7.12,8.39,12,0.4467,0.993,0.294,0.019
py_fstring,200,200,7.12,8.39,13,0.4245,0.993,0.302,0.013
py_fstring,200,200,7.12,8.39,14,0.3984,0.992,0.297,0.009
py_fstring,200,200,7.12,8.39,15,0.3797,0.992,0.284,0.011
py_fstring,200,200,7.12,8.39,16,0.3572,0.991,0.282,0.023
py_fstring,200,200,7.12,8.39,17,0.3552,0.991,0.273,0.025
py_fstring,200,200,7.12,8.39,18,0.3599,0.99,0.244,0.028
py_fstring,200,200,7.12,8.39,19,0.3575,0.99,0.229,0.047
py_fstring,200,200,7.12,8.39,20,0.3263,0.989,0.278,0.046
py_fstring,200,200,7.12,8.39,21,0.3533,0.989,0.279,0.065
py_fstring,200,200,7.12,8.39,22,0.3275,0.989,0.192,0.043
py_fstring,200,200,7.12,8.39,23,0.3504,0.989,0.191,0.119
py_fstring,200,200,7.12,8.39,24,0.3816,0.993,0.139,0.139
py_fstring,200,200,7.12,8.39,25,0.341,0.992,0.126,0.134
py_fstring,200,200,7.12,8.39,26,0.3632,0.993,0.173,0.118
py_fstring,200,200,7.12,8.39,27,0.3905,0.994,0.146,0.095
py_fstring,200,200,7.12,8.39,28,0.4917,0.992,-0.225,0.046
js_template,198,198,8.18,10.55,0,1.2871,,,-0.01
js_template,198,198,8.18,10.55,1,0.6044,0.998,0.163,-0.037
js_template,198,198,8.18,10.55,2,0.5382,0.998,0.195,-0.023
js_template,198,198,8.18,10.55,3,0.5369,0.998,0.136,-0.031
js_template,198,198,8.18,10.55,4,0.5667,0.998,0.203,-0.026
js_template,198,198,8.18,10.55,5,0.589,0.998,0.203,-0.036
js_template,198,198,8.18,10.55,6,0.5452,0.998,0.182,-0.028
js_template,198,198,8.18,10.55,7,0.5337,0.998,0.197,-0.024
js_template,198,198,8.18,10.55,8,0.5845,0.997,0.195,-0.008
js_template,198,198,8.18,10.55,9,0.5541,0.997,0.229,0.005
js_template,198,198,8.18,10.55,10,0.4974,0.997,0.201,0.006
js_template,198,198,8.18,10.55,11,0.4904,0.997,0.293,0.014
js_template,198,198,8.18,10.55,12,0.4871,0.997,0.291,0.014
js_template,198,198,8.18,10.55,13,0.4726,0.997,0.306,0.013
js_template,198,198,8.18,10.55,14,0.4454,0.997,0.31,0.016
js_template,198,198,8.18,10.55,15,0.4248,0.997,0.306,0.013
js_template,198,198,8.18,10.55,16,0.3884,0.997,0.294,0.009
