task,group,zero_shot,dummy6_unsteered,real_1shot,dummy1_steered_L6_best,dummy6_steered_best,real_6shot,dummy6_steer_a0.5,dummy6_steer_a1.0,dummy6_steer_a2.0,dummy6_steer_a4.0
natural_manmade,train,0.0,0.0,0.02,0.0067,0.0867,0.6467,0.0,0.0,0.02,0.0867
next_item,train,0.0267,0.0,0.1133,0.0733,0.3667,0.5,0.0,0.02,0.12,0.3667
next_month_of_date,train,0.0067,0.0,0.1467,0.02,0.1333,0.6733,0.0,0.02,0.1133,0.1333
next_number_digits,train,0.0133,0.0,0.2533,0.22,0.8933,0.8867,0.0,0.0533,0.74,0.8933
number_word_to_digits,train,0.0,0.0,0.5467,0.28,0.3733,0.7067,0.0,0.1,0.36,0.3733
park-country,train,0.0,0.0,0.2933,0.0533,0.3133,0.52,0.0,0.0,0.3067,0.3133
past_to_base,heldout,0.0,0.0,0.2133,0.2267,0.7467,0.76,0.0067,0.14,0.7467,0.72
person-instrument,train,0.0,0.0,0.1333,0.0067,0.2,0.26,0.0,0.02,0.1933,0.2
person-sport,train,0.0,0.0,0.2933,0.0133,0.3133,0.7,0.0,0.04,0.28,0.3133
person_place_thing,heldout,0.0,0.0,0.04,0.0133,0.1667,0.62,0.0,0.0067,0.06,0.1667
plural_to_singular,train,0.0,0.0,0.1933,0.3933,0.8733,0.8267,0.0133,0.3667,0.86,0.8733
pos_label,heldout,0.0,0.0,0.1267,0.0067,0.1533,0.56,0.0,0.0,0.0733,0.1533
present-past,train,0.0133,0.0,0.24,0.1,0.76,0.78,0.0,0.0733,0.6733,0.76
prev_number_digits,train,0.0,0.0,0.0867,0.0733,0.44,0.8133,0.0067,0.02,0.34,0.44
product-company,train,0.0,0.0,0.1,0.0267,0.2533,0.4733,0.0,0.0267,0.2,0.2533
sentiment,train,0.0,0.0,0.2267,0.0267,0.48,0.6667,0.0,0.0,0.4267,0.48
singular-plural,train,0.0,0.0,0.4667,0.6067,0.9333,0.9,0.0,0.28,0.9067,0.9333
singular_or_plural,train,0.0,0.0,0.1533,0.0133,0.18,0.6133,0.0,0.0,0.12,0.18
smaller_of_pair,heldout,0.0,0.0,0.2867,0.0867,0.4333,0.4933,0.0067,0.1,0.3667,0.4333
spanish-english,heldout,0.0,0.0,0.4667,0.4667,0.7267,0.7133,0.0,0.02,0.5067,0.7267
spanish_noun_gender,train,0.0,0.0,0.1667,0.0,0.22,0.62,0.0,0.0,0.1533,0.22
starts_with_vowel,train,0.0,0.0,0.0867,0.0,0.02,0.46,0.0,0.0,0.02,0.02
third_person_to_base,train,0.0,0.0,0.2267,0.4333,0.8933,0.8533,0.0067,0.3267,0.8933,0.86
titlecase_phrase,train,0.0,0.0,0.1667,0.0333,0.7,0.92,0.0,0.0667,0.6733,0.7
uppercase_word,heldout,0.0,0.0,0.22,0.2467,0.9333,0.9267,0.0267,0.2933,0.8933,0.9333
us-city-state,train,0.0,0.0,0.4333,0.0467,0.3,0.6533,0.0,0.02,0.3,0.2933
verb_tense_label,train,0.0,0.0,0.0667,0.0,0.06,0.32,0.0,0.0,0.0,0.06
verb_to_third_person,train,0.0,0.0,0.2867,0.26,0.74,0.7667,0.0,0.1933,0.7,0.74
word_polarity,heldout,0.0,0.0,0.18,0.0067,0.4,0.68,0.0,0.0,0.2333,0.4
