task,icl_index,token_role,layer,n_rows,cell_rank90,stable_rank,rank90,participation_ratio,n_pca50,mean_pairwise_cos
capitalize,1,pre_label_token,9,170,12,1.9058664925441746,7,3.235166166424892,1,0.9935827851295471
capitalize_first_letter,1,pre_label_token,9,170,12,2.1687216846677617,7,3.8257842111663134,2,0.9932384490966797
commonsense_qa,1,pre_label_token,10,170,12,3.0774759593526264,7,5.555430867351228,2,0.9972937107086182
national_parks,1,pre_label_token,10,170,12,3.109065739690226,8,5.798573529746974,3,0.9974099397659302
capitalize,1,pre_label_token,10,170,12,1.9497083619645224,7,3.354536987594172,1,0.9932593107223511
capitalize_first_letter,1,pre_label_token,10,170,12,2.189933393945414,7,3.8849199943184596,2,0.9929286241531372
commonsense_qa,1,pre_label_token,11,170,12,3.0067124308375424,7,5.432642554966922,2,0.9973133206367493
national_parks,1,pre_label_token,11,170,12,2.980503456674592,8,5.660304482714835,3,0.9975122809410095
capitalize,1,pre_label_token,11,170,12,1.9573315931763655,7,3.373512954958315,1,0.9932025671005249
capitalize_first_letter,1,pre_label_token,11,170,12,2.2003287927554513,7,3.9000283324347156,2,0.9928394556045532
commonsense_qa,1,pre_label_token,12,170,12,3.0522633121786265,7,5.455159079718245,2,0.997428834438324
national_parks,1,pre_label_token,12,170,12,2.975350624977584,8,5.690677944545671,3,0.9974814653396606
capitalize,1,pre_label_token,12,170,12,1.9387773690062826,7,3.323345984601509,1,0.9932451844215393
capitalize_first_letter,1,pre_label_token,12,170,12,2.2112173684055243,7,3.923281619342919,2,0.9931182861328125
commonsense_qa,1,pre_label_token,13,170,12,3.037219707762039,7,5.429039945624735,2,0.9970595240592957
national_parks,1,pre_label_token,13,170,12,2.9370076132841523,8,5.606831596354135,3,0.9970611333847046
capitalize,1,pre_label_token,13,170,12,1.9341535266686567,7,3.3084285726995977,1,0.9924488663673401
capitalize_first_letter,1,pre_label_token,13,170,12,2.1790995100697206,7,3.841106326557373,2,0.9923141598701477
commonsense_qa,1,pre_label_token,14,170,52,3.55409806971196,17,8.393644694825097,4,0.917036771774292
national_parks,1,pre_label_token,14,170,52,7.074513774259746,24,18.020928178991483,7,0.9059667587280273
capitalize,1,pre_label_token,14,170,52,10.885608479412173,23,21.598290370069957,8,0.5629020929336548
capitalize_first_letter,1,pre_label_token,14,170,52,13.777631231523847,23,22.87244434543479,9,0.549899160861969
commonsense_qa,1,pre_label_token,15,170,53,3.4843182167910145,17,8.288517336625567,4,0.9101508259773254
national_parks,1,pre_label_token,15,170,53,7.224249085226149,25,18.214047297000594,7,0.9045043587684631
capitalize,1,pre_label_token,15,170,53,11.508703077547327,23,22.20400246897162,9,0.5521199107170105
capitalize_first_letter,1,pre_label_token,15,170,53,13.898930352233155,23,23.230626415111516,9,0.5424136519432068
commonsense_qa,1,pre_label_token,16,170,52,3.3438901540353876,17,7.8420783236907985,3,0.9141044616699219
national_parks,1,pre_label_token,16,170,52,7.063555893687561,24,17.807845000806523,7,0.903447687625885
capitalize,1,pre_label_token,16,170,52,11.307022256891566,23,21.707547543582947,8,0.5508191585540771
capitalize_first_letter,1,pre_label_token,16,170,52,13.269850626083322,23,22.76018973564415,9,0.5376352667808533
commonsense_qa,1,pre_label_token,17,170,53,3.7851217734023157,18,8.984254839928257,4,0.9173070192337036
national_parks,1,pre_label_token,17,170,53,7.678375707346151,25,18.24209484368418,7,0.906600832939148
capitalize,1,pre_label_token,17,170,53,11.85337815001418,23,22.304504018201122,9,0.5457196831703186
capitalize_first_letter,1,pre_label_token,17,170,53,13.695527529291892,24,23.38632912788437,9,0.5390447974205017
commonsense_qa,1,pre_label_token,18,170,52,4.026843119041795,18,9.554699552191686,4,0.9190047979354858
national_parks,1,pre_label_token,18,170,52,7.258463733970778,24,17.912948961963718,7,0.9122145175933838
capitalize,1,pre_label_token,18,170,52,11.316535173157591,23,21.799844211201957,8,0.5521469712257385
capitalize_first_letter,1,pre_label_token,18,170,52,13.553660836235501,23,22.791212952869117,9,0.5411382913589478
commonsense_qa,1,pre_label_token,19,170,53,3.7607870541380604,18,8.941071007487247,4,0.9239200353622437
national_parks,1,pre_label_token,19,170,53,7.66905482569855,25,18.62678081644897,7,0.9170463681221008
capitalize,1,pre_label_token,19,170,53,11.782076801789675,23,22.550690855077452,9,0.5363844037055969
capitalize_first_letter,1,pre_label_token,19,170,53,14.139751341235838,24,23.49014334386242,9,0.5532733201980591
commonsense_qa,1,pre_label_token,20,170,53,4.083722206534923,18,9.719932753517647,4,0.9234126210212708
national_parks,1,pre_label_token,20,170,53,7.6848495820110925,24,17.619236733553763,7,0.9115501642227173
capitalize,1,pre_label_token,20,170,53,11.495157980378973,23,22.372136740562553,9,0.5373850464820862
capitalize_first_letter,1,pre_label_token,20,170,53,14.12991838644864,24,23.386687307831632,9,0.5731852054595947
commonsense_qa,1,pre_label_token,21,170,54,4.184386104857704,18,10.125847476816986,4,0.9287124872207642
national_parks,1,pre_label_token,21,170,54,7.497602216501615,24,17.53045731475499,7,0.9100462794303894
capitalize,1,pre_label_token,21,170,54,11.735019910549104,24,22.905102145294784,9,0.5422070026397705
capitalize_first_letter,1,pre_label_token,21,170,54,13.843484929637325,24,23.7249940614116,9,0.5694101452827454
commonsense_qa,1,pre_label_token,22,170,53,3.8898803265375235,18,9.33439186956723,4,0.9298020601272583
national_parks,1,pre_label_token,22,170,53,7.484457836388014,24,17.241463579297765,7,0.9148077368736267
capitalize,1,pre_label_token,22,170,53,11.677805815964767,23,22.462993914268235,9,0.5530628561973572
capitalize_first_letter,1,pre_label_token,22,170,53,13.329275619315423,24,23.256962794250015,9,0.5865722894668579
commonsense_qa,1,pre_label_token,23,170,54,3.899684502176074,18,9.385066841156814,4,0.9290251731872559
national_parks,1,pre_label_token,23,170,54,7.651866416770573,24,17.720288911112235,7,0.9154671430587769
capitalize,1,pre_label_token,23,170,54,11.714778962139631,24,22.875241429376377,9,0.5583590269088745
capitalize_first_letter,1,pre_label_token,23,170,54,13.686658149281584,24,23.825449112258145,9,0.5886579155921936
commonsense_qa,1,pre_label_token,24,170,55,3.6537866837045248,18,8.82568311878896,4,0.9214025735855103
national_parks,1,pre_label_token,24,170,55,7.82766736959746,25,18.444549664152557,7,0.9167292714118958
capitalize,1,pre_label_token,24,170,55,11.963329840078,24,23.47636811533019,9,0.5506575703620911
capitalize_first_letter,1,pre_label_token,24,170,55,14.11718340807533,25,24.162739884665225,9,0.5736740231513977
commonsense_qa,1,pre_label_token,25,170,55,3.559284200160462,18,8.581625440272031,4,0.9248534440994263
national_parks,1,pre_label_token,25,170,55,8.124869549816458,25,18.74569583927198,7,0.9199538826942444
capitalize,1,pre_label_token,25,170,55,11.858291829100807,24,23.447590134426797,9,0.5625719428062439
capitalize_first_letter,1,pre_label_token,25,170,55,13.938908404840424,25,24.10536414337054,9,0.5778135657310486
commonsense_qa,1,pre_label_token,26,170,55,3.527686930797273,18,8.534725815360757,4,0.9320709705352783
national_parks,1,pre_label_token,26,170,55,8.351980884434509,25,18.814541634099122,7,0.9264788627624512
capitalize,1,pre_label_token,26,170,55,11.793140545925175,25,23.259603698064275,9,0.5909988880157471
capitalize_first_letter,1,pre_label_token,26,170,55,13.826884360640669,25,24.072538901512914,9,0.5991081595420837
commonsense_qa,1,pre_label_token,27,170,54,3.4242076536688555,17,8.196686573601287,4,0.946570098400116
national_parks,1,pre_label_token,27,170,54,8.327440182184462,25,18.326545919045234,7,0.9421250820159912
capitalize,1,pre_label_token,27,170,54,11.529568831283092,24,22.970055704494378,9,0.6359608769416809
capitalize_first_letter,1,pre_label_token,27,170,54,13.64837184458228,24,23.737266231253702,9,0.6410540342330933
commonsense_qa,1,pre_label_token,28,170,53,3.35872488956614,17,7.858847668749415,3,0.9657986760139465
national_parks,1,pre_label_token,28,170,53,5.696061830515868,24,14.690374003147229,6,0.966540515422821
capitalize,1,pre_label_token,28,170,53,10.509908707944296,23,21.6800627371344,9,0.7788166999816895
capitalize_first_letter,1,pre_label_token,28,170,53,11.152936799290636,23,22.282836742397357,9,0.7744696736335754
commonsense_qa,1,first_label_token,0,170,12,3.405985372938067,8,6.0983515115164,3,0.9986482858657837
national_parks,1,first_label_token,0,170,12,2.635966774546326,8,5.101899760998119,2,0.9977266192436218
capitalize,1,first_label_token,0,170,12,2.3301248769662597,7,4.355246900853699,2,0.9937241673469543
capitalize_first_letter,1,first_label_token,0,170,12,3.3758054079183952,8,6.0923612700943455,3,0.9951983690261841
commonsense_qa,1,first_label_token,1,170,35,4.5774954558077825,13,8.938109587356305,4,0.9613407850265503
national_parks,1,first_label_token,1,170,35,4.616346089180059,15,10.976211545244011,5,0.9528388381004333
capitalize,1,first_label_token,1,170,35,7.746425123110682,14,13.700099475892312,6,0.6164483428001404
capitalize_first_letter,1,first_label_token,1,170,35,8.949876610233742,14,14.087414248470582,6,0.6101978421211243
commonsense_qa,1,first_label_token,2,170,41,5.450595777046148,15,10.46462537744067,4,0.9474494457244873
national_parks,1,first_label_token,2,170,41,5.345579057601062,18,12.258257249207523,5,0.9168791174888611
capitalize,1,first_label_token,2,170,41,8.93338064722831,17,16.712108685805593,7,0.5807698965072632
capitalize_first_letter,1,first_label_token,2,170,41,10.232449694486737,17,17.054458688953638,7,0.5819441080093384
commonsense_qa,1,first_label_token,3,170,44,5.376582331294361,16,10.710978558740573,4,0.9027342200279236
national_parks,1,first_label_token,3,170,44,5.873979569564912,20,13.394713133895028,5,0.8694469332695007
capitalize,1,first_label_token,3,170,44,9.042844905214626,19,18.052951947858986,7,0.4944421350955963
capitalize_first_letter,1,first_label_token,3,170,44,11.108491593958977,19,18.557786666186313,7,0.4310111701488495
commonsense_qa,1,first_label_token,4,170,48,5.235862355430427,17,11.054373685205933,4,0.907372772693634
national_parks,1,first_label_token,4,170,48,5.6928743014041325,21,13.592316858810488,5,0.8581088185310364
capitalize,1,first_label_token,4,170,48,9.69187978384105,21,19.673479396417598,8,0.47242069244384766
capitalize_first_letter,1,first_label_token,4,170,48,11.646764367336294,21,20.366232860282185,8,0.4280317425727844
commonsense_qa,1,first_label_token,5,170,52,4.9213089259576845,18,10.977537732922174,4,0.9000223278999329
national_parks,1,first_label_token,5,170,52,6.112156537963725,22,14.29918025607438,6,0.8267324566841125
capitalize,1,first_label_token,5,170,52,10.786623022057833,23,21.71472889730222,8,0.5023428201675415
capitalize_first_letter,1,first_label_token,5,170,52,12.593307102084015,22,21.963905273281263,9,0.42183029651641846
commonsense_qa,1,first_label_token,6,170,54,5.050298356682043,19,11.298442872572437,4,0.8727761507034302
national_parks,1,first_label_token,6,170,54,6.209151672275636,23,15.081387319567765,6,0.8062027096748352
capitalize,1,first_label_token,6,170,54,11.055772104811384,24,22.590055086845002,9,0.47320473194122314
capitalize_first_letter,1,first_label_token,6,170,54,12.824193623773537,23,22.749066895562034,9,0.4050601124763489
commonsense_qa,1,first_label_token,7,170,58,5.205693148319541,20,11.950870723529485,5,0.869589626789093
national_parks,1,first_label_token,7,170,58,6.470485208741275,25,15.564713478929828,6,0.790058970451355
capitalize,1,first_label_token,7,170,58,12.083704610347494,26,24.216337053322288,9,0.46742376685142517
capitalize_first_letter,1,first_label_token,7,170,58,13.67212421771825,25,24.16349594100286,9,0.3935423791408539
commonsense_qa,1,first_label_token,8,170,60,5.41176951599315,21,12.546195787717748,5,0.8546739220619202
national_parks,1,first_label_token,8,170,60,7.027085326365461,26,16.285610235022165,6,0.7689417004585266
capitalize,1,first_label_token,8,170,60,11.727074132157087,27,24.72182313134118,9,0.47835567593574524
capitalize_first_letter,1,first_label_token,8,170,60,13.869935384529795,26,24.777913618961765,9,0.4154071807861328
commonsense_qa,1,first_label_token,9,170,60,5.6000240180485275,21,12.638288362866303,5,0.8372873663902283
national_parks,1,first_label_token,9,170,60,7.430209541138311,26,16.394297495399847,6,0.7647634148597717
capitalize,1,first_label_token,9,170,60,11.88886286683791,27,24.759704130192457,9,0.472525417804718
capitalize_first_letter,1,first_label_token,9,170,60,13.675559385395188,26,24.688792912409884,9,0.42114096879959106
commonsense_qa,1,first_label_token,10,170,60,5.656872351127836,21,12.586378300793612,5,0.835358738899231
national_parks,1,first_label_token,10,170,60,7.036805077567886,26,17.173060022238317,7,0.7750705480575562
capitalize,1,first_label_token,10,170,60,11.852278313912766,27,24.68712348888185,9,0.4743264317512512
capitalize_first_letter,1,first_label_token,10,170,60,13.59052887396833,26,24.716339854900795,9,0.4049491286277771
commonsense_qa,1,first_label_token,11,170,61,5.695792848353499,21,12.884723458002574,5,0.8389427065849304
national_parks,1,first_label_token,11,170,61,7.308240307156867,26,17.178239278585124,7,0.7674267888069153
capitalize,1,first_label_token,11,170,61,12.029871472231651,28,25.163298195312066,10,0.4787895977497101
capitalize_first_letter,1,first_label_token,11,170,61,13.660526083463697,26,25.124159825506368,10,0.4055660367012024
commonsense_qa,1,first_label_token,12,170,60,5.829176755902675,21,12.913584382201828,5,0.8301408290863037
national_parks,1,first_label_token,12,170,60,7.011415041742735,26,17.022177855916517,7,0.7736262083053589
capitalize,1,first_label_token,12,170,60,11.811791824795518,27,24.766060195608258,9,0.48856234550476074
capitalize_first_letter,1,first_label_token,12,170,60,13.605015028286154,26,24.870706458689803,9,0.4130682945251465
commonsense_qa,1,first_label_token,13,170,60,5.741418777049081,21,12.699792662603794,5,0.8093904852867126
national_parks,1,first_label_token,13,170,60,7.2613783007197785,26,16.922106863385856,6,0.7306961417198181
capitalize,1,first_label_token,13,170,60,11.66441396939429,27,24.753081648291325,10,0.4717683494091034
capitalize_first_letter,1,first_label_token,13,170,60,13.661658484742084,26,24.936539416525257,9,0.3943035900592804
commonsense_qa,1,first_label_token,14,170,59,5.7720120133414765,21,12.66288193420287,5,0.8207061290740967
national_parks,1,first_label_token,14,170,59,6.968864251469681,26,16.915353462945856,7,0.7252027988433838
capitalize,1,first_label_token,14,170,59,11.62232572561899,27,24.43245382143625,9,0.4746208190917969
capitalize_first_letter,1,first_label_token,14,170,59,13.615148491151047,25,24.48261682035703,9,0.3905669152736664
commonsense_qa,1,first_label_token,15,170,58,5.626146566874798,20,12.320531129264205,5,0.8047193288803101
national_parks,1,first_label_token,15,170,58,6.683129981809959,25,16.535695094868682,7,0.7139178514480591
capitalize,1,first_label_token,15,170,58,11.500875669534087,26,24.196449626225565,9,0.4783139228820801
capitalize_first_letter,1,first_label_token,15,170,58,13.385639433047936,25,24.161176340106127,9,0.3641759753227234
commonsense_qa,1,first_label_token,16,170,58,5.510723455096784,20,12.298379758123986,5,0.8090476393699646
national_parks,1,first_label_token,16,170,58,6.816165393596069,25,16.59629410802541,6,0.7215295433998108
capitalize,1,first_label_token,16,170,58,11.403580775034408,26,24.22443568193661,9,0.4731060266494751
capitalize_first_letter,1,first_label_token,16,170,58,13.467962716574032,25,24.324117639838807,9,0.3703075647354126
commonsense_qa,1,first_label_token,17,170,57,5.270946070189573,20,11.90737652046717,5,0.8200279474258423
national_parks,1,first_label_token,17,170,57,7.032951442032002,25,16.78423228470442,7,0.7317867875099182
capitalize,1,first_label_token,17,170,57,11.357252302272308,26,23.93888438672409,9,0.44669896364212036
capitalize_first_letter,1,first_label_token,17,170,57,13.859117200697925,25,24.244957326811782,9,0.36024585366249084
commonsense_qa,1,first_label_token,18,170,56,5.486120308675202,19,12.037899274976226,5,0.8225629329681396
national_parks,1,first_label_token,18,170,56,6.537266028465622,25,16.880055475950268,7,0.7440308928489685
capitalize,1,first_label_token,18,170,56,11.11339388569983,25,23.508033335280967,9,0.4424096643924713
capitalize_first_letter,1,first_label_token,18,170,56,13.930545306368368,24,23.87111680712725,9,0.3606129586696625
commonsense_qa,1,first_label_token,19,170,55,5.575191143643072,19,12.075171106638749,5,0.8387183547019958
national_parks,1,first_label_token,19,170,55,6.652171070062014,24,16.777160858468726,7,0.769523561000824
capitalize,1,first_label_token,19,170,55,11.093700037782318,24,23.03171800780217,9,0.45409825444221497
capitalize_first_letter,1,first_label_token,19,170,55,13.735461041650545,24,23.505214245371903,9,0.39685651659965515
commonsense_qa,1,first_label_token,20,170,54,5.44551359462613,19,11.760326746297693,4,0.8479645252227783
national_parks,1,first_label_token,20,170,54,6.59843783027668,24,16.325419814890456,6,0.7690958976745605
capitalize,1,first_label_token,20,170,54,10.916741984074786,24,22.640165554240856,9,0.4418533146381378
capitalize_first_letter,1,first_label_token,20,170,54,13.610704647092026,24,23.263088471549374,9,0.37917065620422363
commonsense_qa,1,first_label_token,21,170,53,5.456158454590516,18,11.540781271104725,4,0.8694265484809875
national_parks,1,first_label_token,21,170,53,6.589302892755526,24,15.915797592961319,6,0.7925567030906677
capitalize,1,first_label_token,21,170,53,10.898822732649066,23,22.27724570209977,9,0.44060245156288147
capitalize_first_letter,1,first_label_token,21,170,53,13.240680988770288,23,22.943806688435657,9,0.3884190618991852
commonsense_qa,1,first_label_token,22,170,52,5.291089621401857,18,11.079866282620582,4,0.8801643252372742
national_parks,1,first_label_token,22,170,52,6.629999688639998,23,15.628807562254831,6,0.7973305583000183
capitalize,1,first_label_token,22,170,52,10.785737475246398,23,21.88429339349298,9,0.44611236453056335
capitalize_first_letter,1,first_label_token,22,170,52,13.055892968296101,23,22.53555591347165,9,0.3904848098754883
commonsense_qa,1,first_label_token,23,170,52,5.401731134041892,18,11.348998662828642,4,0.8831920027732849
national_parks,1,first_label_token,23,170,52,6.729038115905993,23,15.737509926170468,6,0.7929821014404297
capitalize,1,first_label_token,23,170,52,10.835321578008125,23,21.865816339751817,9,0.44472649693489075
capitalize_first_letter,1,first_label_token,23,170,52,13.186585190659804,23,22.539220815334616,9,0.4070657789707184
commonsense_qa,1,first_label_token,24,170,53,5.472770737691906,18,11.58586945931473,4,0.8806513547897339
national_parks,1,first_label_token,24,170,53,6.791516738775076,23,15.93764204344934,6,0.7936455011367798
capitalize,1,first_label_token,24,170,53,10.947818866653675,23,22.268210881323864,9,0.45239898562431335
capitalize_first_letter,1,first_label_token,24,170,53,13.35684708818842,23,22.98714869952368,9,0.43318504095077515
commonsense_qa,1,first_label_token,25,170,53,5.4853010008879375,18,11.48246794777565,4,0.8929445743560791
national_parks,1,first_label_token,25,170,53,6.704498924490675,23,15.815644035435671,6,0.8019009232521057
capitalize,1,first_label_token,25,170,53,11.014658338749712,23,22.36957141562686,9,0.46768462657928467
capitalize_first_letter,1,first_label_token,25,170,53,13.71284860696224,23,23.165439891074953,9,0.4571402668952942
commonsense_qa,1,first_label_token,26,170,54,5.329928877481758,18,11.39734685193651,4,0.9027044773101807
national_parks,1,first_label_token,26,170,54,7.0587051687781495,24,16.27936821109433,6,0.812800407409668
capitalize,1,first_label_token,26,170,54,10.804251130107273,24,22.786630345543383,9,0.48082274198532104
capitalize_first_letter,1,first_label_token,26,170,54,14.035382711251286,24,23.676592303846252,9,0.4654814302921295
commonsense_qa,1,first_label_token,27,170,56,5.1111209856519055,19,11.414577204897439,4,0.9221068024635315
national_parks,1,first_label_token,27,170,56,7.081572528657676,24,16.811836954682693,6,0.8435279130935669
capitalize,1,first_label_token,27,170,56,11.176488735154607,25,23.596854291340875,9,0.5177769660949707
capitalize_first_letter,1,first_label_token,27,170,56,14.191631350520197,25,24.385576671147902,9,0.48788875341415405
commonsense_qa,1,first_label_token,28,170,57,4.892866820026924,19,11.035542860840273,4,0.9099727272987366
national_parks,1,first_label_token,28,170,57,7.828790871019909,25,16.773666915053166,6,0.8202093243598938
capitalize,1,first_label_token,28,170,57,11.599152697641493,25,23.96118075331878,9,0.5817385315895081
capitalize_first_letter,1,first_label_token,28,170,57,14.564059692246497,25,24.699684236537692,9,0.5142548680305481
commonsense_qa,1,last_label_token,0,170,33,4.172557276727364,12,8.373946998851478,3,0.9843704700469971
national_parks,1,last_label_token,0,170,33,4.327248018220307,14,10.147804436366958,4,0.965682864189148
capitalize,1,last_label_token,0,170,33,6.047200636882013,12,11.537265727430142,5,0.7240250706672668
capitalize_first_letter,1,last_label_token,0,170,33,7.517270346543705,12,12.324446271187869,5,0.7387576699256897
commonsense_qa,1,last_label_token,1,170,38,5.1076891755823075,14,9.621406454273744,4,0.9614113569259644
national_parks,1,last_label_token,1,170,38,5.133512351057089,17,11.999875295029534,5,0.9417895078659058
capitalize,1,last_label_token,1,170,38,7.4779977431979106,15,14.38420206685133,6,0.5706628561019897
capitalize_first_letter,1,last_label_token,1,170,38,10.03196302822956,15,15.260000088468228,6,0.5925198197364807
commonsense_qa,1,last_label_token,2,170,47,5.946843700777292,18,11.6574907237462,4,0.9413498044013977
national_parks,1,last_label_token,2,170,47,5.6905080348564,21,12.748765747813646,5,0.8830114006996155
capitalize,1,last_label_token,2,170,47,9.596663074355241,20,19.15868661094848,8,0.5108464360237122
capitalize_first_letter,1,last_label_token,2,170,47,11.706425697663915,20,20.09864414440241,8,0.5402493476867676
commonsense_qa,1,last_label_token,3,170,53,5.519393498709398,19,12.050710109088717,5,0.88053297996521
national_parks,1,last_label_token,3,170,53,6.537304715517443,23,13.987825657904128,5,0.8210477232933044
capitalize,1,last_label_token,3,170,53,10.782135306426321,24,22.128298918673856,9,0.4869548976421356
capitalize_first_letter,1,last_label_token,3,170,53,13.509578195581911,23,23.026476643579876,9,0.4170056879520416
commonsense_qa,1,last_label_token,4,170,61,5.241624352173148,22,12.534868199756403,5,0.878771185874939
national_parks,1,last_label_token,4,170,61,7.082619327051829,26,15.956769133351004,6,0.7997061014175415
capitalize,1,last_label_token,4,170,61,11.863493599679659,28,25.047211380941565,10,0.5004409551620483
capitalize_first_letter,1,last_label_token,4,170,61,14.409522149755533,27,25.911399168456832,10,0.40086373686790466
commonsense_qa,1,last_label_token,5,170,68,5.567702437630675,24,13.921245441577787,5,0.8663188815116882
national_parks,1,last_label_token,5,170,68,6.4420396171517265,27,15.661265995961331,6,0.751934826374054
capitalize,1,last_label_token,5,170,68,12.878237371562186,31,27.849669663964555,11,0.4666506350040436
capitalize_first_letter,1,last_label_token,5,170,68,15.797175317768971,30,28.066922152525372,11,0.401902973651886
commonsense_qa,1,last_label_token,6,170,72,5.81152928212911,25,14.764540036460057,6,0.8260452151298523
national_parks,1,last_label_token,6,170,72,5.020545453934028,28,13.594460885155863,5,0.7042363286018372
capitalize,1,last_label_token,6,170,72,13.613979368073652,32,29.396437376255598,11,0.47205260396003723
capitalize_first_letter,1,last_label_token,6,170,72,16.66209821805052,31,29.363295421010292,11,0.4144238531589508
commonsense_qa,1,last_label_token,7,170,77,5.5086621305062105,26,13.843137840790426,5,0.8157408833503723
national_parks,1,last_label_token,7,170,77,5.302091974046711,29,14.36703707481296,6,0.6868936419487
capitalize,1,last_label_token,7,170,77,13.945165967023987,34,30.487962650079847,11,0.4645266830921173
capitalize_first_letter,1,last_label_token,7,170,77,17.22932722685381,33,30.74886561779486,11,0.41433680057525635
commonsense_qa,1,last_label_token,8,170,80,5.813756914810496,27,14.373326198137606,6,0.787926435470581
national_parks,1,last_label_token,8,170,80,5.288247898330406,30,14.425113195169397,6,0.6551468968391418
capitalize,1,last_label_token,8,170,80,13.757565878202332,36,31.10913389077842,12,0.4562424123287201
capitalize_first_letter,1,last_label_token,8,170,80,17.792606031951905,34,31.6015385763371,12,0.39453428983688354
commonsense_qa,1,last_label_token,9,170,81,5.262534245145453,27,13.75159878704113,5,0.7538569569587708
national_parks,1,last_label_token,9,170,81,4.70587754142539,30,13.151298948323406,6,0.6524748802185059
capitalize,1,last_label_token,9,170,81,13.980051422889385,36,31.437534065227037,12,0.44552353024482727
capitalize_first_letter,1,last_label_token,9,170,81,18.317164072513542,34,31.914690586175155,12,0.395585298538208
commonsense_qa,1,last_label_token,10,170,80,5.617078748088192,27,14.342251082965019,6,0.7616353631019592
national_parks,1,last_label_token,10,170,80,5.447648918655744,30,15.16890820666241,6,0.6734253764152527
