family,direction,context,target,k_ctx,layer,alpha,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,unsteered_accuracy,unsteered_ci_lo,unsteered_ci_hi,unsteered_judge_ok,cf_accuracy,reference,reach,pass_50,sig_vs_unsteered
trailing_commas,alt2nat,alt,nat,1,4,4.0,130,0.408,0.327,0.494,0.454,0.415,0.131,0.892,0.169,0.114,0.243,0.938,,0.538,0.758,True,True
trailing_commas,nat2alt,nat,alt,1,0,2.0,130,0.662,0.577,0.737,0.692,0.162,0.146,0.938,0.346,0.27,0.431,0.938,,0.608,1.089,True,True
py_paren_if,alt2nat,alt,nat,1,2,4.0,199,0.583,0.513,0.649,0.739,0.005,0.256,0.794,0.186,0.138,0.246,0.859,,0.653,0.893,True,True
py_paren_if,nat2alt,nat,alt,1,8,4.0,199,0.256,0.201,0.321,0.352,0.347,0.302,0.704,0.0,0.0,0.019,0.94,,0.452,0.566,True,True
py_type_hints,alt2nat,alt,nat,1,4,2.0,192,0.365,0.3,0.435,0.38,0.401,0.219,0.953,0.005,0.001,0.029,0.948,,0.406,0.899,True,True
py_type_hints,nat2alt,nat,alt,1,19,2.0,192,0.677,0.608,0.739,0.714,0.021,0.266,0.932,0.318,0.256,0.387,0.927,,0.734,0.922,True,True
py_optional,alt2nat,alt,nat,1,13,4.0,191,0.351,0.287,0.421,0.377,0.0,0.623,0.921,0.073,0.044,0.119,0.948,,0.188,1.867,True,True
py_optional,nat2alt,nat,alt,1,8,1.0,191,0.005,0.001,0.029,0.005,0.209,0.785,0.937,0.01,0.003,0.037,0.932,,0.571,0.009,False,False
py_builtin_generics,alt2nat,alt,nat,1,2,2.0,113,0.451,0.363,0.543,0.504,0.009,0.487,0.903,0.009,0.002,0.048,0.912,,0.257,1.755,True,True
py_builtin_generics,nat2alt,nat,alt,1,0,4.0,113,0.442,0.354,0.534,0.487,0.168,0.345,0.876,0.221,0.155,0.306,0.947,,0.788,0.561,True,True
py_comprehension,alt2nat,alt,nat,1,0,4.0,194,0.16,0.115,0.218,0.34,0.103,0.557,0.407,0.01,0.003,0.037,0.871,,0.603,0.265,False,True
py_comprehension,nat2alt,nat,alt,1,1,4.0,191,0.126,0.086,0.18,0.634,0.115,0.251,0.325,0.021,0.008,0.053,0.859,,0.778,0.162,False,True
py_not_in,alt2nat,alt,nat,1,13,4.0,164,0.238,0.179,0.308,0.262,0.256,0.482,0.787,0.159,0.111,0.222,0.835,,0.409,0.582,True,True
py_not_in,nat2alt,nat,alt,1,12,4.0,155,0.09,0.055,0.146,0.123,0.368,0.51,0.8,0.103,0.065,0.161,0.877,,0.329,0.274,False,False
py_is_none,alt2nat,alt,nat,1,6,2.0,114,0.561,0.47,0.649,0.561,0.018,0.421,0.904,0.061,0.03,0.121,0.868,,0.561,1.0,True,True
