family,direction,layer,alpha,target_rate,unsteered
all_caps,nat2alt,11,0.5,0.02,0.0
all_caps,nat2alt,11,1.0,0.7,0.0
all_caps,nat2alt,11,2.0,0.76,0.0
all_caps,nat2alt,11,4.0,0.1,0.0
all_caps,nat2alt,12,0.5,0.0,0.0
all_caps,nat2alt,12,1.0,0.72,0.0
all_caps,nat2alt,12,2.0,0.56,0.0
all_caps,nat2alt,12,4.0,0.2,0.0
all_caps,nat2alt,13,0.5,0.06,0.0
all_caps,nat2alt,13,1.0,0.72,0.0
all_caps,nat2alt,13,2.0,0.48,0.0
all_caps,nat2alt,13,4.0,0.12,0.0
all_caps,nat2alt,14,0.5,0.06,0.0
all_caps,nat2alt,14,1.0,0.72,0.0
all_caps,nat2alt,14,2.0,0.7,0.0
all_caps,nat2alt,14,4.0,0.28,0.0
all_caps,nat2alt,15,0.5,0.0,0.0
all_caps,nat2alt,15,1.0,0.66,0.0
all_caps,nat2alt,15,2.0,0.58,0.0
all_caps,nat2alt,15,4.0,0.32,0.0
all_caps,nat2alt,16,0.5,0.0,0.0
all_caps,nat2alt,16,1.0,0.64,0.0
all_caps,nat2alt,16,2.0,0.56,0.0
all_caps,nat2alt,16,4.0,0.22,0.0
all_caps,nat2alt,17,0.5,0.02,0.0
all_caps,nat2alt,17,1.0,0.54,0.0
all_caps,nat2alt,17,2.0,0.5,0.0
all_caps,nat2alt,17,4.0,0.22,0.0
all_caps,nat2alt,18,0.5,0.02,0.0
all_caps,nat2alt,18,1.0,0.62,0.0
all_caps,nat2alt,18,2.0,0.56,0.0
all_caps,nat2alt,18,4.0,0.3,0.0
all_caps,nat2alt,19,0.5,0.02,0.0
all_caps,nat2alt,19,1.0,0.68,0.0
all_caps,nat2alt,19,2.0,0.58,0.0
all_caps,nat2alt,19,4.0,0.36,0.0
all_caps,nat2alt,20,0.5,0.04,0.0
all_caps,nat2alt,20,1.0,0.64,0.0
all_caps,nat2alt,20,2.0,0.64,0.0
