family,direction,context,target,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,capped,n_positions,step3_genuine_k3,step3_context_k3
oxford_comma,nat2alt,nat,alt,nat2alt_top1,6,4.0,,200,0.845,0.788,0.889,0.945,0.01,0.045,0.87,0.0,6.0,0.705,0.77
oxford_comma,nat2alt,nat,alt,nat2alt_top2,8,4.0,,200,0.88,0.828,0.918,0.96,0.035,0.005,0.905,0.0,6.0,0.705,0.77
oxford_comma,nat2alt,nat,alt,nat2alt_cf,6,4.0,curly_quotes,200,0.23,0.177,0.293,0.28,0.685,0.035,0.89,0.0,6.0,0.705,0.77
oxford_comma,alt2nat,alt,nat,base,0,0.0,,200,0.105,0.07,0.155,0.115,0.845,0.04,0.87,0.005,3.0,0.77,0.705
oxford_comma,alt2nat,alt,nat,alt2nat_top1,6,2.0,,200,0.655,0.587,0.717,0.74,0.21,0.05,0.885,0.0,3.0,0.77,0.705
oxford_comma,alt2nat,alt,nat,alt2nat_top2,6,1.0,,200,0.525,0.456,0.593,0.625,0.345,0.03,0.84,0.0,3.0,0.77,0.705
oxford_comma,alt2nat,alt,nat,alt2nat_cf,6,2.0,curly_quotes,200,0.125,0.086,0.178,0.135,0.85,0.015,0.88,0.005,3.0,0.77,0.705
curly_quotes,nat2alt,nat,alt,base,0,0.0,,200,0.0,0.0,0.019,0.005,0.91,0.085,0.665,0.04,6.0,0.63,0.645
curly_quotes,nat2alt,nat,alt,nat2alt_top1,4,2.0,,200,0.53,0.461,0.598,0.73,0.035,0.235,0.715,0.01,6.0,0.63,0.645
curly_quotes,nat2alt,nat,alt,nat2alt_top2,10,4.0,,200,0.42,0.354,0.489,0.605,0.04,0.355,0.705,0.025,6.0,0.63,0.645
curly_quotes,nat2alt,nat,alt,nat2alt_cf,4,2.0,quote_punct,200,0.0,0.0,0.019,0.0,0.95,0.05,0.68,0.01,6.0,0.63,0.645
curly_quotes,alt2nat,alt,nat,base,0,0.0,,200,0.01,0.003,0.036,0.015,0.9,0.085,0.735,0.025,12.0,0.645,0.63
curly_quotes,alt2nat,alt,nat,alt2nat_top1,6,2.0,,200,0.685,0.618,0.745,0.965,0.0,0.035,0.72,0.02,12.0,0.645,0.63
curly_quotes,alt2nat,alt,nat,alt2nat_top2,8,2.0,,200,0.68,0.612,0.741,0.985,0.0,0.015,0.685,0.01,12.0,0.645,0.63
curly_quotes,alt2nat,alt,nat,alt2nat_cf,6,2.0,quote_punct,200,0.04,0.02,0.077,0.07,0.79,0.14,0.735,0.02,12.0,0.645,0.63
quote_punct,nat2alt,nat,alt,base,0,0.0,,200,0.03,0.014,0.064,0.035,0.88,0.085,0.875,0.0,3.1,0.795,0.785
quote_punct,nat2alt,nat,alt,nat2alt_top1,6,2.0,,200,0.685,0.618,0.745,0.785,0.0,0.215,0.85,0.01,3.1,0.795,0.785
quote_punct,nat2alt,nat,alt,nat2alt_top2,10,4.0,,200,0.745,0.68,0.8,0.86,0.0,0.14,0.855,0.01,3.1,0.795,0.785
quote_punct,nat2alt,nat,alt,nat2alt_cf,6,2.0,whilst,200,0.47,0.402,0.539,0.55,0.29,0.16,0.845,0.02,3.1,0.795,0.785
quote_punct,alt2nat,alt,nat,base,0,0.0,,200,0.02,0.008,0.05,0.02,0.85,0.13,0.865,0.005,3.0,0.785,0.795
quote_punct,alt2nat,alt,nat,alt2nat_top1,2,2.0,,200,0.815,0.755,0.863,0.905,0.005,0.09,0.875,0.0,3.0,0.785,0.795
quote_punct,alt2nat,alt,nat,alt2nat_top2,6,2.0,,200,0.85,0.794,0.893,0.945,0.005,0.05,0.89,0.0,3.0,0.785,0.795
quote_punct,alt2nat,alt,nat,alt2nat_cf,2,2.0,whilst,200,0.07,0.042,0.114,0.07,0.655,0.275,0.815,0.04,3.0,0.785,0.795
em_dash,nat2alt,nat,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.975,0.025,0.82,0.025,3.0,0.7,0.79
em_dash,nat2alt,nat,alt,nat2alt_top1,4,2.0,,200,0.68,0.612,0.741,0.825,0.025,0.15,0.77,0.05,3.0,0.7,0.79
em_dash,nat2alt,nat,alt,nat2alt_top2,6,2.0,,200,0.63,0.561,0.694,0.795,0.015,0.19,0.72,0.035,3.0,0.7,0.79
em_dash,nat2alt,nat,alt,nat2alt_cf,4,2.0,ellipsis,200,0.0,0.0,0.019,0.0,0.92,0.08,0.72,0.055,3.0,0.7,0.79
em_dash,alt2nat,alt,nat,base,0,0.0,,200,0.0,0.0,0.019,0.01,0.915,0.075,0.74,0.08,3.0,0.79,0.7
em_dash,alt2nat,alt,nat,alt2nat_top1,2,1.0,,200,0.8,0.739,0.85,0.995,0.0,0.005,0.8,0.03,3.0,0.79,0.7
em_dash,alt2nat,alt,nat,alt2nat_top2,6,1.0,,200,0.815,0.755,0.863,0.975,0.0,0.025,0.825,0.025,3.0,0.79,0.7
em_dash,alt2nat,alt,nat,alt2nat_cf,2,1.0,ellipsis,200,0.02,0.008,0.05,0.025,0.91,0.065,0.775,0.06,3.0,0.79,0.7
ellipsis,nat2alt,nat,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.965,0.035,0.605,0.0,3.0,0.63,0.6
ellipsis,nat2alt,nat,alt,nat2alt_top1,20,4.0,,200,0.825,0.766,0.871,0.985,0.005,0.01,0.835,0.3,3.0,0.63,0.6
ellipsis,nat2alt,nat,alt,nat2alt_top2,24,4.0,,200,0.77,0.707,0.823,1.0,0.0,0.0,0.77,0.32,3.0,0.63,0.6
ellipsis,nat2alt,nat,alt,nat2alt_cf,20,4.0,num_words,200,0.0,0.0,0.019,0.0,0.975,0.025,0.63,0.0,3.0,0.63,0.6
ellipsis,alt2nat,alt,nat,base,0,0.0,,200,0.01,0.003,0.036,0.185,0.79,0.025,0.675,0.2,3.0,0.6,0.63
ellipsis,alt2nat,alt,nat,alt2nat_top1,2,1.0,,200,0.03,0.014,0.064,0.975,0.0,0.025,0.045,0.0,3.0,0.6,0.63
ellipsis,alt2nat,alt,nat,alt2nat_top2,6,1.0,,200,0.04,0.02,0.077,0.98,0.005,0.015,0.06,0.0,3.0,0.6,0.63
ellipsis,alt2nat,alt,nat,alt2nat_cf,2,1.0,num_words,200,0.015,0.005,0.043,0.14,0.825,0.035,0.705,0.22,3.0,0.6,0.63
num_words,nat2alt,nat,alt,base,0,0.0,,200,0.005,0.001,0.028,0.01,0.895,0.095,0.79,0.025,3.0,0.325,0.735
num_words,nat2alt,nat,alt,nat2alt_top1,2,4.0,,200,0.545,0.476,0.613,0.66,0.225,0.115,0.785,0.01,3.0,0.325,0.735
num_words,nat2alt,nat,alt,nat2alt_top2,4,4.0,,200,0.51,0.441,0.578,0.685,0.185,0.13,0.695,0.01,3.0,0.325,0.735
num_words,nat2alt,nat,alt,nat2alt_cf,2,4.0,percent_sign,200,0.27,0.213,0.335,0.33,0.555,0.115,0.775,0.02,3.0,0.325,0.735
num_words,alt2nat,alt,nat,base,0,0.0,,200,0.445,0.378,0.514,0.555,0.35,0.095,0.805,0.025,3.0,0.735,0.325
num_words,alt2nat,alt,nat,alt2nat_top1,4,4.0,,200,0.695,0.628,0.755,0.915,0.0,0.085,0.75,0.01,3.0,0.735,0.325
num_words,alt2nat,alt,nat,alt2nat_top2,16,4.0,,200,0.74,0.675,0.796,0.93,0.0,0.07,0.795,0.005,3.0,0.735,0.325
num_words,alt2nat,alt,nat,alt2nat_cf,4,4.0,percent_sign,200,0.625,0.556,0.689,0.845,0.015,0.14,0.735,0.0,3.0,0.735,0.325
percent_sign,nat2alt,nat,alt,base,0,0.0,,200,0.005,0.001,0.028,0.005,0.995,0.0,0.92,0.005,3.0,0.845,0.86
percent_sign,nat2alt,nat,alt,nat2alt_top1,2,2.0,,200,0.89,0.839,0.926,0.995,0.0,0.005,0.89,0.01,3.0,0.845,0.86
percent_sign,nat2alt,nat,alt,nat2alt_top2,4,2.0,,200,0.84,0.783,0.884,0.995,0.0,0.005,0.845,0.0,3.0,0.845,0.86
percent_sign,nat2alt,nat,alt,nat2alt_cf,2,2.0,ordinal_words,200,0.46,0.392,0.529,0.51,0.47,0.02,0.865,0.01,3.0,0.845,0.86
percent_sign,alt2nat,alt,nat,base,0,0.0,,200,0.065,0.038,0.108,0.065,0.93,0.005,0.845,0.0,3.0,0.86,0.845
percent_sign,alt2nat,alt,nat,alt2nat_top1,2,2.0,,200,0.85,0.794,0.893,0.995,0.0,0.005,0.855,0.0,3.0,0.86,0.845
percent_sign,alt2nat,alt,nat,alt2nat_top2,4,2.0,,200,0.87,0.816,0.91,1.0,0.0,0.0,0.87,0.0,3.0,0.86,0.845
percent_sign,alt2nat,alt,nat,alt2nat_cf,2,2.0,ordinal_words,200,0.845,0.788,0.889,0.945,0.05,0.005,0.885,0.0,3.0,0.86,0.845
ordinal_words,nat2alt,nat,alt,base,0,0.0,,200,0.01,0.003,0.036,0.01,0.99,0.0,0.825,0.01,6.0,0.64,0.72
ordinal_words,nat2alt,nat,alt,nat2alt_top1,12,2.0,,200,0.7,0.633,0.759,0.925,0.065,0.01,0.765,0.01,6.0,0.64,0.72
ordinal_words,nat2alt,nat,alt,nat2alt_top2,2,4.0,,200,0.72,0.654,0.778,0.975,0.01,0.015,0.74,0.02,6.0,0.64,0.72
ordinal_words,nat2alt,nat,alt,nat2alt_cf,12,2.0,em_dash,200,0.02,0.008,0.05,0.025,0.95,0.025,0.755,0.01,6.0,0.64,0.72
ordinal_words,alt2nat,alt,nat,base,0,0.0,,200,0.2,0.15,0.261,0.225,0.74,0.035,0.765,0.005,3.0,0.72,0.64
ordinal_words,alt2nat,alt,nat,alt2nat_top1,12,1.0,,200,0.685,0.618,0.745,0.92,0.045,0.035,0.755,0.005,3.0,0.72,0.64
ordinal_words,alt2nat,alt,nat,alt2nat_top2,10,2.0,,200,0.705,0.638,0.764,0.89,0.025,0.085,0.755,0.015,3.0,0.72,0.64
ordinal_words,alt2nat,alt,nat,alt2nat_cf,12,1.0,em_dash,200,0.18,0.133,0.239,0.21,0.78,0.01,0.8,0.01,3.0,0.72,0.64
uk_vocab,nat2alt,nat,alt,base,0,0.0,,200,0.085,0.054,0.132,0.115,0.54,0.345,0.805,0.015,4.1,0.28,0.505
uk_vocab,nat2alt,nat,alt,nat2alt_top1,2,4.0,,200,0.41,0.344,0.479,0.46,0.21,0.33,0.8,0.005,4.1,0.28,0.505
uk_vocab,nat2alt,nat,alt,nat2alt_top2,6,4.0,,200,0.475,0.407,0.544,0.54,0.105,0.355,0.825,0.0,4.1,0.28,0.505
uk_vocab,nat2alt,nat,alt,nat2alt_cf,2,4.0,diacritics,200,0.1,0.066,0.149,0.105,0.575,0.32,0.84,0.0,4.1,0.28,0.505
uk_vocab,alt2nat,alt,nat,base,0,0.0,,200,0.3,0.241,0.367,0.34,0.295,0.365,0.8,0.0,4.6,0.505,0.28
uk_vocab,alt2nat,alt,nat,alt2nat_top1,6,2.0,,200,0.51,0.441,0.578,0.59,0.09,0.32,0.84,0.01,4.6,0.505,0.28
uk_vocab,alt2nat,alt,nat,alt2nat_top2,6,4.0,,200,0.515,0.446,0.583,0.59,0.06,0.35,0.815,0.005,4.6,0.505,0.28
uk_vocab,alt2nat,alt,nat,alt2nat_cf,6,2.0,diacritics,200,0.33,0.269,0.398,0.38,0.21,0.41,0.83,0.005,4.6,0.505,0.28
register,nat2alt,nat,alt,base,0,0.0,,200,0.145,0.103,0.2,0.165,0.69,0.145,0.83,0.005,3.5,0.215,0.55
register,nat2alt,nat,alt,nat2alt_top1,6,4.0,,200,0.225,0.173,0.288,0.32,0.47,0.21,0.725,0.0,3.5,0.215,0.55
register,nat2alt,nat,alt,nat2alt_top2,8,4.0,,200,0.275,0.218,0.341,0.36,0.43,0.21,0.74,0.0,3.5,0.215,0.55
register,nat2alt,nat,alt,nat2alt_cf,6,4.0,unit_abbr,200,0.145,0.103,0.2,0.175,0.66,0.165,0.76,0.02,3.5,0.215,0.55
register,alt2nat,alt,nat,base,0,0.0,,200,0.515,0.446,0.583,0.6,0.245,0.155,0.825,0.0,3.1,0.55,0.215
register,alt2nat,alt,nat,alt2nat_top1,6,1.0,,200,0.585,0.516,0.651,0.7,0.155,0.145,0.835,0.01,3.1,0.55,0.215
register,alt2nat,alt,nat,alt2nat_top2,6,2.0,,200,0.65,0.582,0.713,0.71,0.13,0.16,0.915,0.0,3.1,0.55,0.215
register,alt2nat,alt,nat,alt2nat_cf,6,1.0,unit_abbr,200,0.59,0.521,0.656,0.7,0.18,0.12,0.83,0.0,3.1,0.55,0.215
unit_abbr,nat2alt,nat,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.985,0.015,0.835,0.025,3.3,0.285,0.8
unit_abbr,nat2alt,nat,alt,nat2alt_top1,2,4.0,,200,0.555,0.486,0.622,0.685,0.23,0.085,0.825,0.02,3.3,0.285,0.8
unit_abbr,nat2alt,nat,alt,nat2alt_top2,8,4.0,,200,0.53,0.461,0.598,0.62,0.31,0.07,0.82,0.01,3.3,0.285,0.8
unit_abbr,nat2alt,nat,alt,nat2alt_cf,2,4.0,latin_abbr,200,0.0,0.0,0.019,0.0,0.97,0.03,0.82,0.02,3.3,0.285,0.8
unit_abbr,alt2nat,alt,nat,base,0,0.0,,200,0.595,0.526,0.661,0.665,0.28,0.055,0.89,0.035,4.4,0.8,0.285
unit_abbr,alt2nat,alt,nat,alt2nat_top1,2,1.0,,200,0.805,0.745,0.854,0.98,0.005,0.015,0.825,0.035,4.4,0.8,0.285
unit_abbr,alt2nat,alt,nat,alt2nat_top2,6,1.0,,200,0.825,0.766,0.871,0.985,0.005,0.01,0.835,0.035,4.4,0.8,0.285
unit_abbr,alt2nat,alt,nat,alt2nat_cf,2,1.0,latin_abbr,200,0.43,0.363,0.499,0.54,0.405,0.055,0.815,0.015,4.4,0.8,0.285
diacritics,nat2alt,nat,alt,base,0,0.0,,200,0.245,0.191,0.309,0.3,0.425,0.275,0.815,0.0,4.5,0.275,0.375
diacritics,nat2alt,nat,alt,nat2alt_top1,2,4.0,,200,0.405,0.339,0.474,0.475,0.295,0.23,0.83,0.005,4.5,0.275,0.375
diacritics,nat2alt,nat,alt,nat2alt_top2,4,4.0,,200,0.34,0.278,0.408,0.415,0.365,0.22,0.795,0.0,4.5,0.275,0.375
diacritics,nat2alt,nat,alt,nat2alt_cf,2,4.0,irreg_past,200,0.29,0.232,0.356,0.315,0.44,0.245,0.82,0.005,4.5,0.275,0.375
diacritics,alt2nat,alt,nat,base,0,0.0,,200,0.3,0.241,0.367,0.35,0.385,0.265,0.855,0.005,6.0,0.375,0.275
diacritics,alt2nat,alt,nat,alt2nat_top1,6,0.5,,200,0.375,0.311,0.444,0.415,0.345,0.24,0.795,0.0,6.0,0.375,0.275
diacritics,alt2nat,alt,nat,alt2nat_top2,2,4.0,,200,0.31,0.25,0.377,0.415,0.28,0.305,0.765,0.0,6.0,0.375,0.275
diacritics,alt2nat,alt,nat,alt2nat_cf,6,0.5,irreg_past,200,0.295,0.236,0.362,0.36,0.39,0.25,0.825,0.0,6.0,0.375,0.275
latin_abbr,nat2alt,nat,alt,base,0,0.0,,200,0.105,0.07,0.155,0.11,0.385,0.505,0.875,0.0,5.1,0.175,0.355
latin_abbr,nat2alt,nat,alt,nat2alt_top1,10,4.0,,200,0.19,0.142,0.25,0.23,0.305,0.465,0.795,0.0,5.1,0.175,0.355
latin_abbr,nat2alt,nat,alt,nat2alt_top2,6,4.0,,200,0.215,0.164,0.277,0.23,0.345,0.425,0.88,0.005,5.1,0.175,0.355
latin_abbr,nat2alt,nat,alt,nat2alt_cf,10,4.0,hyphen_compound,200,0.105,0.07,0.155,0.12,0.415,0.465,0.845,0.005,5.1,0.175,0.355
latin_abbr,alt2nat,alt,nat,base,0,0.0,,200,0.305,0.245,0.372,0.37,0.195,0.435,0.83,0.005,9.4,0.355,0.175
latin_abbr,alt2nat,alt,nat,alt2nat_top1,6,4.0,,200,0.425,0.359,0.494,0.49,0.11,0.4,0.84,0.0,9.4,0.355,0.175
latin_abbr,alt2nat,alt,nat,alt2nat_top2,2,4.0,,200,0.415,0.349,0.484,0.515,0.055,0.43,0.765,0.0,9.4,0.355,0.175
