icl_example_index,token_role,layer,activation_k,fv_k,feature_dim,train_sample_count,test_sample_count,pca_train_mse,pca_test_mse,fv_train_mse,fv_test_mse,fv_recon_floor_test_mse
2,first_label_token,10,32,16,48,2600,1170,3.238762617111206,4.7613677978515625,0.04164004325866699,0.2475568950176239,0.1967194378376007
2,first_label_token,11,32,16,48,2600,1170,3.1039745807647705,4.627439498901367,0.04034170135855675,0.24673889577388763,0.1967194378376007
2,first_label_token,12,32,16,48,2600,1170,2.9945664405822754,4.500241279602051,0.039213526993989944,0.24580127000808716,0.1967194378376007
2,first_label_token,13,32,16,48,2600,1170,2.900153636932373,4.551400184631348,0.038298603147268295,0.2466524839401245,0.1967194378376007
2,first_label_token,14,32,16,48,2600,1170,2.9172770977020264,4.686570644378662,0.038393132388591766,0.24780140817165375,0.1967194378376007
2,first_label_token,15,32,16,48,2600,1170,2.817366123199463,4.896612167358398,0.03736380115151405,0.2502318322658539,0.1967194378376007
2,first_label_token,16,32,16,48,2600,1170,2.764580249786377,5.183100700378418,0.03680270537734032,0.2534692883491516,0.1967194378376007
2,first_label_token,17,32,16,48,2600,1170,2.758863687515259,5.373503684997559,0.03669522702693939,0.2555398941040039,0.1967194378376007
2,first_label_token,18,32,16,48,2600,1170,2.8493454456329346,5.593175411224365,0.03778081014752388,0.258312851190567,0.1967194378376007
2,first_label_token,19,32,16,48,2600,1170,2.9722001552581787,5.760184288024902,0.03914878889918327,0.2601053714752197,0.1967194378376007
2,first_label_token,20,32,16,48,2600,1170,3.012634038925171,5.904512882232666,0.03963933140039444,0.2616976797580719,0.1967194378376007
2,first_label_token,21,32,16,48,2600,1170,2.997955799102783,6.106637477874756,0.0393722839653492,0.26378342509269714,0.1967194378376007
2,first_label_token,22,32,16,48,2600,1170,3.036156177520752,6.295737266540527,0.03989044204354286,0.2661747634410858,0.1967194378376007
2,first_label_token,23,32,16,48,2600,1170,3.0749399662017822,6.389856338500977,0.04034044221043587,0.26741427183151245,0.1967194378376007
2,first_label_token,24,32,16,48,2600,1170,3.1107561588287354,6.468740940093994,0.04076719656586647,0.2684776484966278,0.1967194378376007
2,first_label_token,25,32,16,48,2600,1170,3.0671801567077637,6.5623321533203125,0.04030655696988106,0.26950135827064514,0.1967194378376007
