task,group,cf_task,baseline,uniq_own_mean,uniq_own_zero,uniq_cf_mean,carrier_mean,carrier_zero,span2_own_mean,span2_cf_mean,full_own_mean,full_own_zero,full_cf_mean,full_cf_zero,full_baseline,cos_uniq_own_cf,cos_fv_carrier,uniq_share_fv_norm2,meanabl_shift_ratio_full,meanabl_shift_ratio_uniq
gerund_to_past,train,contains_letter_e,0.9,0.6867,0.52,0.8933,0.8867,0.5467,0.7667,0.8467,0.8867,0.0533,0.8667,0.54,0.92,-0.0898,0.8269,0.3162,0.1877,0.728
halve_even_number,train,capitalize_first_letter,0.98,0.9333,0.9533,0.9667,0.9933,0.7333,0.98,0.96,0.96,0.0867,0.9667,0.8867,0.98,-0.0505,0.741,0.451,0.1127,1.1739
hypernym_category,train,ends_with_ing,0.5467,0.4067,0.3067,0.58,0.5733,0.1867,0.3533,0.5267,0.48,0.0,0.54,0.18,0.6133,-0.0199,0.8502,0.2772,0.2455,0.9587
initials_two_words,train,past_to_base,0.9667,0.38,0.5467,0.9667,0.9533,0.22,0.3733,0.9467,0.78,0.0,0.9733,0.3067,0.9467,-0.0407,0.745,0.4449,0.2325,1.045
iso_date_to_month,train,present-past,1.0,1.0,0.9867,1.0,1.0,0.7867,1.0,1.0,1.0,0.0467,0.9933,0.8,1.0,-0.0863,0.7705,0.4063,0.2359,0.9781
iso_date_year_plus_one,train,landmark-country,0.96,0.9467,0.9333,0.9467,0.9533,0.5067,0.9533,0.9533,0.9533,0.4933,0.9667,0.9333,0.9533,0.0162,0.7531,0.4328,0.1272,1.2375
landmark-country,train,adjective_to_noun,0.7533,0.24,0.1933,0.7067,0.7267,0.2667,0.3,0.7,0.68,0.0133,0.7467,0.4333,0.76,-0.1764,0.8028,0.3556,0.2268,0.9914
language_identification,train,german-english,0.98,0.7267,0.2667,0.9733,0.9867,0.5667,0.7067,0.9733,0.96,0.0067,0.98,0.6733,0.98,0.0893,0.7828,0.3872,0.1419,0.8509
larger_of_pair,train,sentiment,0.8467,0.8,0.7933,0.8467,0.8,0.5133,0.8267,0.82,0.8333,0.0933,0.8333,0.7933,0.8133,-0.046,0.802,0.3568,0.1058,1.4353
larger_than_1000,train,next_in_period,0.8867,0.9,0.8867,0.9067,0.8667,0.18,0.8667,0.8867,0.9133,0.0,0.8867,0.7867,0.8933,-0.1537,0.6839,0.5323,0.1273,0.8171
largest_digit,heldout,spanish-english,0.6133,0.62,0.58,0.5867,0.6133,0.4533,0.66,0.6133,0.5933,0.2867,0.5733,0.5067,0.5933,-0.2479,0.7508,0.4363,0.11,1.1008
last_digit,heldout,spanish_noun_gender,0.84,0.78,0.8,0.84,0.8533,0.74,0.8,0.8667,0.8133,0.1733,0.8533,0.8,0.8333,-0.1343,0.7983,0.3627,0.0949,1.6395
last_two_letters,heldout,double_no_carry,0.3333,0.1067,0.12,0.3267,0.36,0.0733,0.0667,0.4,0.2667,0.0,0.3133,0.1867,0.3067,-0.0767,0.7933,0.3708,0.1331,0.8466
last_vowel,train,language_identification,0.4133,0.0867,0.1933,0.4067,0.4667,0.1733,0.1,0.46,0.3933,0.0,0.44,0.2333,0.4067,-0.0714,0.7981,0.3631,0.1207,1.2853
lowercase_first_letter,train,count_digits,0.9733,0.4933,0.8733,0.96,0.9733,0.3533,0.42,0.9667,0.8667,0.0,0.9733,0.9533,0.98,0.036,0.7985,0.3623,0.2248,1.4288
lowercase_last_letter,train,city-country,0.6467,0.22,0.4267,0.64,0.68,0.1,0.2467,0.6667,0.6,0.0,0.6667,0.4533,0.6467,-0.1581,0.7783,0.3943,0.1203,1.756
lowercase_word,train,round_up_to_ten,0.9933,0.9667,0.9933,0.9933,0.9933,0.3933,0.9667,0.9933,0.9867,0.0067,1.0,0.9867,0.9933,-0.1298,0.8941,0.2006,0.1074,1.6318
national_parks,train,next_number_digits,0.76,0.4067,0.1667,0.7933,0.8,0.1867,0.4067,0.7733,0.7667,0.0133,0.7867,0.6333,0.7933,-0.139,0.7806,0.3906,0.2856,0.8358
nato_first_letter,train,sentiment,0.3267,0.1733,0.2333,0.3333,0.42,0.1067,0.1867,0.34,0.3667,0.0,0.34,0.2867,0.3667,-0.1144,0.6744,0.5452,0.1247,0.8044
natural_manmade,heldout,plural_to_singular,0.9667,0.54,0.46,0.98,0.9533,0.2,0.46,0.9467,0.7,0.0,0.9667,0.1467,0.9667,-0.1638,0.7576,0.426,0.1974,0.8133
next_in_group,heldout,first_two_letters,0.3846,0.0962,0.1346,0.3269,0.1346,0.1731,0.1154,0.1538,0.2308,0.0,0.2692,0.1154,0.2692,-0.0584,0.6637,0.5595,0.2443,0.8682
next_in_period,train,word_polarity,0.6154,0.2115,0.2308,0.4615,0.3654,0.2308,0.1154,0.5192,0.3654,0.0,0.4423,0.3269,0.4038,-0.1152,0.6899,0.5241,0.2307,0.9223
next_item,train,person-sport,0.8933,0.74,0.8267,0.8933,0.9133,0.4133,0.7467,0.8933,0.8467,0.2,0.8933,0.6267,0.8933,-0.1304,0.8137,0.3379,0.0916,1.6014
next_month_of_date,train,uppercase_word,0.96,0.96,0.9867,0.98,0.96,0.42,0.96,0.9667,0.9667,0.0867,0.98,0.8067,0.9667,-0.124,0.7298,0.4675,0.2271,1.0657
next_number_digits,train,person_place_thing,1.0,1.0,1.0,1.0,1.0,0.7933,0.9933,1.0,1.0,0.2133,1.0,0.9867,1.0,-0.112,0.7526,0.4335,0.1108,1.638
number_word_to_digits,heldout,past_to_base,0.9933,0.9933,0.9933,0.9933,0.9933,0.8533,0.9933,0.9933,0.9933,0.28,0.9933,0.9733,0.9933,-0.1401,0.7757,0.3982,0.1169,1.6802
park-country,heldout,french_noun_gender,0.76,0.62,0.5333,0.7667,0.7533,0.2333,0.6267,0.7333,0.7267,0.0133,0.7733,0.6467,0.76,0.0177,0.779,0.3932,0.2879,0.973
past_to_base,heldout,capitalize_first_letter,0.9733,0.9333,0.92,0.9667,0.98,0.3267,0.94,0.98,0.9333,0.0467,0.9867,0.76,0.98,-0.0357,0.8706,0.242,0.1583,0.8118
person-instrument,train,article_choice,0.3267,0.1267,0.0533,0.3467,0.3267,0.04,0.1067,0.3533,0.18,0.0,0.32,0.12,0.3667,-0.0252,0.7463,0.4431,0.2621,0.8713
person-sport,heldout,first_vowel,0.7667,0.5467,0.42,0.7867,0.78,0.1533,0.4867,0.8133,0.6133,0.0067,0.8067,0.32,0.78,-0.1817,0.7495,0.4382,0.274,0.9143
person_place_thing,train,gerund_to_base,0.8733,0.6533,0.62,0.8733,0.8333,0.0733,0.5733,0.82,0.72,0.0,0.8533,0.1867,0.88,-0.062,0.794,0.3696,0.1774,0.9894
plural_to_singular,train,english-spanish,0.9733,0.9533,0.9467,0.9867,0.96,0.36,0.9467,0.9867,0.96,0.1133,0.96,0.5467,0.9733,0.1997,0.8823,0.2216,0.1762,1.2794
pos_label,train,last_digit,0.8333,0.76,0.6667,0.8933,0.86,0.22,0.6867,0.8533,0.8133,0.0133,0.8733,0.7,0.8533,-0.1404,0.7577,0.4259,0.2219,1.1765
present-past,train,round_up_to_ten,0.98,0.8333,0.4667,0.9733,0.98,0.5867,0.8733,0.98,0.9533,0.0333,0.9667,0.9667,0.9733,-0.0936,0.8297,0.3116,0.1945,0.7395
prev_item,train,park-country,0.82,0.5733,0.7,0.8467,0.8467,0.2867,0.5867,0.8267,0.8,0.1533,0.8133,0.7267,0.8267,-0.0708,0.8226,0.3233,0.0786,1.7126
prev_number_digits,train,person-instrument,0.9933,1.0,1.0,0.9933,0.9867,0.8,0.9867,0.9933,1.0,0.12,1.0,0.98,0.9867,-0.2035,0.7806,0.3907,0.1004,1.3454
product-company,heldout,gerund_to_past,0.6267,0.1933,0.2533,0.6533,0.64,0.26,0.2467,0.6333,0.6,0.0,0.6267,0.3867,0.6533,-0.1536,0.7827,0.3873,0.2228,1.0576
remove_first_letter,train,third_person_to_base,0.6067,0.0933,0.08,0.5533,0.4333,0.1933,0.0733,0.48,0.4533,0.0,0.4933,0.2733,0.6133,0.1537,0.7833,0.3865,0.1741,0.729
remove_last_letter,train,count_words,0.5067,0.3267,0.2733,0.4733,0.5467,0.34,0.3133,0.46,0.5,0.0467,0.4933,0.4267,0.56,-0.1352,0.7857,0.3827,0.1855,0.67
round_up_to_ten,train,french_noun_gender,0.7867,0.7733,0.7867,0.7733,0.7733,0.6333,0.7867,0.76,0.8133,0.3867,0.7533,0.8267,0.8067,-0.171,0.7462,0.4431,0.0689,1.4477
second_digit,train,ag_news,0.54,0.5667,0.5267,0.6,0.5867,0.36,0.48,0.5467,0.5533,0.1733,0.5333,0.48,0.5067,-0.0518,0.7966,0.3655,0.0902,1.3123
sentiment,train,next_number_digits,0.9467,0.6933,0.2467,0.9467,0.9333,0.1333,0.5733,0.94,0.8267,0.0067,0.9467,0.66,0.9133,-0.0864,0.7129,0.4917,0.1762,0.8022
singular-plural,heldout,compound_first,0.98,0.2933,0.3267,0.9733,0.9733,0.42,0.4533,0.9733,0.96,0.0133,0.9933,0.0467,0.98,0.1516,0.7984,0.3626,0.2454,0.8704
singular_or_plural,train,capitalize,0.9467,0.72,0.5867,0.9267,0.9533,0.1067,0.6333,0.96,0.7733,0.0,0.94,0.26,0.96,-0.0505,0.7612,0.4206,0.1067,0.8786
smaller_of_pair,train,ends_with_ing,0.52,0.5333,0.5267,0.56,0.54,0.26,0.62,0.54,0.4733,0.08,0.5133,0.4333,0.4667,-0.0495,0.8053,0.3516,0.1081,1.505
spanish-english,train,plural_to_singular,0.8733,0.86,0.8333,0.8467,0.8467,0.3933,0.8,0.8533,0.82,0.0933,0.8533,0.08,0.8733,0.2676,0.9051,0.1808,0.1709,0.996
spanish_noun_gender,train,english-german,0.9667,0.7133,0.8067,0.98,0.9467,0.0267,0.6333,0.9667,0.8667,0.0,0.9667,0.28,0.9933,0.0304,0.6854,0.5303,0.2639,1.2263
starts_with_vowel,heldout,park-country,0.6133,0.52,0.4733,0.6667,0.6667,0.04,0.4733,0.6067,0.6333,0.0,0.6667,0.5,0.5933,-0.0804,0.7082,0.4985,0.1719,0.9142
strip_prefix,train,person-sport,0.8067,0.7267,0.7,0.8133,0.8067,0.2533,0.7067,0.8333,0.7733,0.08,0.8067,0.2,0.82,-0.0431,0.8773,0.2303,0.2035,0.7774
synonym,train,person-instrument,0.3933,0.3667,0.34,0.4333,0.3733,0.1,0.3667,0.3467,0.3867,0.0133,0.3933,0.0067,0.4067,0.0783,0.8706,0.242,0.2214,0.7289
third_person_to_base,train,iso_date_to_month,0.9867,0.9467,0.9133,0.98,0.9933,0.32,0.9333,0.9867,0.9733,0.08,0.98,0.7267,0.9933,-0.1186,0.8922,0.2039,0.1627,0.7672
times_five,train,lowercase_last_letter,0.9533,0.8733,0.8533,0.9467,0.9467,0.62,0.92,0.9733,0.94,0.0533,0.9733,0.8133,0.96,-0.0905,0.6988,0.5117,0.106,1.1244
titlecase_phrase,train,us-city-state,0.9333,0.2867,0.0267,0.9533,0.9,0.1533,0.26,0.9067,0.84,0.0067,0.94,0.7467,0.9067,-0.1009,0.8311,0.3092,0.1829,0.6904
uppercase_word,train,english-german,0.9933,0.0467,0.1667,0.98,0.9867,0.8,0.0933,0.9933,0.9867,0.0067,0.9933,0.9,0.98,0.0953,0.7706,0.4061,0.1573,1.1579
us-city-state,train,spanish-english,0.8667,0.3333,0.2533,0.84,0.8267,0.22,0.3467,0.88,0.7667,0.02,0.8533,0.4533,0.8733,-0.0101,0.7997,0.3605,0.2294,1.1122
verb_to_third_person,heldout,next_item,0.92,0.3067,0.2067,0.9333,0.9467,0.4933,0.3667,0.9133,0.8333,0.0733,0.94,0.78,0.9333,0.0254,0.8026,0.3559,0.214,0.7439
word_polarity,train,compound_first,0.98,0.28,0.06,0.98,0.9733,0.16,0.2467,0.9733,0.6733,0.0067,0.9733,0.2267,0.98,-0.2342,0.7503,0.437,0.1797,0.8058
