task,arm,row,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
lowercase_first_letter,fv_cf,target1,18,-0.04326104372739792,0.0059647434578586275,170,-0.05198928713798523,0.012071501919217296,40
lowercase_first_letter,fv_cf,target1,19,-0.04783206433057785,0.005784733350727509,170,-0.05789383500814438,0.011908715608234328,40
lowercase_first_letter,fv_cf,target1,20,-0.03299618512392044,0.00510321439369462,170,-0.04195926710963249,0.011132206857269266,40
lowercase_first_letter,fv_cf,target1,21,-0.03497472032904625,0.005159264586155837,170,-0.04289161413908005,0.011149029271737198,40
lowercase_first_letter,fv_cf,target1,22,-0.04182976111769676,0.005247745912436457,170,-0.04661617800593376,0.00984522382413916,40
lowercase_first_letter,fv_cf,target1,23,-0.04885201156139374,0.005152428527836044,170,-0.05101541429758072,0.009493612978995024,40
lowercase_first_letter,fv_cf,target1,24,-0.061948951333761215,0.005429775465367305,170,-0.06127749755978584,0.009379666448839702,40
lowercase_first_letter,fv_cf,target1,25,0.0016727010952308774,0.0006984446728581567,170,0.00201428378932178,0.0009211606051752187,40
lowercase_first_letter,fv_cf,target1,26,-0.00012734725896734744,0.0001913489717224041,170,0.0001124113769037649,0.00033224183902525145,40
lowercase_first_letter,fv_cf,target1,27,0.0,0.0,170,0.0,0.0,40
lowercase_first_letter,fv_cf,final_cue,0,-3.711906909942627,0.10029860195332667,170,-3.5721187591552734,0.20213451330709334,40
lowercase_first_letter,fv_cf,final_cue,1,-3.675485849380493,0.10001678012047631,170,-3.536484479904175,0.20127946343603084,40
lowercase_first_letter,fv_cf,final_cue,2,-3.715623140335083,0.10061107090477663,170,-3.5842864513397217,0.2027202160602323,40
lowercase_first_letter,fv_cf,final_cue,3,-3.706601858139038,0.10012086329414516,170,-3.560887098312378,0.2020471875410094,40
lowercase_first_letter,fv_cf,final_cue,4,-3.7496495246887207,0.10008238982306307,170,-3.6135640144348145,0.20161191581293322,40
lowercase_first_letter,fv_cf,final_cue,5,-3.7751781940460205,0.10115790071274922,170,-3.6232738494873047,0.20459034078704388,40
lowercase_first_letter,fv_cf,final_cue,6,-3.7622873783111572,0.10022856707013066,170,-3.598841905593872,0.19807104731196196,40
lowercase_first_letter,fv_cf,final_cue,7,-3.667227029800415,0.10098148777916345,170,-3.5421741008758545,0.204281807338948,40
lowercase_first_letter,fv_cf,final_cue,8,-3.7404003143310547,0.1027931603777651,170,-3.6343390941619873,0.2116458027797222,40
lowercase_first_letter,fv_cf,final_cue,9,-3.553982973098755,0.10037137057413045,170,-3.4145259857177734,0.20939919524441486,40
lowercase_first_letter,fv_cf,final_cue,10,-3.192805051803589,0.09561316769522726,170,-3.1169674396514893,0.20788606382855304,40
lowercase_first_letter,fv_cf,final_cue,11,-3.5913631916046143,0.09562139633685603,170,-3.517132520675659,0.2261236721598819,40
lowercase_first_letter,fv_cf,final_cue,12,-3.562871217727661,0.09544166451781333,170,-3.5435047149658203,0.226680743823299,40
lowercase_first_letter,fv_cf,final_cue,13,-2.61220121383667,0.08367726701050714,170,-2.6256251335144043,0.1941467973989148,40
lowercase_first_letter,fv_cf,final_cue,14,-2.569736957550049,0.08740112963667349,170,-2.5511655807495117,0.19557490258321938,40
lowercase_first_letter,fv_cf,final_cue,15,-2.4947566986083984,0.08662000297272429,170,-2.5439529418945312,0.19202263065283287,40
lowercase_first_letter,fv_cf,final_cue,16,-1.6285855770111084,0.06904312616369856,170,-1.5952845811843872,0.15349180918541208,40
lowercase_first_letter,fv_cf,final_cue,17,-1.3201097249984741,0.06119265004684553,170,-1.2815217971801758,0.1412210877050543,40
lowercase_first_letter,fv_cf,final_cue,18,-0.7515189051628113,0.0527066622225996,170,-0.6945743560791016,0.12136502173708284,40
lowercase_first_letter,fv_cf,final_cue,19,-0.47969871759414673,0.041468376632231754,170,-0.4724106788635254,0.09713407248340393,40
lowercase_first_letter,fv_cf,final_cue,20,-0.4117497205734253,0.0379499466157953,170,-0.3566363453865051,0.08433933986061139,40
lowercase_first_letter,fv_cf,final_cue,21,-0.34553614258766174,0.03127329308448819,170,-0.29546743631362915,0.06566112092288924,40
lowercase_first_letter,fv_cf,final_cue,22,-0.2988235056400299,0.03209373436955263,170,-0.264465868473053,0.0633905991709363,40
lowercase_first_letter,fv_cf,final_cue,23,-0.17167042195796967,0.028159623092569752,170,-0.1464141458272934,0.05977930271292366,40
lowercase_first_letter,fv_cf,final_cue,24,-0.16809692978858948,0.025199387552488732,170,-0.13550697267055511,0.05298382006226907,40
lowercase_first_letter,fv_cf,final_cue,25,-0.05834079533815384,0.023605143094524703,170,-0.02971135452389717,0.05100877436051549,40
lowercase_first_letter,fv_cf,final_cue,26,-0.04026626795530319,0.02332130981594287,170,-0.019752660766243935,0.048176431086942764,40
lowercase_first_letter,fv_cf,final_cue,27,-0.08262499421834946,0.0214002648556921,170,-0.06546833366155624,0.0447603547434937,40
capitalize,preimage_matched,cue1,0,0.015765095129609108,0.00899637846420576,170,0.021308334544301033,0.02127744689864976,40
capitalize,preimage_matched,cue1,1,0.0242026224732399,0.008969818809048553,170,0.02498587593436241,0.022354545572447603,40
capitalize,preimage_matched,cue1,2,0.03232840821146965,0.009112232595437874,170,0.0324496328830719,0.023007219912596515,40
capitalize,preimage_matched,cue1,3,0.04506722837686539,0.008987173242817016,170,0.041632600128650665,0.022620994711408174,40
capitalize,preimage_matched,cue1,4,0.03782707825303078,0.009462393297015191,170,0.027338862419128418,0.02220074299624982,40
capitalize,preimage_matched,cue1,5,0.0020335218869149685,0.008472904284056183,170,-0.0012817196547985077,0.019439210542792847,40
capitalize,preimage_matched,cue1,6,-0.023463336750864983,0.007046711545489569,170,-0.03320983424782753,0.015999963326082594,40
capitalize,preimage_matched,cue1,7,-0.06110963225364685,0.006217065039036381,170,-0.06957033276557922,0.014599491431426073,40
