task,group,cf_task,zero_shot,n1_baseline,n1_mean_ablation_mr157,n1_zero_ablation_mr157,n1_cf_mean_ablation_mr157,n1_cf_zero_ablation_mr157,n6_baseline,n6_mean_ablation_mr157,n6_zero_ablation_mr157,n6_cf_mean_ablation_mr157,n6_cf_zero_ablation_mr157
next_month_of_date,train,uppercase_word,0.0,0.8933,0.3267,0.3267,0.9333,0.9067,0.9667,0.08,0.0467,0.96,0.9467
next_number_digits,train,person_place_thing,0.0067,0.7533,0.4933,0.5267,0.7,0.6467,1.0,0.72,0.7067,0.8733,0.86
number_word_to_digits,heldout,past_to_base,0.6267,0.9867,0.9067,0.8533,0.9267,0.94,0.9933,0.8133,0.8067,0.9067,0.9067
park-country,heldout,french_noun_gender,0.0,0.7467,0.5067,0.5533,0.7533,0.7533,0.76,0.08,0.08,0.72,0.7467
past_to_base,heldout,capitalize_first_letter,0.0,0.8,0.2533,0.2733,0.76,0.7467,0.98,0.5733,0.7067,0.9267,0.9333
person-instrument,train,article_choice,0.0,0.1467,0.04,0.0533,0.1667,0.1467,0.3667,0.1533,0.14,0.3533,0.38
person-sport,heldout,first_vowel,0.0,0.5933,0.0867,0.0867,0.5533,0.5733,0.78,0.0067,0.0133,0.7867,0.7533
person_place_thing,train,gerund_to_base,0.0,0.08,0.0,0.0,0.06,0.04,0.88,0.1667,0.1333,0.86,0.8533
plural_to_singular,train,english-spanish,0.0,0.7,0.2267,0.3733,0.6533,0.6733,0.9733,0.34,0.6467,0.96,0.9467
pos_label,train,last_digit,0.0,0.74,0.2733,0.34,0.6667,0.7133,0.8533,0.5733,0.5733,0.8267,0.8533
present-past,train,round_up_to_ten,0.0,0.7333,0.0667,0.12,0.6933,0.68,0.9733,0.0133,0.1133,0.98,0.98
prev_item,train,park-country,0.0,0.1933,0.1133,0.1,0.1667,0.2067,0.8267,0.3333,0.2467,0.7867,0.78
prev_number_digits,train,person-instrument,0.0,0.6667,0.4933,0.4333,0.5867,0.5933,0.9867,0.76,0.6667,0.7733,0.8533
product-company,heldout,gerund_to_past,0.0,0.4933,0.2667,0.28,0.48,0.4533,0.6533,0.1333,0.16,0.6333,0.6
remove_first_letter,train,third_person_to_base,0.0,0.1133,0.0133,0.0133,0.0467,0.0733,0.6133,0.0533,0.0533,0.5467,0.5467
remove_last_letter,train,count_words,0.0,0.2067,0.0267,0.0867,0.2667,0.2467,0.56,0.16,0.2133,0.3267,0.4067
round_up_to_ten,train,french_noun_gender,0.0,0.44,0.0133,0.0,0.14,0.1333,0.8067,0.0,0.0,0.2,0.2
second_digit,train,ag_news,0.0,0.0867,0.02,0.0067,0.08,0.08,0.5067,0.1467,0.04,0.48,0.5133
sentiment,train,next_number_digits,0.0,0.9133,0.1267,0.0267,0.9133,0.9333,0.9133,0.0067,0.0133,0.94,0.9467
singular-plural,heldout,compound_first,0.0,0.74,0.08,0.1333,0.74,0.74,0.98,0.0333,0.0733,0.9533,0.9467
singular_or_plural,train,capitalize,0.0,0.4267,0.0067,0.02,0.38,0.3067,0.96,0.18,0.14,0.9067,0.3667
smaller_of_pair,train,ends_with_ing,0.0,0.5,0.1733,0.1067,0.36,0.3667,0.4667,0.3133,0.2533,0.54,0.4733
spanish-english,train,plural_to_singular,0.0,0.7667,0.68,0.68,0.72,0.74,0.8733,0.8267,0.86,0.82,0.8333
spanish_noun_gender,train,english-german,0.0,0.8333,0.0,0.0133,0.8133,0.82,0.9933,0.0067,0.0533,0.94,0.96
starts_with_vowel,heldout,park-country,0.0,0.0267,0.0,0.0,0.0,0.0133,0.5933,0.0933,0.0533,0.6333,0.6933
strip_prefix,train,person-sport,0.0267,0.4267,0.2533,0.22,0.42,0.4,0.82,0.5333,0.56,0.8067,0.8067
synonym,train,person-instrument,0.0333,0.3533,0.3467,0.3467,0.34,0.3667,0.4067,0.28,0.28,0.4133,0.4333
third_person_to_base,train,iso_date_to_month,0.0,0.8,0.34,0.4,0.8333,0.8333,0.9933,0.7267,0.8667,0.98,0.98
times_five,train,lowercase_last_letter,0.0,0.4667,0.0267,0.02,0.3533,0.3533,0.96,0.0267,0.0067,0.6867,0.6933
titlecase_phrase,train,us-city-state,0.0,0.2333,0.0467,0.0467,0.22,0.2533,0.9067,0.02,0.0333,0.8867,0.8867
uppercase_word,train,english-german,0.0,0.72,0.1067,0.3067,0.62,0.66,0.98,0.0267,0.1067,0.9467,0.96
us-city-state,train,spanish-english,0.02,0.7733,0.3533,0.4267,0.7867,0.7333,0.8733,0.0,0.0133,0.84,0.8533
verb_to_third_person,heldout,next_item,0.0,0.58,0.0733,0.0933,0.5533,0.52,0.9333,0.0267,0.0933,0.92,0.9333
word_polarity,train,compound_first,0.0,0.46,0.0,0.0,0.36,0.3733,0.98,0.04,0.02,0.98,0.96
