accuracy,arm,family,n,alpha,cf_family,ci_hi,ci_lo,judge_ok,lam,layer,n_heads,style_only,unscorable
0.175,sparse_unw_hi,num_words,80,,,0.273,0.107,0.775,0.001,20,94,0.237,0.087
0.087,sparse_cf,num_words,80,,percent_sign,0.17,0.043,0.713,0.001,20,114,0.138,0.113
0.713,resid4,num_words,80,4.0,,0.8,0.605,0.787,,24,,0.863,0.125
0.062,base_step4,num_words,80,,,0.138,0.027,0.8,,,,0.087,0.175
0.312,icl_k4,num_words,80,,,0.421,0.222,0.825,,,,0.338,0.113
0.075,base,percent_sign,80,,,0.154,0.035,0.85,0.001,20,0,0.087,0.0
0.75,sparse_w,percent_sign,80,,,0.832,0.645,0.875,0.001,20,114,0.863,0.0
0.812,sparse_unw,percent_sign,80,,,0.883,0.713,0.9,0.001,20,114,0.863,0.013
0.762,sparse_unw_hi,percent_sign,80,,,0.842,0.659,0.863,0.001,20,94,0.875,0.013
0.113,sparse_cf,percent_sign,80,,ordinal_words,0.2,0.06,0.887,0.001,20,114,0.15,0.0
0.838,resid4,percent_sign,80,2.0,,0.903,0.742,0.85,,16,,0.963,0.025
0.138,base_step4,percent_sign,80,,,0.23,0.079,0.912,,,,0.138,0.013
0.787,icl_k4,percent_sign,80,,,0.863,0.686,0.787,,,,1.0,0.0
0.375,base,ordinal_words,80,,,0.485,0.277,0.762,0.001,20,0,0.463,0.175
0.512,sparse_w,ordinal_words,80,,,0.619,0.405,0.75,0.001,20,114,0.7,0.037
0.45,sparse_unw,ordinal_words,80,,,0.559,0.346,0.75,0.001,20,114,0.6,0.062
0.425,sparse_unw_hi,ordinal_words,80,,,0.534,0.323,0.762,0.001,20,94,0.575,0.138
0.287,sparse_cf,ordinal_words,80,,em_dash,0.395,0.2,0.762,0.001,20,114,0.375,0.138
0.738,resid4,ordinal_words,80,2.0,,0.821,0.632,0.762,,20,,0.963,0.025
0.425,base_step4,ordinal_words,80,,,0.534,0.323,0.75,,,,0.537,0.15
0.637,icl_k4,ordinal_words,80,,,0.734,0.528,0.8,,,,0.787,0.025
