icl_example_index,token_role,layer,k_act,k_fv,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,pca_train_mse,pca_test_mse,fv_recon_floor_test_mse,train_mean_squared_l2,test_mean_squared_l2
9,pre_label_token,28,16,16,16,16,316.22776601683796,45.279605865478516,False,3400,1190,0.01744238581727533,0.1463993673565007,4.118834354176241,12.085874361951811,0.09918887168169022,71.44401281020221,599.6518070509454
9,first_label_token,0,16,16,16,16,3162.2776601683795,51.373477935791016,False,3400,1190,0.12720230831819423,0.1948109089827337,32.217343031939336,24.479216452205883,0.09918887168169022,521.0206606158089,797.9454700630253
9,first_label_token,1,16,16,16,16,1000.0,47.21666717529297,False,3400,1190,0.08686299730749691,0.1779950919271517,21.890488586425782,20.17437179950105,0.09918887168169022,355.7908366842831,729.0679030987395
9,first_label_token,2,16,16,16,16,1000.0,43.93947982788086,False,3400,1190,0.07994537619983448,0.17125670809705718,20.11957826502183,18.449344615776,0.09918887168169022,327.4562606272978,701.4674698004202
9,first_label_token,3,16,16,16,16,1000.0,43.82406234741211,False,3400,1190,0.07601740984355702,0.16899580114028034,19.114019452263328,17.870551819360557,0.09918887168169022,311.36731789981616,692.206778492647
9,first_label_token,4,16,16,16,16,1000.0,40.76738739013672,False,3400,1190,0.06137515467755935,0.1597852610740341,15.365607066434972,15.512657152704833,0.09918887168169022,251.39263729319853,654.4804129464286
9,first_label_token,5,16,16,16,16,1000.0,38.8325309753418,False,3400,1190,0.050474440210005814,0.15299121632295495,12.575025419347426,13.773383748030462,0.09918887168169022,206.74331025965074,626.6520089285714
9,first_label_token,6,16,16,16,16,316.22776601683796,39.040283203125,False,3400,1190,0.03991646409034729,0.15019930030117515,9.87219389073989,13.058657657398896,0.09918887168169022,163.49783389820772,615.2163373161765
9,first_label_token,7,16,16,16,16,316.22776601683796,38.744415283203125,False,3400,1190,0.033404718234258536,0.13836935988995208,8.205188315896427,10.03019342502626,0.09918887168169022,136.8257256002987,566.7608784138655
9,first_label_token,8,16,16,16,16,316.22776601683796,36.788055419921875,False,3400,1190,0.033451723491444305,0.13624289696957884,8.217221100751091,9.485819019990808,0.09918887168169022,137.01825963637407,558.0509059873949
9,first_label_token,9,16,16,16,16,316.22776601683796,36.27559280395508,False,3400,1190,0.026934478949098027,0.13111867023115398,6.5488081494499655,8.174018103335085,0.09918887168169022,110.32362096449909,537.0620798319328
9,first_label_token,10,16,16,16,16,316.22776601683796,34.62810134887695,False,3400,1190,0.02413436076220344,0.12915318993961108,5.831978346880745,7.670854225479254,0.09918887168169022,98.85434024586397,529.0114741990546
9,first_label_token,11,16,16,16,16,316.22776601683796,35.768917083740234,False,3400,1190,0.022992112671627717,0.1275124870428518,5.539563069063075,7.2508341813287815,0.09918887168169022,94.17569149241729,522.291137079832
9,first_label_token,12,16,16,16,16,316.22776601683796,35.15576934814453,False,3400,1190,0.02424995043698479,0.12900776101761505,5.861569124109605,7.6336241649980305,0.09918887168169022,99.3277978515625,528.4157924107143
9,first_label_token,13,16,16,16,16,316.22776601683796,35.19078826904297,False,3400,1190,0.0235868397881003,0.12872580039401013,5.691813103170956,7.561442347935268,0.09918887168169022,96.61169419232537,527.2608751313026
9,first_label_token,14,16,16,16,16,100.0,33.75603103637695,False,3400,1190,0.021681672387263356,0.13097079862065675,5.204095557717716,8.1361628684677,0.09918887168169022,88.80812823127297,536.456378019958
9,first_label_token,15,16,16,16,16,316.22776601683796,34.302452087402344,False,3400,1190,0.02228258234613082,0.13189889923865053,5.357923628863166,8.373754831522453,0.09918887168169022,91.26945908490349,540.2578994879202
9,first_label_token,16,16,16,16,16,316.22776601683796,36.072628021240234,False,3400,1190,0.022368100741330315,0.1328875593778466,5.379816396376666,8.626852596507353,0.09918887168169022,91.61973977481618,544.307435005252
9,first_label_token,17,16,16,16,16,316.22776601683796,35.10879135131836,False,3400,1190,0.02205880343914032,0.1339166192447438,5.300636574240292,8.890290075991334,0.09918887168169022,90.35285989200368,548.5224642200631
9,first_label_token,18,16,16,16,16,316.22776601683796,34.99119567871094,False,3400,1190,0.023314148660968332,0.1370111862150561,5.622004336188821,9.682498912650997,0.09918887168169022,95.49475485409008,561.1978105304622
9,first_label_token,19,16,16,16,16,316.22776601683796,34.89381408691406,False,3400,1190,0.024801604256910435,0.13850508297190947,6.002792160931755,10.064937713366596,0.09918887168169022,101.58737161075368,567.3168329831933
9,first_label_token,20,16,16,16,16,316.22776601683796,34.87269973754883,False,3400,1190,0.024601562058224398,0.13960879510190308,5.9515821389590995,10.34748873670562,0.09918887168169022,100.76799962660846,571.8376509978991
9,first_label_token,21,16,16,16,16,316.22776601683796,35.77757263183594,False,3400,1190,0.022202224626260644,0.1413090497505765,5.337351944867303,10.782751772584033,0.09918887168169022,90.94030883789063,578.8018841911764
9,first_label_token,22,16,16,16,16,100.0,34.81267166137695,False,3400,1190,0.0211225106085048,0.141998783079516,5.0609504206040326,10.95932391511292,0.09918887168169022,86.51780287798714,581.6270187762605
9,first_label_token,23,16,16,16,16,316.22776601683796,36.6871223449707,False,3400,1190,0.02427333786207087,0.14304827601969744,5.867556475471048,11.227992876838234,0.09918887168169022,99.42359130859376,585.9257352941177
9,first_label_token,24,16,16,16,16,316.22776601683796,36.16592025756836,False,3400,1190,0.02367959804394666,0.1447146848470223,5.715559203203987,11.654592972442883,0.09918887168169022,96.99163380342371,592.7513458508404
9,first_label_token,25,16,16,16,16,316.22776601683796,35.46571731567383,False,3400,1190,0.02261853961383595,0.14526033401489258,5.443928868910845,11.794279467157956,0.09918887168169022,92.64553746840534,594.9863051470588
9,first_label_token,26,16,16,16,16,316.22776601683796,35.809322357177734,False,3400,1190,0.022988834065549513,0.1459332009323505,5.538724051082835,11.966534475118172,0.09918887168169022,94.16226325539982,597.7423975840336
