task,group,n_heads,zs_base,zs_best,zs_bestL,shuf_base,shuf_best,shuf_bestL,mix_base,mix_best,mix_bestL
next_item,train,234,0.0213,0.9574,14,0.1489,0.9574,15,0.0,0.9787,14
next_number_digits,train,234,0.0,1.0,5,0.0714,0.4286,5,0.1429,0.9762,9
number_word_to_digits,train,234,1.0,1.0,1,0.2,0.42,16,0.92,1.0,6
park-country,train,234,0.06,0.86,18,0.06,0.84,15,0.44,0.82,17
past_to_base,train,234,0.1,1.0,13,0.26,0.98,15,0.42,1.0,12
person-instrument,train,234,0.06,0.78,18,0.48,0.7,15,0.06,0.8,13
person-sport,train,234,0.04,0.86,10,0.36,0.96,14,0.3,0.92,13
person_place_thing,train,234,0.0,0.94,10,0.92,1.0,6,0.0,0.64,9
plus_hundred,train,234,0.0,0.24,9,0.12,0.4,9,0.0,0.0,0
pos_label,train,234,0.0,0.88,10,0.68,0.94,6,0.0,0.92,10
prev_item,train,234,0.0,0.8085,14,0.0426,0.7447,14,0.0213,0.7234,16
prev_number_digits,train,234,0.0,1.0,10,0.0714,0.2619,13,0.0238,0.9048,9
product-company,train,234,0.06,0.82,18,0.24,0.8,14,0.08,0.82,14
remove_first_letter,train,234,0.0,0.7,13,0.16,0.6,13,0.0,0.38,13
remove_last_letter,train,234,0.0,0.48,17,0.06,0.48,14,0.06,0.32,15
round_up_to_ten,train,234,0.0,0.56,13,0.18,0.42,9,0.04,0.26,9
sentiment,train,234,0.0,0.96,0,0.7,0.94,6,0.02,0.96,0
singular_or_plural,train,234,0.0,0.98,8,0.76,0.98,15,0.02,0.96,15
smaller_of_pair,train,234,0.42,0.66,7,0.14,0.54,9,0.38,0.48,12
spanish-english,train,234,0.44,0.9,13,0.32,0.94,16,0.52,0.86,18
strip_prefix,train,234,0.0,0.78,17,0.22,0.94,12,0.2,0.84,14
time_to_minutes,train,234,0.0,0.28,9,0.0,0.06,9,0.04,0.16,10
uppercase_word,train,234,0.0,1.0,6,0.22,1.0,10,0.0,1.0,11
us-city-state,train,234,0.32,0.8,6,0.14,0.88,14,0.5,0.82,9
verb_tense_label,train,234,0.0,0.46,21,0.62,0.72,10,0.0,0.44,15
verb_to_third_person,train,234,0.0,1.0,6,0.12,1.0,5,0.02,1.0,14
word_polarity,train,234,0.0,0.98,4,0.74,0.98,5,0.0,1.0,5
adjective_to_noun,heldout,234,0.08,0.78,18,0.1,0.84,10,0.26,0.78,16
adverb_to_adjective,heldout,234,0.14,0.92,17,0.06,0.94,14,0.38,0.9,17
compound_head,heldout,234,0.0,0.82,6,0.56,0.86,9,0.18,0.82,10
country-currency,heldout,234,0.0,0.0476,9,0.0238,0.0952,12,0.0,0.0238,17
day_after_textual_date,heldout,234,0.0,1.0,6,0.1,0.82,10,0.02,1.0,10
double_no_carry,heldout,234,0.0,1.0,9,0.28,0.94,9,0.0,0.82,9
english-spanish,heldout,234,0.0,0.84,15,0.2,0.8,13,0.0,0.3,11
german-english,heldout,234,0.4,0.84,9,0.34,0.92,11,0.54,0.82,13
last_digit,heldout,234,0.08,0.86,14,0.12,0.42,9,0.04,0.72,11
last_two_letters,heldout,234,0.0,0.36,16,0.42,0.46,17,0.0,0.24,16
next_in_group,heldout,234,0.0,0.5,13,0.0714,0.1429,0,0.0,0.5,16
next_month_of_date,heldout,234,0.0,1.0,5,0.2,1.0,10,0.0,1.0,9
plural_to_singular,heldout,234,0.1,0.98,6,0.26,0.96,11,0.58,0.96,14
present-past,heldout,234,0.0,0.98,5,0.16,0.96,5,0.18,0.98,7
singular-plural,heldout,234,0.0,0.9535,9,0.186,0.9535,12,0.0,0.9302,10
spanish_noun_gender,heldout,234,0.0,0.96,13,1.0,1.0,22,0.06,0.98,13
starts_with_vowel,heldout,234,0.0,0.48,6,0.44,0.58,19,0.0,0.52,14
third_person_to_base,heldout,234,0.06,1.0,4,0.24,1.0,10,0.58,1.0,5
times_five,heldout,234,0.0,0.72,9,0.1,0.38,9,0.0,0.06,9
titlecase_phrase,heldout,234,0.0,0.98,10,0.4,1.0,6,0.0,0.96,9
