task,group,zero_shot,dummy1_unsteered,dummy1_steered_best,dummy1_shared_best,real_1shot,dummy1_steer_a0.5,dummy1_steer_a1.0,dummy1_steer_a2.0,dummy1_steer_a4.0,dummy1_shared_a0.5,dummy1_shared_a1.0,dummy1_shared_a2.0,dummy1_shared_a4.0
german_noun_gender,train,0.0,0.0,0.0,0.0,0.0933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gerund_to_base,heldout,0.0,0.0067,0.3533,0.0667,0.2133,0.06,0.2467,0.3533,0.2467,0.0,0.0133,0.0667,0.0533
gerund_to_past,train,0.0,0.0,0.0533,0.0133,0.1733,0.0067,0.0533,0.0533,0.0333,0.0,0.0067,0.0133,0.0067
hypernym_category,train,0.0,0.0,0.0667,0.0133,0.12,0.0067,0.0067,0.0667,0.04,0.0,0.0067,0.0,0.0133
initials_two_words,heldout,0.0,0.0,0.0467,0.0,0.04,0.0,0.0067,0.0467,0.0,0.0,0.0,0.0,0.0
iso_date_to_month,train,0.0,0.0,0.0067,0.0,0.3333,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0
iso_date_year_plus_one,train,0.0,0.0,0.0,0.0,0.1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark-country,train,0.0,0.0,0.0533,0.0,0.1533,0.0,0.0067,0.0533,0.0067,0.0,0.0,0.0,0.0
language_identification,train,0.0,0.0,0.0067,0.0,0.12,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0
larger_of_pair,train,0.0,0.0,0.0533,0.0267,0.24,0.0,0.0533,0.0333,0.0333,0.0,0.0,0.0267,0.0067
larger_than_1000,train,0.0,0.0,0.0133,0.0067,0.18,0.0,0.0,0.0133,0.0,0.0067,0.0,0.0067,0.0
lowercase_first_letter,train,0.0,0.0,0.16,0.0,0.16,0.0,0.0667,0.16,0.0667,0.0,0.0,0.0,0.0
lowercase_word,train,0.0,0.0,0.6,0.0133,0.4267,0.0333,0.2933,0.58,0.6,0.0067,0.0,0.0133,0.0133
national_parks,train,0.0,0.0,0.0533,0.0067,0.2933,0.0067,0.0133,0.0533,0.0267,0.0,0.0,0.0067,0.0
natural_manmade,train,0.0,0.0,0.0067,0.0,0.02,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0
next_item,train,0.0267,0.0067,0.0733,0.0333,0.1133,0.02,0.04,0.0733,0.0667,0.0067,0.0067,0.02,0.0333
next_month_of_date,train,0.0067,0.0,0.02,0.0133,0.1467,0.0,0.0067,0.0133,0.02,0.0,0.0,0.0133,0.0
next_number_digits,train,0.0133,0.0,0.22,0.02,0.2533,0.0067,0.0533,0.22,0.1533,0.0067,0.0067,0.0,0.02
number_word_to_digits,train,0.0,0.0,0.28,0.0067,0.5467,0.0333,0.14,0.28,0.18,0.0,0.0067,0.0,0.0
park-country,train,0.0,0.0,0.0533,0.0,0.2933,0.0,0.04,0.0533,0.0267,0.0,0.0,0.0,0.0
past_to_base,heldout,0.0,0.0067,0.2267,0.0667,0.2133,0.0733,0.2067,0.2267,0.2,0.0133,0.0,0.0667,0.04
person-instrument,train,0.0,0.0,0.0067,0.0,0.1333,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0
person-sport,train,0.0,0.0,0.0133,0.0,0.2933,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.0
person_place_thing,heldout,0.0,0.0,0.0133,0.0,0.04,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.0
plural_to_singular,train,0.0,0.0067,0.3933,0.0467,0.1933,0.04,0.24,0.3933,0.3133,0.0,0.02,0.0067,0.0467
pos_label,heldout,0.0,0.0,0.0067,0.0,0.1267,0.0,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0
present-past,train,0.0133,0.0,0.1,0.0133,0.24,0.0067,0.1,0.1,0.0533,0.0,0.0,0.0067,0.0133
prev_number_digits,train,0.0,0.0,0.0733,0.0067,0.0867,0.0,0.0067,0.0733,0.0267,0.0067,0.0,0.0067,0.0067
product-company,train,0.0,0.0,0.0267,0.0067,0.1,0.0067,0.0067,0.0267,0.0067,0.0067,0.0,0.0,0.0
sentiment,train,0.0,0.0,0.0267,0.0,0.2267,0.0,0.0,0.0267,0.02,0.0,0.0,0.0,0.0
singular-plural,train,0.0,0.0,0.6067,0.02,0.4667,0.0,0.2333,0.6067,0.4867,0.0,0.02,0.0133,0.0133
singular_or_plural,train,0.0,0.0,0.0133,0.0,0.1533,0.0,0.0,0.0133,0.0067,0.0,0.0,0.0,0.0
smaller_of_pair,heldout,0.0,0.0,0.0867,0.0133,0.2867,0.02,0.0867,0.06,0.0533,0.0,0.0067,0.0133,0.0067
spanish-english,heldout,0.0,0.0067,0.4667,0.0733,0.4667,0.0533,0.1733,0.4333,0.4667,0.0067,0.0267,0.0733,0.0333
spanish_noun_gender,train,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starts_with_vowel,train,0.0,0.0,0.0,0.0,0.0867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
third_person_to_base,train,0.0,0.0,0.4333,0.0267,0.2267,0.0533,0.22,0.4333,0.3333,0.0,0.0133,0.0133,0.0267
titlecase_phrase,train,0.0,0.0,0.0333,0.0,0.1667,0.0,0.0067,0.0333,0.0,0.0,0.0,0.0,0.0
uppercase_word,heldout,0.0,0.0,0.2467,0.0,0.22,0.0067,0.1133,0.1733,0.2467,0.0,0.0,0.0,0.0
us-city-state,train,0.0,0.0067,0.0467,0.0133,0.4333,0.0067,0.0,0.0267,0.0467,0.0,0.0,0.0,0.0133
verb_tense_label,train,0.0,0.0,0.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verb_to_third_person,train,0.0,0.0,0.26,0.0067,0.2867,0.0,0.0933,0.26,0.2133,0.0,0.0,0.0,0.0067
word_polarity,heldout,0.0,0.0,0.0067,0.0,0.18,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0
