task,group,zero_shot,unsteered,real_1shot,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,best_layer,best_acc
ends_with_ing,heldout,0.0067,0.0,0.26,0.0467,0.06,0.0667,0.0667,0.04,0.04,0.04,0.04,0.04,0.04,0.0533,0.04,0.02,0.0267,0.02,0.0267,0.0267,0.0067,0.02,0.0133,0.0067,0.0133,0.0067,0.0067,0.0,0.0067,0.0067,0.0067,2,0.0667
english-french,heldout,0.0,0.0,0.1867,0.0,0.0,0.0,0.0,0.0067,0.0533,0.1333,0.2467,0.08,0.0133,0.0133,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.2467
english-italian,train,0.0,0.0,0.2333,0.0,0.0,0.0,0.0,0.0,0.1333,0.2467,0.2867,0.18,0.0333,0.02,0.0267,0.0067,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,7,0.2867
english-portuguese,train,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0067,0.1467,0.1933,0.26,0.1,0.0133,0.02,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
english-spanish,train,0.0,0.0,0.2933,0.0,0.0,0.0,0.0,0.0,0.0867,0.2733,0.28,0.0867,0.0067,0.0267,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,7,0.28
first_digit,heldout,0.0067,0.0067,0.06,0.0333,0.0267,0.0267,0.0467,0.04,0.0267,0.0533,0.02,0.0267,0.02,0.0133,0.0133,0.0133,0.0133,0.0267,0.02,0.0133,0.0133,0.0133,0.0133,0.0067,0.0067,0.0,0.0067,0.0067,0.0067,0.0133,0.0,6,0.0533
first_three_letters,train,0.0,0.0,0.1,0.0067,0.0,0.0133,0.0067,0.0067,0.0067,0.14,0.1467,0.0333,0.0067,0.0067,0.0067,0.0067,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,7,0.1467
french-english,heldout,0.0,0.0067,0.4533,0.0533,0.0467,0.0467,0.1333,0.14,0.3067,0.3933,0.5,0.4533,0.1867,0.2067,0.1333,0.06,0.0667,0.0333,0.0067,0.0133,0.0133,0.0133,0.0067,0.0067,0.0133,0.0067,0.0067,0.0133,0.0067,0.0067,0.0067,7,0.5
french_noun_gender,train,0.0,0.0,0.1867,0.0,0.0,0.0067,0.0,0.0067,0.0,0.02,0.02,0.0067,0.0133,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.02
german-english,train,0.0,0.0,0.2933,0.02,0.0267,0.04,0.14,0.1,0.16,0.42,0.4933,0.4533,0.16,0.1667,0.1333,0.0333,0.0533,0.0467,0.02,0.0133,0.0067,0.0067,0.0067,0.0133,0.0067,0.0,0.0,0.0067,0.0067,0.0067,0.0067,7,0.4933
german_noun_gender,train,0.0,0.0,0.0933,0.0,0.0,0.02,0.0133,0.0,0.0067,0.0,0.02,0.0067,0.0067,0.0067,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0067,0.0,0.0,0.0,2,0.02
gerund_to_base,heldout,0.0,0.0067,0.2133,0.02,0.0333,0.08,0.22,0.2267,0.32,0.3533,0.2667,0.12,0.1267,0.1133,0.0667,0.0133,0.0133,0.0133,0.0267,0.0067,0.0,0.0133,0.02,0.02,0.02,0.0067,0.0133,0.0067,0.0,0.0133,0.0133,6,0.3533
gerund_to_past,train,0.0,0.0,0.1733,0.0133,0.0933,0.04,0.16,0.1267,0.1133,0.0533,0.0533,0.0267,0.0467,0.04,0.0267,0.0067,0.02,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0067,0.0,0.0,3,0.16
hypernym_category,train,0.0,0.0,0.12,0.0133,0.02,0.0267,0.02,0.0467,0.0533,0.0667,0.12,0.06,0.0333,0.06,0.02,0.0067,0.0067,0.0067,0.0067,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.12
initials_two_words,heldout,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0467,0.0467,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0467
iso_date_to_month,train,0.0,0.0,0.3333,0.0267,0.0267,0.0133,0.02,0.0067,0.0,0.0067,0.0067,0.0133,0.0,0.0067,0.0,0.0,0.0067,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0267
iso_date_year_plus_one,train,0.0,0.0,0.1133,0.0067,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0067
landmark-country,train,0.0,0.0,0.1533,0.02,0.04,0.0467,0.0933,0.0467,0.02,0.0533,0.0533,0.0133,0.0267,0.0133,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0933
language_identification,train,0.0,0.0,0.12,0.0133,0.0067,0.0133,0.0067,0.0067,0.0133,0.0067,0.0133,0.0067,0.02,0.0067,0.0067,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,9,0.02
larger_of_pair,train,0.0,0.0,0.24,0.0133,0.0267,0.02,0.12,0.1067,0.0533,0.0533,0.0467,0.0133,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0067,0.0,0.0,0.0067,0.0067,3,0.12
larger_than_1000,train,0.0,0.0,0.18,0.04,0.06,0.0867,0.04,0.02,0.0333,0.0133,0.0133,0.0067,0.0067,0.0333,0.0133,0.0067,0.0,0.02,0.0,0.0067,0.0067,0.0133,0.0067,0.0067,0.0067,0.0,0.0,0.0133,0.0,0.0067,0.0067,2,0.0867
lowercase_first_letter,train,0.0,0.0,0.16,0.0067,0.0133,0.0067,0.0667,0.0467,0.02,0.16,0.2133,0.0667,0.0067,0.02,0.0133,0.0067,0.0067,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,7,0.2133
lowercase_word,train,0.0,0.0,0.4267,0.0,0.0333,0.0333,0.44,0.52,0.6067,0.6,0.48,0.14,0.08,0.1267,0.0333,0.02,0.0,0.0133,0.0,0.0067,0.0,0.0,0.0067,0.0133,0.0067,0.0,0.0067,0.0,0.0067,0.0,0.0067,5,0.6067
national_parks,train,0.0,0.0,0.2933,0.1067,0.1133,0.0733,0.1267,0.08,0.0733,0.0533,0.1,0.0667,0.0867,0.06,0.0333,0.0067,0.0067,0.0,0.0133,0.0067,0.0067,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,3,0.1267
natural_manmade,train,0.0,0.0,0.02,0.0,0.0067,0.0,0.0,0.0067,0.0,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0067
next_item,train,0.0267,0.0067,0.1133,0.0333,0.04,0.0333,0.0333,0.0867,0.0933,0.0733,0.16,0.1267,0.0933,0.0933,0.06,0.0267,0.0133,0.02,0.0133,0.0333,0.0067,0.0267,0.0133,0.02,0.0133,0.0133,0.02,0.0267,0.0133,0.02,0.0267,7,0.16
next_month_of_date,train,0.0067,0.0,0.1467,0.0467,0.0467,0.0267,0.04,0.0467,0.0467,0.02,0.04,0.02,0.0133,0.0,0.0067,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0067,0,0.0467
next_number_digits,train,0.0133,0.0,0.2533,0.02,0.02,0.0267,0.1333,0.1333,0.26,0.22,0.1133,0.06,0.0267,0.0533,0.0067,0.0,0.0133,0.0067,0.0133,0.0,0.0067,0.0067,0.0067,0.0,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0067,5,0.26
number_word_to_digits,train,0.0,0.0,0.5467,0.0333,0.0733,0.0467,0.1067,0.08,0.0333,0.28,0.18,0.1667,0.1533,0.0467,0.0267,0.0067,0.0,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0,6,0.28
park-country,train,0.0,0.0,0.2933,0.0467,0.1733,0.1333,0.16,0.1333,0.12,0.0533,0.08,0.0533,0.0133,0.0267,0.0133,0.0067,0.0,0.0067,0.0067,0.0067,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0067,1,0.1733
past_to_base,heldout,0.0,0.0067,0.2133,0.02,0.0467,0.1267,0.2067,0.2,0.24,0.2267,0.3067,0.0933,0.0867,0.1267,0.0533,0.0467,0.02,0.0133,0.0133,0.0067,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0067,0.0067,0.02,0.0133,0.0067,7,0.3067
person-instrument,train,0.0,0.0,0.1333,0.0067,0.02,0.04,0.0333,0.0333,0.0267,0.0067,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,2,0.04
person-sport,train,0.0,0.0,0.2933,0.0,0.0267,0.0267,0.1067,0.06,0.0,0.0133,0.02,0.0133,0.0067,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.1067
person_place_thing,heldout,0.0,0.0,0.04,0.0,0.0133,0.0,0.0,0.0,0.0267,0.0133,0.0267,0.0,0.0067,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0267
plural_to_singular,train,0.0,0.0067,0.1933,0.0133,0.0267,0.04,0.22,0.2067,0.2733,0.3933,0.34,0.14,0.1,0.0933,0.0333,0.0133,0.0133,0.02,0.0,0.0067,0.0133,0.0067,0.0133,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,6,0.3933
pos_label,heldout,0.0,0.0,0.1267,0.0,0.0,0.0133,0.02,0.02,0.0133,0.0067,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.02
present-past,train,0.0133,0.0,0.24,0.0467,0.1,0.1133,0.1533,0.14,0.12,0.1,0.06,0.04,0.02,0.0533,0.0467,0.0067,0.0067,0.0067,0.0067,0.0133,0.0,0.0133,0.0,0.0067,0.0,0.0067,0.0067,0.0067,0.0133,0.0,0.0067,3,0.1533
prev_number_digits,train,0.0,0.0,0.0867,0.0333,0.0133,0.0067,0.0733,0.0267,0.08,0.0733,0.0667,0.0133,0.0267,0.0133,0.0133,0.0067,0.0,0.0,0.0067,0.0,0.0,0.0067,0.0,0.0067,0.0,0.0067,0.0067,0.0067,0.0,0.0067,0.0067,5,0.08
product-company,train,0.0,0.0,0.1,0.0267,0.0133,0.0267,0.0267,0.0267,0.0267,0.0267,0.04,0.0333,0.02,0.0133,0.0133,0.0133,0.0133,0.0,0.0067,0.0067,0.0133,0.0,0.0133,0.0067,0.0133,0.0067,0.0,0.0,0.0,0.0067,0.0,7,0.04
sentiment,train,0.0,0.0,0.2267,0.0,0.0,0.0067,0.1,0.0933,0.0733,0.0267,0.02,0.0133,0.0067,0.08,0.0333,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.1
singular-plural,train,0.0,0.0,0.4667,0.0133,0.1,0.1533,0.4667,0.58,0.5867,0.6067,0.5133,0.2,0.1133,0.1533,0.0333,0.0133,0.0067,0.0067,0.0067,0.0067,0.0067,0.0,0.0067,0.0,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0,6,0.6067
singular_or_plural,train,0.0,0.0,0.1533,0.0133,0.0133,0.0133,0.0067,0.0067,0.0067,0.0133,0.0267,0.0067,0.0133,0.0067,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0267
smaller_of_pair,heldout,0.0,0.0,0.2867,0.0067,0.02,0.0333,0.1667,0.1267,0.0933,0.0867,0.0533,0.0133,0.0267,0.0067,0.0067,0.0067,0.0,0.0,0.0067,0.0,0.0,0.0067,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0067,3,0.1667
spanish-english,heldout,0.0,0.0067,0.4667,0.0467,0.0733,0.04,0.2,0.18,0.32,0.4667,0.56,0.5133,0.1933,0.1733,0.1667,0.06,0.0267,0.0133,0.0133,0.02,0.0067,0.0067,0.0133,0.0067,0.0133,0.0067,0.0067,0.0067,0.0,0.0133,0.0133,7,0.56
spanish_noun_gender,train,0.0,0.0,0.1667,0.0,0.0,0.0,0.0133,0.0,0.0,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0133
starts_with_vowel,train,0.0,0.0,0.0867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
third_person_to_base,train,0.0,0.0,0.2267,0.02,0.0667,0.02,0.2333,0.2467,0.32,0.4333,0.26,0.0867,0.06,0.0933,0.0533,0.0133,0.02,0.0067,0.0067,0.0067,0.02,0.0067,0.0133,0.0267,0.0067,0.0067,0.0067,0.0133,0.0133,0.0133,0.0133,6,0.4333
titlecase_phrase,train,0.0,0.0,0.1667,0.0,0.0,0.0,0.0067,0.0133,0.0267,0.0333,0.0067,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0333
uppercase_word,heldout,0.0,0.0,0.22,0.0067,0.0067,0.02,0.1333,0.1933,0.2067,0.2467,0.1133,0.0467,0.0133,0.0267,0.0133,0.0133,0.02,0.0133,0.0133,0.0067,0.0,0.0,0.0,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0,6,0.2467
us-city-state,train,0.0,0.0067,0.4333,0.06,0.1,0.1133,0.0933,0.0667,0.06,0.0467,0.0867,0.0467,0.0667,0.0333,0.0267,0.0067,0.0067,0.0133,0.0067,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0,0.0067,0.0067,0.0133,0.0067,0.0,2,0.1133
verb_tense_label,train,0.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0067
verb_to_third_person,train,0.0,0.0,0.2867,0.0067,0.0533,0.0733,0.22,0.3067,0.2933,0.26,0.1733,0.0467,0.0667,0.0667,0.0267,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,4,0.3067
word_polarity,heldout,0.0,0.0,0.18,0.0067,0.0333,0.0467,0.0333,0.0333,0.0133,0.0067,0.02,0.02,0.0267,0.0067,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0467
