icl_example_index,token_role,layer,test_mse,test_mse_seed0,test_mse_seed1,test_mse_seed2,test_r2,test_r2_seed0,test_r2_seed1,test_r2_seed2,test_r2_testmean_baseline,test_r2_testmean_baseline_seed0,test_r2_testmean_baseline_seed1,test_r2_testmean_baseline_seed2,train_mse,train_mse_seed0,train_mse_seed1,train_mse_seed2,train_r2,train_r2_seed0,train_r2_seed1,train_r2_seed2
1,pre_label_token,24,0.2170634395268117,0.21679174439245913,0.21792469986346588,0.21647387432451007,0.000248457992142459,0.0014998323835053728,-0.0037183378511247422,0.0029638794440467464,-0.14138923748800716,-0.13996057726358657,-0.1459180207832289,-0.13828911441720604,0.19702432552973428,0.19732066988945007,0.19640202820301056,0.19735027849674225,0.004062990067529526,0.002565000848522403,0.0072086368662172,0.0024153324878489757
1,pre_label_token,25,0.2170689387815673,0.21679114654284565,0.2179374742908638,0.21647819551099248,0.0002231295055313461,0.0015025859613270187,-0.0037771743531038737,0.0029439769083708933,-0.14141815433464874,-0.13995743357842283,-0.14598519282278954,-0.13831183660273383,0.19702591995398203,0.19732055068016052,0.1964046061038971,0.1973526030778885,0.004054930422541088,0.0025656034388019666,0.0071956058514227594,0.002403581977398539
1,pre_label_token,26,0.21705931441790582,0.2167794411923705,0.21792964133895745,0.21646886072238955,0.00026745743303665154,0.0015564985051104152,-0.0037410973160685312,0.0029869711100680707,-0.14136754634131346,-0.13989588308847156,-0.14594400464746538,-0.13826275128800347,0.19702785710493723,0.19732026755809784,0.19641047716140747,0.1973528265953064,0.004045138330499021,0.002567034590715833,0.00716592828015683,0.0024024521206243987
1,pre_label_token,27,0.21706320177607175,0.21677919916745994,0.21794151498490022,0.2164688911758551,0.0002495530253244042,0.0015576132242822727,-0.003795784995699991,0.002986830847390931,-0.14138798731830393,-0.13989461044380724,-0.14600644008900443,-0.13826291142210012,0.19702641169230142,0.19732080399990082,0.1964067965745926,0.1973516345024109,0.004052444737638068,0.0025643229344579632,0.007184533255036762,0.0024084780234194803
1,pre_label_token,28,0.21705573319720953,0.21677474975585936,0.21794209360074596,0.21645035623502332,0.00028395183173031874,0.0015781063396516082,-0.0037984499865675314,0.0030721991421068795,-0.1413487151334015,-0.1398712140094509,-0.14600948263684388,-0.13816544875390968,0.19702894488970438,0.19731968641281128,0.19641368091106415,0.19735346734523773,0.004039639694198516,0.0025699722183284424,0.007149733666395042,0.0023992131978720632
1,first_label_token,0,0.2171431009842902,0.21711957434646223,0.21719662802559989,0.2171131005808085,-0.00011844702477955178,-1.0087954739779192e-05,-0.00036498205714208254,1.972893754320637e-05,-0.14180812300095572,-0.14168441238773744,-0.14208958536513205,-0.1416503712499977,0.1976495236158371,0.19781312346458435,0.19732291996479034,0.1978125274181366,0.0009026802387070987,7.570040386351007e-05,0.0025536269569966796,7.871335526110634e-05
1,first_label_token,1,0.2171123242845722,0.2171193852144129,0.21712409107624983,0.21709349656305393,2.3304405438443847e-05,-9.216849691462414e-06,-3.089112444820685e-05,0.0001100211904550008,-0.14164628923521394,-0.14168341787071514,-0.1417081628027288,-0.14154728703219788,0.1978014757235845,0.19781264662742615,0.19781193137168884,0.1977798491716385,0.0001345784957573759,7.811076498154268e-05,8.17263066585916e-05,0.00024389841563199344
1,first_label_token,2,0.21711674057135064,0.2171173720800576,0.21712469854274719,0.21710815109124704,2.963856489901495e-06,5.525149870955204e-08,-3.3688995746850026e-05,4.252531371784496e-05,-0.14166951148862292,-0.1416728321641043,-0.1417113570565549,-0.1416243452452095,0.19781250754992166,0.19781306385993958,0.19781167805194855,0.1978127807378769,7.881378697434845e-05,7.600169900334741e-05,8.3006811002595e-05,7.743285091710295e-05
1,first_label_token,3,0.2171215602329799,0.2171171060129374,0.21713926491617155,0.21710830976983078,-1.9234557744921926e-05,1.2807043630047588e-06,-0.00010077884894466038,4.179447134688985e-05,-0.14169485481647218,-0.14167143309778485,-0.14178795172349679,-0.14162517962813492,0.19780074059963226,0.19781319797039032,0.1977762132883072,0.19781281054019928,0.00013829446914770394,7.532378493879666e-05,0.00026227741915707536,7.728220334723979e-05
1,first_label_token,4,0.2171824164083358,0.2171152483515379,0.2173250823461709,0.2171069185272986,-0.0002995261410967028,9.836727674628065e-06,-0.0009566174119877147,4.82022610229782e-05,-0.14201485611994968,-0.1416616649178788,-0.14276503941362684,-0.14161786402834342,0.1976521114508311,0.19781306385993958,0.19733040034770966,0.19781287014484406,0.0008895990080560745,7.600169900334741e-05,0.0025158144169573626,7.698090820751347e-05
1,first_label_token,5,0.21719227691992324,0.21711368079946822,0.21735594132367303,0.21710720863662847,-0.0003449417195378057,1.7056564429518417e-05,-0.0010987477975090698,4.686607446613422e-05,-0.14206670585487777,-0.1416534222259478,-0.142927305822367,-0.14161938951631847,0.19765320420265198,0.19781287014484406,0.1973339021205902,0.19781284034252167,0.0008840752638272035,7.698090820751347e-05,0.0024981133274967204,7.713155577737663e-05
1,first_label_token,6,0.2171567644391741,0.21711481238613609,0.2173421443009577,0.21701333663042854,-0.00018137821263467893,1.1844698633023398e-05,-0.0010352014224730421,0.0004792220859359819,-0.14187996983239545,-0.1416593724718611,-0.14285475664839753,-0.1411257803769277,0.1976078450679779,0.19781295955181122,0.19733303785324097,0.19767753779888153,0.0011133608651810272,7.652896549781296e-05,0.002502482107023196,0.0007610715230220721
1,first_label_token,7,0.21702997864795334,0.217110821379333,0.21717610399262244,0.21680301057190454,0.00040257222394731357,3.0226491597673544e-05,-0.0002704523949283999,0.0014479425751726671,-0.14121328944678435,-0.1416383864770674,-0.14198166341198615,-0.14001981845129952,0.19761418302853903,0.1978127807378769,0.19766578078269958,0.1973639875650406,0.0010813231486537234,7.743285091710295e-05,0.0008205019893388066,0.0023460346057052606
1,first_label_token,8,0.21703060427967572,0.2171115009724593,0.2171995371329684,0.2167807747335995,0.0003996906871920706,2.709641922138406e-05,-0.00037838083394170496,0.0015503564762965327,-0.1412165792191944,-0.1416419599958596,-0.1421048823854334,-0.13990289527629018,0.19761458535989126,0.19781287014484406,0.1976667195558548,0.19736416637897491,0.0010792894064604042,7.698090820751347e-05,0.0008157565908877284,0.0023451307202859706
1,first_label_token,9,0.2169049287042698,0.21710943975368469,0.2173922194152319,0.2162131269438928,0.0009785276879266114,3.658998779665357e-05,-0.001265837557332894,0.0041648306333160745,-0.14055573670469199,-0.14163112144593804,-0.1431180676722308,-0.1369180209959071,0.19722149272759756,0.19781269133090973,0.19734063744544983,0.1965111494064331,0.0030663308531470776,7.788479362680345e-05,0.0024640669767044265,0.0066570407891100025
1,first_label_token,10,0.21695942010532243,0.217109417314289,0.21738379342215403,0.2163850495795242,0.0007275510041180322,3.6693339243054623e-05,-0.0012270290892144597,0.0033729887623255017,-0.1408422699819342,-0.1416310034523931,-0.14307376109607395,-0.13782204539733556,0.19722400605678558,0.1978127360343933,0.19734317064285278,0.19651611149311066,0.0030536262414207296,7.76588222719532e-05,0.0024512619332648367,0.006631957968725399
1,first_label_token,11,0.2169348291990136,0.21710968017578125,0.2173878565555861,0.21630695086567342,0.0008408118856151336,3.5482650871054844e-05,-0.0012457430832568672,0.0037326960892312133,-0.14071296310343753,-0.14163238566249192,-0.14309512635583377,-0.13741137729198694,0.19721767803033194,0.19781267642974854,0.19734160602092743,0.19649875164031982,0.0030856137420914123,7.796011741167952e-05,0.0024591709306833742,0.0067197101781791835
