task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
french-english,heldout,0.0,0.04665,0.07632,0.08626,0.0828,0.0,0.0237,0.03709,0.03696,0.02953,0.0,5.22695,8.28675,9.14323,8.70179,0.0,2.98084,4.43246,4.31667,3.50319
french_noun_gender,train,0.0,0.04222,0.06633,0.05239,0.02847,0.0,0.02962,0.04159,0.03251,0.02051,0.0,4.37431,6.49332,4.67268,2.23185,0.0,3.31607,4.13881,2.57092,1.16679
german-english,train,0.0,0.04746,0.08212,0.09998,0.10035,0.0,0.02278,0.03816,0.04332,0.03879,0.0,5.22148,8.88294,10.68181,10.65969,0.0,2.81491,4.56776,5.11807,4.62893
german_noun_gender,train,0.0,0.0196,0.03331,0.02992,0.01183,0.0,0.01401,0.02105,0.02011,0.01399,0.0,1.82954,2.87262,2.26065,0.48832,0.0,1.275,1.60231,1.13503,0.44953
gerund_to_base,heldout,0.0,0.09389,0.12552,0.11308,0.0831,0.0,0.0506,0.06475,0.05559,0.03706,0.0,10.19725,13.33852,11.51582,8.10774,0.0,5.94928,7.29368,5.77347,3.48251
gerund_to_past,train,0.0,0.1009,0.13116,0.10686,0.07966,0.0,0.05172,0.06379,0.04832,0.03097,0.0,10.97784,13.70016,10.38023,7.33463,0.0,6.17835,7.01136,4.51688,2.40181
hypernym_category,train,0.0,0.03188,0.05886,0.07437,0.07131,0.0,0.01439,0.02575,0.03011,0.02578,0.0,3.20243,5.69054,6.97502,6.56464,0.0,1.5652,2.54202,2.74436,2.20263
initials_two_words,heldout,0.0,0.03995,0.07723,0.08314,0.04578,0.0,0.02339,0.03954,0.03911,0.02684,0.0,3.8823,7.36239,7.6992,3.91854,0.0,2.33874,3.78049,3.4654,1.98852
iso_date_to_month,train,0.0,0.04208,0.07866,0.08571,0.06175,0.0,0.0208,0.03646,0.0358,0.02332,0.0,4.09739,7.33328,7.68605,5.3011,0.0,2.22147,3.35083,2.83108,1.39383
iso_date_year_plus_one,train,0.0,0.03708,0.0823,0.0891,0.05361,0.0,0.02198,0.03809,0.03644,0.01996,0.0,3.59346,7.57285,7.8975,4.44598,0.0,2.25987,3.31867,2.70533,0.87057
landmark-country,train,0.0,0.03156,0.06525,0.07133,0.0566,0.0,0.01048,0.0199,0.01698,0.00965,0.0,2.87248,5.58009,5.68538,4.24691,0.0,0.96395,1.4251,0.68558,-0.12338
language_identification,train,0.0,0.02724,0.05383,0.05101,0.02859,0.0,0.01449,0.02588,0.02402,0.01603,0.0,2.70342,5.0564,4.46033,2.23096,0.0,1.5291,2.3584,1.74479,0.81837
larger_of_pair,train,0.0,0.10189,0.13563,0.11381,0.07096,0.0,0.05787,0.0689,0.05429,0.03394,0.0,9.78994,12.50995,9.93904,5.84953,0.0,6.03054,6.63345,4.62939,2.44831
larger_than_1000,train,0.0,0.03137,0.04895,0.04296,0.02613,0.0,0.02223,0.02846,0.02184,0.01272,0.0,3.04513,4.3221,3.41281,1.76412,0.0,2.21042,2.4401,1.47706,0.52055
lowercase_first_letter,train,0.0,0.04871,0.0818,0.07977,0.04467,0.0,0.03174,0.05087,0.05149,0.03738,0.0,4.67058,7.78275,7.24808,3.58779,0.0,3.0013,4.73738,4.37041,2.59618
lowercase_word,train,0.0,0.0913,0.13369,0.13795,0.11837,0.0,0.05816,0.07896,0.07709,0.06609,0.0,9.2902,13.25995,13.02088,10.6293,0.0,6.26066,8.01608,6.9688,5.21725
national_parks,train,0.0,0.03399,0.07747,0.08144,0.06369,0.0,0.015,0.02822,0.02505,0.01639,0.0,3.20694,6.95791,6.86456,5.1085,0.0,1.53567,2.46959,1.64388,0.64605
natural_manmade,train,0.0,0.03617,0.06098,0.05478,0.03811,0.0,0.02356,0.0357,0.03062,0.02278,0.0,3.65502,5.63786,4.59311,2.91561,0.0,2.49445,3.11868,2.04643,1.15968
next_item,train,0.0,0.03047,0.05312,0.0651,0.05795,0.0,0.01539,0.02426,0.02519,0.01922,0.0,3.18966,5.3564,6.37748,5.51125,0.0,1.71444,2.54045,2.5015,1.76988
next_month_of_date,train,0.0,0.05547,0.10624,0.11764,0.09395,0.0,0.02749,0.04306,0.04211,0.03274,0.0,5.58644,10.19339,10.84946,8.3074,0.0,3.124,4.30099,3.71324,2.42655
next_number_digits,train,0.0,0.06695,0.1344,0.16151,0.12536,0.0,0.03511,0.05422,0.05281,0.03815,0.0,6.27773,12.53981,15.03737,11.14927,0.0,3.31847,5.03955,4.86225,2.79026
number_word_to_digits,train,0.0,0.13298,0.1988,0.19699,0.11485,0.0,0.06519,0.09044,0.08527,0.05035,0.0,12.69137,18.83203,17.97439,9.43418,0.0,6.88269,9.27169,7.97845,3.27496
park-country,train,0.0,0.03411,0.07976,0.0817,0.0649,0.0,0.01521,0.03081,0.0242,0.01503,0.0,3.21836,6.97096,6.49599,4.86247,0.0,1.58302,2.52305,1.1669,0.14722
past_to_base,heldout,0.0,0.08938,0.12156,0.11088,0.08282,0.0,0.0478,0.06321,0.05704,0.04093,0.0,9.60411,12.81309,11.36125,8.36754,0.0,5.70493,7.23356,6.19122,4.34811
person-instrument,train,0.0,0.0447,0.07394,0.06124,0.03677,0.0,0.02496,0.03768,0.02787,0.01364,0.0,4.07931,6.41112,4.60918,2.15413,0.0,2.29799,3.12496,1.55916,-0.02841
person-sport,train,0.0,0.03587,0.07441,0.07629,0.04711,0.0,0.01996,0.03671,0.03442,0.02117,0.0,3.491,6.84652,6.28401,3.27951,0.0,2.09574,3.3962,2.33182,0.64412
person_place_thing,heldout,0.0,0.03427,0.05698,0.05427,0.04164,0.0,0.02532,0.03642,0.03069,0.02256,0.0,3.44576,5.38888,4.76352,3.40524,0.0,2.58135,3.35635,2.40534,1.46416
plural_to_singular,train,0.0,0.08726,0.1217,0.11616,0.09445,0.0,0.05166,0.06845,0.06283,0.05045,0.0,9.2354,12.48401,11.38943,8.89239,0.0,5.8134,7.27719,6.13917,4.52443
pos_label,heldout,0.0,0.03047,0.05907,0.06609,0.04779,0.0,0.02199,0.03985,0.04201,0.02989,0.0,3.18892,5.8443,6.18968,4.1552,0.0,2.4903,4.06419,3.83794,2.29257
present-past,train,0.0,0.09411,0.13055,0.11374,0.09072,0.0,0.05123,0.06475,0.05462,0.04272,0.0,9.78182,13.00472,10.58535,7.98986,0.0,5.56788,6.424,4.59051,3.02859
prev_number_digits,train,0.0,0.08776,0.16361,0.18869,0.14388,0.0,0.0501,0.07449,0.07215,0.05313,0.0,8.33717,15.6076,17.89355,13.00945,0.0,4.89597,7.349,7.00424,4.30622
product-company,train,0.0,0.02137,0.04371,0.05518,0.04983,0.0,0.00679,0.01335,0.01438,0.01135,0.0,2.04718,3.8954,4.6632,4.06089,0.0,0.7015,1.07306,0.87751,0.48464
sentiment,train,0.0,0.04243,0.09218,0.10169,0.06245,0.0,0.02476,0.0516,0.05203,0.03288,0.0,4.57578,9.64371,10.00661,5.4213,0.0,3.04229,5.93914,5.40421,2.63515
singular-plural,train,0.0,0.08398,0.13464,0.13879,0.10972,0.0,0.05249,0.06776,0.0617,0.04879,0.0,8.93339,13.72789,13.55133,10.32962,0.0,6.07819,7.20226,5.87865,4.15189
singular_or_plural,train,0.0,0.03976,0.06191,0.05353,0.0332,0.0,0.02691,0.04101,0.03593,0.02437,0.0,4.13913,6.14934,4.91462,2.69261,0.0,2.94468,4.08467,3.03628,1.56904
smaller_of_pair,heldout,0.0,0.10022,0.14025,0.12973,0.08879,0.0,0.05652,0.0711,0.06126,0.04212,0.0,9.61229,13.01451,11.52522,7.4515,0.0,5.85544,6.91882,5.45064,3.24215
spanish-english,heldout,0.0,0.05682,0.08748,0.0945,0.08945,0.0,0.02981,0.04338,0.04074,0.0319,0.0,6.0799,9.16869,9.66602,9.05338,0.0,3.48226,4.90199,4.4745,3.50703
spanish_noun_gender,train,0.0,0.04299,0.06993,0.05484,0.02763,0.0,0.03021,0.04312,0.0339,0.02102,0.0,4.44843,6.82079,4.83919,2.08985,0.0,3.39381,4.3035,2.65229,1.14283
starts_with_vowel,train,0.0,0.03253,0.05447,0.05391,0.03621,0.0,0.02462,0.03608,0.03162,0.02026,0.0,3.23277,5.09667,4.64599,2.74774,0.0,2.47779,3.24974,2.33368,0.98273
third_person_to_base,train,0.0,0.08922,0.12356,0.11679,0.09281,0.0,0.05358,0.071,0.06616,0.05347,0.0,9.41851,12.75314,11.5471,8.77272,0.0,5.95874,7.55528,6.47634,4.75997
titlecase_phrase,train,0.0,0.06163,0.07682,0.0532,0.04195,0.0,0.04156,0.04917,0.0319,0.02266,0.0,6.18572,7.1797,4.51613,3.40468,0.0,4.48005,4.50783,2.19245,1.21951
uppercase_word,heldout,0.0,0.07917,0.10652,0.09384,0.07521,0.0,0.04628,0.0583,0.04996,0.03906,0.0,8.10291,10.49883,8.69735,6.67863,0.0,5.10847,5.86244,4.24885,2.85584
us-city-state,train,0.0,0.04625,0.08926,0.09265,0.07705,0.0,0.01452,0.02375,0.01928,0.01238,0.0,4.27568,7.75359,7.56578,6.08052,0.0,1.34288,1.61018,0.63966,-0.0964
verb_tense_label,train,0.0,0.03219,0.05434,0.05164,0.03717,0.0,0.0194,0.03202,0.02857,0.0188,0.0,3.2459,5.14733,4.50103,2.96596,0.0,2.02934,2.92684,2.10991,0.98078
verb_to_third_person,train,0.0,0.08964,0.13484,0.13113,0.10475,0.0,0.05073,0.06824,0.06421,0.05208,0.0,9.46537,13.84285,12.89626,9.90111,0.0,5.86672,7.39061,6.26372,4.54676
word_polarity,heldout,0.0,0.04223,0.07415,0.07067,0.04849,0.0,0.02934,0.04368,0.03895,0.02735,0.0,4.24373,7.05298,6.21683,3.95767,0.0,3.06197,4.0863,3.00237,1.68855
