icl_example_index,token_role,layer,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
6,pre_label_token,14,4096,4096,3162277.6601683795,0.19793300330638885,False,3400,1190,0.19738851487636566,0.2161295434006122,808.5033569335938,885.2666163340336
6,pre_label_token,15,4096,4096,3162277.6601683795,0.19792835414409637,False,3400,1190,0.1973814070224762,0.21610587144098362,808.4742431640625,885.169669117647
6,pre_label_token,16,4096,4096,3162277.6601683795,0.1979335993528366,False,3400,1190,0.1973862498998642,0.21612276349748885,808.4940795898438,885.2388458508403
6,pre_label_token,17,4096,4096,3162277.6601683795,0.19793573021888733,False,3400,1190,0.19737553596496582,0.2162879959875796,808.4502563476562,885.915618434874
6,pre_label_token,18,4096,4096,3162277.6601683795,0.19793541729450226,False,3400,1190,0.19737249612808228,0.21632593940286077,808.4376831054688,886.0710149684874
6,pre_label_token,19,4096,4096,3162277.6601683795,0.19793716073036194,False,3400,1190,0.19736923277378082,0.2163315909249442,808.4243774414062,886.0942095588235
6,pre_label_token,20,4096,4096,3162277.6601683795,0.19793011248111725,False,3400,1190,0.197352796792984,0.21643617293413947,808.3570556640625,886.522524947479
6,pre_label_token,21,4096,4096,3162277.6601683795,0.19793567061424255,False,3400,1190,0.1973564177751541,0.21649941997367794,808.3718872070312,886.781630777311
6,pre_label_token,22,4096,4096,3162277.6601683795,0.19793589413166046,False,3400,1190,0.197354257106781,0.21654361917191192,808.363037109375,886.9627100840336
6,pre_label_token,23,4096,4096,3162277.6601683795,0.19793935120105743,False,3400,1190,0.19735687971115112,0.21659345546690356,808.3737182617188,887.1668067226891
6,pre_label_token,24,4096,4096,3162277.6601683795,0.19793932139873505,False,3400,1190,0.1973554491996765,0.2166187366517652,808.367919921875,887.2703387605042
6,pre_label_token,25,4096,4096,10000000.0,0.19794254004955292,False,3400,1190,0.19767089188098907,0.21694199377749146,809.6599731445312,888.5944196428571
6,pre_label_token,26,4096,4096,3162277.6601683795,0.19793957471847534,False,3400,1190,0.19735479354858398,0.21662648305171678,808.365234375,887.3020417542017
6,pre_label_token,27,4096,4096,3162277.6601683795,0.19794005155563354,False,3400,1190,0.19735075533390045,0.2166235066261612,808.3486938476562,887.2899225315126
6,pre_label_token,28,4096,4096,3162277.6601683795,0.19793803989887238,False,3400,1190,0.19734475016593933,0.21663139888218472,808.3240966796875,887.3222229516807
6,first_label_token,0,4096,4096,1000000.0,0.19792935252189636,False,3400,1190,0.19643543660640717,0.21685540335518974,804.5994262695312,888.239705882353
6,first_label_token,1,4096,4096,3162277.6601683795,0.19793550670146942,False,3400,1190,0.19735181331634521,0.21688760388799075,808.35302734375,888.371612394958
6,first_label_token,2,4096,4096,3162277.6601683795,0.19793298840522766,False,3400,1190,0.19734765589237213,0.21682462451838647,808.3359985351562,888.1136751575631
6,first_label_token,3,4096,4096,3162277.6601683795,0.1979360729455948,False,3400,1190,0.19735004007816315,0.21681457808037766,808.3457641601562,888.072531512605
6,first_label_token,4,4096,4096,3162277.6601683795,0.19793550670146942,False,3400,1190,0.19735145568847656,0.2167553156363864,808.3515625,887.8297859768908
6,first_label_token,5,4096,4096,1000000.0,0.19792239367961884,False,3400,1190,0.19646787643432617,0.21578088968741793,804.7322998046875,883.8385635504202
6,first_label_token,6,4096,4096,3162277.6601683795,0.19793854653835297,False,3400,1190,0.19735731184482574,0.21657203225528493,808.3755493164062,887.079037552521
6,first_label_token,7,4096,4096,3162277.6601683795,0.19794009625911713,False,3400,1190,0.19736355543136597,0.21645070564847033,808.401123046875,886.5821165966387
6,first_label_token,8,4096,4096,3162277.6601683795,0.19793523848056793,False,3400,1190,0.19736012816429138,0.21642009670994863,808.3870849609375,886.4567161239496
6,first_label_token,9,4096,4096,1000000.0,0.19792866706848145,False,3400,1190,0.1965259462594986,0.2154605897534795,804.9702758789062,882.526555934874
6,first_label_token,10,4096,4096,1000000.0,0.19792835414409637,False,3400,1190,0.1965322196483612,0.21552491869245258,804.9959716796875,882.7900603991596
6,first_label_token,11,4096,4096,3162277.6601683795,0.19793161749839783,False,3400,1190,0.19735929369926453,0.21647783968628956,808.3836669921875,886.6932182247899
6,first_label_token,12,4096,4096,3162277.6601683795,0.1979319453239441,False,3400,1190,0.19735583662986755,0.21651197641837497,808.3695068359375,886.833068539916
6,first_label_token,13,4096,4096,1000000.0,0.19791974127292633,False,3400,1190,0.19650202989578247,0.2157008804193064,804.872314453125,883.510806197479
6,first_label_token,14,4096,4096,1000000.0,0.1979176551103592,False,3400,1190,0.19648420810699463,0.21578043128262048,804.7992553710938,883.8366530987395
6,first_label_token,15,4096,4096,1000000.0,0.1979101449251175,False,3400,1190,0.19647561013698578,0.21578874507871995,804.7640380859375,883.8707261029411
6,first_label_token,16,4096,4096,1000000.0,0.19791282713413239,False,3400,1190,0.19647711515426636,0.2158361322739545,804.770263671875,884.0647977941177
