family,style,k,n,mean,ci,median,pos,top1
hex_constants,alt,2,200,2.2762,0.4692,2.5,0.81,0.79
hex_constants,alt,3,200,2.9528,0.4339,3.125,0.87,0.865
hex_constants,alt,4,200,3.7281,0.346,3.625,0.95,0.925
float_literals,nat,0,200,7.5403,0.569,7.25,0.99,0.635
float_literals,nat,1,200,7.5975,0.3524,7.4375,0.995,0.735
float_literals,nat,2,200,7.7252,0.3754,7.375,0.99,0.825
float_literals,nat,3,200,8.0761,0.3507,7.8125,1.0,0.835
float_literals,nat,4,200,7.9922,0.3415,7.75,0.995,0.85
float_literals,alt,0,200,-7.5409,0.5689,-7.25,0.01,0.0
float_literals,alt,1,200,-1.6509,0.5194,-2.125,0.27,0.235
float_literals,alt,2,200,-0.7366,0.5188,-1.0,0.385,0.3
float_literals,alt,3,200,-0.0694,0.4921,-0.25,0.45,0.38
float_literals,alt,4,200,0.2334,0.4457,-0.125,0.475,0.385
sql_bool_case,nat,0,200,-0.8535,0.1897,-0.75,0.09,0.08
sql_bool_case,nat,1,200,7.1822,0.4461,8.25,0.99,0.885
sql_bool_case,nat,2,200,7.8447,0.3551,8.5625,0.995,0.725
sql_bool_case,nat,3,200,7.0,0.4141,7.5,1.0,0.86
sql_bool_case,nat,4,200,6.4823,0.4545,6.9063,0.97,0.745
sql_bool_case,alt,0,200,0.8535,0.1897,0.75,0.88,0.71
sql_bool_case,alt,1,200,7.1791,0.3986,8.25,0.995,0.875
sql_bool_case,alt,2,200,7.8008,0.3681,8.5938,0.985,0.72
sql_bool_case,alt,3,200,7.3584,0.3424,7.7813,1.0,0.845
sql_bool_case,alt,4,200,7.1402,0.394,7.625,0.985,0.765
py2_print,nat,0,200,4.6723,0.1174,4.75,1.0,0.22
py2_print,nat,1,200,8.9281,0.346,8.4375,1.0,0.545
py2_print,nat,2,200,12.102,0.4015,11.375,1.0,0.805
py2_print,nat,3,200,13.6673,0.3832,13.8125,1.0,0.925
py2_print,nat,4,200,14.7132,0.4308,15.0,1.0,0.895
py2_print,alt,0,200,-4.6727,0.1174,-4.75,0.0,0.0
py2_print,alt,1,200,6.3766,0.3483,6.2187,1.0,0.985
