layer,alpha,mean_acc_all,median_acc_all,mean_acc_train,mean_acc_heldout
7,best,0.1079,0.0667,0.1025,0.129
8,0.5,0.0026,0.0,0.0022,0.0043
8,1.0,0.0202,0.0067,0.0185,0.0267
8,2.0,0.0655,0.0267,0.0628,0.0762
8,4.0,0.0685,0.02,0.0605,0.1
8,best,0.0789,0.0267,0.0721,0.1057
9,0.5,0.003,0.0,0.0027,0.0043
9,1.0,0.0123,0.0067,0.0116,0.0148
9,2.0,0.0474,0.0133,0.0446,0.0586
9,4.0,0.0462,0.0133,0.0425,0.0605
9,best,0.0565,0.02,0.053,0.0705
10,0.5,0.003,0.0,0.0024,0.0052
10,1.0,0.0076,0.0,0.0074,0.0086
10,2.0,0.0271,0.0133,0.0258,0.0324
10,4.0,0.0301,0.0067,0.0273,0.041
10,best,0.0363,0.0133,0.0341,0.0452
11,0.5,0.003,0.0,0.0021,0.0067
11,1.0,0.006,0.0,0.0055,0.0081
11,2.0,0.0171,0.0,0.0161,0.0209
11,4.0,0.0225,0.0,0.0193,0.0352
11,best,0.0253,0.0067,0.0224,0.0367
12,0.5,0.0016,0.0,0.0016,0.0019
12,1.0,0.0026,0.0,0.0026,0.0029
12,2.0,0.0032,0.0,0.0028,0.0048
12,4.0,0.0084,0.0,0.0068,0.0148
12,best,0.0095,0.0067,0.0081,0.0148
13,0.5,0.0008,0.0,0.0005,0.0019
13,1.0,0.0018,0.0,0.0013,0.0038
13,2.0,0.0031,0.0,0.0029,0.0038
13,4.0,0.0063,0.0,0.0056,0.0091
13,best,0.0078,0.0067,0.0073,0.01
14,0.5,0.0018,0.0,0.0018,0.0019
14,1.0,0.0017,0.0,0.0016,0.0024
14,2.0,0.002,0.0,0.0018,0.0029
14,4.0,0.0051,0.0,0.0046,0.0071
14,best,0.0067,0.0,0.0061,0.0091
15,0.5,0.001,0.0,0.0007,0.0019
15,1.0,0.0011,0.0,0.001,0.0014
15,2.0,0.0015,0.0,0.001,0.0033
15,4.0,0.0031,0.0,0.0029,0.0038
15,best,0.0042,0.0,0.0035,0.0067
16,0.5,0.0014,0.0,0.0013,0.0019
16,1.0,0.0013,0.0,0.001,0.0024
16,2.0,0.0016,0.0,0.0016,0.0019
16,4.0,0.0018,0.0,0.0019,0.0014
16,best,0.0039,0.0,0.0039,0.0038
17,0.5,0.0016,0.0,0.0016,0.0019
17,1.0,0.0014,0.0,0.0009,0.0033
17,2.0,0.0012,0.0,0.0009,0.0024
17,4.0,0.0014,0.0,0.0012,0.0019
17,best,0.0036,0.0,0.0032,0.0052
18,0.5,0.0011,0.0,0.0011,0.0009
18,1.0,0.0012,0.0,0.001,0.0019
18,2.0,0.0013,0.0,0.0013,0.0009
18,4.0,0.0013,0.0,0.0011,0.0019
18,best,0.0031,0.0,0.0029,0.0038
19,0.5,0.0013,0.0,0.0012,0.0014
19,1.0,0.0011,0.0,0.0009,0.0019
19,2.0,0.0009,0.0,0.001,0.0005
19,4.0,0.0011,0.0,0.0009,0.0019
19,best,0.0032,0.0,0.003,0.0038
20,0.5,0.0012,0.0,0.0007,0.0029
20,1.0,0.0013,0.0,0.0012,0.0014
20,2.0,0.0016,0.0,0.0017,0.0014
20,4.0,0.0014,0.0,0.0012,0.0019
20,best,0.0036,0.0,0.0033,0.0048
21,0.5,0.0009,0.0,0.0007,0.0014
21,1.0,0.001,0.0,0.001,0.001
21,2.0,0.0013,0.0,0.0012,0.0014
21,4.0,0.0014,0.0,0.0015,0.001
21,best,0.0032,0.0,0.0032,0.0033
22,0.5,0.0011,0.0,0.0012,0.0005
22,1.0,0.001,0.0,0.0009,0.0014
22,2.0,0.0009,0.0,0.0006,0.0019
22,4.0,0.0013,0.0,0.0013,0.001
22,best,0.0024,0.0,0.0023,0.0029
23,0.5,0.0014,0.0,0.001,0.0029
23,1.0,0.0009,0.0,0.0006,0.0019
23,2.0,0.0012,0.0,0.0008,0.0024
23,4.0,0.0015,0.0,0.0013,0.0019
23,best,0.0032,0.0,0.0028,0.0048
24,0.5,0.0012,0.0,0.0011,0.0014
24,1.0,0.0015,0.0,0.0012,0.0024
24,2.0,0.001,0.0,0.0009,0.0014
24,4.0,0.0015,0.0,0.0015,0.0014
24,best,0.003,0.0,0.0028,0.0038
25,0.5,0.0013,0.0,0.0012,0.0014
25,1.0,0.0005,0.0,0.0006,0.0
25,2.0,0.0009,0.0,0.0007,0.0014
25,4.0,0.0014,0.0,0.0013,0.0014
25,best,0.0026,0.0,0.0027,0.0024
26,0.5,0.0009,0.0,0.0009,0.001
26,1.0,0.0012,0.0,0.0012,0.001
26,2.0,0.0014,0.0,0.0012,0.0019
26,4.0,0.001,0.0,0.0007,0.0019
26,best,0.0028,0.0,0.0027,0.0033
27,0.5,0.001,0.0,0.001,0.0009
27,1.0,0.0012,0.0,0.0012,0.001
27,2.0,0.0012,0.0,0.0012,0.001
27,4.0,0.0009,0.0,0.0009,0.001
27,best,0.0026,0.0,0.0027,0.0024
