property,direction,layer,alpha,strict,unscorable,incoherent,n
ordinal_words,alt,24,32.0,0.561,0.439,0.05,60
ordinal_words,nat,2,0.5,0.0,0.814,0.017,60
ordinal_words,nat,4,0.5,0.0,0.917,0.0,60
ordinal_words,nat,6,0.5,0.0,0.883,0.0,60
ordinal_words,nat,8,1.0,0.0,0.847,0.017,60
ordinal_words,nat,10,0.5,0.0,0.833,0.0,60
ordinal_words,nat,12,0.5,0.0,0.9,0.0,60
ordinal_words,nat,16,16.0,0.051,0.864,0.017,60
ordinal_words,nat,20,16.0,0.0,0.949,0.017,60
ordinal_words,nat,24,2.0,0.0,0.85,0.0,60
oxford_comma,alt,2,0.5,0.267,0.4,0.0,60
oxford_comma,alt,4,1.0,0.167,0.4,0.0,60
oxford_comma,alt,6,0.5,0.133,0.4,0.0,60
oxford_comma,alt,8,2.0,0.167,0.367,0.0,60
oxford_comma,alt,10,16.0,0.667,0.267,0.0,60
oxford_comma,alt,12,32.0,0.61,0.322,0.017,60
oxford_comma,alt,16,32.0,1.0,0.0,0.0,60
oxford_comma,alt,20,16.0,1.0,0.0,0.0,60
oxford_comma,alt,24,8.0,0.983,0.017,0.0,60
oxford_comma,nat,2,1.0,0.417,0.383,0.0,60
oxford_comma,nat,4,4.0,0.367,0.433,0.0,60
oxford_comma,nat,6,32.0,0.433,0.383,0.0,60
oxford_comma,nat,8,0.5,0.467,0.333,0.0,60
oxford_comma,nat,10,16.0,0.467,0.517,0.0,60
oxford_comma,nat,12,8.0,0.583,0.383,0.0,60
oxford_comma,nat,16,0.5,0.483,0.5,0.0,60
oxford_comma,nat,20,1.0,0.533,0.45,0.0,60
oxford_comma,nat,24,4.0,0.492,0.508,0.017,60
percent_sign,alt,2,32.0,0.271,0.373,0.017,60
percent_sign,alt,4,16.0,0.333,0.3,0.0,60
percent_sign,alt,6,8.0,0.5,0.467,0.0,60
percent_sign,alt,8,4.0,0.683,0.317,0.0,60
percent_sign,alt,10,32.0,0.672,0.328,0.033,60
percent_sign,alt,12,2.0,0.55,0.4,0.0,60
percent_sign,alt,16,32.0,0.847,0.153,0.017,60
percent_sign,alt,20,16.0,1.0,0.0,0.0,60
percent_sign,alt,24,8.0,0.95,0.05,0.0,60
percent_sign,nat,2,0.5,0.542,0.305,0.017,60
percent_sign,nat,4,0.5,0.552,0.328,0.033,60
percent_sign,nat,6,8.0,0.667,0.333,0.0,60
percent_sign,nat,8,32.0,0.966,0.034,0.033,60
percent_sign,nat,10,32.0,0.933,0.067,0.0,60
percent_sign,nat,12,32.0,0.967,0.033,0.0,60
percent_sign,nat,16,32.0,1.0,0.0,0.0,60
percent_sign,nat,20,16.0,0.983,0.017,0.033,60
percent_sign,nat,24,16.0,1.0,0.0,0.0,60
quote_punct,alt,2,0.5,0.017,0.155,0.033,60
quote_punct,alt,4,0.5,0.018,0.071,0.067,60
quote_punct,alt,6,2.0,0.017,0.086,0.033,60
quote_punct,alt,8,0.5,0.018,0.123,0.05,60
quote_punct,alt,10,32.0,0.458,0.119,0.017,60
quote_punct,alt,12,32.0,0.404,0.158,0.05,60
quote_punct,alt,16,32.0,0.931,0.034,0.033,60
quote_punct,alt,20,16.0,1.0,0.0,0.1,60
quote_punct,alt,24,16.0,1.0,0.0,0.183,60
quote_punct,nat,2,4.0,0.873,0.109,0.083,60
quote_punct,nat,4,16.0,0.877,0.053,0.05,60
quote_punct,nat,6,16.0,0.898,0.085,0.017,60
quote_punct,nat,8,0.5,0.86,0.123,0.05,60
quote_punct,nat,10,8.0,0.912,0.088,0.05,60
quote_punct,nat,12,32.0,0.821,0.125,0.067,60
quote_punct,nat,16,1.0,0.862,0.138,0.033,60
quote_punct,nat,20,2.0,0.966,0.034,0.017,60
quote_punct,nat,24,8.0,0.917,0.067,0.0,60
sentence_caps,alt,2,0.5,0.0,0.0,0.017,60
sentence_caps,alt,4,0.5,0.0,0.017,0.0,60
sentence_caps,alt,6,16.0,0.827,0.135,0.133,60
sentence_caps,alt,8,8.0,0.732,0.232,0.067,60
sentence_caps,alt,10,32.0,0.981,0.019,0.1,60
sentence_caps,alt,12,16.0,0.92,0.08,0.167,60
sentence_caps,alt,16,8.0,0.891,0.091,0.083,60
sentence_caps,alt,20,16.0,1.0,0.0,0.15,60
sentence_caps,alt,24,8.0,0.909,0.036,0.083,60
sentence_caps,nat,2,32.0,0.898,0.102,0.017,60
sentence_caps,nat,4,4.0,0.915,0.085,0.017,60
sentence_caps,nat,6,8.0,0.983,0.017,0.017,60
sentence_caps,nat,8,4.0,0.983,0.017,0.0,60
sentence_caps,nat,10,4.0,0.967,0.033,0.0,60
sentence_caps,nat,12,16.0,0.966,0.017,0.033,60
sentence_caps,nat,16,16.0,0.983,0.017,0.033,60
sentence_caps,nat,20,4.0,1.0,0.0,0.0,60
sentence_caps,nat,24,2.0,0.95,0.05,0.0,60
us_uk,alt,2,1.0,0.0,0.8,0.0,60
us_uk,alt,4,0.5,0.0,0.783,0.0,60
us_uk,alt,6,0.5,0.017,0.831,0.017,60
us_uk,alt,8,0.5,0.017,0.864,0.017,60
us_uk,alt,10,8.0,0.0,0.8,0.0,60
us_uk,alt,12,0.5,0.034,0.78,0.017,60
us_uk,alt,16,8.0,0.068,0.847,0.017,60
us_uk,alt,20,8.0,0.169,0.78,0.017,60
us_uk,alt,24,32.0,0.483,0.517,0.0,60
us_uk,nat,2,1.0,0.2,0.8,0.0,60
us_uk,nat,4,2.0,0.186,0.797,0.017,60
us_uk,nat,6,4.0,0.203,0.78,0.017,60
us_uk,nat,8,0.5,0.121,0.862,0.033,60
us_uk,nat,10,1.0,0.203,0.797,0.017,60
us_uk,nat,12,8.0,0.19,0.793,0.033,60
us_uk,nat,16,16.0,0.169,0.814,0.017,60
us_uk,nat,20,0.5,0.207,0.793,0.033,60
us_uk,nat,24,32.0,0.845,0.155,0.033,60
