icl_example_index,token_role,layer,best_alpha,rank90,energy_at_k,sv1,sv_k,gate_rel_fv,gate_rel_pp,selfcons_max_rel,trunc_resid_mean,trunc_resid_max,preimage_norm_mean,n_rows
1,pre_label_token,10,100000.0,12,0.9141771925000739,1.0364259481430054,0.31083014607429504,0.0,0.0,9.210471603182668e-07,0.6299227476119995,0.9417368173599243,62.39904022216797,4590
1,pre_label_token,11,100000.0,12,0.9128707574399542,1.0490565299987793,0.3156488537788391,0.0,0.0,1.000349470814399e-06,0.6299740076065063,0.9421401023864746,70.82563018798828,4590
1,pre_label_token,12,100000.0,12,0.9125067637388699,1.063848614692688,0.3186101019382477,0.0,0.0,9.696278766568867e-07,0.6299760341644287,0.9419164061546326,73.45474243164062,4590
1,pre_label_token,13,100000.0,12,0.9109083171783646,1.0921214818954468,0.3282768726348877,0.0,0.0,8.774262028055091e-07,0.6298802495002747,0.941716194152832,79.98869323730469,4590
1,pre_label_token,14,31622.776601683792,52,0.9008399301809118,1.9107604026794434,0.126999169588089,0.0,0.0,3.7370550671766978e-06,0.5067986845970154,0.8517476320266724,106.0861587524414,4590
1,pre_label_token,15,31622.776601683792,53,0.9008108358154424,1.920299768447876,0.12701305747032166,0.0,0.0,3.5368241242395015e-06,0.5043074488639832,0.8486708402633667,113.9398193359375,4590
1,pre_label_token,16,31622.776601683792,52,0.9002241623747037,1.9128204584121704,0.12757937610149384,0.0,0.0,3.0321443773573264e-06,0.5060130953788757,0.8502382040023804,120.7081069946289,4590
1,pre_label_token,17,31622.776601683792,53,0.9009124599832976,1.9345399141311646,0.12750865519046783,0.0,0.0,2.9069767606415553e-06,0.5042542815208435,0.8527622818946838,137.3091583251953,4590
1,pre_label_token,18,31622.776601683792,52,0.9003320538607653,1.9303066730499268,0.12823991477489471,0.0,0.0,3.0231669825298013e-06,0.5059526562690735,0.8515788316726685,153.0081787109375,4590
1,pre_label_token,19,31622.776601683792,53,0.9006285720291888,1.9529078006744385,0.13006159663200378,0.0,0.0,3.4008596685453085e-06,0.5042038559913635,0.8509185910224915,174.63461303710938,4590
1,pre_label_token,20,31622.776601683792,53,0.9001429927588687,1.9589742422103882,0.13160061836242676,0.0,0.0,2.951112264781841e-06,0.5032867193222046,0.8513631820678711,208.3701934814453,4590
1,pre_label_token,21,31622.776601683792,54,0.9008437657921456,1.9417930841445923,0.1299426108598709,0.0,0.0,2.862352630472742e-06,0.5014402866363525,0.8493853211402893,239.19107055664062,4590
1,pre_label_token,22,31622.776601683792,53,0.9004453947153054,1.9487804174423218,0.13106313347816467,0.0,0.0,2.5897513751260703e-06,0.5029970407485962,0.8531413674354553,260.994384765625,4590
1,pre_label_token,23,31622.776601683792,54,0.9007764680623997,1.952473521232605,0.1309521347284317,0.0,0.0,3.080758233409142e-06,0.5009251832962036,0.8551333546638489,276.4063415527344,4590
1,pre_label_token,24,31622.776601683792,55,0.9007607635494546,1.9641139507293701,0.13046874105930328,0.0,0.0,2.715438313316554e-06,0.49875909090042114,0.8525665998458862,291.487548828125,4590
1,pre_label_token,25,31622.776601683792,55,0.900513465692006,1.9678833484649658,0.13025937974452972,0.0,0.0,3.3447799978603143e-06,0.49866101145744324,0.8523662090301514,310.79742431640625,4590
1,pre_label_token,26,31622.776601683792,55,0.9001389262113964,1.9681516885757446,0.13013485074043274,0.0,0.0,2.311727030246402e-06,0.4986187219619751,0.8529075980186462,330.13836669921875,4590
1,pre_label_token,27,31622.776601683792,54,0.9002547770057286,1.963261604309082,0.1313749998807907,0.0,0.0,2.4006233161344426e-06,0.5002049207687378,0.8540961146354675,380.7705993652344,4590
1,pre_label_token,28,31622.776601683792,53,0.9005631375263808,1.9542204141616821,0.13170050084590912,0.0,0.0,2.3607776711287443e-06,0.5023832321166992,0.8548052310943604,520.621337890625,4590
1,first_label_token,0,100000.0,12,0.9117564167515484,1.6301137208938599,0.36530494689941406,0.0,0.0,1.1001694701917586e-06,0.629149317741394,0.9379201531410217,1.9037727117538452,4590
1,first_label_token,1,31622.776601683792,35,0.900414950508639,2.3039371967315674,0.1743384301662445,0.0,0.0,1.655631763242127e-06,0.5444270968437195,0.88579261302948,42.92445755004883,4590
1,first_label_token,2,31622.776601683792,41,0.9008939087328193,2.0852043628692627,0.16065481305122375,0.0,0.0,2.0358436358947074e-06,0.531964898109436,0.8798412680625916,49.92213439941406,4590
1,first_label_token,3,31622.776601683792,44,0.9005726750824862,2.0249547958374023,0.1542765200138092,0.0,0.0,3.098741444773623e-06,0.5262173414230347,0.8788138628005981,52.04972839355469,4590
1,first_label_token,4,31622.776601683792,48,0.9005181061219253,1.9480339288711548,0.15044863522052765,0.0,0.0,2.311597199877724e-06,0.518216073513031,0.8725346326828003,58.576961517333984,4590
1,first_label_token,5,31622.776601683792,52,0.9003386097612268,1.9145756959915161,0.14447419345378876,0.0,0.0,2.4082976324280025e-06,0.509071409702301,0.8552072048187256,65.64486694335938,4590
1,first_label_token,6,31622.776601683792,54,0.9007205208351102,1.9362308979034424,0.1406162828207016,0.0,0.0,2.4193632270907983e-06,0.5057802200317383,0.8462252616882324,71.6693344116211,4590
1,first_label_token,7,31622.776601683792,58,0.9003095932412344,1.895331859588623,0.1358613520860672,0.0,0.0,2.5886904495564522e-06,0.49784326553344727,0.8417142629623413,80.78138732910156,4590
1,first_label_token,8,31622.776601683792,60,0.9000767280411809,1.875351071357727,0.1334202140569687,0.0,0.0,2.6479644930077484e-06,0.4944020211696625,0.8403905630111694,88.69824981689453,4590
1,first_label_token,9,31622.776601683792,60,0.900276175721195,1.8938994407653809,0.13265959918498993,0.0,0.0,2.621589374030009e-06,0.4945177435874939,0.8394622802734375,96.48269653320312,4590
1,first_label_token,10,31622.776601683792,60,0.9001095524917161,1.880375623703003,0.13247482478618622,0.0,0.0,2.7853509436681634e-06,0.49476125836372375,0.8428636789321899,104.82522583007812,4590
1,first_label_token,11,31622.776601683792,61,0.900435752620129,1.8743336200714111,0.13185158371925354,0.0,0.0,3.3105882266681874e-06,0.4930133521556854,0.8406519293785095,111.87171936035156,4590
1,first_label_token,12,31622.776601683792,60,0.9007095262096965,1.9072339534759521,0.13275212049484253,0.0,0.0,2.8887338885397185e-06,0.4941804111003876,0.8423126339912415,118.38018798828125,4590
1,first_label_token,13,31622.776601683792,60,0.9005664702210812,1.9191901683807373,0.1323767602443695,0.0,0.0,3.391868176549906e-06,0.493910551071167,0.8448039293289185,125.99605560302734,4590
1,first_label_token,14,31622.776601683792,59,0.9002716108027761,1.9362566471099854,0.13307328522205353,0.0,0.0,2.598225364636164e-06,0.4954887330532074,0.8457412719726562,134.85032653808594,4590
1,first_label_token,15,31622.776601683792,58,0.9002465378385108,1.9539703130722046,0.1341830939054489,0.0,0.0,2.61455170402769e-06,0.49703872203826904,0.8453548550605774,141.16493225097656,4590
1,first_label_token,16,31622.776601683792,58,0.9007354108343747,1.9416353702545166,0.13468144834041595,0.0,0.0,3.0701569357916014e-06,0.4965763986110687,0.8450431823730469,151.7088623046875,4590
