family,target,context,layer,alpha,n,success,lo,hi,target_rate,judge_ok,unscorable,margin,n_evidence,baseline,ceiling
docstring_quotes,nat,alt,12,1.0,49,0.8367,0.7096,0.9149,0.898,0.9388,0.102,7.6837,6.0816,0.0,0.835
docstring_quotes,nat,alt,12,2.0,49,0.9184,0.8081,0.9678,0.9388,0.9796,0.0612,9.926,6.0816,0.0,0.835
docstring_quotes,nat,alt,12,4.0,49,0.8367,0.7096,0.9149,0.8367,1.0,0.1633,9.7258,6.0816,0.0,0.835
docstring_quotes,nat,alt,14,0.5,49,0.2857,0.1785,0.4241,0.2857,1.0,0.1224,-0.9082,6.0816,0.0,0.835
docstring_quotes,nat,alt,14,1.0,49,0.898,0.7824,0.9556,0.9184,0.9796,0.0816,7.5523,6.0816,0.0,0.835
docstring_quotes,nat,alt,14,2.0,49,0.8367,0.7096,0.9149,0.8776,0.9592,0.1224,9.8431,6.0816,0.0,0.835
docstring_quotes,nat,alt,14,4.0,49,0.8571,0.7333,0.929,0.8776,0.9796,0.1224,9.4273,6.0816,0.0,0.835
docstring_quotes,nat,alt,16,0.5,49,0.3265,0.2121,0.4662,0.3673,0.9388,0.1429,-0.8801,6.0816,0.0,0.835
docstring_quotes,nat,alt,16,1.0,49,0.8367,0.7096,0.9149,0.8367,0.9796,0.1633,7.4719,6.0816,0.0,0.835
docstring_quotes,nat,alt,16,2.0,49,0.898,0.7824,0.9556,0.898,1.0,0.102,9.7883,6.0816,0.0,0.835
docstring_quotes,nat,alt,16,4.0,49,0.8571,0.7333,0.929,0.8571,0.9796,0.1429,9.2551,6.0816,0.0,0.835
docstring_quotes,nat,alt,18,0.5,49,0.3673,0.2466,0.5073,0.3878,0.9796,0.0816,-0.8827,6.0816,0.0,0.835
docstring_quotes,nat,alt,18,1.0,49,0.898,0.7824,0.9556,0.898,1.0,0.102,7.463,6.0816,0.0,0.835
docstring_quotes,nat,alt,18,2.0,49,0.898,0.7824,0.9556,0.898,0.9796,0.102,9.7972,6.0816,0.0,0.835
docstring_quotes,nat,alt,18,4.0,49,0.7959,0.6636,0.8852,0.8163,0.9796,0.1837,9.5816,6.0816,0.0,0.835
docstring_quotes,nat,alt,20,0.5,49,0.2653,0.1621,0.4026,0.2653,0.9592,0.0816,-0.926,6.0816,0.0,0.835
docstring_quotes,nat,alt,20,1.0,49,0.8367,0.7096,0.9149,0.8571,0.9796,0.1429,7.4388,6.0816,0.0,0.835
docstring_quotes,nat,alt,20,2.0,49,0.8367,0.7096,0.9149,0.8571,0.9796,0.1429,9.8202,6.0816,0.0,0.835
docstring_quotes,nat,alt,20,4.0,49,0.7755,0.6412,0.8698,0.8163,0.9592,0.1837,9.8508,6.0816,0.0,0.835
docstring_quotes,nat,alt,22,0.5,49,0.1429,0.071,0.2667,0.1429,1.0,0.1633,-1.0842,6.0816,0.0,0.835
docstring_quotes,nat,alt,22,1.0,49,0.9592,0.8629,0.9887,0.9592,1.0,0.0204,6.8304,6.0816,0.0,0.835
docstring_quotes,nat,alt,22,2.0,49,0.8571,0.7333,0.929,0.8776,0.9796,0.1224,10.1964,6.0816,0.0,0.835
docstring_quotes,nat,alt,22,4.0,49,0.7959,0.6636,0.8852,0.7959,0.9796,0.2041,10.6339,6.0816,0.0,0.835
docstring_quotes,nat,alt,24,0.5,49,0.0612,0.021,0.1652,0.0612,0.9796,0.2449,-2.9898,6.0816,0.0,0.835
docstring_quotes,nat,alt,24,1.0,49,0.6939,0.5547,0.8048,0.7347,0.9592,0.0816,2.1492,6.0816,0.0,0.835
docstring_quotes,nat,alt,24,2.0,49,0.9388,0.8348,0.979,0.9592,0.9796,0.0408,9.4171,6.0816,0.0,0.835
docstring_quotes,nat,alt,24,4.0,49,0.7959,0.6636,0.8852,0.7959,0.9592,0.2041,10.1135,6.0816,0.0,0.835
docstring_quotes,nat,alt,26,0.5,49,0.0,0.0,0.0727,0.0,1.0,0.1429,-4.2117,6.0816,0.0,0.835
docstring_quotes,nat,alt,26,1.0,49,0.1429,0.071,0.2667,0.1429,1.0,0.1224,-1.8776,6.0816,0.0,0.835
docstring_quotes,nat,alt,26,2.0,49,0.7551,0.6191,0.854,0.7755,0.9796,0.1224,3.8865,6.0816,0.0,0.835
docstring_quotes,nat,alt,26,4.0,49,0.9184,0.8081,0.9678,0.9184,1.0,0.0816,9.5255,6.0816,0.0,0.835
docstring_quotes,alt,nat,2,0.5,49,0.0612,0.021,0.1652,0.0612,1.0,0.0816,-3.7781,5.9796,0.0,0.85
docstring_quotes,alt,nat,2,1.0,49,0.8776,0.7576,0.9427,0.8776,0.9796,0.1224,5.4566,5.9796,0.0,0.85
docstring_quotes,alt,nat,2,2.0,49,0.8776,0.7576,0.9427,0.8776,0.9796,0.1224,6.2054,5.9796,0.0,0.85
docstring_quotes,alt,nat,2,4.0,49,0.898,0.7824,0.9556,0.898,1.0,0.0816,6.5306,5.9796,0.0,0.85
docstring_quotes,alt,nat,4,0.5,49,0.1224,0.0573,0.2424,0.1224,1.0,0.0612,-2.7423,5.9796,0.0,0.85
docstring_quotes,alt,nat,4,1.0,49,0.7959,0.6636,0.8852,0.7959,1.0,0.1837,5.3469,5.9796,0.0,0.85
docstring_quotes,alt,nat,4,2.0,49,0.8163,0.6864,0.9002,0.8163,1.0,0.1429,6.2857,5.9796,0.0,0.85
docstring_quotes,alt,nat,4,4.0,49,0.898,0.7824,0.9556,0.898,1.0,0.102,6.4196,5.9796,0.0,0.85
docstring_quotes,alt,nat,6,0.5,49,0.0204,0.0036,0.1069,0.0204,1.0,0.102,-3.7219,5.9796,0.0,0.85
docstring_quotes,alt,nat,6,1.0,49,0.8776,0.7576,0.9427,0.898,0.9796,0.0612,5.1454,5.9796,0.0,0.85
docstring_quotes,alt,nat,6,2.0,49,0.9184,0.8081,0.9678,0.9184,1.0,0.0612,6.0421,5.9796,0.0,0.85
docstring_quotes,alt,nat,6,4.0,49,0.7755,0.6412,0.8698,0.7959,0.9796,0.1837,5.477,5.9796,0.0,0.85
docstring_quotes,alt,nat,8,0.5,49,0.0204,0.0036,0.1069,0.0204,0.9592,0.0816,-4.1122,5.9796,0.0,0.85
docstring_quotes,alt,nat,8,1.0,49,0.8367,0.7096,0.9149,0.8367,1.0,0.1429,4.8724,5.9796,0.0,0.85
docstring_quotes,alt,nat,8,2.0,49,0.8776,0.7576,0.9427,0.8776,1.0,0.1224,7.3202,5.9796,0.0,0.85
docstring_quotes,alt,nat,8,4.0,49,0.898,0.7824,0.9556,0.9184,0.9796,0.0612,8.3788,5.9796,0.0,0.85
docstring_quotes,alt,nat,10,0.5,49,0.0204,0.0036,0.1069,0.0204,1.0,0.0612,-4.0791,5.9796,0.0,0.85
docstring_quotes,alt,nat,10,1.0,49,0.8163,0.6864,0.9002,0.8163,1.0,0.1429,4.8673,5.9796,0.0,0.85
docstring_quotes,alt,nat,10,2.0,49,0.8571,0.7333,0.929,0.8776,0.9592,0.1224,7.3099,5.9796,0.0,0.85
docstring_quotes,alt,nat,10,4.0,49,0.8776,0.7576,0.9427,0.9184,0.9592,0.0816,8.2832,5.9796,0.0,0.85
docstring_quotes,alt,nat,12,0.5,49,0.0,0.0,0.0727,0.0,1.0,0.102,-4.2296,5.9796,0.0,0.85
docstring_quotes,alt,nat,12,1.0,49,0.898,0.7824,0.9556,0.9388,0.9592,0.0612,4.7959,5.9796,0.0,0.85
docstring_quotes,alt,nat,12,2.0,49,0.8163,0.6864,0.9002,0.8163,0.9796,0.1837,7.3852,5.9796,0.0,0.85
docstring_quotes,alt,nat,12,4.0,49,0.7959,0.6636,0.8852,0.8163,0.9796,0.1837,8.4974,5.9796,0.0,0.85
docstring_quotes,alt,nat,14,0.5,49,0.0,0.0,0.0727,0.0,0.9796,0.102,-4.2704,5.9796,0.0,0.85
docstring_quotes,alt,nat,14,1.0,49,0.8571,0.7333,0.929,0.8776,0.9796,0.102,4.7602,5.9796,0.0,0.85
docstring_quotes,alt,nat,14,2.0,49,0.8163,0.6864,0.9002,0.8367,0.9796,0.1429,7.2908,5.9796,0.0,0.85
docstring_quotes,alt,nat,14,4.0,49,0.8367,0.7096,0.9149,0.8367,1.0,0.1429,8.162,5.9796,0.0,0.85
docstring_quotes,alt,nat,16,0.5,49,0.0408,0.0113,0.1371,0.0408,1.0,0.0,-4.2781,5.9796,0.0,0.85
docstring_quotes,alt,nat,16,1.0,49,0.8776,0.7576,0.9427,0.8776,0.9592,0.1224,4.8316,5.9796,0.0,0.85
docstring_quotes,alt,nat,16,2.0,49,0.8776,0.7576,0.9427,0.898,0.9796,0.102,7.3724,5.9796,0.0,0.85
docstring_quotes,alt,nat,16,4.0,49,0.7551,0.6191,0.854,0.7959,0.9592,0.2041,8.1097,5.9796,0.0,0.85
docstring_quotes,alt,nat,18,0.5,49,0.0204,0.0036,0.1069,0.0204,0.9592,0.1224,-4.2398,5.9796,0.0,0.85
docstring_quotes,alt,nat,18,1.0,49,0.898,0.7824,0.9556,0.9388,0.9592,0.0612,4.8163,5.9796,0.0,0.85
docstring_quotes,alt,nat,18,2.0,49,0.8163,0.6864,0.9002,0.8163,0.9592,0.1837,7.3469,5.9796,0.0,0.85
docstring_quotes,alt,nat,18,4.0,49,0.8571,0.7333,0.929,0.8776,0.9388,0.1224,8.3406,5.9796,0.0,0.85
docstring_quotes,alt,nat,20,0.5,49,0.0612,0.021,0.1652,0.0612,1.0,0.0612,-4.2449,5.9796,0.0,0.85
docstring_quotes,alt,nat,20,1.0,49,0.8163,0.6864,0.9002,0.8367,0.9796,0.102,4.7602,5.9796,0.0,0.85
docstring_quotes,alt,nat,20,2.0,49,0.7959,0.6636,0.8852,0.8163,0.9592,0.1633,7.2704,5.9796,0.0,0.85
docstring_quotes,alt,nat,20,4.0,49,0.898,0.7824,0.9556,0.9184,0.9796,0.0816,8.3431,5.9796,0.0,0.85
docstring_quotes,alt,nat,22,0.5,49,0.1429,0.071,0.2667,0.1429,0.9592,0.102,-3.1046,5.9796,0.0,0.85
docstring_quotes,alt,nat,22,1.0,49,0.8776,0.7576,0.9427,0.9184,0.9592,0.0612,4.5357,5.9796,0.0,0.85
docstring_quotes,alt,nat,22,2.0,49,0.898,0.7824,0.9556,0.898,0.9796,0.102,7.6671,5.9796,0.0,0.85
docstring_quotes,alt,nat,22,4.0,49,0.7959,0.6636,0.8852,0.8163,0.9796,0.1837,8.551,5.9796,0.0,0.85
docstring_quotes,alt,nat,24,0.5,49,0.0,0.0,0.0727,0.0,1.0,0.0408,-6.551,5.9796,0.0,0.85
docstring_quotes,alt,nat,24,1.0,49,0.3265,0.2121,0.4662,0.3265,1.0,0.1224,-1.0561,5.9796,0.0,0.85
docstring_quotes,alt,nat,24,2.0,49,0.8163,0.6864,0.9002,0.8776,0.9388,0.1224,5.6633,5.9796,0.0,0.85
docstring_quotes,alt,nat,24,4.0,49,0.7755,0.6412,0.8698,0.8367,0.9388,0.1429,5.8469,5.9796,0.0,0.85
docstring_quotes,alt,nat,26,0.5,49,0.0,0.0,0.0727,0.0,1.0,0.0612,-8.2717,5.9796,0.0,0.85
docstring_quotes,alt,nat,26,1.0,49,0.0204,0.0036,0.1069,0.0204,1.0,0.102,-6.1543,5.9796,0.0,0.85
docstring_quotes,alt,nat,26,2.0,49,0.3673,0.2466,0.5073,0.3673,0.9796,0.1429,-0.852,5.9796,0.0,0.85
docstring_quotes,alt,nat,26,4.0,49,0.8571,0.7333,0.929,0.8571,1.0,0.1224,5.1046,5.9796,0.0,0.85
hex_constants,nat,alt,2,0.5,49,0.2449,0.146,0.3809,0.2449,0.9388,0.0,-3.4694,8.8571,0.2449,0.93
hex_constants,nat,alt,2,1.0,49,0.4286,0.3002,0.5673,0.4898,0.8163,0.0204,-1.9209,8.8571,0.2449,0.93
hex_constants,nat,alt,2,2.0,49,0.7347,0.5974,0.8379,0.9796,0.7551,0.0,2.6709,8.8571,0.2449,0.93
hex_constants,nat,alt,2,4.0,49,0.8163,0.6864,0.9002,0.9796,0.8367,0.0204,3.8367,8.8571,0.2449,0.93
hex_constants,nat,alt,4,0.5,49,0.2245,0.1302,0.3588,0.2245,0.9184,0.0204,-3.3929,8.8571,0.2449,0.93
hex_constants,nat,alt,4,1.0,49,0.3265,0.2121,0.4662,0.3469,0.898,0.0204,-1.8648,8.8571,0.2449,0.93
hex_constants,nat,alt,4,2.0,49,0.8163,0.6864,0.9002,0.9592,0.8571,0.0408,2.463,8.8571,0.2449,0.93
hex_constants,nat,alt,4,4.0,49,0.7551,0.6191,0.854,1.0,0.7551,0.0,3.6665,8.8571,0.2449,0.93
hex_constants,nat,alt,6,0.5,49,0.2857,0.1785,0.4241,0.2857,0.8776,0.0,-3.2628,8.8571,0.2449,0.93
hex_constants,nat,alt,6,1.0,49,0.3878,0.2643,0.5275,0.4286,0.8571,0.0204,-1.6441,8.8571,0.2449,0.93
hex_constants,nat,alt,6,2.0,49,0.8367,0.7096,0.9149,0.9592,0.8571,0.0,2.551,8.8571,0.2449,0.93
hex_constants,nat,alt,6,4.0,49,0.7551,0.6191,0.854,1.0,0.7551,0.0,3.4923,8.8571,0.2449,0.93
hex_constants,nat,alt,8,0.5,49,0.2449,0.146,0.3809,0.2857,0.7755,0.0204,-3.1276,8.8571,0.2449,0.93
hex_constants,nat,alt,8,1.0,49,0.449,0.3185,0.5869,0.4898,0.8776,0.0204,-1.676,8.8571,0.2449,0.93
hex_constants,nat,alt,8,2.0,49,0.7143,0.5759,0.8215,0.898,0.8163,0.0816,2.6658,8.8571,0.2449,0.93
hex_constants,nat,alt,8,4.0,49,0.8163,0.6864,0.9002,0.9796,0.8367,0.0204,4.0791,8.8571,0.2449,0.93
hex_constants,nat,alt,10,0.5,49,0.1837,0.0998,0.3136,0.2041,0.8163,0.0,-3.0765,8.8571,0.2449,0.93
hex_constants,nat,alt,10,1.0,49,0.3469,0.2292,0.4869,0.3878,0.7959,0.0204,-1.6097,8.8571,0.2449,0.93
hex_constants,nat,alt,10,2.0,49,0.8163,0.6864,0.9002,0.9388,0.8571,0.0204,2.398,8.8571,0.2449,0.93
hex_constants,nat,alt,10,4.0,49,0.7755,0.6412,0.8698,0.9592,0.7959,0.0,3.8074,8.8571,0.2449,0.93
hex_constants,nat,alt,12,0.5,49,0.3673,0.2466,0.5073,0.3673,0.9184,0.0,-3.0153,8.8571,0.2449,0.93
hex_constants,nat,alt,12,1.0,49,0.5714,0.4327,0.6998,0.5918,0.9184,0.0,-1.6582,8.8571,0.2449,0.93
hex_constants,nat,alt,12,2.0,49,0.6939,0.5547,0.8048,0.9592,0.7347,0.0,2.5612,8.8571,0.2449,0.93
hex_constants,nat,alt,12,4.0,49,0.8776,0.7576,0.9427,0.9592,0.9184,0.0204,3.6696,8.8571,0.2449,0.93
hex_constants,nat,alt,14,0.5,49,0.2245,0.1302,0.3588,0.3061,0.7551,0.0,-2.9834,8.8571,0.2449,0.93
hex_constants,nat,alt,14,1.0,49,0.449,0.3185,0.5869,0.4694,0.9388,0.0408,-1.5918,8.8571,0.2449,0.93
hex_constants,nat,alt,14,2.0,49,0.8776,0.7576,0.9427,0.9592,0.898,0.0204,2.6684,8.8571,0.2449,0.93
hex_constants,nat,alt,14,4.0,49,0.7551,0.6191,0.854,0.9592,0.7959,0.0204,3.5536,8.8571,0.2449,0.93
hex_constants,nat,alt,16,0.5,49,0.2041,0.1148,0.3364,0.2245,0.8571,0.0,-2.8444,8.8571,0.2449,0.93
hex_constants,nat,alt,16,1.0,49,0.4694,0.337,0.6062,0.5306,0.898,0.0,-1.2883,8.8571,0.2449,0.93
hex_constants,nat,alt,16,2.0,49,0.8163,0.6864,0.9002,0.9184,0.8776,0.0204,2.8214,8.8571,0.2449,0.93
hex_constants,nat,alt,16,4.0,49,0.7755,0.6412,0.8698,0.9592,0.8163,0.0204,3.3265,8.8571,0.2449,0.93
hex_constants,nat,alt,18,0.5,49,0.2449,0.146,0.3809,0.2857,0.8776,0.0,-2.7296,8.8571,0.2449,0.93
hex_constants,nat,alt,18,1.0,49,0.5306,0.3938,0.663,0.5918,0.9184,0.0204,-1.1301,8.8571,0.2449,0.93
hex_constants,nat,alt,18,2.0,49,0.8367,0.7096,0.9149,0.9388,0.898,0.0,2.4235,8.8571,0.2449,0.93
hex_constants,nat,alt,18,4.0,49,0.8571,0.7333,0.929,0.9592,0.898,0.0,2.5459,8.8571,0.2449,0.93
hex_constants,nat,alt,20,0.5,49,0.3673,0.2466,0.5073,0.3878,0.8776,0.0,-2.7232,8.8571,0.2449,0.93
hex_constants,nat,alt,20,1.0,49,0.4898,0.3557,0.6253,0.5306,0.898,0.0,-1.125,8.8571,0.2449,0.93
hex_constants,nat,alt,20,2.0,49,0.7755,0.6412,0.8698,0.898,0.8571,0.0,1.9133,8.8571,0.2449,0.93
hex_constants,nat,alt,20,4.0,49,0.7347,0.5974,0.8379,0.8571,0.8571,0.0204,1.898,8.8571,0.2449,0.93
hex_constants,nat,alt,22,0.5,49,0.3061,0.1952,0.4453,0.3469,0.898,0.0,-2.8061,8.8571,0.2449,0.93
hex_constants,nat,alt,22,1.0,49,0.3265,0.2121,0.4662,0.3469,0.9388,0.0204,-1.5357,8.8571,0.2449,0.93
hex_constants,nat,alt,22,2.0,49,0.6531,0.5131,0.7708,0.8163,0.8163,0.0,0.8929,8.8571,0.2449,0.93
hex_constants,nat,alt,22,4.0,49,0.6939,0.5547,0.8048,0.8163,0.8163,0.0204,1.0281,8.8571,0.2449,0.93
hex_constants,nat,alt,24,0.5,49,0.2245,0.1302,0.3588,0.2653,0.8571,0.0,-3.3941,8.8571,0.2449,0.93
hex_constants,nat,alt,24,1.0,49,0.2245,0.1302,0.3588,0.2449,0.8776,0.0204,-3.0995,8.8571,0.2449,0.93
hex_constants,nat,alt,24,2.0,49,0.2449,0.146,0.3809,0.2857,0.898,0.0,-2.5791,8.8571,0.2449,0.93
hex_constants,nat,alt,24,4.0,49,0.3469,0.2292,0.4869,0.3673,0.8571,0.0204,-2.4554,8.8571,0.2449,0.93
hex_constants,nat,alt,26,0.5,49,0.1837,0.0998,0.3136,0.2041,0.898,0.0,-3.602,8.8571,0.2449,0.93
hex_constants,nat,alt,26,1.0,49,0.2653,0.1621,0.4026,0.2857,0.8776,0.0204,-3.4617,8.8571,0.2449,0.93
hex_constants,nat,alt,26,2.0,49,0.2653,0.1621,0.4026,0.2653,0.898,0.0,-3.1786,8.8571,0.2449,0.93
hex_constants,nat,alt,26,4.0,49,0.2653,0.1621,0.4026,0.2857,0.898,0.0,-2.9668,8.8571,0.2449,0.93
hex_constants,alt,nat,2,0.5,49,0.0,0.0,0.0727,0.0,0.9796,0.0,-5.956,5.102,0.0,0.7
hex_constants,alt,nat,2,1.0,49,0.0,0.0,0.0727,0.0,0.9592,0.0,-5.75,5.102,0.0,0.7
hex_constants,alt,nat,2,2.0,49,0.2653,0.1621,0.4026,0.2857,0.8776,0.0204,0.8724,5.102,0.0,0.7
hex_constants,alt,nat,2,4.0,49,0.3469,0.2292,0.4869,0.3878,0.7551,0.1837,1.6199,5.102,0.0,0.7
hex_constants,alt,nat,4,0.5,49,0.0,0.0,0.0727,0.0,0.9184,0.0,-5.8916,5.102,0.0,0.7
hex_constants,alt,nat,4,1.0,49,0.0204,0.0036,0.1069,0.0204,0.9388,0.0,-5.4751,5.102,0.0,0.7
hex_constants,alt,nat,4,2.0,49,0.3878,0.2643,0.5275,0.449,0.8571,0.0,1.1684,5.102,0.0,0.7
hex_constants,alt,nat,4,4.0,49,0.4694,0.337,0.6062,0.551,0.7551,0.102,2.162,5.102,0.0,0.7
hex_constants,alt,nat,6,0.5,49,0.0408,0.0113,0.1371,0.0408,0.9592,0.0,-5.8603,5.102,0.0,0.7
hex_constants,alt,nat,6,1.0,49,0.0204,0.0036,0.1069,0.0204,0.898,0.0,-5.3355,5.102,0.0,0.7
hex_constants,alt,nat,6,2.0,49,0.3061,0.1952,0.4453,0.3469,0.898,0.0,0.6403,5.102,0.0,0.7
hex_constants,alt,nat,6,4.0,49,0.4286,0.3002,0.5673,0.449,0.9184,0.102,2.2921,5.102,0.0,0.7
hex_constants,alt,nat,8,0.5,49,0.0,0.0,0.0727,0.0,0.9388,0.0,-5.7608,5.102,0.0,0.7
hex_constants,alt,nat,8,1.0,49,0.0,0.0,0.0727,0.0,0.8571,0.0,-4.9343,5.102,0.0,0.7
hex_constants,alt,nat,8,2.0,49,0.4286,0.3002,0.5673,0.4286,0.9184,0.0204,0.3776,5.102,0.0,0.7
hex_constants,alt,nat,8,4.0,49,0.4898,0.3557,0.6253,0.5306,0.898,0.0816,2.2474,5.102,0.0,0.7
hex_constants,alt,nat,10,0.5,49,0.0,0.0,0.0727,0.0,1.0,0.0,-5.787,5.102,0.0,0.7
hex_constants,alt,nat,10,1.0,49,0.0,0.0,0.0727,0.0,0.8367,0.0,-4.9439,5.102,0.0,0.7
hex_constants,alt,nat,10,2.0,49,0.2857,0.1785,0.4241,0.3469,0.7551,0.0204,-0.1454,5.102,0.0,0.7
hex_constants,alt,nat,10,4.0,49,0.4898,0.3557,0.6253,0.5714,0.8571,0.0408,2.0191,5.102,0.0,0.7
hex_constants,alt,nat,12,0.5,49,0.0,0.0,0.0727,0.0,0.898,0.0,-5.7602,5.102,0.0,0.7
hex_constants,alt,nat,12,1.0,49,0.0408,0.0113,0.1371,0.0408,0.8776,0.0,-4.8176,5.102,0.0,0.7
hex_constants,alt,nat,12,2.0,49,0.3061,0.1952,0.4453,0.3673,0.7755,0.0204,-0.5408,5.102,0.0,0.7
hex_constants,alt,nat,12,4.0,49,0.4082,0.2822,0.5475,0.4286,0.9184,0.0816,1.6173,5.102,0.0,0.7
hex_constants,alt,nat,14,0.5,49,0.0,0.0,0.0727,0.0,0.9592,0.0,-5.7162,5.102,0.0,0.7
hex_constants,alt,nat,14,1.0,49,0.0408,0.0113,0.1371,0.0408,0.9388,0.0204,-4.7423,5.102,0.0,0.7
hex_constants,alt,nat,14,2.0,49,0.2857,0.1785,0.4241,0.3061,0.9592,0.0204,-0.648,5.102,0.0,0.7
hex_constants,alt,nat,14,4.0,49,0.449,0.3185,0.5869,0.4694,0.9592,0.0408,1.199,5.102,0.0,0.7
hex_constants,alt,nat,16,0.5,49,0.0204,0.0036,0.1069,0.0204,0.898,0.0,-5.6818,5.102,0.0,0.7
hex_constants,alt,nat,16,1.0,49,0.0408,0.0113,0.1371,0.0612,0.9184,0.0,-4.5816,5.102,0.0,0.7
hex_constants,alt,nat,16,2.0,49,0.2041,0.1148,0.3364,0.2653,0.8571,0.0204,-0.9094,5.102,0.0,0.7
hex_constants,alt,nat,16,4.0,49,0.4082,0.2822,0.5475,0.4286,0.9184,0.0408,0.9885,5.102,0.0,0.7
hex_constants,alt,nat,18,0.5,49,0.0,0.0,0.0727,0.0,0.9184,0.0,-5.683,5.102,0.0,0.7
hex_constants,alt,nat,18,1.0,49,0.0204,0.0036,0.1069,0.0204,0.898,0.0,-4.611,5.102,0.0,0.7
hex_constants,alt,nat,18,2.0,49,0.3061,0.1952,0.4453,0.3265,0.898,0.0,-1.1148,5.102,0.0,0.7
hex_constants,alt,nat,18,4.0,49,0.4286,0.3002,0.5673,0.5102,0.8367,0.0612,1.0599,5.102,0.0,0.7
hex_constants,alt,nat,20,0.5,49,0.0,0.0,0.0727,0.0,0.9592,0.0,-5.6945,5.102,0.0,0.7
hex_constants,alt,nat,20,1.0,49,0.0204,0.0036,0.1069,0.0204,0.9388,0.0,-4.6441,5.102,0.0,0.7
hex_constants,alt,nat,20,2.0,49,0.2449,0.146,0.3809,0.2449,0.9388,0.0204,-1.7462,5.102,0.0,0.7
hex_constants,alt,nat,20,4.0,49,0.3061,0.1952,0.4453,0.3469,0.8776,0.0408,0.9388,5.102,0.0,0.7
hex_constants,alt,nat,22,0.5,49,0.0,0.0,0.0727,0.0,0.898,0.0,-5.6601,5.102,0.0,0.7
hex_constants,alt,nat,22,1.0,49,0.0204,0.0036,0.1069,0.0204,0.8776,0.0,-4.8941,5.102,0.0,0.7
hex_constants,alt,nat,22,2.0,49,0.1224,0.0573,0.2424,0.1224,0.9796,0.0204,-3.1327,5.102,0.0,0.7
hex_constants,alt,nat,22,4.0,49,0.2449,0.146,0.3809,0.2857,0.9388,0.0,-1.1097,5.102,0.0,0.7
hex_constants,alt,nat,24,0.5,49,0.0,0.0,0.0727,0.0,0.9796,0.0,-5.926,5.102,0.0,0.7
hex_constants,alt,nat,24,1.0,49,0.0,0.0,0.0727,0.0,0.9184,0.0,-5.6735,5.102,0.0,0.7
hex_constants,alt,nat,24,2.0,49,0.0,0.0,0.0727,0.0,0.9592,0.0204,-4.8138,5.102,0.0,0.7
hex_constants,alt,nat,24,4.0,49,0.0,0.0,0.0727,0.0,0.9184,0.0,-3.2959,5.102,0.0,0.7
