task,arm,row,k,op,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,0,0.00012817523384001106,0.010916855419610768,170,-0.037297751754522324,0.026130560327418523,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,1,0.02770290896296501,0.011178963941425743,170,-0.016367994248867035,0.024567381050474367,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,2,0.05714714899659157,0.01084731882638006,170,0.008703136816620827,0.016270501442677495,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,3,0.04312951862812042,0.011347700238091996,170,-0.007890602573752403,0.018026736774284836,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,4,0.024180244654417038,0.011533074390984872,170,-0.0211174376308918,0.02053075316783658,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,5,0.043392837047576904,0.010852878873813946,170,0.004722359590232372,0.017849151921947096,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,6,0.03969389572739601,0.011000786421357366,170,-0.0008099168771877885,0.01672792386117665,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,7,0.0377710796892643,0.009733577896260016,170,-0.003545722458511591,0.01609409580860883,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,8,0.03517550975084305,0.007492235346343016,170,0.005294792354106903,0.011792117898543985,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,9,0.029022514820098877,0.006434794325100284,170,0.003242644714191556,0.009877944480515495,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,10,0.02091187797486782,0.005572067536432533,170,-0.0011723979841917753,0.008502757452310827,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,11,0.015035905875265598,0.0045720630051920876,170,-0.004267756827175617,0.008060390976956447,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,12,0.004273207392543554,0.0034357815970603917,170,-0.0068718851543962955,0.006150422573524825,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,13,0.006467822939157486,0.003545435961115327,170,-0.004494595341384411,0.005779096047110709,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,14,-0.001969363074749708,0.0024881177980635807,170,-0.01023775152862072,0.004364937975585502,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,15,-3.285758793936111e-05,0.0026359402020234807,170,-0.008711986243724823,0.004658373660108497,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,16,-0.00027409265749156475,0.0025833700392510995,170,-0.007525323424488306,0.00476481342341555,40
