task,n_shots,arm,correct,copy_query,copy_demo_target,copy_demo_input,in_pool_wrong,input_variant,other
pos_label,6,cf,95,2,39,0,6,0,8
present-past,6,own,2,130,0,0,1,9,8
present-past,6,cf,136,3,0,0,1,7,3
prev_number_digits,6,own,9,79,1,0,25,0,36
prev_number_digits,6,cf,126,5,0,0,14,0,5
product-company,6,own,6,3,0,0,0,15,126
product-company,6,cf,73,0,8,0,11,3,55
sentiment,6,own,21,0,7,0,0,2,120
sentiment,6,cf,96,0,42,0,0,0,12
singular-plural,6,own,8,107,0,0,0,11,24
singular-plural,6,cf,134,3,0,0,1,6,6
singular_or_plural,6,own,17,2,22,1,0,5,103
singular_or_plural,6,cf,92,1,48,0,0,0,9
smaller_of_pair,6,own,46,1,4,0,41,0,58
smaller_of_pair,6,cf,71,0,1,0,35,0,43
spanish-english,6,own,84,4,0,0,7,7,48
spanish-english,6,cf,109,1,0,0,6,1,33
spanish_noun_gender,6,own,6,0,3,1,0,5,135
spanish_noun_gender,6,cf,77,0,42,0,0,0,31
starts_with_vowel,6,own,30,8,36,2,0,2,72
starts_with_vowel,6,cf,83,0,46,0,0,0,21
third_person_to_base,6,own,56,62,0,0,2,7,23
third_person_to_base,6,cf,126,14,0,0,0,3,7
titlecase_phrase,6,own,117,0,0,0,0,21,12
titlecase_phrase,6,cf,142,0,0,0,0,5,3
uppercase_word,6,own,88,0,0,0,2,16,44
uppercase_word,6,cf,141,0,0,0,1,2,6
us-city-state,6,own,2,20,0,0,0,15,113
us-city-state,6,cf,96,0,8,0,43,0,3
verb_tense_label,6,own,25,0,33,2,0,0,90
verb_tense_label,6,cf,57,0,69,0,0,0,24
verb_to_third_person,6,own,2,119,0,0,0,11,18
verb_to_third_person,6,cf,114,12,0,0,1,14,9
word_polarity,6,own,5,5,3,1,0,2,134
word_polarity,6,cf,101,0,40,0,0,0,9
adjective_to_adverb,1,own,1,68,1,4,0,14,62
adjective_to_adverb,1,cf,34,23,2,0,2,31,58
adjective_to_noun,1,own,14,16,7,3,4,6,100
adjective_to_noun,1,cf,19,23,3,1,3,26,75
ag_news,1,own,12,0,22,0,1,12,103
ag_news,1,cf,22,0,23,0,5,10,90
agent_noun_to_verb,1,own,7,13,9,8,6,14,93
agent_noun_to_verb,1,cf,33,21,3,3,7,14,69
animal_class,1,own,1,5,1,3,2,13,125
animal_class,1,cf,36,1,2,2,6,8,95
