task,group,cf_task,baseline,uniq_own_mean,uniq_own_zero,uniq_cf_mean,carrier_mean,carrier_zero,span2_own_mean,span2_cf_mean,full_own_mean,full_own_zero,full_cf_mean,full_cf_zero,full_baseline,cos_uniq_own_cf,cos_fv_carrier,uniq_share_fv_norm2,meanabl_shift_ratio_full,meanabl_shift_ratio_uniq
iso_date_year_plus_one,train,initials_two_words,0.8867,0.4,0.64,0.9267,0.92,0.6533,0.2733,0.8867,0.5133,0.0733,0.9267,0.8333,0.8867,0.0881,0.5438,0.7042,0.6388,1.3564
landmark-country,train,adjective_to_adverb,0.4733,0.0133,0.0133,0.4867,0.54,0.1867,0.02,0.52,0.14,0.0,0.4533,0.5,0.5,-0.3057,0.5831,0.66,0.4374,0.8933
language_identification,train,german_noun_gender,0.6933,0.0133,0.0,0.7867,0.7267,0.12,0.04,0.7267,0.0267,0.0,0.7267,0.66,0.6867,0.0199,0.564,0.6819,0.5609,0.8599
larger_of_pair,train,singular_or_plural,0.5333,0.4067,0.4467,0.5267,0.5533,0.2533,0.3333,0.5067,0.42,0.0333,0.4867,0.56,0.5533,-0.1656,0.6173,0.619,0.4711,1.1422
larger_than_1000,train,past_to_base,0.56,0.28,0.0267,0.54,0.5867,0.1133,0.2267,0.5467,0.0933,0.0,0.5467,0.5,0.52,-0.2714,0.5514,0.696,0.5406,0.8044
lowercase_first_letter,train,country-capital,0.7067,0.04,0.22,0.7067,0.6733,0.0667,0.04,0.7067,0.2333,0.0067,0.6067,0.6733,0.6933,-0.027,0.6059,0.6329,0.4949,1.3409
lowercase_word,train,product-company,0.9667,0.74,0.98,0.9467,0.9733,0.0667,0.6333,0.9,0.72,0.0467,0.96,0.9467,0.98,-0.3171,0.7681,0.4101,0.467,3.02
national_parks,train,past_to_base,0.5267,0.1933,0.2267,0.5133,0.5467,0.3333,0.1667,0.4933,0.2533,0.0,0.52,0.5133,0.52,-0.3754,0.54,0.7084,0.4883,1.1603
natural_manmade,train,pos_label,0.6467,0.02,0.0,0.66,0.6133,0.0,0.02,0.5867,0.0333,0.0,0.6333,0.22,0.5867,0.1963,0.5791,0.6646,0.5046,0.8343
next_item,train,plural_to_singular,0.4733,0.0667,0.0467,0.4867,0.48,0.18,0.1133,0.4533,0.1667,0.0,0.48,0.2533,0.4733,-0.1703,0.6523,0.5745,0.3677,0.8678
next_month_of_date,train,verb_tense_label,0.6267,0.08,0.16,0.5,0.5867,0.26,0.1067,0.56,0.1467,0.0133,0.56,0.6733,0.5667,-0.0182,0.5504,0.6971,0.6238,1.1548
next_number_digits,train,pos_label,0.8867,0.2267,0.5533,0.8933,0.9267,0.74,0.2533,0.8733,0.5133,0.0333,0.8867,0.9067,0.8733,-0.2042,0.5218,0.7277,0.6065,1.2666
number_word_to_digits,train,person-sport,0.7267,0.4,0.5333,0.7,0.76,0.5,0.46,0.72,0.5667,0.0467,0.74,0.7333,0.76,-0.2904,0.5779,0.666,0.5817,1.2582
park-country,train,german-english,0.52,0.14,0.1933,0.4867,0.4933,0.1533,0.0867,0.5067,0.24,0.0,0.5267,0.3067,0.4867,-0.1125,0.5309,0.7182,0.4968,1.0631
past_to_base,heldout,animal_plant_object,0.68,0.36,0.54,0.76,0.7067,0.0067,0.28,0.6733,0.3333,0.0,0.6933,0.38,0.7333,-0.2544,0.7609,0.4211,0.4138,1.2699
person-instrument,train,antonym,0.22,0.0333,0.02,0.26,0.1733,0.04,0.06,0.2467,0.06,0.0,0.26,0.1467,0.28,-0.0785,0.5723,0.6724,0.4742,0.8303
person-sport,train,french_noun_gender,0.6467,0.0667,0.0333,0.6733,0.66,0.02,0.08,0.64,0.0733,0.0,0.7133,0.46,0.6733,0.171,0.6057,0.6332,0.5257,0.988
person_place_thing,heldout,gerund_to_base,0.7,0.02,0.0,0.6333,0.5933,0.04,0.0333,0.4867,0.0667,0.0,0.6067,0.4067,0.6533,-0.1103,0.6255,0.6087,0.5214,0.7905
plural_to_singular,train,english-portuguese,0.8067,0.36,0.3,0.82,0.72,0.02,0.2533,0.7733,0.34,0.0,0.7533,0.4533,0.82,0.2392,0.7828,0.3872,0.3567,0.8917
pos_label,heldout,larger_of_pair,0.64,0.02,0.0067,0.5867,0.5667,0.1467,0.0133,0.6333,0.08,0.0,0.5467,0.56,0.5867,-0.2545,0.6316,0.6011,0.5217,0.922
present-past,train,smaller_of_pair,0.86,0.1067,0.0933,0.8333,0.8333,0.04,0.0533,0.8267,0.2133,0.0,0.8533,0.5,0.84,0.0845,0.6932,0.5195,0.4656,0.9685
prev_number_digits,train,person_place_thing,0.8667,0.24,0.3333,0.8267,0.92,0.6467,0.1467,0.8933,0.2933,0.0133,0.84,0.8533,0.8733,-0.2845,0.5359,0.7128,0.6097,1.2354
product-company,train,gerund_to_past,0.46,0.0267,0.02,0.4533,0.5067,0.1733,0.0133,0.5,0.0933,0.0,0.4867,0.4867,0.4667,-0.3437,0.5312,0.7178,0.4564,0.8838
sentiment,train,park-country,0.7333,0.0533,0.0,0.6533,0.6733,0.0267,0.0,0.6933,0.0133,0.0,0.7133,0.6733,0.72,-0.0559,0.5217,0.7279,0.6186,0.959
singular-plural,train,city-country,0.94,0.1133,0.5133,0.8667,0.8867,0.04,0.1133,0.8667,0.3533,0.0067,0.9333,0.8067,0.94,-0.156,0.6796,0.5382,0.5147,1.5176
singular_or_plural,train,animal_plant_object,0.6133,0.02,0.0,0.6467,0.6133,0.0333,0.0133,0.5533,0.0267,0.0,0.5533,0.1467,0.5867,0.167,0.6142,0.6227,0.5514,0.8933
smaller_of_pair,heldout,country-capital,0.54,0.3067,0.2867,0.42,0.44,0.2533,0.3133,0.44,0.3,0.02,0.46,0.4,0.48,0.0569,0.6066,0.6321,0.4567,1.0626
spanish-english,heldout,plural_to_singular,0.64,0.58,0.46,0.6933,0.6933,0.0267,0.62,0.58,0.52,0.0067,0.6,0.0333,0.7133,0.4514,0.7763,0.3974,0.3434,0.7234
spanish_noun_gender,train,english-french,0.6733,0.0133,0.0,0.4867,0.6133,0.0,0.0067,0.38,0.0,0.0,0.5733,0.5533,0.6,-0.3053,0.5825,0.6607,0.5704,0.962
starts_with_vowel,train,past_to_base,0.4533,0.0133,0.0,0.46,0.4733,0.0533,0.0,0.4733,0.0,0.0,0.4733,0.4067,0.46,-0.3337,0.5966,0.644,0.5152,0.8114
third_person_to_base,train,initials_two_words,0.88,0.4067,0.52,0.8,0.82,0.02,0.24,0.7267,0.3933,0.0067,0.8,0.5733,0.8,0.2032,0.773,0.4025,0.4052,1.1585
titlecase_phrase,train,verb_tense_label,0.9067,0.0333,0.1267,0.92,0.9333,0.0933,0.0333,0.8933,0.2333,0.0,0.9067,0.9133,0.8867,-0.2394,0.6003,0.6397,0.5136,1.237
uppercase_word,heldout,english-spanish,0.9267,0.0267,0.42,0.9467,0.94,0.2333,0.0467,0.9333,0.2067,0.0067,0.92,0.7333,0.9533,0.2707,0.6221,0.6131,0.5338,1.4222
us-city-state,train,starts_with_vowel,0.66,0.1267,0.0867,0.6733,0.7133,0.1533,0.1067,0.7133,0.2267,0.0,0.66,0.6,0.7133,-0.0161,0.5758,0.6684,0.4048,0.9778
verb_tense_label,train,word_polarity,0.32,0.0333,0.0,0.26,0.2733,0.0267,0.02,0.2333,0.0267,0.0,0.2133,0.02,0.3,0.4086,0.5893,0.6527,0.5461,0.8536
verb_to_third_person,train,next_month_of_date,0.7667,0.1133,0.3133,0.7067,0.7667,0.0533,0.0467,0.74,0.2,0.0,0.7867,0.7533,0.78,-0.195,0.699,0.5113,0.4895,1.4339
word_polarity,heldout,capitalize_first_letter,0.7,0.0333,0.0,0.74,0.66,0.0267,0.0267,0.6533,0.0067,0.0,0.6467,0.5467,0.7067,-0.1388,0.5881,0.6541,0.5687,0.8852
