family,style,unscorable_pooled,unscorable_k0,unscorable_k1,unscorable_k2,unscorable_k3,unscorable_k4,unscorable_k8
early_return,nat,0.305,0.47,0.27,0.27,0.345,0.275,0.201
early_return,alt,0.163,0.49,0.18,0.13,0.06,0.05,0.07
py_join_concat,nat,0.293,0.392,0.284,0.307,0.301,0.205,0.27
py_join_concat,alt,0.26,0.386,0.256,0.267,0.222,0.222,0.209
py_with_open,nat,0.344,0.945,0.025,0.225,0.2,0.35,0.322
py_with_open,alt,0.216,0.925,0.055,0.055,0.13,0.07,0.06
py_enumerate,nat,0.185,0.591,0.03,0.141,0.182,0.056,0.109
py_enumerate,alt,0.181,0.369,0.278,0.126,0.111,0.091,0.109
py_self_name,nat,0.049,0.01,0.145,0.005,0.06,0.045,0.03
py_self_name,alt,0.046,0.015,0.125,0.02,0.05,0.045,0.02
py_indent,nat,0.03,0.115,0.005,0.015,0.0,0.025,0.022
py_indent,alt,0.03,0.1,0.015,0.01,0.0,0.025,0.033
py_tabs,nat,0.023,0.1,0.0,0.0,0.01,0.01,0.016
py_tabs,alt,0.021,0.08,0.005,0.0,0.015,0.015,0.011
operator_spaces,nat,0.121,0.182,0.096,0.139,0.118,0.096,0.097
operator_spaces,alt,0.141,0.171,0.107,0.182,0.155,0.123,0.11
comma_space,nat,0.136,0.198,0.161,0.125,0.13,0.12,0.083
comma_space,alt,0.145,0.193,0.177,0.172,0.099,0.115,0.112
line_wrap,nat,0.254,0.295,0.435,0.235,0.225,0.18,0.152
line_wrap,alt,0.494,0.28,0.495,0.51,0.575,0.58,0.524
blank_lines,nat,0.157,0.218,0.113,0.099,0.176,0.338,0.0
blank_lines,alt,0.187,0.275,0.099,0.134,0.183,0.43,0.0
docstring_style,nat,0.065,0.251,0.04,0.02,0.02,0.02,0.036
docstring_style,alt,0.071,0.322,0.01,0.025,0.03,0.015,0.024
docstring_quotes,nat,0.22,0.865,0.02,0.225,0.0,0.04,0.168
docstring_quotes,alt,0.236,0.815,0.04,0.325,0.005,0.07,0.162
comment_case,nat,0.352,0.665,0.325,0.3,0.22,0.26,0.342
comment_case,alt,0.385,0.665,0.33,0.32,0.285,0.345,0.363
comment_language,nat,0.401,0.66,0.29,0.3,0.32,0.35,0.484
comment_language,alt,0.428,0.63,0.375,0.405,0.32,0.365,0.473
c_comment_style,nat,0.256,0.59,0.32,0.1,0.245,0.1,0.18
c_comment_style,alt,0.272,0.65,0.355,0.12,0.225,0.12,0.16
sql_keyword_case,nat,0.04,0.17,0.0,0.015,0.01,0.025,0.02
sql_keyword_case,alt,0.054,0.165,0.02,0.02,0.05,0.04,0.03
sql_join_style,nat,0.111,0.109,0.197,0.115,0.087,0.049,0.107
sql_join_style,alt,0.245,0.109,0.273,0.415,0.235,0.197,0.241
r_assignment,nat,0.007,0.03,0.01,0.005,0.0,0.0,0.0
r_assignment,alt,0.089,0.02,0.09,0.13,0.11,0.115,0.072
rust_question,nat,0.148,0.188,0.248,0.079,0.152,0.121,0.102
rust_question,alt,0.097,0.182,0.115,0.079,0.042,0.109,0.054
bash_test,nat,0.066,0.07,0.12,0.015,0.095,0.04,0.056
bash_test,alt,0.058,0.07,0.11,0.02,0.03,0.055,0.061
php_array,nat,0.495,0.503,0.554,0.497,0.508,0.461,0.449
php_array,alt,0.396,0.503,0.451,0.358,0.466,0.332,0.27
