family,style,k,n,accuracy,ci_lo,ci_hi,style_ok,wrong_style,unscorable,style_ok_but_unfaithful,judge_ok,capped,unjudged
hex_constants,nat,2,177,0.486,0.413,0.559,0.514,0.0,0.486,0.028,0.927,0.282,0
hex_constants,nat,3,177,0.525,0.452,0.598,0.565,0.0,0.435,0.04,0.944,0.288,0
hex_constants,nat,4,177,0.514,0.441,0.587,0.537,0.006,0.458,0.023,0.955,0.35,0
hex_constants,nat,8,111,0.559,0.466,0.647,0.577,0.0,0.423,0.018,0.928,0.171,0
hex_constants,alt,0,177,0.0,0.0,0.021,0.0,0.418,0.582,0.0,0.944,0.333,0
hex_constants,alt,1,177,0.576,0.503,0.647,0.621,0.141,0.237,0.045,0.91,0.333,0
hex_constants,alt,2,177,0.61,0.537,0.679,0.661,0.13,0.209,0.051,0.91,0.379,0
hex_constants,alt,3,177,0.701,0.629,0.763,0.751,0.09,0.158,0.051,0.921,0.345,0
hex_constants,alt,4,177,0.684,0.612,0.748,0.785,0.051,0.164,0.102,0.881,0.294,0
hex_constants,alt,8,111,0.739,0.65,0.811,0.82,0.045,0.135,0.081,0.91,0.225,0
float_literals,nat,0,162,0.512,0.436,0.588,0.549,0.019,0.432,0.037,0.833,0.5,0
float_literals,nat,1,162,0.457,0.382,0.534,0.519,0.21,0.272,0.062,0.84,0.327,0
float_literals,nat,2,162,0.512,0.436,0.588,0.58,0.16,0.259,0.068,0.852,0.29,0
float_literals,nat,3,162,0.537,0.46,0.612,0.599,0.204,0.198,0.062,0.92,0.222,0
float_literals,nat,4,162,0.531,0.454,0.606,0.556,0.265,0.179,0.025,0.938,0.247,0
float_literals,nat,8,87,0.54,0.436,0.641,0.586,0.31,0.103,0.046,0.92,0.345,0
float_literals,alt,0,162,0.019,0.006,0.053,0.031,0.481,0.488,0.012,0.833,0.414,0
float_literals,alt,1,162,0.321,0.254,0.396,0.389,0.272,0.34,0.068,0.79,0.302,0
float_literals,alt,2,162,0.395,0.323,0.472,0.444,0.21,0.346,0.049,0.833,0.272,0
float_literals,alt,3,162,0.5,0.424,0.576,0.531,0.216,0.253,0.031,0.864,0.253,0
float_literals,alt,4,162,0.519,0.442,0.594,0.562,0.148,0.29,0.043,0.858,0.265,0
float_literals,alt,8,87,0.644,0.539,0.736,0.724,0.08,0.195,0.08,0.862,0.31,0
sql_bool_case,nat,0,133,0.293,0.223,0.376,0.301,0.504,0.195,0.008,0.97,0.376,0
sql_bool_case,nat,1,133,0.91,0.849,0.948,0.94,0.015,0.045,0.03,0.962,0.383,0
sql_bool_case,nat,2,133,0.962,0.915,0.984,0.962,0.0,0.038,0.0,0.992,0.263,0
sql_bool_case,nat,3,133,0.895,0.831,0.936,0.902,0.045,0.053,0.008,0.985,0.158,0
sql_bool_case,nat,4,133,0.902,0.84,0.942,0.94,0.015,0.045,0.038,0.955,0.113,0
sql_bool_case,nat,8,98,0.969,0.914,0.99,0.969,0.01,0.02,0.0,0.99,0.306,0
sql_bool_case,alt,0,133,0.549,0.464,0.631,0.549,0.278,0.173,0.0,0.97,0.481,0
sql_bool_case,alt,1,133,0.94,0.886,0.969,0.94,0.008,0.053,0.0,0.985,0.308,0
sql_bool_case,alt,2,133,0.955,0.905,0.979,0.955,0.008,0.038,0.0,0.985,0.263,0
sql_bool_case,alt,3,133,0.947,0.895,0.974,0.955,0.0,0.045,0.008,0.992,0.218,0
sql_bool_case,alt,4,133,0.917,0.858,0.953,0.925,0.015,0.06,0.008,0.985,0.143,0
sql_bool_case,alt,8,98,0.949,0.886,0.978,0.98,0.01,0.01,0.031,0.969,0.327,0
py2_print,nat,0,200,0.2,0.15,0.261,0.285,0.025,0.69,0.085,0.73,0.445,0
py2_print,nat,1,200,0.37,0.306,0.439,0.425,0.0,0.575,0.055,0.845,0.495,0
py2_print,nat,2,200,0.58,0.511,0.646,0.605,0.005,0.39,0.025,0.975,0.505,0
py2_print,nat,3,200,0.765,0.702,0.818,0.82,0.005,0.175,0.055,0.93,0.5,0
py2_print,nat,4,200,0.73,0.665,0.787,0.735,0.01,0.255,0.005,0.995,0.46,0
py2_print,nat,8,200,0.745,0.68,0.8,0.78,0.0,0.22,0.035,0.965,0.41,0
py2_print,alt,0,200,0.015,0.005,0.043,0.02,0.225,0.755,0.005,0.56,0.39,0
py2_print,alt,1,200,0.34,0.278,0.408,0.4,0.005,0.595,0.06,0.785,0.505,0
py2_print,alt,2,200,0.585,0.516,0.651,0.62,0.0,0.38,0.035,0.935,0.585,0
py2_print,alt,3,200,0.68,0.612,0.741,0.72,0.005,0.275,0.04,0.94,0.565,0
py2_print,alt,4,200,0.67,0.602,0.731,0.705,0.0,0.295,0.035,0.96,0.475,0
py2_print,alt,8,200,0.745,0.68,0.8,0.775,0.0,0.225,0.03,0.965,0.41,0
py2_iter,nat,0,144,0.611,0.53,0.687,0.736,0.035,0.229,0.125,0.812,0.326,0
py2_iter,nat,1,144,0.674,0.593,0.745,0.778,0.0,0.222,0.104,0.875,0.236,0
py2_iter,nat,2,144,0.729,0.651,0.795,0.854,0.0,0.146,0.125,0.847,0.236,0
py2_iter,nat,3,144,0.785,0.711,0.844,0.875,0.0,0.125,0.09,0.91,0.188,0
py2_iter,nat,4,144,0.764,0.688,0.826,0.854,0.0,0.146,0.09,0.896,0.208,0
py2_iter,nat,8,58,0.879,0.771,0.94,0.966,0.0,0.034,0.086,0.897,0.121,0
py2_iter,alt,0,144,0.035,0.015,0.079,0.035,0.681,0.285,0.0,0.903,0.354,0
py2_iter,alt,1,144,0.333,0.262,0.414,0.403,0.361,0.236,0.069,0.854,0.285,0
py2_iter,alt,2,144,0.493,0.413,0.574,0.569,0.285,0.146,0.076,0.868,0.215,0
py2_iter,alt,3,144,0.59,0.509,0.667,0.674,0.201,0.125,0.083,0.903,0.167,0
py2_iter,alt,4,144,0.549,0.467,0.628,0.625,0.236,0.139,0.076,0.868,0.181,0
py2_iter,alt,8,58,0.741,0.616,0.837,0.793,0.155,0.052,0.052,0.931,0.207,0
py2_except,nat,0,177,0.113,0.074,0.168,0.119,0.0,0.881,0.006,0.972,0.356,0
py2_except,nat,1,177,0.819,0.756,0.869,0.819,0.0,0.181,0.0,1.0,0.09,0
py2_except,nat,2,177,0.91,0.858,0.944,0.915,0.0,0.085,0.006,0.983,0.124,0
py2_except,nat,3,177,0.966,0.928,0.984,0.972,0.0,0.028,0.006,0.994,0.113,0
py2_except,nat,4,177,0.938,0.892,0.965,0.96,0.0,0.04,0.023,0.977,0.136,0
py2_except,nat,8,21,0.952,0.773,0.992,0.952,0.0,0.048,0.0,0.952,0.238,0
py2_except,alt,0,177,0.0,0.0,0.021,0.0,0.107,0.893,0.0,0.972,0.384,0
py2_except,alt,1,177,0.757,0.689,0.814,0.757,0.023,0.22,0.0,0.994,0.119,0
py2_except,alt,2,177,0.864,0.806,0.907,0.876,0.006,0.119,0.011,0.989,0.13,0
py2_except,alt,3,177,0.921,0.872,0.952,0.938,0.017,0.045,0.017,0.983,0.13,0
py2_except,alt,4,177,0.96,0.921,0.981,0.966,0.011,0.023,0.006,0.994,0.124,0
py2_except,alt,8,21,0.905,0.711,0.973,0.905,0.0,0.095,0.0,0.952,0.048,0
js_var,nat,0,200,0.415,0.349,0.484,0.465,0.075,0.46,0.05,0.775,0.52,0
js_var,nat,1,200,0.64,0.571,0.703,0.675,0.02,0.305,0.035,0.9,0.385,0
js_var,nat,2,200,0.685,0.618,0.745,0.74,0.01,0.25,0.055,0.905,0.405,0
js_var,nat,3,200,0.685,0.618,0.745,0.72,0.0,0.28,0.035,0.93,0.305,0
js_var,nat,4,200,0.535,0.466,0.603,0.565,0.0,0.435,0.03,0.925,0.245,0
js_var,nat,8,107,0.458,0.367,0.552,0.477,0.0,0.523,0.019,0.944,0.28,0
js_var,alt,0,200,0.13,0.09,0.184,0.135,0.385,0.48,0.005,0.7,0.5,0
js_var,alt,1,200,0.41,0.344,0.479,0.445,0.205,0.35,0.035,0.835,0.405,0
js_var,alt,2,200,0.625,0.556,0.689,0.685,0.05,0.265,0.06,0.9,0.435,0
js_var,alt,3,200,0.615,0.546,0.68,0.68,0.03,0.29,0.065,0.925,0.345,0
js_var,alt,4,200,0.495,0.426,0.564,0.535,0.015,0.45,0.04,0.92,0.28,0
js_var,alt,8,107,0.458,0.367,0.552,0.505,0.0,0.495,0.047,0.86,0.187,0
js_arrow,nat,0,196,0.786,0.723,0.837,0.923,0.071,0.005,0.138,0.842,0.454,0
js_arrow,nat,1,196,0.724,0.658,0.782,0.847,0.01,0.143,0.122,0.832,0.327,0
js_arrow,nat,2,196,0.673,0.605,0.735,0.781,0.0,0.219,0.107,0.857,0.291,0
js_arrow,nat,3,196,0.658,0.589,0.721,0.816,0.005,0.179,0.158,0.827,0.291,0
js_arrow,nat,4,196,0.607,0.537,0.673,0.714,0.0,0.286,0.107,0.878,0.24,0
js_arrow,nat,8,175,0.68,0.608,0.745,0.8,0.0,0.2,0.12,0.829,0.206,0
js_arrow,alt,0,196,0.041,0.021,0.078,0.046,0.949,0.005,0.005,0.862,0.423,0
js_arrow,alt,1,196,0.219,0.167,0.282,0.27,0.265,0.464,0.051,0.75,0.372,0
js_arrow,alt,2,196,0.403,0.337,0.473,0.459,0.224,0.316,0.056,0.811,0.316,0
js_arrow,alt,3,196,0.48,0.411,0.549,0.577,0.082,0.342,0.097,0.837,0.27,0
js_arrow,alt,4,196,0.566,0.496,0.634,0.622,0.087,0.291,0.056,0.908,0.219,0
js_arrow,alt,8,175,0.646,0.572,0.713,0.714,0.051,0.234,0.069,0.88,0.171,0
js_semicolons,nat,0,146,0.822,0.752,0.875,0.842,0.041,0.116,0.021,0.979,0.37,0
js_semicolons,nat,1,146,0.712,0.634,0.78,0.753,0.007,0.24,0.041,0.952,0.233,0
js_semicolons,nat,2,146,0.747,0.67,0.81,0.781,0.021,0.199,0.034,0.959,0.158,0
js_semicolons,nat,3,146,0.76,0.685,0.822,0.836,0.007,0.158,0.075,0.925,0.164,0
js_semicolons,nat,4,146,0.856,0.79,0.904,0.897,0.007,0.096,0.041,0.959,0.11,0
js_semicolons,nat,8,97,0.68,0.582,0.765,0.711,0.01,0.278,0.031,0.959,0.206,0
js_semicolons,alt,0,146,0.027,0.011,0.068,0.034,0.897,0.068,0.007,0.938,0.329,0
js_semicolons,alt,1,146,0.651,0.57,0.723,0.719,0.096,0.185,0.068,0.822,0.274,0
js_semicolons,alt,2,146,0.664,0.584,0.736,0.699,0.055,0.247,0.034,0.884,0.219,0
js_semicolons,alt,3,146,0.664,0.584,0.736,0.712,0.034,0.253,0.048,0.87,0.158,0
js_semicolons,alt,4,146,0.589,0.508,0.666,0.63,0.082,0.288,0.041,0.897,0.171,0
js_semicolons,alt,8,97,0.546,0.447,0.642,0.598,0.041,0.361,0.052,0.918,0.237,0
js_strict_eq,nat,0,107,0.729,0.638,0.804,0.785,0.056,0.159,0.056,0.935,0.411,0
js_strict_eq,nat,1,107,0.897,0.825,0.942,0.925,0.019,0.056,0.028,0.972,0.346,0
js_strict_eq,nat,2,107,0.794,0.708,0.86,0.813,0.0,0.187,0.019,0.963,0.29,0
js_strict_eq,nat,3,107,0.785,0.698,0.852,0.85,0.0,0.15,0.065,0.935,0.234,0
js_strict_eq,nat,4,107,0.766,0.678,0.836,0.85,0.019,0.131,0.084,0.879,0.271,0
js_strict_eq,nat,8,26,0.808,0.621,0.915,0.885,0.077,0.038,0.077,0.923,0.154,0
js_strict_eq,alt,0,107,0.065,0.032,0.129,0.065,0.785,0.15,0.0,0.916,0.393,0
js_strict_eq,alt,1,107,0.57,0.475,0.66,0.607,0.28,0.112,0.037,0.916,0.411,0
js_strict_eq,alt,2,107,0.561,0.466,0.651,0.598,0.187,0.215,0.037,0.935,0.336,0
js_strict_eq,alt,3,107,0.682,0.589,0.763,0.785,0.093,0.121,0.103,0.879,0.234,0
js_strict_eq,alt,4,107,0.72,0.628,0.796,0.785,0.121,0.093,0.065,0.916,0.243,0
