family,target,layer,alpha,n,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,reused,screen_rate,best_layer,best_alpha,best_acc,delta_vs_best,within_tol,picked_by_accuracy,picked_by_screen
whilst,alt,24,2.0,200,0.825,0.766,0.871,0.965,0.03,0.86,True,0.98,24,4.0,0.9,-0.075,False,False,False
whilst,alt,24,4.0,200,0.9,0.851,0.934,0.995,0.005,0.905,True,1.0,24,4.0,0.9,0.0,True,True,True
contractions,nat,24,0.5,200,0.41,0.344,0.479,0.44,0.23,0.89,False,0.48,20,4.0,0.71,-0.3,False,False,False
contractions,nat,24,1.0,200,0.495,0.426,0.564,0.59,0.22,0.815,False,0.66,20,4.0,0.71,-0.215,False,False,False
contractions,nat,24,2.0,200,0.66,0.592,0.722,0.78,0.16,0.86,False,0.62,20,4.0,0.71,-0.05,False,False,False
contractions,nat,24,4.0,200,0.68,0.612,0.741,0.78,0.18,0.865,True,0.74,20,4.0,0.71,-0.03,True,True,True
contractions,alt,24,0.5,200,0.555,0.486,0.622,0.64,0.165,0.865,False,0.74,20,4.0,0.81,-0.255,False,False,False
contractions,alt,24,1.0,200,0.73,0.665,0.787,0.805,0.095,0.875,False,0.88,20,4.0,0.81,-0.08,False,False,False
contractions,alt,24,2.0,200,0.75,0.686,0.805,0.875,0.075,0.845,False,0.94,20,4.0,0.81,-0.06,False,False,True
contractions,alt,24,4.0,200,0.855,0.8,0.897,0.94,0.05,0.9,False,0.88,20,4.0,0.81,0.045,True,True,False
ampersand,nat,24,0.5,200,0.8,0.739,0.85,0.92,0.08,0.845,False,0.88,16,4.0,0.825,-0.025,True,False,False
ampersand,nat,24,1.0,200,0.825,0.766,0.871,0.945,0.055,0.86,False,0.92,16,4.0,0.825,0.0,True,False,False
ampersand,nat,24,2.0,200,0.845,0.788,0.889,0.93,0.07,0.895,False,0.92,16,4.0,0.825,0.02,True,False,False
ampersand,nat,24,4.0,200,0.85,0.794,0.893,0.97,0.03,0.865,False,0.94,16,4.0,0.825,0.025,True,True,True
ampersand,alt,24,0.5,200,0.05,0.027,0.09,0.07,0.115,0.86,False,0.06,24,4.0,0.83,-0.78,False,False,False
ampersand,alt,24,1.0,200,0.355,0.292,0.423,0.43,0.09,0.85,False,0.4,24,4.0,0.83,-0.475,False,False,False
ampersand,alt,24,2.0,200,0.78,0.718,0.832,0.895,0.08,0.86,False,0.9,24,4.0,0.83,-0.05,False,False,False
ampersand,alt,24,4.0,200,0.83,0.772,0.876,0.965,0.035,0.855,True,0.98,24,4.0,0.83,0.0,True,True,True
oxford_comma,nat,24,0.5,200,0.465,0.397,0.534,0.565,0.07,0.825,False,0.5,24,2.0,0.785,-0.32,False,False,False
oxford_comma,nat,24,1.0,200,0.74,0.675,0.796,0.83,0.115,0.84,False,0.76,24,2.0,0.785,-0.045,False,False,False
oxford_comma,nat,24,2.0,200,0.785,0.723,0.836,0.88,0.115,0.85,True,0.84,24,2.0,0.785,0.0,True,False,True
oxford_comma,nat,24,4.0,200,0.815,0.755,0.863,0.905,0.09,0.875,False,0.82,24,2.0,0.785,0.03,True,True,False
oxford_comma,alt,24,0.5,200,0.82,0.761,0.867,0.915,0.02,0.905,False,0.94,20,1.0,0.865,-0.045,False,False,False
oxford_comma,alt,24,1.0,200,0.88,0.828,0.918,0.96,0.015,0.92,False,1.0,20,1.0,0.865,0.015,True,False,True
oxford_comma,alt,24,2.0,200,0.89,0.839,0.926,0.99,0.01,0.89,False,1.0,20,1.0,0.865,0.025,True,False,False
oxford_comma,alt,24,4.0,200,0.905,0.856,0.938,0.99,0.01,0.905,False,0.96,20,1.0,0.865,0.04,True,True,False
curly_quotes,nat,24,0.5,200,0.48,0.412,0.549,0.705,0.26,0.68,False,0.5,16,4.0,0.575,-0.095,False,False,False
curly_quotes,nat,24,1.0,200,0.5,0.431,0.569,0.735,0.22,0.67,False,0.74,16,4.0,0.575,-0.075,False,False,False
curly_quotes,nat,24,2.0,200,0.56,0.491,0.627,0.845,0.14,0.665,False,0.8,16,4.0,0.575,-0.015,True,True,False
curly_quotes,nat,24,4.0,200,0.55,0.481,0.617,0.83,0.145,0.665,True,0.82,16,4.0,0.575,-0.025,True,False,True
curly_quotes,alt,24,0.5,200,0.185,0.137,0.245,0.265,0.53,0.695,False,0.3,24,2.0,0.26,-0.075,False,False,False
curly_quotes,alt,24,1.0,200,0.22,0.168,0.282,0.325,0.56,0.655,True,0.38,24,2.0,0.26,-0.04,False,False,False
curly_quotes,alt,24,2.0,200,0.26,0.204,0.325,0.38,0.56,0.665,True,0.4,24,2.0,0.26,0.0,True,True,True
curly_quotes,alt,24,4.0,200,0.24,0.186,0.304,0.32,0.635,0.695,False,0.32,24,2.0,0.26,-0.02,True,False,False
quote_punct,nat,24,0.5,200,0.675,0.607,0.736,0.72,0.17,0.855,False,0.74,24,2.0,0.745,-0.07,False,False,False
quote_punct,nat,24,1.0,200,0.755,0.691,0.809,0.85,0.12,0.84,False,0.86,24,2.0,0.745,0.01,True,True,False
quote_punct,nat,24,2.0,200,0.745,0.68,0.8,0.865,0.11,0.815,True,0.92,24,2.0,0.745,0.0,True,False,True
quote_punct,nat,24,4.0,200,0.695,0.628,0.755,0.85,0.12,0.805,False,0.84,24,2.0,0.745,-0.05,False,False,False
quote_punct,alt,24,0.5,200,0.67,0.602,0.731,0.735,0.24,0.875,False,0.64,20,1.0,0.625,0.045,True,True,False
quote_punct,alt,24,1.0,200,0.615,0.546,0.68,0.72,0.27,0.825,True,0.72,20,1.0,0.625,-0.01,True,False,True
