task,group,n_heads,zs_base,zs_best,zs_bestL,shuf_base,shuf_best,shuf_bestL,mix_base,mix_best,mix_bestL
next_item,train,140,0.0213,0.9362,10,0.1915,0.8936,12,0.0213,0.9149,12
next_month_of_date,train,140,0.0,1.0,5,0.12,1.0,13,0.04,1.0,10
next_number_digits,train,140,0.0,1.0,8,0.0238,0.5238,12,0.0476,0.9762,11
person-instrument,train,140,0.0,0.72,17,0.62,0.74,14,0.02,0.7,14
person_place_thing,train,140,0.0,0.72,10,0.98,1.0,13,0.0,0.52,11
plural_to_singular,train,140,0.02,1.0,16,0.2,1.0,11,0.44,0.96,14
pos_label,train,140,0.0,0.88,9,0.8,0.92,9,0.02,0.88,11
present-past,train,140,0.0,0.98,7,0.1,0.98,13,0.1,0.98,6
prev_item,train,140,0.0,0.8298,12,0.0213,0.7872,13,0.0,0.7447,13
prev_number_digits,train,140,0.0,1.0,7,0.0714,0.3095,11,0.0238,0.9524,10
remove_first_letter,train,140,0.0,0.4,13,0.14,0.46,14,0.0,0.44,14
remove_last_letter,train,140,0.0,0.4,10,0.0,0.48,14,0.04,0.4,15
round_up_to_ten,train,140,0.0,0.66,11,0.06,0.18,12,0.04,0.2,11
second_digit,train,140,0.04,0.48,17,0.1,0.38,14,0.14,0.22,16
sentiment,train,140,0.0,0.92,6,0.86,0.94,2,0.0,0.92,9
singular_or_plural,train,140,0.0,0.88,17,0.78,0.96,10,0.02,0.84,14
smaller_of_pair,train,140,0.06,0.78,11,0.1,0.4,14,0.36,0.72,13
spanish-english,train,140,0.0,0.88,6,0.44,0.94,18,0.62,0.82,8
spanish_noun_gender,train,140,0.0,0.98,12,1.0,1.0,8,0.02,0.94,14
strip_prefix,train,140,0.0,0.8,8,0.46,0.94,15,0.22,0.88,17
synonym,train,140,0.14,0.46,11,0.1,0.5,14,0.0,0.52,13
third_person_to_base,train,140,0.0,0.98,6,0.18,1.0,11,0.32,1.0,6
times_five,train,140,0.0,0.8,9,0.02,0.24,9,0.0,0.28,10
titlecase_phrase,train,140,0.0,0.9,13,0.52,1.0,12,0.0,0.6,9
uppercase_word,train,140,0.0,1.0,7,0.24,1.0,10,0.0,1.0,10
us-city-state,train,140,0.02,0.84,9,0.28,0.94,14,0.34,0.82,9
word_polarity,train,140,0.0,1.0,7,0.86,1.0,12,0.02,0.98,11
contains_letter_e,heldout,140,0.0,0.52,18,0.52,0.58,27,0.0,0.48,18
count_digits,heldout,140,0.04,0.68,6,0.38,0.52,0,0.1,0.76,12
double_no_carry,heldout,140,0.0,1.0,7,0.16,0.42,6,0.0,0.76,12
first_letter_second_word,heldout,140,0.0,0.84,16,0.16,0.8,18,0.0,0.88,16
french-english,heldout,140,0.0,0.8,5,0.24,0.92,13,0.44,0.76,11
french_noun_gender,heldout,140,0.0,0.86,9,1.0,1.0,8,0.02,0.86,14
largest_digit,heldout,140,0.16,0.66,10,0.42,0.54,9,0.2,0.48,11
last_digit,heldout,140,0.04,0.88,13,0.14,0.62,10,0.16,0.86,14
last_two_letters,heldout,140,0.0,0.36,17,0.36,0.54,16,0.02,0.3,17
natural_manmade,heldout,140,0.0,0.66,17,0.9,0.98,1,0.0,0.56,19
next_in_group,heldout,140,0.0,0.3571,8,0.0,0.1429,0,0.0,0.2857,13
number_word_to_digits,heldout,140,0.84,1.0,0,0.18,0.38,16,0.94,1.0,4
park-country,heldout,140,0.0,0.84,16,0.22,0.8,15,0.22,0.84,15
past_to_base,heldout,140,0.02,0.98,17,0.24,0.98,13,0.32,0.98,14
person-sport,heldout,140,0.0,0.82,15,0.54,0.94,11,0.18,0.86,12
product-company,heldout,140,0.0,0.78,10,0.4,0.82,14,0.14,0.8,15
singular-plural,heldout,140,0.0,0.9535,9,0.2093,0.9302,13,0.0465,0.9535,14
starts_with_vowel,heldout,140,0.0,0.44,17,0.44,0.58,0,0.0,0.2,16
verb_to_third_person,heldout,140,0.0,0.98,13,0.1,1.0,10,0.02,1.0,10
