layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
10,0.35067,0.37235,0.46234,0.39416,0.54518,0.55275,0.40901,0.59503,0.59402,0.41059,0.61914,0.61585,0.41174,0.63371,0.62995,0.41374,0.64375,0.63887,0.41581,0.65101,0.64494,0.41755,0.65725,0.64847,0.41913,0.66223,0.65212,0.42037,0.66614,0.65482,0.42201,0.66924
11,0.34170,0.37196,0.45350,0.40536,0.56373,0.55188,0.42993,0.60723,0.58757,0.43042,0.62280,0.60286,0.43174,0.63144,0.61332,0.43401,0.63778,0.62069,0.43608,0.64214,0.62625,0.43799,0.64648,0.63018,0.43961,0.64948,0.63331,0.44063,0.65207,0.63587,0.44165,0.65422
12,0.30779,0.35266,0.42641,0.36824,0.56064,0.53493,0.38869,0.60599,0.56303,0.39344,0.61847,0.57436,0.39755,0.62668,0.58339,0.40103,0.63396,0.58960,0.40436,0.63924,0.59429,0.40712,0.64398,0.59744,0.40934,0.64768,0.59973,0.41070,0.65135,0.60133,0.41209,0.65428
13,0.30638,0.34874,0.43636,0.38076,0.55402,0.54312,0.39716,0.60113,0.56695,0.40175,0.61887,0.57747,0.40706,0.63092,0.58758,0.41116,0.64116,0.59452,0.41512,0.64919,0.60001,0.41820,0.65595,0.60390,0.42078,0.66110,0.60672,0.42207,0.66600,0.60878,0.42360,0.67069
14,0.29143,0.33515,0.40422,0.35675,0.53133,0.51305,0.36934,0.57680,0.53341,0.37383,0.59359,0.54294,0.38006,0.60461,0.55334,0.38458,0.61394,0.56077,0.38804,0.62106,0.56666,0.39108,0.62713,0.57105,0.39314,0.63164,0.57431,0.39429,0.63592,0.57675,0.39539,0.63985
15,0.29099,0.32353,0.38806,0.36715,0.52458,0.50288,0.37211,0.58074,0.53107,0.37700,0.59986,0.54395,0.38252,0.61206,0.55529,0.38639,0.62188,0.56398,0.38936,0.62964,0.57136,0.39177,0.63612,0.57593,0.39355,0.64135,0.58014,0.39447,0.64592,0.58303,0.39540,0.65033
16,0.28534,0.30745,0.38760,0.35615,0.50768,0.48238,0.36245,0.56013,0.50691,0.36607,0.57939,0.51788,0.37081,0.59199,0.52792,0.37425,0.60210,0.53593,0.37698,0.60999,0.54280,0.37908,0.61646,0.54706,0.38059,0.62157,0.55089,0.38146,0.62602,0.55327,0.38230,0.63028
17,0.27603,0.29507,0.37988,0.34849,0.50162,0.47418,0.35587,0.55103,0.50053,0.36082,0.56968,0.51227,0.36616,0.58226,0.52223,0.37010,0.59270,0.52987,0.37312,0.60091,0.53654,0.37555,0.60749,0.54066,0.37728,0.61281,0.54435,0.37841,0.61754,0.54640,0.37924,0.62196
18,0.27065,0.28160,0.36555,0.33907,0.48047,0.45724,0.34537,0.53109,0.48329,0.35000,0.55046,0.49517,0.35457,0.56297,0.50536,0.35822,0.57329,0.51291,0.36090,0.58134,0.51974,0.36311,0.58794,0.52422,0.36483,0.59326,0.52796,0.36609,0.59820,0.53045,0.36675,0.60252
19,0.25846,0.27253,0.35431,0.32720,0.45764,0.44208,0.33079,0.50610,0.46635,0.33556,0.52607,0.47779,0.34002,0.53862,0.48740,0.34350,0.54848,0.49415,0.34591,0.55610,0.50040,0.34796,0.56214,0.50425,0.34946,0.56694,0.50742,0.35069,0.57153,0.50964,0.35125,0.57524
20,0.25777,0.26612,0.34014,0.32200,0.43587,0.43671,0.32557,0.48057,0.46460,0.32957,0.49905,0.47682,0.33342,0.51135,0.48708,0.33663,0.52110,0.49447,0.33884,0.52883,0.50085,0.34066,0.53510,0.50525,0.34200,0.54018,0.50867,0.34309,0.54487,0.51126,0.34361,0.54855
21,0.24693,0.25875,0.32333,0.30649,0.41483,0.40989,0.30918,0.45605,0.43435,0.31238,0.47305,0.44501,0.31578,0.48466,0.45414,0.31856,0.49374,0.46064,0.32039,0.50084,0.46607,0.32198,0.50662,0.46989,0.32321,0.51117,0.47288,0.32412,0.51548,0.47516,0.32461,0.51876
22,0.24216,0.25116,0.31482,0.30008,0.40442,0.39412,0.30202,0.44486,0.41632,0.30477,0.46189,0.42573,0.30776,0.47362,0.43388,0.31021,0.48235,0.43952,0.31174,0.48930,0.44420,0.31313,0.49507,0.44751,0.31421,0.49938,0.45015,0.31493,0.50362,0.45210,0.31525,0.50674
23,0.24096,0.25096,0.31196,0.29965,0.39814,0.38752,0.30168,0.43778,0.40841,0.30411,0.45528,0.41768,0.30689,0.46698,0.42541,0.30931,0.47563,0.43073,0.31066,0.48223,0.43506,0.31202,0.48787,0.43785,0.31304,0.49185,0.44016,0.31365,0.49588,0.44172,0.31384,0.49900
24,0.22347,0.23804,0.28978,0.28306,0.38073,0.36764,0.28614,0.42166,0.38961,0.28870,0.43930,0.39869,0.29161,0.45104,0.40602,0.29422,0.45976,0.41103,0.29577,0.46637,0.41515,0.29725,0.47214,0.41762,0.29850,0.47610,0.41979,0.29916,0.48027,0.42144,0.29941,0.48343
25,0.20878,0.22960,0.27060,0.26679,0.36425,0.34036,0.26845,0.40607,0.35943,0.27068,0.42259,0.36669,0.27325,0.43364,0.37245,0.27557,0.44204,0.37653,0.27672,0.44859,0.37982,0.27802,0.45429,0.38173,0.27910,0.45822,0.38332,0.27962,0.46224,0.38479,0.27979,0.46528
26,0.19660,0.21403,0.24896,0.24728,0.32329,0.30810,0.24756,0.36083,0.32438,0.24896,0.37603,0.32998,0.25059,0.38649,0.33458,0.25234,0.39402,0.33779,0.25290,0.39983,0.34038,0.25361,0.40515,0.34198,0.25425,0.40889,0.34343,0.25452,0.41249,0.34458,0.25455,0.41519
27,0.21175,0.21707,0.25651,0.25827,0.29002,0.30880,0.25819,0.31600,0.32269,0.25973,0.32926,0.32836,0.26115,0.33768,0.33286,0.26269,0.34447,0.33641,0.26301,0.35009,0.33923,0.26393,0.35453,0.34121,0.26417,0.35843,0.34225,0.26459,0.36208,0.34343,0.26443,0.36523
