layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
18,17.22799,23.97131,25.63868,22.28939,34.80001,29.78986,21.75310,37.58376,30.74709,21.78193,38.91445,31.14068,21.95748,39.57590,31.42217,21.99849,40.04499,31.59004,21.99524,40.39424,31.69139,21.99329,40.72568,31.67512,21.95530,40.97280,31.62771,21.91552,41.21172,31.54448,21.80720,41.43065
19,18.87582,28.15446,28.12613,24.10137,38.31414,31.69924,22.96806,40.95285,32.44509,22.85086,42.32248,32.75568,22.93516,42.97322,32.98108,22.90741,43.41066,33.06670,22.85155,43.71502,33.12163,22.80237,44.03286,33.05888,22.73474,44.23783,32.96920,22.67985,44.46226,32.84274,22.54835,44.67680
20,22.28378,32.24583,32.45503,28.47236,41.77239,37.18891,27.53295,44.51953,38.24313,27.25211,45.93019,38.56463,27.18499,46.57306,38.77629,27.09212,47.00486,38.88821,26.94383,47.28767,38.91365,26.83517,47.59653,38.83000,26.71066,47.77257,38.69129,26.60755,47.97211,38.50465,26.42636,48.16546
21,23.76815,34.79924,33.82174,29.63943,42.89661,37.98029,28.49464,45.57374,38.86854,28.12719,47.00837,39.11049,28.00190,47.61375,39.28582,27.86403,48.00310,39.37595,27.68577,48.23987,39.37501,27.54346,48.50500,39.28150,27.40228,48.63494,39.13366,27.28094,48.80641,38.96949,27.09396,48.98193
22,24.84860,36.06159,34.73272,30.62886,44.11548,38.55647,29.27260,46.75940,39.42152,28.83843,48.19481,39.66650,28.64801,48.80821,39.82011,28.47167,49.18826,39.90436,28.26237,49.42291,39.88593,28.09511,49.67754,39.77153,27.93867,49.78912,39.61283,27.78924,49.94308,39.42937,27.58535,50.10743
23,26.19326,37.96876,36.20014,32.17486,46.10453,40.17207,30.59712,48.96571,41.13916,30.06723,50.47001,41.40509,29.82394,51.11008,41.54191,29.63764,51.52804,41.62747,29.41321,51.77302,41.60675,29.23698,52.04221,41.48738,29.07009,52.16693,41.32718,28.91040,52.33259,41.16968,28.70341,52.50717
24,26.76957,39.49392,36.92563,33.17649,48.15461,41.79898,31.65099,51.47551,43.00589,31.15036,53.05416,43.35580,30.91807,53.70779,43.53608,30.78382,54.18082,43.68766,30.59340,54.47785,43.75096,30.45508,54.77841,43.66292,30.31132,54.94639,43.52216,30.14357,55.13647,43.40294,29.94734,55.35290
25,27.61103,40.81852,38.59395,35.09225,50.33390,45.21774,33.78022,53.90469,46.73617,33.37392,55.40813,47.28482,33.19905,56.04324,47.55795,33.11830,56.51357,47.73251,32.93800,56.81647,47.82499,32.81602,57.09756,47.74959,32.67438,57.26790,47.59353,32.52194,57.42533,47.51527,32.31552,57.62105
26,31.36050,44.58985,43.43070,39.92006,54.42984,51.87202,38.74975,57.94432,53.67305,38.37416,59.40903,54.41581,38.17107,59.96714,54.73274,38.08766,60.32314,54.88797,37.84701,60.52374,54.98840,37.69447,60.71421,54.91261,37.51634,60.82504,54.73155,37.33659,60.90652,54.67458,37.09711,61.05932
27,34.58207,61.44949,49.88309,44.27248,69.70975,58.80510,44.28699,70.43961,60.37168,44.43946,70.85562,61.03045,44.63896,70.65390,61.06522,44.70924,70.30620,60.89767,44.61100,69.86684,60.80919,44.36116,69.54282,60.54349,44.33745,69.20081,60.20107,44.14173,68.89175,60.14737,43.89370,68.72275
