family,target,layer,alpha,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,base_accuracy,cf_accuracy,step3_k0,step3_k4
py_quotes,nat,24,2.0,0.49,0.356,0.625,0.51,0.388,0.878,0.367,0.204,0.2857142857142857,0.8163265306122449
js_quotes,alt,24,0.5,0.612,0.472,0.736,0.694,0.102,0.878,0.633,0.571,0.5510204081632653,0.9183673469387755
js_quotes,nat,24,2.0,0.776,0.641,0.87,0.816,0.102,0.939,0.224,0.163,0.12244897959183673,0.7551020408163265
py_fstring,alt,24,4.0,0.42,0.294,0.558,0.44,0.48,0.88,0.18,0.2,0.2,0.86
py_fstring,nat,24,4.0,0.8,0.67,0.888,0.84,0.14,0.94,0.16,0.54,0.18,0.72
js_template,alt,24,4.0,0.265,0.162,0.403,0.306,0.653,0.857,0.184,0.163,0.1836734693877551,0.8367346938775511
js_template,nat,10,0.5,0.184,0.1,0.314,0.204,0.592,0.918,0.204,0.204,0.08163265306122448,0.8571428571428571
num_separators,alt,24,4.0,0.486,0.33,0.644,0.714,0.286,0.714,0.0,0.029,0.0,0.6571428571428571
num_separators,nat,20,0.5,0.257,0.142,0.421,0.257,0.743,0.829,0.2,0.257,0.2857142857142857,0.7142857142857143
hex_constants,alt,24,4.0,0.163,0.081,0.3,0.256,0.698,0.605,0.0,0.0,0.0,0.7441860465116279
hex_constants,nat,6,4.0,0.395,0.264,0.544,0.395,0.605,0.93,0.349,0.302,0.23255813953488372,0.6046511627906976
float_literals,alt,24,4.0,0.158,0.074,0.304,0.184,0.474,0.816,0.0,0.053,0.0,0.631578947368421
float_literals,nat,24,4.0,0.632,0.473,0.766,0.632,0.368,0.947,0.474,0.447,0.42105263157894735,0.47368421052631576
sql_bool_case,alt,24,2.0,0.938,0.799,0.983,0.938,0.062,1.0,0.75,0.219,0.625,0.96875
sql_bool_case,nat,24,2.0,1.0,0.893,1.0,1.0,0.0,1.0,0.188,0.594,0.3125,0.96875
py2_print,alt,8,4.0,0.06,0.021,0.162,0.14,0.86,0.54,0.0,0.02,0.0,0.72
py2_print,nat,16,2.0,0.28,0.175,0.417,0.34,0.66,0.7,0.1,0.1,0.12,0.84
py2_iter,alt,24,4.0,0.711,0.552,0.83,0.947,0.053,0.737,0.0,0.0,0.0,0.631578947368421
py2_iter,nat,16,0.5,0.632,0.473,0.766,0.737,0.263,0.868,0.711,0.447,0.5,0.7368421052631579
py2_except,alt,24,2.0,0.178,0.093,0.313,0.178,0.8,0.933,0.0,0.0,0.0,0.9333333333333333
py2_except,nat,10,0.5,0.2,0.109,0.338,0.2,0.8,0.933,0.133,0.133,0.08888888888888889,1.0
js_var,alt,24,4.0,0.32,0.208,0.458,0.44,0.42,0.64,0.04,0.18,0.04,0.5
js_var,nat,24,0.5,0.38,0.259,0.518,0.48,0.44,0.72,0.36,0.36,0.4,0.46
js_arrow,alt,24,2.0,0.837,0.71,0.915,0.959,0.02,0.857,0.061,0.02,0.061224489795918366,0.5918367346938775
js_arrow,nat,24,0.5,0.857,0.733,0.929,1.0,0.0,0.857,0.837,0.673,0.7755102040816326,0.6122448979591837
js_semicolons,alt,24,4.0,0.548,0.378,0.708,0.581,0.097,0.903,0.0,0.161,0.06451612903225806,0.4838709677419355
js_semicolons,nat,24,0.5,0.806,0.637,0.908,0.839,0.097,0.968,0.839,0.677,0.7741935483870968,0.6774193548387096
js_strict_eq,alt,24,4.0,0.786,0.605,0.898,0.893,0.071,0.857,0.107,0.0,0.07142857142857142,0.5714285714285714
js_strict_eq,nat,20,0.5,0.857,0.685,0.943,0.893,0.036,0.964,0.679,0.929,0.8214285714285714,0.75
trailing_commas,alt,4,0.5,0.441,0.289,0.605,0.471,0.441,0.912,0.441,0.382,0.35294117647058826,0.7058823529411765
trailing_commas,nat,24,2.0,0.206,0.103,0.368,0.235,0.471,0.706,0.059,0.059,0.08823529411764706,0.7647058823529411
py_paren_if,alt,24,2.0,0.52,0.385,0.652,0.58,0.22,0.84,0.0,0.02,0.02,0.54
py_paren_if,nat,20,4.0,0.7,0.562,0.809,0.76,0.24,0.92,0.8,0.68,0.68,0.68
py_type_hints,alt,6,2.0,0.898,0.782,0.956,0.918,0.061,0.939,0.633,0.816,0.7959183673469388,0.8163265306122449
py_type_hints,nat,24,4.0,0.837,0.71,0.915,0.939,0.02,0.898,0.102,0.061,0.04081632653061224,0.6326530612244898
py_optional,alt,2,0.5,0.0,0.0,0.073,0.0,0.857,0.714,0.0,0.0,0.0,0.4489795918367347
py_optional,nat,20,4.0,0.265,0.162,0.403,0.286,0.673,0.673,0.163,0.184,0.14285714285714285,0.5918367346938775
py_builtin_generics,alt,8,0.5,0.0,-0.0,0.11,0.0,0.871,0.677,0.0,0.0,0.03225806451612903,0.9032258064516129
py_builtin_generics,nat,16,4.0,0.226,0.114,0.398,0.226,0.774,0.742,0.097,0.097,0.06451612903225806,0.9354838709677419
py_comprehension,alt,16,4.0,0.239,0.139,0.379,0.239,0.435,0.913,0.109,0.174,0.21739130434782608,0.6304347826086957
py_comprehension,nat,12,2.0,0.413,0.283,0.557,0.457,0.391,0.848,0.391,0.304,0.34782608695652173,0.6521739130434783
py_not_in,alt,24,2.0,0.333,0.214,0.479,0.333,0.578,0.889,0.022,0.044,0.0,0.35555555555555557
py_not_in,nat,16,0.5,0.311,0.195,0.457,0.311,0.689,0.756,0.311,0.267,0.3333333333333333,0.5111111111111111
py_is_none,alt,24,4.0,0.161,0.071,0.326,0.161,0.806,0.774,0.032,0.032,0.03225806451612903,0.6774193548387096
py_is_none,nat,24,4.0,0.968,0.838,0.994,0.968,0.032,1.0,0.226,0.226,0.1935483870967742,0.8387096774193549
py_ternary,alt,20,1.0,0.458,0.326,0.597,0.5,0.438,0.875,0.333,0.312,0.3333333333333333,0.5208333333333334
py_ternary,nat,24,1.0,0.062,0.021,0.168,0.062,0.583,0.938,0.042,0.042,0.041666666666666664,0.3958333333333333
early_return,alt,24,4.0,0.42,0.294,0.558,0.44,0.28,0.9,0.18,0.22,0.2,0.84
early_return,nat,16,0.5,0.28,0.175,0.417,0.28,0.42,0.9,0.36,0.28,0.32,0.48
py_join_concat,alt,24,4.0,0.205,0.112,0.345,0.25,0.523,0.841,0.091,0.068,0.1590909090909091,0.5
py_join_concat,nat,24,4.0,0.5,0.358,0.642,0.545,0.341,0.955,0.341,0.273,0.38636363636363635,0.6590909090909091
py_with_open,alt,24,4.0,0.04,0.011,0.135,0.04,0.92,0.74,0.0,0.0,0.0,0.84
py_with_open,nat,24,4.0,0.14,0.07,0.262,0.16,0.84,0.84,0.08,0.02,0.08,0.66
py_enumerate,alt,24,4.0,0.449,0.319,0.587,0.469,0.49,0.796,0.224,0.102,0.42857142857142855,0.6326530612244898
py_enumerate,nat,24,4.0,0.469,0.337,0.606,0.776,0.224,0.694,0.204,0.082,0.1836734693877551,0.7755102040816326
py_self_name,alt,24,2.0,0.64,0.501,0.759,0.7,0.1,0.9,0.0,0.0,0.0,0.86
py_self_name,nat,4,0.5,0.98,0.895,0.996,0.98,0.02,1.0,0.96,0.98,0.96,0.96
py_indent,alt,24,4.0,0.8,0.67,0.888,0.92,0.02,0.88,0.0,0.02,0.1,0.7
py_indent,nat,24,1.0,0.96,0.865,0.989,1.0,0.0,0.96,0.76,0.84,0.78,0.96
py_tabs,alt,24,2.0,0.76,0.626,0.857,0.88,0.06,0.86,0.0,0.2,0.02,0.96
py_tabs,nat,4,4.0,0.88,0.762,0.944,0.92,0.08,0.92,0.8,0.82,0.8,0.9
operator_spaces,alt,20,4.0,0.533,0.391,0.671,0.6,0.2,0.844,0.022,0.067,0.1111111111111111,0.6888888888888889
operator_spaces,nat,12,2.0,0.778,0.637,0.875,0.822,0.111,0.933,0.867,0.733,0.7555555555555555,0.8888888888888888
comma_space,alt,24,4.0,0.447,0.314,0.588,0.617,0.128,0.745,0.021,0.149,0.0,0.48936170212765956
comma_space,nat,10,2.0,0.766,0.628,0.864,0.809,0.191,0.936,0.787,0.745,0.7659574468085106,0.7872340425531915
line_wrap,alt,12,0.5,0.68,0.542,0.792,0.74,0.26,0.9,0.64,0.56,0.58,0.38
line_wrap,nat,24,4.0,0.76,0.626,0.857,1.0,0.0,0.76,0.02,0.0,0.04,0.82
blank_lines,alt,20,1.0,0.029,0.005,0.149,0.029,0.971,0.618,0.0,0.029,0.5294117647058824,0.38235294117647056
blank_lines,nat,24,4.0,0.029,0.005,0.149,0.029,0.971,0.559,0.029,0.029,0.14705882352941177,0.5
docstring_style,alt,24,4.0,0.98,0.895,0.996,0.98,0.02,1.0,0.08,0.06,0.04,0.92
docstring_style,nat,24,4.0,0.94,0.838,0.979,0.94,0.06,0.96,0.7,0.68,0.64,1.0
docstring_quotes,alt,24,4.0,0.12,0.056,0.238,0.14,0.86,0.88,0.04,0.0,0.0,0.96
docstring_quotes,nat,10,1.0,0.2,0.112,0.33,0.2,0.8,0.94,0.2,0.32,0.08,0.92
comment_case,alt,24,2.0,0.3,0.191,0.438,0.44,0.54,0.6,0.04,0.02,0.08,0.62
comment_case,nat,8,1.0,0.18,0.098,0.308,0.26,0.64,0.64,0.18,0.2,0.22,0.58
comment_language,alt,20,2.0,0.08,0.032,0.188,0.14,0.68,0.46,0.0,0.0,0.0,0.54
comment_language,nat,24,1.0,0.42,0.294,0.558,0.46,0.54,0.68,0.34,0.34,0.22,0.7
c_comment_style,alt,24,4.0,0.22,0.128,0.352,0.28,0.68,0.78,0.02,0.0,0.0,0.84
c_comment_style,nat,24,4.0,0.4,0.276,0.538,0.54,0.46,0.78,0.4,0.3,0.34,0.96
sql_keyword_case,alt,24,2.0,0.16,0.083,0.285,0.2,0.24,0.66,0.02,0.02,0.04,0.8
sql_keyword_case,nat,24,4.0,0.78,0.648,0.872,0.9,0.06,0.8,0.54,0.52,0.66,1.0
sql_join_style,alt,20,4.0,0.455,0.317,0.599,0.477,0.25,0.932,0.0,0.0,0.022727272727272728,0.6590909090909091
sql_join_style,nat,6,0.5,0.955,0.849,0.987,0.977,0.023,0.977,0.932,0.909,0.9318181818181818,0.8409090909090909
r_assignment,alt,24,2.0,0.72,0.583,0.825,0.84,0.08,0.82,0.06,0.54,0.02,0.82
r_assignment,nat,24,0.5,0.8,0.67,0.888,0.96,0.0,0.82,0.78,0.78,0.76,0.92
rust_question,alt,24,4.0,0.692,0.536,0.814,0.872,0.051,0.795,0.0,0.051,0.05128205128205128,0.48717948717948717
rust_question,nat,2,1.0,0.744,0.589,0.854,0.769,0.205,0.923,0.744,0.641,0.717948717948718,0.8717948717948718
bash_test,alt,24,4.0,0.96,0.865,0.989,1.0,0.0,0.96,0.74,0.7,0.64,0.74
bash_test,nat,24,4.0,0.96,0.865,0.989,0.98,0.02,0.96,0.14,0.2,0.16,0.76
php_array,alt,24,4.0,0.64,0.501,0.759,0.86,0.12,0.76,0.14,0.18,0.22,0.6
php_array,nat,24,4.0,0.44,0.312,0.577,0.46,0.54,0.82,0.2,0.06,0.24,0.38
