family,target,layer,alpha,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,base_accuracy,cf_accuracy,step3_k0,step3_k4
sql_bool_case,nat,24,2.0,0.895,0.831,0.936,0.895,0.105,0.992,0.218,,0.293,0.902
py2_print,alt,8,4.0,0.08,0.05,0.126,0.14,0.77,0.625,0.0,,0.015,0.67
py2_print,nat,24,2.0,0.235,0.182,0.298,0.29,0.705,0.82,0.22,,0.2,0.73
py2_iter,alt,24,4.0,0.75,0.673,0.814,0.91,0.062,0.812,0.035,,0.035,0.549
py2_iter,nat,24,4.0,0.722,0.644,0.789,0.861,0.118,0.833,0.688,,0.611,0.764
py2_except,alt,24,2.0,0.141,0.098,0.2,0.175,0.814,0.932,0.0,,0.0,0.96
py2_except,nat,10,0.5,0.164,0.117,0.225,0.175,0.825,0.944,0.09,,0.113,0.938
js_var,alt,24,4.0,0.31,0.25,0.377,0.415,0.41,0.64,0.045,,0.13,0.495
js_var,nat,24,0.5,0.465,0.397,0.534,0.52,0.39,0.75,0.405,,0.415,0.535
js_arrow,alt,24,4.0,0.847,0.79,0.891,0.99,0.0,0.847,0.046,,0.041,0.566
js_arrow,nat,2,1.0,0.852,0.796,0.895,0.954,0.02,0.883,0.77,,0.786,0.607
js_semicolons,alt,24,4.0,0.603,0.522,0.679,0.671,0.13,0.863,0.075,,0.027,0.589
js_semicolons,nat,8,2.0,0.795,0.722,0.852,0.856,0.089,0.938,0.815,,0.822,0.856
js_strict_eq,alt,24,4.0,0.776,0.688,0.844,0.841,0.065,0.925,0.047,,0.065,0.72
js_strict_eq,nat,24,2.0,0.841,0.76,0.898,0.888,0.084,0.935,0.757,,0.729,0.766
trailing_commas,alt,10,0.5,0.538,0.453,0.622,0.592,0.308,0.892,0.523,,0.454,0.662
trailing_commas,nat,24,2.0,0.415,0.334,0.501,0.431,0.346,0.808,0.131,,0.123,0.846
py_paren_if,alt,24,4.0,0.457,0.39,0.527,0.533,0.327,0.799,0.02,,0.01,0.563
py_paren_if,nat,20,4.0,0.724,0.658,0.781,0.779,0.216,0.905,0.643,,0.618,0.633
py_type_hints,alt,4,2.0,0.76,0.695,0.815,0.792,0.135,0.958,0.677,,0.745,0.828
py_type_hints,nat,24,4.0,0.906,0.857,0.94,0.974,0.021,0.922,0.104,,0.073,0.719
py_optional,alt,6,4.0,0.005,0.001,0.029,0.01,0.864,0.654,0.0,,0.021,0.602
py_optional,nat,20,4.0,0.293,0.233,0.361,0.33,0.649,0.597,0.157,,0.126,0.597
py_builtin_generics,alt,10,1.0,0.0,0.0,0.033,0.0,0.85,0.69,0.0,,0.0,0.947
py_builtin_generics,nat,20,4.0,0.186,0.125,0.267,0.239,0.726,0.637,0.124,,0.115,0.858
py_comprehension,alt,4,0.5,0.108,0.072,0.16,0.129,0.505,0.825,0.134,,0.124,0.649
py_comprehension,nat,24,1.0,0.371,0.306,0.441,0.412,0.526,0.809,0.361,,0.361,0.598
py_not_in,alt,24,4.0,0.195,0.142,0.262,0.201,0.671,0.835,0.024,,0.006,0.378
py_not_in,nat,24,1.0,0.409,0.336,0.485,0.433,0.555,0.86,0.366,,0.39,0.518
py_is_none,alt,24,4.0,0.184,0.124,0.265,0.193,0.798,0.877,0.026,,0.0,0.702
py_is_none,nat,24,4.0,0.912,0.846,0.952,0.947,0.053,0.965,0.219,,0.167,0.772
py_ternary,alt,20,1.0,0.305,0.243,0.374,0.321,0.556,0.898,0.251,,0.246,0.492
py_ternary,nat,8,0.5,0.128,0.088,0.184,0.15,0.561,0.866,0.144,,0.134,0.449
early_return,alt,20,4.0,0.35,0.287,0.418,0.39,0.305,0.92,0.2,,0.235,0.825
early_return,nat,24,4.0,0.335,0.273,0.403,0.355,0.61,0.895,0.31,,0.305,0.49
py_join_concat,alt,24,4.0,0.216,0.162,0.282,0.273,0.54,0.773,0.074,,0.125,0.528
py_join_concat,nat,24,4.0,0.602,0.529,0.672,0.693,0.244,0.892,0.455,,0.42,0.676
py_with_open,alt,20,1.0,0.02,0.008,0.05,0.02,0.93,0.905,0.005,,0.01,0.86
py_with_open,nat,24,4.0,0.08,0.05,0.126,0.095,0.905,0.875,0.07,,0.05,0.575
py_enumerate,alt,24,2.0,0.298,0.239,0.365,0.313,0.621,0.904,0.268,,0.414,0.798
py_enumerate,nat,24,4.0,0.747,0.683,0.803,0.894,0.106,0.823,0.182,,0.152,0.763
py_self_name,alt,24,2.0,0.675,0.607,0.736,0.715,0.085,0.91,0.0,,0.0,0.895
py_self_name,nat,6,0.5,0.995,0.972,0.999,1.0,0.0,0.995,0.965,,0.955,0.91
py_indent,alt,24,4.0,0.76,0.696,0.814,0.925,0.055,0.82,0.005,,0.055,0.55
py_indent,nat,24,1.0,0.895,0.845,0.93,0.98,0.02,0.91,0.745,,0.75,0.925
py_tabs,alt,10,4.0,0.77,0.707,0.823,0.94,0.02,0.805,0.01,,0.01,0.915
py_tabs,nat,20,2.0,0.865,0.811,0.906,0.985,0.01,0.87,0.795,,0.755,0.92
operator_spaces,alt,20,2.0,0.476,0.406,0.547,0.513,0.15,0.941,0.032,,0.091,0.668
operator_spaces,nat,12,2.0,0.802,0.739,0.853,0.829,0.123,0.952,0.775,,0.754,0.861
comma_space,alt,24,4.0,0.443,0.374,0.513,0.531,0.172,0.792,0.01,,0.005,0.693
comma_space,nat,10,2.0,0.776,0.712,0.829,0.812,0.182,0.943,0.766,,0.745,0.839
line_wrap,alt,8,0.5,0.67,0.602,0.731,0.74,0.255,0.905,0.655,,0.685,0.395
line_wrap,nat,24,4.0,0.815,0.755,0.863,0.97,0.02,0.835,0.01,,0.01,0.66
blank_lines,alt,24,2.0,0.683,0.603,0.754,0.796,0.19,0.817,0.627,,0.577,0.493
blank_lines,nat,24,4.0,0.57,0.488,0.649,0.746,0.218,0.648,0.049,,0.092,0.563
docstring_style,alt,24,4.0,0.859,0.804,0.901,0.869,0.121,0.935,0.05,,0.035,0.97
docstring_style,nat,24,4.0,0.955,0.916,0.976,0.955,0.045,0.965,0.683,,0.719,0.975
docstring_quotes,alt,24,4.0,0.23,0.177,0.293,0.235,0.765,0.905,0.025,,0.01,0.905
docstring_quotes,nat,10,1.0,0.185,0.137,0.245,0.185,0.8,0.945,0.15,,0.125,0.96
comment_case,alt,24,4.0,0.275,0.218,0.341,0.375,0.6,0.62,0.05,,0.045,0.575
comment_case,nat,8,1.0,0.22,0.168,0.282,0.265,0.68,0.69,0.22,,0.175,0.69
comment_language,alt,20,2.0,0.06,0.035,0.102,0.11,0.7,0.47,0.0,,0.0,0.565
comment_language,nat,24,1.0,0.37,0.306,0.439,0.41,0.59,0.72,0.355,,0.305,0.63
c_comment_style,alt,24,4.0,0.11,0.074,0.161,0.165,0.755,0.755,0.005,,0.005,0.775
c_comment_style,nat,24,4.0,0.375,0.311,0.444,0.52,0.48,0.795,0.305,,0.325,0.885
sql_keyword_case,alt,24,4.0,0.29,0.232,0.356,0.365,0.23,0.625,0.02,,0.01,0.87
sql_keyword_case,nat,24,4.0,0.76,0.696,0.814,0.87,0.09,0.78,0.69,,0.67,0.885
sql_join_style,alt,24,4.0,0.585,0.512,0.654,0.601,0.306,0.929,0.005,,0.011,0.749
sql_join_style,nat,6,0.5,0.852,0.794,0.897,0.88,0.109,0.973,0.82,,0.842,0.913
r_assignment,alt,24,4.0,0.675,0.607,0.736,0.865,0.085,0.745,0.05,,0.06,0.815
r_assignment,nat,24,2.0,0.785,0.723,0.836,0.985,0.01,0.79,0.785,,0.77,0.905
rust_question,alt,24,2.0,0.115,0.075,0.173,0.133,0.291,0.776,0.036,,0.036,0.594
rust_question,nat,2,1.0,0.733,0.661,0.795,0.812,0.176,0.909,0.703,,0.655,0.8
bash_test,alt,24,4.0,0.92,0.874,0.95,0.96,0.025,0.95,0.675,,0.675,0.765
bash_test,nat,24,2.0,0.51,0.441,0.578,0.57,0.1,0.895,0.19,,0.185,0.87
php_array,alt,24,4.0,0.71,0.642,0.769,0.855,0.124,0.819,0.124,,0.166,0.58
php_array,nat,24,4.0,0.425,0.357,0.495,0.466,0.518,0.819,0.306,,0.212,0.42
