task,group,zero_shot,dummy6_unsteered,real_1shot,dummy1_steered_L12_best,dummy6_steered_best,real_6shot,dummy6_steer_a0.5,dummy6_steer_a1.0,dummy6_steer_a2.0,dummy6_steer_a4.0
number_word_to_digits,heldout,0.6267,0.0,0.9867,0.9733,0.78,0.9933,0.0,0.1733,0.78,0.6333
park-country,heldout,0.0,0.0067,0.7467,0.7667,0.7333,0.76,0.3733,0.7333,0.66,0.6
past_to_base,heldout,0.0,0.0,0.8,0.7667,0.8533,0.98,0.0067,0.1467,0.8533,0.6933
person-instrument,train,0.0,0.0,0.1467,0.16,0.36,0.3667,0.0,0.1933,0.36,0.2133
person-sport,heldout,0.0,0.0,0.5933,0.54,0.52,0.78,0.0,0.44,0.52,0.4
person_place_thing,train,0.0,0.0,0.08,0.7733,0.4467,0.88,0.0,0.2533,0.4467,0.38
plural_to_singular,train,0.0,0.0,0.7,0.8667,0.8067,0.9733,0.0,0.2133,0.8067,0.72
pos_label,train,0.0,0.0,0.74,0.8133,0.5467,0.8533,0.0,0.5467,0.5133,0.3133
present-past,train,0.0,0.0,0.7333,0.9067,0.96,0.9733,0.0,0.3,0.96,0.8467
prev_item,train,0.0,0.0,0.1933,0.6467,0.6333,0.8267,0.0067,0.0933,0.6333,0.5
prev_number_digits,train,0.0,0.0,0.6667,0.7533,0.6667,0.9867,0.0067,0.1,0.6,0.6667
product-company,heldout,0.0,0.0,0.4933,0.4667,0.4733,0.6533,0.0067,0.4733,0.4733,0.4267
remove_first_letter,train,0.0,0.0,0.1133,0.22,0.24,0.6133,0.0,0.0067,0.1333,0.24
remove_last_letter,train,0.0,0.0,0.2067,0.3267,0.28,0.56,0.0,0.0,0.2667,0.28
round_up_to_ten,train,0.0,0.0,0.44,0.2667,0.3333,0.8067,0.0,0.0267,0.22,0.3333
second_digit,train,0.0,0.0,0.0867,0.1533,0.1133,0.5067,0.0,0.0,0.08,0.1133
sentiment,train,0.0,0.0,0.9133,0.88,0.8,0.9133,0.0,0.7533,0.8,0.7467
singular-plural,heldout,0.0,0.0,0.74,0.8733,0.8467,0.98,0.0,0.3533,0.8467,0.7733
singular_or_plural,train,0.0,0.0,0.4267,0.62,0.4,0.96,0.0,0.2533,0.4,0.24
smaller_of_pair,train,0.0,0.0,0.5,0.2867,0.2533,0.4667,0.0,0.0067,0.2533,0.1333
spanish-english,train,0.0,0.0,0.7667,0.7933,0.7533,0.8733,0.02,0.6,0.7533,0.7333
spanish_noun_gender,train,0.0,0.0,0.8333,0.86,0.8,0.9933,0.0133,0.8,0.8,0.7267
starts_with_vowel,heldout,0.0,0.0,0.0267,0.0933,0.3733,0.5933,0.0,0.0267,0.3733,0.2933
strip_prefix,train,0.0267,0.0,0.4267,0.6533,0.46,0.82,0.0,0.1533,0.46,0.3133
synonym,train,0.0333,0.0,0.3533,0.3933,0.1933,0.4067,0.0,0.0467,0.1733,0.1933
third_person_to_base,train,0.0,0.0,0.8,0.92,0.86,0.9933,0.0,0.18,0.86,0.7333
times_five,train,0.0,0.0,0.4667,0.1533,0.1267,0.96,0.0,0.0,0.1267,0.1133
titlecase_phrase,train,0.0,0.0,0.2333,0.36,0.44,0.9067,0.0,0.0,0.44,0.3467
uppercase_word,train,0.0,0.0,0.72,0.9067,0.8867,0.98,0.0,0.0867,0.8867,0.8733
us-city-state,train,0.02,0.0,0.7733,0.7867,0.8,0.8733,0.18,0.8,0.76,0.6667
verb_to_third_person,heldout,0.0,0.0,0.58,0.7933,0.8667,0.9333,0.0067,0.34,0.8667,0.6867
word_polarity,train,0.0,0.0,0.46,0.9733,0.9133,0.98,0.0067,0.6933,0.9133,0.8133
