task,split,acc6,test_zeroshot_pooled_best,test_zeroshot_base,test_sametask_shuffled10_pooled_best,test_sametask_shuffled10_base,test_mixedtask10_pooled_best,test_mixedtask10_base,test_zeroshot_staged_best,test_sametask_shuffled10_staged_best,test_mixedtask10_staged_best
verb_tense_label,train,0.3,0.48,0.0,0.5,0.44,0.3,0.0,0.52,0.62,0.52
verb_to_gerund,train,0.6,0.32,0.0,0.78,0.14,0.24,0.0,0.64,0.76,0.58
verb_to_third_person,train,0.84,0.92,0.0,1.0,0.24,0.86,0.02,0.96,1.0,0.96
word_polarity,train,0.64,0.66,0.0,0.88,0.78,0.78,0.0,0.82,0.86,0.92
year_to_decade,train,0.54,0.0,0.0,0.6,0.12,0.0,0.0,0.0,0.56,0.0
adjective_to_noun,heldout,0.46,0.48,0.12,0.66,0.12,0.44,0.18,0.44,0.6,0.38
ag_news,heldout,0.5,0.62,0.0,0.82,0.78,0.66,0.0,0.66,0.82,0.72
compound_first,heldout,0.56,0.92,0.54,0.82,0.24,0.88,0.62,0.84,0.86,0.88
country-capital,heldout,0.8,0.8571428571428571,0.0,0.9523809523809523,0.6428571428571429,0.38095238095238093,0.0,0.9047619047619048,0.9523809523809523,0.8571428571428571
day_after_textual_date,heldout,0.96,0.92,0.0,0.92,0.2,0.14,0.0,0.94,0.96,0.38
double_word,heldout,0.92,0.0,0.0,1.0,0.52,0.0,0.0,0.0,1.0,0.0
english-portuguese,heldout,0.5,0.48,0.0,0.74,0.62,0.08,0.0,0.6,0.76,0.36
gerund_to_base,heldout,0.72,0.98,0.2,0.92,0.14,0.92,0.34,0.96,0.94,0.94
minus_ten,heldout,0.3,0.0,0.0,0.1,0.02,0.02,0.02,0.02,0.1,0.02
national_parks,heldout,0.62,0.64,0.0,0.64,0.58,0.54,0.1,0.6,0.64,0.6
ordinal_suffix,heldout,0.84,0.0,0.0,0.98,0.44,0.0,0.0,0.0,1.0,0.0
parity_even_odd,heldout,0.46,0.34,0.0,0.58,0.54,0.08,0.0,0.66,0.66,0.68
percent_to_decimal,heldout,0.78,0.06,0.0,0.74,0.14,0.16,0.1,0.28,0.68,0.28
prev_number_digits,heldout,0.86,1.0,0.0,1.0,0.19047619047619047,0.9761904761904762,0.023809523809523808,1.0,1.0,1.0
sentiment,heldout,0.64,0.82,0.0,0.86,0.7,0.86,0.0,0.92,0.9,0.9
smaller_of_pair,heldout,0.56,0.66,0.32,0.64,0.1,0.72,0.38,0.68,0.66,0.74
titlecase_phrase,heldout,0.96,0.6,0.0,0.98,0.2,0.72,0.0,0.78,0.98,0.9
uppercase_word,heldout,0.94,0.98,0.0,0.98,0.26,0.98,0.0,0.98,0.98,0.98
