task,icl_example_index,token_role,layer,mean_cosine,n_prompts
antonym,4,pre_label_token,2,0.12195951491594315,170
antonym,4,pre_label_token,3,0.09747747331857681,170
antonym,4,pre_label_token,4,0.11679862439632416,170
antonym,4,pre_label_token,5,0.16533784568309784,170
antonym,4,pre_label_token,6,0.21353378891944885,170
antonym,4,pre_label_token,7,0.28623655438423157,170
antonym,4,pre_label_token,8,0.29643702507019043,170
antonym,4,pre_label_token,9,0.38740089535713196,170
antonym,4,pre_label_token,10,0.4384039044380188,170
antonym,4,pre_label_token,11,0.41225066781044006,170
antonym,4,pre_label_token,12,0.45522958040237427,170
antonym,4,pre_label_token,13,0.4617670774459839,170
antonym,4,pre_label_token,14,0.4481423795223236,170
antonym,4,pre_label_token,15,0.4235828220844269,170
antonym,4,pre_label_token,16,0.44516414403915405,170
antonym,4,pre_label_token,17,0.43541914224624634,170
antonym,4,pre_label_token,18,0.4266881048679352,170
antonym,4,pre_label_token,19,0.404503732919693,170
antonym,4,pre_label_token,20,0.38755425810813904,170
antonym,4,pre_label_token,21,0.3874486982822418,170
antonym,4,pre_label_token,22,0.37594908475875854,170
antonym,4,pre_label_token,23,0.36577147245407104,170
antonym,4,pre_label_token,24,0.3564554452896118,170
antonym,4,pre_label_token,25,0.3433188199996948,170
antonym,4,pre_label_token,26,0.32559269666671753,170
antonym,4,pre_label_token,27,0.29247796535491943,170
antonym,4,pre_label_token,28,0.2876514196395874,170
antonym,4,first_label_token,0,0.0042298161424696445,170
antonym,4,first_label_token,1,0.15280812978744507,170
antonym,4,first_label_token,2,0.13873571157455444,170
antonym,4,first_label_token,3,0.12988686561584473,170
antonym,4,first_label_token,4,0.1508084386587143,170
antonym,4,first_label_token,5,0.17916597425937653,170
antonym,4,first_label_token,6,0.20652811229228973,170
antonym,4,first_label_token,7,0.2291879802942276,170
antonym,4,first_label_token,8,0.24290262162685394,170
antonym,4,first_label_token,9,0.27820926904678345,170
antonym,4,first_label_token,10,0.31534069776535034,170
antonym,4,first_label_token,11,0.3243647515773773,170
antonym,4,first_label_token,12,0.3401279151439667,170
antonym,4,first_label_token,13,0.3123370110988617,170
antonym,4,first_label_token,14,0.31332337856292725,170
antonym,4,first_label_token,15,0.3096700608730316,170
antonym,4,first_label_token,16,0.3194434642791748,170
antonym,4,first_label_token,17,0.315703809261322,170
antonym,4,first_label_token,18,0.3148263394832611,170
antonym,4,first_label_token,19,0.316646546125412,170
antonym,4,first_label_token,20,0.31022730469703674,170
antonym,4,first_label_token,21,0.32137420773506165,170
antonym,4,first_label_token,22,0.3108161985874176,170
antonym,4,first_label_token,23,0.30541372299194336,170
antonym,4,first_label_token,24,0.30240145325660706,170
antonym,4,first_label_token,25,0.2950366735458374,170
antonym,4,first_label_token,26,0.28648316860198975,170
antonym,4,first_label_token,27,0.27229201793670654,170
antonym,4,first_label_token,28,0.2891213297843933,170
antonym,4,last_label_token,0,0.003918082918971777,170
antonym,4,last_label_token,1,0.15323194861412048,170
antonym,4,last_label_token,2,0.1384647637605667,170
antonym,4,last_label_token,3,0.13106243312358856,170
antonym,4,last_label_token,4,0.15087474882602692,170
antonym,4,last_label_token,5,0.17887486517429352,170
antonym,4,last_label_token,6,0.20659112930297852,170
antonym,4,last_label_token,7,0.22918103635311127,170
antonym,4,last_label_token,8,0.2422940880060196,170
antonym,4,last_label_token,9,0.27845051884651184,170
antonym,4,last_label_token,10,0.31349411606788635,170
