task,origin,lane,acc_chat_blank_system,acc_chat_no_system,acc_plain,acc_gptj
next_in_group,original_abstractive,,0.0600,0.1000,0.3000,0.0800
next_in_period,original_abstractive,,0.5000,0.6000,0.6000,0.0800
next_item,original_abstractive,,0.6400,0.6400,0.8000,0.4000
next_letter_of_last_letter,new,orthographic,0.0400,0.0000,0.0400,0.0000
next_month_of_date,new,dates,0.9400,0.9400,0.9600,0.7000
next_number_digits,original_abstractive,,1.0000,1.0000,1.0000,0.7800
number_word_to_digits,new,numeric_sequence,1.0000,1.0000,1.0000,0.6800
park-country,original_abstractive,,0.8000,0.7800,0.7200,0.4000
past_to_base,new,morphology-inflection,0.9000,0.9600,0.9600,0.6800
person-instrument,original_abstractive,,0.1600,0.2400,0.4400,0.3000
person-occupation,original_abstractive,,0.0400,0.0400,0.1800,0.1200
person-sport,original_abstractive,,0.3400,0.6400,0.9000,0.7000
person_place_thing,new,semantic_classification,0.6600,0.6800,0.8600,0.6000
plural_to_singular,new,morphology-inflection,0.9200,0.9000,0.9800,0.7800
plus_hundred,new,arithmetic,0.9000,0.9000,0.8800,0.2200
pos_label,new,word-property,0.8600,0.8600,0.9000,0.6200
present-past,original_abstractive,,0.9600,0.9600,0.9800,0.9000
prev_capital_letter,new,orthographic,0.0400,0.0600,0.0800,0.0400
prev_item,original_abstractive,,0.5200,0.4200,0.8000,0.2800
prev_number_digits,original_abstractive,,1.0000,1.0000,1.0000,0.8600
product-company,original_abstractive,,0.4800,0.5400,0.7200,0.4600
remove_first_letter,new,orthographic,0.4400,0.5200,0.5200,0.0000
remove_last_letter,new,orthographic,0.4200,0.4200,0.6200,0.2200
rhyme,original_abstractive,,0.0000,0.0000,0.0200,0.0000
round_up_to_ten,new,arithmetic,0.7600,0.7600,0.7400,0.2800
second_digit,new,digit_query,0.4600,0.4200,0.5000,0.1400
sentiment,original_abstractive,,0.9600,0.9200,0.9600,0.6400
singular-plural,original_abstractive,,1.0000,0.9800,1.0000,0.9200
singular_or_plural,new,grammatical_classification,0.8800,0.9400,0.9600,0.6400
smaller_of_pair,new,comparison,0.6400,0.6400,0.5400,0.5600
spanish-english,new,translation,0.8200,0.8400,0.8800,0.7200
spanish_noun_gender,new,linguistic_knowledge,1.0000,0.9800,0.9600,0.6600
starts_with_vowel,new,orthographic,0.5000,0.5600,0.7200,0.4400
strip_prefix,new,morphology-derivation,0.6600,0.6800,0.9000,0.2400
syllable_count,new,morphology_lexical,0.2800,0.2200,0.2200,0.2600
synonym,original_abstractive,,0.2600,0.2800,0.3400,0.1400
third_letter,new,orthographic,0.1000,0.1200,0.1800,0.0600
third_person_to_base,new,morphology-inflection,0.9200,0.9400,1.0000,0.7800
time_to_minutes,new,numeric_sequence,0.3400,0.3200,0.3000,0.0400
times_five,new,numeric_sequence,1.0000,0.9400,1.0000,0.0000
titlecase_phrase,new,orthographic,0.4600,0.6800,0.8800,0.9600
uppercase_word,new,orthographic,0.9800,0.9800,1.0000,0.9400
us-city-state,new,world_knowledge,0.7200,0.7200,0.8400,0.7200
verb_tense_label,new,word-property,0.4400,0.4400,0.7600,0.3000
verb_to_third_person,new,morphology-inflection,0.9400,0.8800,0.9200,0.8400
west_neighbor,original_abstractive,,0.0200,0.0600,0.0400,0.0600
word_length,original_abstractive,,0.1400,0.2000,0.5600,0.1400
word_polarity,new,lexical-semantic,0.9400,0.9600,1.0000,0.6400
